Created as New Dataset,93 Du Pont
cm-1,%T
3648.00,98.25
3647.00,98.25
3646.00,98.23
3645.00,98.19
3644.00,98.13
3643.00,98.07
3642.00,98.04
3641.00,98.02
3640.00,98.02
3639.00,98.02
3638.00,98.03
3637.00,98.05
3636.00,98.06
3635.00,98.07
3634.00,98.07
3633.00,98.08
3632.00,98.09
3631.00,98.11
3630.00,98.10
3629.00,98.06
3628.00,98.02
3627.00,97.98
3626.00,97.96
3625.00,97.95
3624.00,97.95
3623.00,97.94
3622.00,97.93
3621.00,97.91
3620.00,97.89
3619.00,97.87
3618.00,97.87
3617.00,97.90
3616.00,97.93
3615.00,97.94
3614.00,97.93
3613.00,97.90
3612.00,97.88
3611.00,97.86
3610.00,97.84
3609.00,97.82
3608.00,97.80
3607.00,97.79
3606.00,97.79
3605.00,97.79
3604.00,97.77
3603.00,97.74
3602.00,97.73
3601.00,97.73
3600.00,97.75
3599.00,97.76
3598.00,97.76
3597.00,97.75
3596.00,97.74
3595.00,97.74
3594.00,97.75
3593.00,97.76
3592.00,97.76
3591.00,97.74
3590.00,97.70
3589.00,97.66
3588.00,97.61
3587.00,97.59
3586.00,97.58
3585.00,97.58
3584.00,97.59
3583.00,97.58
3582.00,97.57
3581.00,97.56
3580.00,97.55
3579.00,97.53
3578.00,97.52
3577.00,97.50
3576.00,97.47
3575.00,97.44
3574.00,97.41
3573.00,97.38
3572.00,97.36
3571.00,97.35
3570.00,97.35
3569.00,97.35
3568.00,97.34
3567.00,97.32
3566.00,97.30
3565.00,97.28
3564.00,97.26
3563.00,97.24
3562.00,97.23
3561.00,97.23
3560.00,97.24
3559.00,97.23
3558.00,97.21
3557.00,97.19
3556.00,97.17
3555.00,97.16
3554.00,97.15
3553.00,97.15
3552.00,97.14
3551.00,97.11
3550.00,97.09
3549.00,97.06
3548.00,97.03
3547.00,97.00
3546.00,96.96
3545.00,96.92
3544.00,96.90
3543.00,96.89
3542.00,96.89
3541.00,96.88
3540.00,96.85
3539.00,96.81
3538.00,96.77
3537.00,96.75
3536.00,96.75
3535.00,96.76
3534.00,96.77
3533.00,96.78
3532.00,96.79
3531.00,96.78
3530.00,96.75
3529.00,96.70
3528.00,96.66
3527.00,96.62
3526.00,96.60
3525.00,96.58
3524.00,96.54
3523.00,96.49
3522.00,96.44
3521.00,96.43
3520.00,96.43
3519.00,96.44
3518.00,96.45
3517.00,96.45
3516.00,96.45
3515.00,96.44
3514.00,96.42
3513.00,96.40
3512.00,96.38
3511.00,96.36
3510.00,96.34
3509.00,96.31
3508.00,96.27
3507.00,96.24
3506.00,96.22
3505.00,96.20
3504.00,96.19
3503.00,96.19
3502.00,96.17
3501.00,96.16
3500.00,96.14
3499.00,96.13
3498.00,96.11
3497.00,96.10
3496.00,96.09
3495.00,96.08
3494.00,96.08
3493.00,96.07
3492.00,96.06
3491.00,96.04
3490.00,96.03
3489.00,96.03
3488.00,96.04
3487.00,96.04
3486.00,96.03
3485.00,96.01
3484.00,95.99
3483.00,96.00
3482.00,96.01
3481.00,96.03
3480.00,96.04
3479.00,96.03
3478.00,96.01
3477.00,95.98
3476.00,95.95
3475.00,95.93
3474.00,95.90
3473.00,95.88
3472.00,95.88
3471.00,95.87
3470.00,95.86
3469.00,95.85
3468.00,95.84
3467.00,95.85
3466.00,95.86
3465.00,95.88
3464.00,95.88
3463.00,95.87
3462.00,95.86
3461.00,95.84
3460.00,95.82
3459.00,95.82
3458.00,95.82
3457.00,95.83
3456.00,95.84
3455.00,95.85
3454.00,95.83
3453.00,95.79
3452.00,95.75
3451.00,95.72
3450.00,95.71
3449.00,95.71
3448.00,95.72
3447.00,95.72
3446.00,95.73
3445.00,95.73
3444.00,95.72
3443.00,95.70
3442.00,95.68
3441.00,95.66
3440.00,95.64
3439.00,95.62
3438.00,95.61
3437.00,95.60
