Created as New Dataset,58 Modacrylic Eastman Fibers Verel Type CA USA White. Peanut X.S. Bright. 16dpf. Use: Floor Coverings
cm-1,%T
3653.00,101.72
3652.00,101.68
3651.00,101.67
3650.00,101.66
3649.00,101.61
3648.00,101.56
3647.00,101.55
3646.00,101.59
3645.00,101.65
3644.00,101.73
3643.00,101.80
3642.00,101.86
3641.00,101.88
3640.00,101.87
3639.00,101.84
3638.00,101.82
3637.00,101.80
3636.00,101.80
3635.00,101.80
3634.00,101.82
3633.00,101.81
3632.00,101.77
3631.00,101.69
3630.00,101.64
3629.00,101.63
3628.00,101.62
3627.00,101.61
3626.00,101.61
3625.00,101.65
3624.00,101.70
3623.00,101.72
3622.00,101.71
3621.00,101.68
3620.00,101.66
3619.00,101.64
3618.00,101.62
3617.00,101.59
3616.00,101.57
3615.00,101.56
3614.00,101.58
3613.00,101.61
3612.00,101.63
3611.00,101.63
3610.00,101.62
3609.00,101.63
3608.00,101.66
3607.00,101.68
3606.00,101.70
3605.00,101.72
3604.00,101.74
3603.00,101.75
3602.00,101.76
3601.00,101.76
3600.00,101.75
3599.00,101.73
3598.00,101.71
3597.00,101.70
3596.00,101.70
3595.00,101.70
3594.00,101.71
3593.00,101.70
3592.00,101.68
3591.00,101.66
3590.00,101.63
3589.00,101.63
3588.00,101.64
3587.00,101.64
3586.00,101.62
3585.00,101.60
3584.00,101.60
3583.00,101.63
3582.00,101.67
3581.00,101.71
3580.00,101.74
3579.00,101.74
3578.00,101.74
3577.00,101.73
3576.00,101.74
3575.00,101.74
3574.00,101.75
3573.00,101.75
3572.00,101.73
3571.00,101.70
3570.00,101.66
3569.00,101.65
3568.00,101.66
3567.00,101.67
3566.00,101.67
3565.00,101.66
3564.00,101.64
3563.00,101.62
3562.00,101.62
3561.00,101.62
3560.00,101.64
3559.00,101.65
3558.00,101.67
3557.00,101.68
3556.00,101.67
3555.00,101.64
3554.00,101.61
3553.00,101.60
3552.00,101.61
3551.00,101.62
3550.00,101.60
3549.00,101.56
3548.00,101.53
3547.00,101.50
3546.00,101.49
3545.00,101.48
3544.00,101.49
3543.00,101.50
3542.00,101.51
3541.00,101.52
3540.00,101.52
3539.00,101.52
3538.00,101.52
3537.00,101.52
3536.00,101.52
3535.00,101.52
3534.00,101.50
3533.00,101.49
3532.00,101.47
3531.00,101.45
3530.00,101.43
3529.00,101.41
3528.00,101.40
3527.00,101.40
3526.00,101.41
3525.00,101.40
3524.00,101.39
3523.00,101.38
3522.00,101.39
3521.00,101.39
3520.00,101.39
3519.00,101.39
3518.00,101.38
3517.00,101.38
3516.00,101.38
3515.00,101.38
3514.00,101.37
3513.00,101.35
3512.00,101.33
3511.00,101.32
3510.00,101.33
3509.00,101.35
3508.00,101.37
3507.00,101.41
3506.00,101.44
3505.00,101.46
3504.00,101.47
3503.00,101.47
3502.00,101.45
3501.00,101.43
3500.00,101.39
3499.00,101.37
3498.00,101.37
3497.00,101.38
3496.00,101.39
3495.00,101.39
3494.00,101.37
3493.00,101.36
3492.00,101.36
3491.00,101.36
3490.00,101.36
3489.00,101.37
3488.00,101.38
3487.00,101.41
3486.00,101.44
3485.00,101.46
3484.00,101.46
3483.00,101.43
3482.00,101.40
3481.00,101.37
3480.00,101.35
3479.00,101.35
3478.00,101.35
3477.00,101.36
3476.00,101.37
3475.00,101.37
3474.00,101.37
3473.00,101.35
3472.00,101.35
3471.00,101.35
3470.00,101.36
3469.00,101.37
3468.00,101.37
3467.00,101.36
3466.00,101.35
3465.00,101.34
3464.00,101.34
3463.00,101.35
3462.00,101.35
3461.00,101.35
3460.00,101.35
3459.00,101.34
3458.00,101.33
3457.00,101.31
3456.00,101.30
3455.00,101.30
3454.00,101.30
3453.00,101.30
3452.00,101.31
3451.00,101.30
3450.00,101.30
3449.00,101.31
3448.00,101.32
3447.00,101.32
3446.00,101.31
3445.00,101.27
3444.00,101.23
3443.00,101.20
3442.00,101.18
3441.00,101.17
3440.00,101.17
3439.00,101.18
3438.00,101.20
3437.00,101.22
3436.00,101.22
3435.00,101.21
3434.00,101.20
3433.00,101.18
3432.00,101.17
3431.00,101.16
3430.00,101.15
3429.00,101.15
3428.00,101.15
3427.00,101.16
3426.00,101.17
3425.00,101.20
3424.00,101.21
3423.00,101.21
3422.00,101.19
3421.00,101.17
3420.00,101.16
3419.00,101.16
3418.00,101.17
3417.00,101.18
3416.00,101.18
3415.00,101.18
3414.00,101.19
3413.00,101.20
3412.00,101.21
3411.00,101.21
3410.00,101.20
3409.00,101.19
3408.00,101.20
3407.00,101.22
3406.00,101.25
3405.00,101.26
3404.00,101.25
3403.00,101.23
3402.00,101.19
3401.00,101.16
3400.00,101.14
3399.00,101.13
3398.00,101.13
3397.00,101.13
3396.00,101.15
3395.00,101.16
3394.00,101.17
3393.00,101.18
