Created as New Dataset,17.3 Tussah wild blended with camel hair
cm-1,%T
3649.00,98.52
3648.00,98.49
3647.00,98.48
3646.00,98.45
3645.00,98.40
3644.00,98.35
3643.00,98.31
3642.00,98.27
3641.00,98.24
3640.00,98.21
3639.00,98.18
3638.00,98.16
3637.00,98.13
3636.00,98.10
3635.00,98.06
3634.00,98.01
3633.00,97.98
3632.00,97.98
3631.00,97.97
3630.00,97.95
3629.00,97.89
3628.00,97.85
3627.00,97.85
3626.00,97.86
3625.00,97.86
3624.00,97.84
3623.00,97.83
3622.00,97.81
3621.00,97.78
3620.00,97.74
3619.00,97.68
3618.00,97.65
3617.00,97.64
3616.00,97.63
3615.00,97.61
3614.00,97.57
3613.00,97.51
3612.00,97.44
3611.00,97.38
3610.00,97.31
3609.00,97.24
3608.00,97.18
3607.00,97.15
3606.00,97.14
3605.00,97.14
3604.00,97.13
3603.00,97.11
3602.00,97.09
3601.00,97.05
3600.00,97.02
3599.00,96.98
3598.00,96.94
3597.00,96.89
3596.00,96.85
3595.00,96.82
3594.00,96.80
3593.00,96.77
3592.00,96.73
3591.00,96.68
3590.00,96.65
3589.00,96.62
3588.00,96.60
3587.00,96.59
3586.00,96.57
3585.00,96.53
3584.00,96.47
3583.00,96.40
3582.00,96.34
3581.00,96.30
3580.00,96.27
3579.00,96.26
3578.00,96.24
3577.00,96.23
3576.00,96.20
3575.00,96.17
3574.00,96.11
3573.00,96.04
3572.00,95.98
3571.00,95.93
3570.00,95.91
3569.00,95.91
3568.00,95.89
3567.00,95.86
3566.00,95.80
3565.00,95.75
3564.00,95.70
3563.00,95.67
3562.00,95.65
3561.00,95.62
3560.00,95.58
3559.00,95.53
3558.00,95.48
3557.00,95.42
3556.00,95.37
3555.00,95.31
3554.00,95.26
3553.00,95.22
3552.00,95.20
3551.00,95.18
3550.00,95.15
3549.00,95.10
3548.00,95.05
3547.00,95.00
3546.00,94.95
3545.00,94.90
3544.00,94.88
3543.00,94.86
3542.00,94.85
3541.00,94.84
3540.00,94.82
3539.00,94.78
3538.00,94.74
3537.00,94.71
3536.00,94.68
3535.00,94.65
3534.00,94.61
3533.00,94.56
3532.00,94.50
3531.00,94.43
3530.00,94.37
3529.00,94.32
3528.00,94.29
3527.00,94.28
3526.00,94.28
3525.00,94.25
3524.00,94.22
3523.00,94.18
3522.00,94.14
3521.00,94.10
3520.00,94.06
3519.00,94.02
3518.00,93.97
3517.00,93.93
3516.00,93.90
3515.00,93.86
3514.00,93.83
3513.00,93.79
3512.00,93.76
3511.00,93.73
3510.00,93.69
3509.00,93.66
3508.00,93.63
3507.00,93.61
3506.00,93.58
3505.00,93.55
3504.00,93.52
3503.00,93.49
3502.00,93.44
3501.00,93.40
3500.00,93.35
3499.00,93.31
3498.00,93.29
3497.00,93.27
3496.00,93.26
3495.00,93.25
3494.00,93.22
3493.00,93.19
3492.00,93.14
3491.00,93.09
3490.00,93.05
3489.00,93.01
3488.00,92.97
3487.00,92.93
3486.00,92.90
3485.00,92.87
3484.00,92.86
3483.00,92.85
3482.00,92.83
3481.00,92.81
3480.00,92.79
3479.00,92.76
3478.00,92.72
3477.00,92.68
3476.00,92.63
3475.00,92.61
3474.00,92.60
3473.00,92.59
3472.00,92.59
3471.00,92.57
3470.00,92.55
3469.00,92.53
3468.00,92.50
3467.00,92.46
3466.00,92.42
3465.00,92.37
3464.00,92.34
3463.00,92.31
3462.00,92.29
3461.00,92.27
3460.00,92.25
3459.00,92.22
3458.00,92.19
3457.00,92.16
3456.00,92.12
3455.00,92.08
3454.00,92.05
3453.00,92.04
3452.00,92.03
3451.00,92.02
3450.00,91.99
3449.00,91.96
3448.00,91.91
3447.00,91.87
3446.00,91.84
3445.00,91.82
3444.00,91.80
3443.00,91.78
3442.00,91.74
3441.00,91.70
3440.00,91.66
3439.00,91.63
3438.00,91.61
3437.00,91.60
3436.00,91.58
3435.00,91.56
3434.00,91.52
3433.00,91.48
3432.00,91.43
3431.00,91.39
3430.00,91.36
3429.00,91.32
3428.00,91.27
3427.00,91.23
3426.00,91.18
3425.00,91.15
3424.00,91.14
3423.00,91.13
3422.00,91.10
3421.00,91.06
3420.00,91.01
3419.00,90.96
3418.00,90.93
3417.00,90.91
3416.00,90.88
3415.00,90.84
3414.00,90.81
3413.00,90.77
3412.00,90.75
3411.00,90.72
3410.00,90.69
3409.00,90.65
3408.00,90.60
3407.00,90.56
3406.00,90.52
3405.00,90.46
3404.00,90.40
3403.00,90.35
3402.00,90.30
3401.00,90.26
3400.00,90.23
3399.00,90.20
3398.00,90.19
3397.00,90.18
3396.00,90.17
3395.00,90.15
3394.00,90.12
3393.00,90.08
3392.00,90.04
3391.00,90.01
3390.00,89.98
3389.00,89.95
3388.00,89.91
3387.00,89.88
3386.00,89.83
3385.00,89.79
3384.00,89.76
3383.00,89.74
3382.00,89.72
3381.00,89.70
3380.00,89.66
3379.00,89.62
3378.00,89.56
3377.00,89.50
3376.00,89.45
3375.00,89.42
3374.00,89.40
3373.00,89.38
3372.00,89.35
3371.00,89.31
3370.00,89.27
3369.00,89.23
3368.00,89.19
3367.00,89.13
3366.00,89.07
3365.00,89.02
3364.00,88.97
3363.00,88.93
3362.00,88.90
3361.00,88.87
3360.00,88.84
3359.00,88.80
3358.00,88.76
3357.00,88.71
3356.00,88.65
3355.00,88.60
3354.00,88.55
3353.00,88.49
3352.00,88.42
3351.00,88.35
3350.00,88.28
3349.00,88.20
3348.00,88.14
3347.00,88.07
3346.00,88.01
3345.00,87.95
3344.00,87.90
3343.00,87.87
3342.00,87.85
3341.00,87.82
3340.00,87.76
3339.00,87.69
3338.00,87.62
3337.00,87.54
3336.00,87.47
3335.00,87.41
3334.00,87.34
3333.00,87.27
3332.00,87.19
3331.00,87.11
3330.00,87.05
3329.00,86.99
3328.00,86.92
3327.00,86.83
3326.00,86.74
3325.00,86.66
3324.00,86.59
3323.00,86.54
3322.00,86.47
3321.00,86.39
3320.00,86.30
3319.00,86.21
3318.00,86.14
3317.00,86.06
3316.00,85.97
3315.00,85.85
3314.00,85.74
3313.00,85.63
3312.00,85.55
3311.00,85.48
3310.00,85.40
3309.00,85.30
3308.00,85.21
3307.00,85.12
3306.00,85.03
3305.00,84.94
3304.00,84.83
3303.00,84.72
3302.00,84.60
3301.00,84.49
3300.00,84.39
3299.00,84.30
3298.00,84.20
3297.00,84.10
3296.00,83.98
3295.00,83.86
3294.00,83.75
3293.00,83.64
3292.00,83.54
3291.00,83.43
3290.00,83.31
3289.00,83.20
3288.00,83.08
3287.00,82.97
3286.00,82.86
3285.00,82.76
3284.00,82.68
3283.00,82.62
3282.00,82.58
3281.00,82.54
3280.00,82.49
3279.00,82.44
3278.00,82.39
3277.00,82.35
3276.00,82.31
3275.00,82.28
3274.00,82.26
3273.00,82.26
3272.00,82.27
3271.00,82.29
3270.00,82.31
3269.00,82.35
3268.00,82.39
3267.00,82.45
3266.00,82.53
3265.00,82.62
3264.00,82.70
3263.00,82.79
3262.00,82.86
3261.00,82.95
3260.00,83.04
3259.00,83.16
3258.00,83.28
3257.00,83.40
3256.00,83.51
3255.00,83.61
3254.00,83.71
3253.00,83.80
3252.00,83.90
3251.00,84.00
3250.00,84.10
3249.00,84.21
3248.00,84.31
3247.00,84.40
3246.00,84.49
3245.00,84.57
3244.00,84.64
3243.00,84.71
3242.00,84.79
3241.00,84.88
3240.00,84.98
3239.00,85.07
3238.00,85.15
3237.00,85.23
3236.00,85.31
3235.00,85.39
3234.00,85.46
3233.00,85.52
3232.00,85.58
3231.00,85.63
3230.00,85.68
3229.00,85.73
3228.00,85.79
3227.00,85.84
3226.00,85.91
3225.00,85.97
3224.00,86.03
3223.00,86.09
3222.00,86.15
3221.00,86.21
3220.00,86.29
3219.00,86.35
3218.00,86.40
3217.00,86.43
3216.00,86.48
3215.00,86.53
3214.00,86.58
3213.00,86.63
3212.00,86.67
3211.00,86.72
3210.00,86.77
3209.00,86.83
3208.00,86.89
3207.00,86.94
3206.00,87.00
3205.00,87.05
3204.00,87.10
3203.00,87.16
3202.00,87.21
3201.00,87.26
3200.00,87.32
3199.00,87.38
3198.00,87.45
3197.00,87.52
3196.00,87.57
3195.00,87.63
3194.00,87.68
3193.00,87.74
3192.00,87.81
3191.00,87.87
3190.00,87.93
3189.00,87.99
3188.00,88.05
3187.00,88.11
3186.00,88.18
3185.00,88.26
3184.00,88.33
3183.00,88.40
3182.00,88.47
3181.00,88.52
3180.00,88.57
3179.00,88.62
3178.00,88.68
3177.00,88.74
3176.00,88.80
3175.00,88.84
3174.00,88.88
3173.00,88.93
3172.00,88.98
3171.00,89.03
3170.00,89.09
3169.00,89.14
3168.00,89.19
3167.00,89.26
3166.00,89.34
3165.00,89.42
3164.00,89.50
3163.00,89.57
3162.00,89.64
3161.00,89.69
3160.00,89.72
3159.00,89.76
3158.00,89.80
3157.00,89.86
3156.00,89.92
3155.00,89.99
3154.00,90.05
3153.00,90.10
3152.00,90.15
3151.00,90.20
3150.00,90.24
3149.00,90.28
3148.00,90.32
3147.00,90.36
3146.00,90.41
3145.00,90.46
3144.00,90.52
3143.00,90.57
3142.00,90.60
3141.00,90.63
3140.00,90.66
3139.00,90.69
3138.00,90.72
3137.00,90.75
3136.00,90.78
3135.00,90.82
3134.00,90.85
3133.00,90.89
3132.00,90.93
3131.00,90.97
3130.00,90.99
3129.00,91.01
3128.00,91.01
3127.00,91.02
3126.00,91.03
3125.00,91.05
3124.00,91.07
3123.00,91.11
3122.00,91.15
3121.00,91.19
3120.00,91.23
3119.00,91.26
3118.00,91.28
3117.00,91.29
3116.00,91.28
3115.00,91.27
3114.00,91.26
3113.00,91.24
3112.00,91.23
3111.00,91.21
3110.00,91.21
3109.00,91.21
3108.00,91.21
3107.00,91.20
3106.00,91.18
3105.00,91.18
3104.00,91.17
3103.00,91.17
3102.00,91.16
3101.00,91.15
3100.00,91.15
3099.00,91.15
3098.00,91.15
3097.00,91.14
3096.00,91.13
3095.00,91.12
3094.00,91.11
3093.00,91.09
3092.00,91.07
3091.00,91.06
3090.00,91.05
3089.00,91.04
3088.00,91.02
3087.00,91.00
3086.00,90.97
3085.00,90.94
3084.00,90.90
3083.00,90.89
3082.00,90.88
3081.00,90.88
3080.00,90.88
3079.00,90.88
3078.00,90.88
3077.00,90.87
3076.00,90.86
3075.00,90.86
3074.00,90.87
3073.00,90.87
3072.00,90.87
3071.00,90.87
3070.00,90.87
3069.00,90.87
3068.00,90.88
3067.00,90.89
3066.00,90.88
3065.00,90.88
3064.00,90.88
3063.00,90.90
3062.00,90.94
3061.00,90.97
3060.00,91.01
3059.00,91.05
3058.00,91.09
3057.00,91.13
3056.00,91.17
3055.00,91.22
3054.00,91.26
3053.00,91.30
3052.00,91.34
3051.00,91.37
3050.00,91.40
3049.00,91.43
3048.00,91.46
3047.00,91.49
3046.00,91.54
3045.00,91.59
3044.00,91.65
3043.00,91.71
3042.00,91.76
3041.00,91.81
3040.00,91.84
3039.00,91.88
3038.00,91.91
3037.00,91.95
3036.00,92.00
3035.00,92.05
3034.00,92.11
3033.00,92.17
3032.00,92.23
3031.00,92.28
3030.00,92.32
3029.00,92.34
3028.00,92.36
3027.00,92.38
3026.00,92.42
3025.00,92.46
3024.00,92.50
3023.00,92.53
3022.00,92.56
3021.00,92.60
3020.00,92.65
3019.00,92.71
3018.00,92.76
3017.00,92.80
3016.00,92.83
3015.00,92.85
3014.00,92.87
3013.00,92.89
3012.00,92.90
3011.00,92.90
3010.00,92.89
3009.00,92.88
3008.00,92.87
3007.00,92.87
3006.00,92.87
3005.00,92.87
3004.00,92.86
3003.00,92.86
3002.00,92.85
3001.00,92.84
3000.00,92.82
2999.00,92.80
2998.00,92.77
2997.00,92.76
2996.00,92.74
2995.00,92.73
2994.00,92.71
2993.00,92.67
2992.00,92.62
2991.00,92.57
2990.00,92.53
2989.00,92.49
2988.00,92.46
2987.00,92.41
2986.00,92.36
2985.00,92.31
2984.00,92.26
2983.00,92.22
2982.00,92.18
2981.00,92.14
2980.00,92.10
2979.00,92.06
2978.00,92.01
2977.00,91.96
2976.00,91.92
2975.00,91.90
2974.00,91.87
2973.00,91.84
2972.00,91.80
2971.00,91.76
2970.00,91.72
2969.00,91.68
2968.00,91.64
2967.00,91.62
2966.00,91.61
2965.00,91.62
2964.00,91.64
2963.00,91.66
2962.00,91.68
2961.00,91.70
2960.00,91.72
2959.00,91.74
2958.00,91.78
2957.00,91.80
2956.00,91.82
2955.00,91.81
2954.00,91.80
2953.00,91.80
2952.00,91.81
2951.00,91.83
2950.00,91.85
2949.00,91.85
2948.00,91.84
2947.00,91.81
2946.00,91.78
2945.00,91.74
2944.00,91.67
2943.00,91.59
2942.00,91.51
2941.00,91.44
2940.00,91.40
2939.00,91.36
2938.00,91.30
2937.00,91.23
2936.00,91.15
2935.00,91.08
2934.00,91.03
2933.00,90.98
2932.00,90.94
2931.00,90.90
2930.00,90.88
2929.00,90.88
2928.00,90.88
2927.00,90.91
2926.00,90.95
2925.00,91.00
2924.00,91.06
2923.00,91.12
2922.00,91.16
2921.00,91.19
