Created as New Dataset,Bio-Couture Worsted 48/2 White
cm-1,%T
3649.00,99.91
3648.00,99.89
3647.00,99.87
3646.00,99.86
3645.00,99.86
3644.00,99.88
3643.00,99.91
3642.00,99.94
3641.00,99.96
3640.00,99.97
3639.00,99.96
3638.00,99.95
3637.00,99.93
3636.00,99.90
3635.00,99.87
3634.00,99.85
3633.00,99.83
3632.00,99.83
3631.00,99.84
3630.00,99.84
3629.00,99.81
3628.00,99.77
3627.00,99.75
3626.00,99.76
3625.00,99.76
3624.00,99.75
3623.00,99.72
3622.00,99.70
3621.00,99.68
3620.00,99.67
3619.00,99.63
3618.00,99.57
3617.00,99.51
3616.00,99.48
3615.00,99.48
3614.00,99.52
3613.00,99.55
3612.00,99.57
3611.00,99.56
3610.00,99.55
3609.00,99.54
3608.00,99.54
3607.00,99.53
3606.00,99.53
3605.00,99.53
3604.00,99.52
3603.00,99.52
3602.00,99.51
3601.00,99.50
3600.00,99.48
3599.00,99.47
3598.00,99.46
3597.00,99.45
3596.00,99.44
3595.00,99.43
3594.00,99.41
3593.00,99.37
3592.00,99.33
3591.00,99.29
3590.00,99.26
3589.00,99.24
3588.00,99.23
3587.00,99.22
3586.00,99.21
3585.00,99.20
3584.00,99.20
3583.00,99.20
3582.00,99.20
3581.00,99.20
3580.00,99.21
3579.00,99.22
3578.00,99.22
3577.00,99.22
3576.00,99.20
3575.00,99.18
3574.00,99.15
3573.00,99.12
3572.00,99.07
3571.00,99.01
3570.00,98.95
3569.00,98.90
3568.00,98.88
3567.00,98.88
3566.00,98.88
3565.00,98.87
3564.00,98.86
3563.00,98.87
3562.00,98.88
3561.00,98.88
3560.00,98.89
3559.00,98.89
3558.00,98.88
3557.00,98.89
3556.00,98.88
3555.00,98.87
3554.00,98.84
3553.00,98.78
3552.00,98.73
3551.00,98.69
3550.00,98.68
3549.00,98.68
3548.00,98.67
3547.00,98.65
3546.00,98.64
3545.00,98.63
3544.00,98.64
3543.00,98.63
3542.00,98.62
3541.00,98.61
3540.00,98.60
3539.00,98.60
3538.00,98.60
3537.00,98.58
3536.00,98.56
3535.00,98.53
3534.00,98.49
3533.00,98.46
3532.00,98.43
3531.00,98.42
3530.00,98.43
3529.00,98.43
3528.00,98.41
3527.00,98.37
3526.00,98.32
3525.00,98.30
3524.00,98.29
3523.00,98.32
3522.00,98.34
3521.00,98.36
3520.00,98.34
3519.00,98.31
3518.00,98.28
3517.00,98.26
3516.00,98.24
3515.00,98.23
3514.00,98.21
3513.00,98.19
3512.00,98.17
3511.00,98.16
3510.00,98.15
3509.00,98.14
3508.00,98.12
3507.00,98.10
3506.00,98.10
3505.00,98.10
3504.00,98.11
3503.00,98.11
3502.00,98.09
3501.00,98.06
3500.00,98.01
3499.00,97.98
3498.00,97.96
3497.00,97.96
3496.00,97.97
3495.00,97.98
3494.00,97.98
3493.00,97.97
3492.00,97.95
3491.00,97.93
3490.00,97.92
3489.00,97.90
3488.00,97.89
3487.00,97.87
3486.00,97.86
3485.00,97.85
3484.00,97.84
3483.00,97.82
3482.00,97.81
3481.00,97.79
3480.00,97.78
3479.00,97.77
3478.00,97.76
3477.00,97.75
3476.00,97.74
3475.00,97.74
3474.00,97.74
3473.00,97.75
3472.00,97.77
3471.00,97.78
3470.00,97.76
3469.00,97.71
3468.00,97.65
3467.00,97.60
3466.00,97.59
3465.00,97.60
3464.00,97.62
3463.00,97.62
3462.00,97.61
3461.00,97.60
3460.00,97.58
3459.00,97.57
3458.00,97.56
3457.00,97.54
3456.00,97.52
3455.00,97.50
3454.00,97.48
3453.00,97.47
3452.00,97.45
3451.00,97.43
3450.00,97.40
3449.00,97.38
3448.00,97.37
3447.00,97.38
3446.00,97.39
3445.00,97.39
3444.00,97.37
3443.00,97.35
3442.00,97.33
3441.00,97.32
3440.00,97.30
3439.00,97.28
3438.00,97.24
3437.00,97.21
3436.00,97.20
3435.00,97.21
3434.00,97.21
3433.00,97.20
3432.00,97.18
3431.00,97.16
3430.00,97.13
3429.00,97.11
3428.00,97.09
3427.00,97.08
3426.00,97.07
3425.00,97.06
3424.00,97.06
3423.00,97.05
3422.00,97.02
3421.00,96.99
3420.00,96.97
3419.00,96.96
3418.00,96.96
3417.00,96.96
3416.00,96.96
3415.00,96.95
3414.00,96.94
3413.00,96.92
3412.00,96.89
3411.00,96.86
3410.00,96.84
3409.00,96.83
3408.00,96.81
3407.00,96.79
3406.00,96.77
3405.00,96.76
3404.00,96.75
3403.00,96.74
3402.00,96.73
3401.00,96.72
3400.00,96.69
3399.00,96.66
3398.00,96.62
3397.00,96.60
3396.00,96.60
3395.00,96.61
3394.00,96.62
3393.00,96.61
3392.00,96.58
3391.00,96.55
3390.00,96.52
3389.00,96.51
3388.00,96.51
3387.00,96.52
3386.00,96.52
3385.00,96.50
3384.00,96.48
3383.00,96.46
3382.00,96.44
3381.00,96.43
3380.00,96.41
3379.00,96.39
3378.00,96.37
3377.00,96.37
3376.00,96.37
3375.00,96.36
3374.00,96.35
3373.00,96.33
3372.00,96.31
3371.00,96.30
3370.00,96.29
3369.00,96.28
3368.00,96.26
3367.00,96.24
3366.00,96.22
3365.00,96.20
3364.00,96.17
3363.00,96.14
3362.00,96.11
3361.00,96.08
3360.00,96.06
3359.00,96.06
3358.00,96.07
3357.00,96.08
3356.00,96.08
3355.00,96.07
3354.00,96.04
3353.00,96.00
3352.00,95.99
3351.00,95.99
3350.00,96.00
3349.00,95.99
3348.00,95.96
3347.00,95.91
3346.00,95.86
3345.00,95.82
3344.00,95.80
3343.00,95.78
3342.00,95.77
3341.00,95.75
3340.00,95.73
3339.00,95.71
3338.00,95.69
3337.00,95.67
3336.00,95.64
3335.00,95.61
3334.00,95.58
3333.00,95.56
3332.00,95.54
3331.00,95.54
3330.00,95.53
3329.00,95.50
3328.00,95.46
3327.00,95.41
3326.00,95.37
3325.00,95.34
3324.00,95.33
3323.00,95.32
3322.00,95.31
3321.00,95.31
3320.00,95.30
3319.00,95.29
3318.00,95.26
3317.00,95.22
3316.00,95.19
3315.00,95.15
3314.00,95.12
3313.00,95.10
3312.00,95.08
3311.00,95.05
3310.00,95.02
3309.00,95.00
3308.00,94.98
3307.00,94.98
3306.00,94.96
3305.00,94.92
3304.00,94.88
3303.00,94.85
3302.00,94.82
3301.00,94.80
3300.00,94.77
3299.00,94.73
3298.00,94.71
3297.00,94.70
3296.00,94.69
3295.00,94.68
3294.00,94.67
3293.00,94.66
3292.00,94.65
3291.00,94.64
3290.00,94.62
3289.00,94.60
3288.00,94.58
3287.00,94.56
3286.00,94.54
3285.00,94.50
3284.00,94.46
3283.00,94.43
3282.00,94.40
3281.00,94.40
3280.00,94.41
3279.00,94.43
3278.00,94.44
3277.00,94.44
3276.00,94.43
3275.00,94.42
3274.00,94.42
3273.00,94.43
3272.00,94.45
3271.00,94.46
3270.00,94.46
3269.00,94.45
3268.00,94.44
3267.00,94.44
3266.00,94.45
3265.00,94.45
3264.00,94.45
3263.00,94.46
3262.00,94.48
3261.00,94.52
3260.00,94.56
3259.00,94.59
3258.00,94.61
3257.00,94.62
3256.00,94.63
3255.00,94.63
3254.00,94.64
3253.00,94.64
3252.00,94.66
3251.00,94.68
3250.00,94.71
3249.00,94.74
3248.00,94.76
3247.00,94.79
3246.00,94.82
3245.00,94.86
3244.00,94.88
3243.00,94.89
3242.00,94.89
3241.00,94.89
3240.00,94.89
3239.00,94.91
3238.00,94.93
3237.00,94.96
3236.00,94.98
3235.00,95.00
3234.00,95.01
3233.00,95.02
3232.00,95.03
3231.00,95.04
3230.00,95.05
3229.00,95.06
3228.00,95.07
3227.00,95.08
3226.00,95.10
3225.00,95.13
3224.00,95.18
3223.00,95.22
3222.00,95.24
3221.00,95.25
3220.00,95.25
3219.00,95.25
3218.00,95.26
3217.00,95.28
3216.00,95.29
3215.00,95.30
3214.00,95.31
3213.00,95.31
3212.00,95.33
3211.00,95.36
3210.00,95.40
3209.00,95.43
3208.00,95.45
3207.00,95.45
3206.00,95.45
3205.00,95.44
3204.00,95.45
3203.00,95.48
3202.00,95.50
3201.00,95.51
3200.00,95.50
3199.00,95.50
3198.00,95.50
3197.00,95.52
3196.00,95.56
3195.00,95.61
3194.00,95.65
3193.00,95.67
3192.00,95.68
3191.00,95.67
3190.00,95.66
3189.00,95.67
3188.00,95.68
3187.00,95.71
3186.00,95.74
3185.00,95.78
3184.00,95.81
3183.00,95.83
3182.00,95.85
3181.00,95.86
3180.00,95.87
3179.00,95.89
3178.00,95.91
3177.00,95.93
3176.00,95.96
3175.00,95.98
3174.00,95.99
3173.00,96.00
3172.00,96.02
3171.00,96.05
3170.00,96.09
3169.00,96.12
3168.00,96.15
3167.00,96.17
3166.00,96.18
3165.00,96.20
3164.00,96.22
3163.00,96.24
3162.00,96.27
3161.00,96.30
3160.00,96.33
3159.00,96.36
3158.00,96.39
3157.00,96.42
3156.00,96.45
3155.00,96.48
3154.00,96.52
3153.00,96.55
3152.00,96.56
3151.00,96.57
3150.00,96.58
3149.00,96.59
3148.00,96.60
3147.00,96.61
3146.00,96.62
3145.00,96.63
3144.00,96.63
3143.00,96.65
3142.00,96.67
