Created as New Dataset,186 Acordis Fibres
cm-1,%T
3648.00,95.80
3647.00,95.80
3646.00,95.80
3645.00,95.80
3644.00,95.79
3643.00,95.79
3642.00,95.78
3641.00,95.78
3640.00,95.76
3639.00,95.75
3638.00,95.73
3637.00,95.70
3636.00,95.66
3635.00,95.63
3634.00,95.62
3633.00,95.61
3632.00,95.59
3631.00,95.57
3630.00,95.57
3629.00,95.56
3628.00,95.55
3627.00,95.54
3626.00,95.53
3625.00,95.50
3624.00,95.47
3623.00,95.43
3622.00,95.39
3621.00,95.36
3620.00,95.33
3619.00,95.32
3618.00,95.31
3617.00,95.31
3616.00,95.28
3615.00,95.25
3614.00,95.21
3613.00,95.17
3612.00,95.14
3611.00,95.11
3610.00,95.09
3609.00,95.08
3608.00,95.06
3607.00,95.05
3606.00,95.03
3605.00,95.00
3604.00,94.98
3603.00,94.95
3602.00,94.93
3601.00,94.89
3600.00,94.84
3599.00,94.79
3598.00,94.74
3597.00,94.70
3596.00,94.66
3595.00,94.64
3594.00,94.62
3593.00,94.60
3592.00,94.58
3591.00,94.55
3590.00,94.51
3589.00,94.48
3588.00,94.45
3587.00,94.41
3586.00,94.39
3585.00,94.36
3584.00,94.34
3583.00,94.31
3582.00,94.29
3581.00,94.27
3580.00,94.24
3579.00,94.18
3578.00,94.12
3577.00,94.06
3576.00,94.01
3575.00,93.97
3574.00,93.92
3573.00,93.88
3572.00,93.84
3571.00,93.80
3570.00,93.77
3569.00,93.74
3568.00,93.70
3567.00,93.64
3566.00,93.58
3565.00,93.52
3564.00,93.48
3563.00,93.42
3562.00,93.37
3561.00,93.30
3560.00,93.24
3559.00,93.20
3558.00,93.17
3557.00,93.16
3556.00,93.15
3555.00,93.14
3554.00,93.11
3553.00,93.07
3552.00,93.02
3551.00,92.98
3550.00,92.94
3549.00,92.88
3548.00,92.80
3547.00,92.72
3546.00,92.65
3545.00,92.58
3544.00,92.53
3543.00,92.50
3542.00,92.46
3541.00,92.43
3540.00,92.39
3539.00,92.36
3538.00,92.31
3537.00,92.26
3536.00,92.20
3535.00,92.14
3534.00,92.10
3533.00,92.06
3532.00,92.01
3531.00,91.96
3530.00,91.89
3529.00,91.82
3528.00,91.75
3527.00,91.68
3526.00,91.62
3525.00,91.57
3524.00,91.52
3523.00,91.46
3522.00,91.40
3521.00,91.34
3520.00,91.29
3519.00,91.25
3518.00,91.21
3517.00,91.18
3516.00,91.14
3515.00,91.08
3514.00,91.01
3513.00,90.92
3512.00,90.83
3511.00,90.74
3510.00,90.66
3509.00,90.59
3508.00,90.52
3507.00,90.45
3506.00,90.38
3505.00,90.31
3504.00,90.23
3503.00,90.14
3502.00,90.06
3501.00,89.97
3500.00,89.89
3499.00,89.81
3498.00,89.73
3497.00,89.64
3496.00,89.55
3495.00,89.46
3494.00,89.38
3493.00,89.31
3492.00,89.27
3491.00,89.23
3490.00,89.20
3489.00,89.14
3488.00,89.06
3487.00,88.98
3486.00,88.91
3485.00,88.86
3484.00,88.82
3483.00,88.79
3482.00,88.75
3481.00,88.69
3480.00,88.63
3479.00,88.56
3478.00,88.50
3477.00,88.45
3476.00,88.40
3475.00,88.34
3474.00,88.27
3473.00,88.20
3472.00,88.14
3471.00,88.09
3470.00,88.05
3469.00,88.01
3468.00,87.95
3467.00,87.89
3466.00,87.82
3465.00,87.75
3464.00,87.68
3463.00,87.60
3462.00,87.52
3461.00,87.44
3460.00,87.38
3459.00,87.34
3458.00,87.29
3457.00,87.24
3456.00,87.18
3455.00,87.12
3454.00,87.04
3453.00,86.95
3452.00,86.86
3451.00,86.78
3450.00,86.69
3449.00,86.62
3448.00,86.54
3447.00,86.47
3446.00,86.41
3445.00,86.35
3444.00,86.30
3443.00,86.25
3442.00,86.20
3441.00,86.14
3440.00,86.09
3439.00,86.06
3438.00,86.04
3437.00,86.02
3436.00,86.00
3435.00,85.97
3434.00,85.94
3433.00,85.90
3432.00,85.86
3431.00,85.82
3430.00,85.78
3429.00,85.74
3428.00,85.71
3427.00,85.69
3426.00,85.67
3425.00,85.64
3424.00,85.62
3423.00,85.60
3422.00,85.59
3421.00,85.58
3420.00,85.56
3419.00,85.54
3418.00,85.51
3417.00,85.48
3416.00,85.45
3415.00,85.40
3414.00,85.36
3413.00,85.31
3412.00,85.26
3411.00,85.22
3410.00,85.18
3409.00,85.15
3408.00,85.13
3407.00,85.11
3406.00,85.10
3405.00,85.09
3404.00,85.06
3403.00,85.02
3402.00,84.98
3401.00,84.95
3400.00,84.92
3399.00,84.89
3398.00,84.87
3397.00,84.83
