Created as New Dataset,195 FMC American Viscose (Blue)
cm-1,%T
3649.00,98.13
3648.00,98.11
3647.00,98.09
3646.00,98.09
3645.00,98.09
3644.00,98.10
3643.00,98.11
3642.00,98.11
3641.00,98.10
3640.00,98.09
3639.00,98.10
3638.00,98.11
3637.00,98.10
3636.00,98.08
3635.00,98.06
3634.00,98.03
3633.00,98.00
3632.00,97.97
3631.00,97.93
3630.00,97.90
3629.00,97.88
3628.00,97.86
3627.00,97.85
3626.00,97.85
3625.00,97.85
3624.00,97.85
3623.00,97.84
3622.00,97.82
3621.00,97.80
3620.00,97.78
3619.00,97.75
3618.00,97.72
3617.00,97.67
3616.00,97.63
3615.00,97.59
3614.00,97.58
3613.00,97.57
3612.00,97.57
3611.00,97.57
3610.00,97.56
3609.00,97.55
3608.00,97.52
3607.00,97.50
3606.00,97.48
3605.00,97.49
3604.00,97.50
3603.00,97.50
3602.00,97.49
3601.00,97.46
3600.00,97.44
3599.00,97.41
3598.00,97.37
3597.00,97.32
3596.00,97.27
3595.00,97.22
3594.00,97.18
3593.00,97.17
3592.00,97.16
3591.00,97.14
3590.00,97.11
3589.00,97.08
3588.00,97.05
3587.00,97.02
3586.00,97.00
3585.00,96.98
3584.00,96.97
3583.00,96.96
3582.00,96.94
3581.00,96.91
3580.00,96.87
3579.00,96.83
3578.00,96.79
3577.00,96.75
3576.00,96.72
3575.00,96.69
3574.00,96.65
3573.00,96.60
3572.00,96.56
3571.00,96.52
3570.00,96.51
3569.00,96.50
3568.00,96.48
3567.00,96.44
3566.00,96.39
3565.00,96.36
3564.00,96.35
3563.00,96.35
3562.00,96.33
3561.00,96.30
3560.00,96.26
3559.00,96.24
3558.00,96.21
3557.00,96.18
3556.00,96.14
3555.00,96.10
3554.00,96.06
3553.00,96.03
3552.00,95.99
3551.00,95.97
3550.00,95.95
3549.00,95.94
3548.00,95.93
3547.00,95.90
3546.00,95.86
3545.00,95.81
3544.00,95.76
3543.00,95.71
3542.00,95.68
3541.00,95.64
3540.00,95.60
3539.00,95.54
3538.00,95.48
3537.00,95.42
3536.00,95.39
3535.00,95.37
3534.00,95.35
3533.00,95.33
3532.00,95.30
3531.00,95.28
3530.00,95.25
3529.00,95.23
3528.00,95.18
3527.00,95.12
3526.00,95.06
3525.00,95.02
3524.00,95.01
3523.00,94.99
3522.00,94.96
3521.00,94.91
3520.00,94.86
3519.00,94.82
3518.00,94.78
3517.00,94.74
3516.00,94.68
3515.00,94.62
3514.00,94.57
3513.00,94.53
3512.00,94.50
3511.00,94.48
3510.00,94.43
3509.00,94.37
3508.00,94.30
3507.00,94.23
3506.00,94.17
3505.00,94.12
3504.00,94.07
3503.00,94.03
3502.00,93.98
3501.00,93.92
3500.00,93.85
3499.00,93.77
3498.00,93.72
3497.00,93.68
3496.00,93.66
3495.00,93.63
3494.00,93.59
3493.00,93.55
3492.00,93.50
3491.00,93.45
3490.00,93.41
3489.00,93.35
3488.00,93.30
3487.00,93.26
3486.00,93.21
3485.00,93.17
3484.00,93.12
3483.00,93.07
3482.00,93.03
3481.00,93.00
3480.00,92.97
3479.00,92.96
3478.00,92.94
3477.00,92.92
3476.00,92.89
3475.00,92.86
3474.00,92.82
3473.00,92.78
3472.00,92.73
3471.00,92.67
3470.00,92.61
3469.00,92.56
