Created as New Dataset,194 FMC American Viscose
cm-1,%T
4000.00,100.52
3999.00,100.56
3998.00,100.59
3997.00,100.61
3996.00,100.60
3995.00,100.58
3994.00,100.57
3993.00,100.57
3992.00,100.58
3991.00,100.60
3990.00,100.62
3989.00,100.62
3988.00,100.61
3987.00,100.60
3986.00,100.59
3985.00,100.58
3984.00,100.57
3983.00,100.57
3982.00,100.56
3981.00,100.55
3980.00,100.54
3979.00,100.55
3978.00,100.56
3977.00,100.57
3976.00,100.57
3975.00,100.56
3974.00,100.55
3973.00,100.56
3972.00,100.56
3971.00,100.57
3970.00,100.56
3969.00,100.55
3968.00,100.54
3967.00,100.54
3966.00,100.55
3965.00,100.57
3964.00,100.58
3963.00,100.57
3962.00,100.55
3961.00,100.53
3960.00,100.51
3959.00,100.51
3958.00,100.53
3957.00,100.56
3956.00,100.58
3955.00,100.59
3954.00,100.60
3953.00,100.60
3952.00,100.59
3951.00,100.57
3950.00,100.55
3949.00,100.54
3948.00,100.53
3947.00,100.53
3946.00,100.53
3945.00,100.52
3944.00,100.51
3943.00,100.51
3942.00,100.52
3941.00,100.53
3940.00,100.55
3939.00,100.57
3938.00,100.58
3937.00,100.58
3936.00,100.58
3935.00,100.58
3934.00,100.59
3933.00,100.61
3932.00,100.62
3931.00,100.60
3930.00,100.57
3929.00,100.53
3928.00,100.51
3927.00,100.50
3926.00,100.51
3925.00,100.54
3924.00,100.56
3923.00,100.57
3922.00,100.56
3921.00,100.56
3920.00,100.57
3919.00,100.59
3918.00,100.61
3917.00,100.63
3916.00,100.62
3915.00,100.60
3914.00,100.57
3913.00,100.57
3912.00,100.58
3911.00,100.60
3910.00,100.61
3909.00,100.61
3908.00,100.61
3907.00,100.60
3906.00,100.61
3905.00,100.63
3904.00,100.66
3903.00,100.67
3902.00,100.65
3901.00,100.63
3900.00,100.60
3899.00,100.57
3898.00,100.57
3897.00,100.58
3896.00,100.60
3895.00,100.62
3894.00,100.63
3893.00,100.62
3892.00,100.62
3891.00,100.63
3890.00,100.64
3889.00,100.62
3888.00,100.60
3887.00,100.61
3886.00,100.64
3885.00,100.65
3884.00,100.61
3883.00,100.55
