Created as New Dataset,91 Du Pont
cm-1,%T
3648.00,98.82
3647.00,98.83
3646.00,98.85
3645.00,98.85
3644.00,98.85
3643.00,98.86
3642.00,98.87
3641.00,98.87
3640.00,98.89
3639.00,98.91
3638.00,98.92
3637.00,98.93
3636.00,98.93
3635.00,98.92
3634.00,98.93
3633.00,98.91
3632.00,98.88
3631.00,98.84
3630.00,98.84
3629.00,98.85
3628.00,98.85
3627.00,98.83
3626.00,98.81
3625.00,98.81
3624.00,98.82
3623.00,98.82
3622.00,98.80
3621.00,98.78
3620.00,98.76
3619.00,98.75
3618.00,98.74
3617.00,98.72
3616.00,98.70
3615.00,98.69
3614.00,98.69
3613.00,98.71
3612.00,98.71
3611.00,98.71
3610.00,98.71
3609.00,98.70
3608.00,98.70
3607.00,98.69
3606.00,98.69
3605.00,98.69
3604.00,98.68
3603.00,98.67
3602.00,98.67
3601.00,98.68
3600.00,98.69
3599.00,98.70
3598.00,98.70
3597.00,98.68
3596.00,98.66
3595.00,98.64
3594.00,98.64
3593.00,98.65
3592.00,98.66
3591.00,98.64
3590.00,98.61
3589.00,98.57
3588.00,98.55
3587.00,98.55
3586.00,98.55
3585.00,98.56
3584.00,98.57
3583.00,98.58
3582.00,98.59
3581.00,98.59
3580.00,98.60
3579.00,98.61
3578.00,98.61
3577.00,98.59
3576.00,98.57
3575.00,98.54
3574.00,98.52
3573.00,98.52
3572.00,98.51
3571.00,98.50
3570.00,98.47
3569.00,98.44
3568.00,98.42
3567.00,98.40
3566.00,98.39
3565.00,98.39
3564.00,98.39
3563.00,98.39
3562.00,98.38
3561.00,98.39
3560.00,98.40
3559.00,98.39
3558.00,98.38
3557.00,98.36
3556.00,98.33
3555.00,98.31
3554.00,98.29
3553.00,98.29
3552.00,98.30
3551.00,98.29
3550.00,98.28
3549.00,98.27
3548.00,98.27
3547.00,98.29
3546.00,98.30
3545.00,98.28
3544.00,98.25
3543.00,98.22
3542.00,98.19
3541.00,98.18
3540.00,98.16
3539.00,98.15
3538.00,98.15
3537.00,98.16
3536.00,98.17
3535.00,98.16
3534.00,98.15
3533.00,98.15
3532.00,98.15
3531.00,98.14
3530.00,98.11
3529.00,98.07
3528.00,98.03
3527.00,98.01
3526.00,97.99
3525.00,97.98
3524.00,97.97
3523.00,97.97
3522.00,97.96
3521.00,97.96
3520.00,97.95
3519.00,97.94
3518.00,97.93
3517.00,97.93
3516.00,97.93
3515.00,97.93
3514.00,97.92
3513.00,97.89
3512.00,97.87
3511.00,97.86
3510.00,97.86
3509.00,97.86
3508.00,97.84
3507.00,97.81
3506.00,97.78
3505.00,97.76
3504.00,97.77
3503.00,97.78
3502.00,97.79
3501.00,97.79
3500.00,97.78
3499.00,97.78
3498.00,97.78
3497.00,97.78
3496.00,97.78
3495.00,97.76
3494.00,97.74
3493.00,97.71
3492.00,97.68
3491.00,97.66
3490.00,97.66
3489.00,97.67
3488.00,97.69
3487.00,97.70
3486.00,97.70
3485.00,97.70
3484.00,97.69
3483.00,97.69
3482.00,97.69
3481.00,97.70
3480.00,97.72
3479.00,97.73
3478.00,97.73
3477.00,97.71
3476.00,97.68
3475.00,97.65
3474.00,97.63
3473.00,97.62
3472.00,97.63
3471.00,97.65
3470.00,97.65
3469.00,97.63
3468.00,97.59
3467.00,97.56
3466.00,97.56
3465.00,97.58
3464.00,97.59
3463.00,97.59
3462.00,97.58
3461.00,97.57
3460.00,97.57
3459.00,97.60
3458.00,97.62
3457.00,97.64
3456.00,97.65
3455.00,97.64
3454.00,97.62
3453.00,97.59
3452.00,97.56
3451.00,97.53
3450.00,97.51
3449.00,97.50
3448.00,97.50
3447.00,97.51
3446.00,97.50
3445.00,97.47
3444.00,97.45
3443.00,97.43
3442.00,97.43
3441.00,97.43
3440.00,97.43
3439.00,97.44
3438.00,97.45
3437.00,97.46
3436.00,97.48
3435.00,97.48
3434.00,97.47
3433.00,97.46
3432.00,97.46
3431.00,97.48
3430.00,97.50
3429.00,97.51
3428.00,97.49
3427.00,97.44
3426.00,97.40
3425.00,97.38
3424.00,97.39
3423.00,97.40
3422.00,97.41
3421.00,97.40
3420.00,97.38
3419.00,97.37
3418.00,97.35
3417.00,97.34
3416.00,97.34
3415.00,97.34
3414.00,97.34
3413.00,97.33
3412.00,97.31
3411.00,97.30
3410.00,97.30
3409.00,97.30
3408.00,97.29
3407.00,97.28
3406.00,97.27
3405.00,97.27
3404.00,97.25
3403.00,97.22
3402.00,97.18
3401.00,97.15
3400.00,97.14
3399.00,97.15
3398.00,97.16
3397.00,97.16
3396.00,97.14
3395.00,97.11
3394.00,97.09
3393.00,97.09
3392.00,97.10
3391.00,97.09
3390.00,97.07
3389.00,97.03
3388.00,96.99
3387.00,96.96
3386.00,96.93
3385.00,96.92
3384.00,96.91
3383.00,96.91
3382.00,96.89
3381.00,96.86
3380.00,96.83
3379.00,96.81
3378.00,96.78
3377.00,96.74
3376.00,96.70
3375.00,96.65
3374.00,96.61
3373.00,96.58
3372.00,96.57
3371.00,96.55
3370.00,96.52
3369.00,96.47
3368.00,96.41
3367.00,96.34
3366.00,96.29
3365.00,96.26
3364.00,96.24
3363.00,96.23
3362.00,96.21
3361.00,96.15
3360.00,96.08
3359.00,95.99
3358.00,95.92
3357.00,95.86
3356.00,95.80
3355.00,95.75
3354.00,95.70
3353.00,95.64
3352.00,95.57
3351.00,95.48
3350.00,95.39
3349.00,95.29
3348.00,95.19
3347.00,95.09
3346.00,94.98
3345.00,94.88
3344.00,94.78
3343.00,94.69
3342.00,94.59
3341.00,94.47
