Created as New Dataset,122 Hoechst Celanese
cm-1,%T
3648.00,98.57
3647.00,98.61
3646.00,98.64
3645.00,98.65
3644.00,98.65
3643.00,98.63
3642.00,98.62
3641.00,98.62
3640.00,98.63
3639.00,98.65
3638.00,98.66
3637.00,98.66
3636.00,98.66
3635.00,98.67
3634.00,98.67
3633.00,98.67
3632.00,98.66
3631.00,98.66
3630.00,98.68
3629.00,98.68
3628.00,98.65
3627.00,98.61
3626.00,98.59
3625.00,98.59
3624.00,98.62
3623.00,98.64
3622.00,98.64
3621.00,98.63
3620.00,98.59
3619.00,98.54
3618.00,98.51
3617.00,98.50
3616.00,98.51
3615.00,98.54
3614.00,98.56
3613.00,98.57
3612.00,98.57
3611.00,98.56
3610.00,98.53
3609.00,98.51
3608.00,98.49
3607.00,98.49
3606.00,98.51
3605.00,98.52
3604.00,98.52
3603.00,98.50
3602.00,98.48
3601.00,98.48
3600.00,98.50
3599.00,98.55
3598.00,98.59
3597.00,98.63
3596.00,98.64
3595.00,98.66
3594.00,98.66
3593.00,98.66
3592.00,98.64
3591.00,98.61
3590.00,98.58
3589.00,98.57
3588.00,98.58
3587.00,98.60
3586.00,98.60
3585.00,98.60
3584.00,98.59
3583.00,98.58
3582.00,98.58
3581.00,98.58
3580.00,98.58
3579.00,98.58
3578.00,98.59
3577.00,98.59
3576.00,98.59
3575.00,98.59
3574.00,98.59
3573.00,98.60
3572.00,98.61
3571.00,98.61
3570.00,98.61
3569.00,98.60
3568.00,98.61
3567.00,98.61
3566.00,98.60
3565.00,98.59
3564.00,98.59
3563.00,98.58
3562.00,98.56
3561.00,98.55
3560.00,98.55
3559.00,98.55
3558.00,98.56
3557.00,98.57
3556.00,98.57
3555.00,98.56
3554.00,98.56
3553.00,98.56
3552.00,98.56
3551.00,98.57
3550.00,98.57
3549.00,98.59
3548.00,98.61
3547.00,98.63
3546.00,98.63
3545.00,98.63
3544.00,98.60
3543.00,98.57
3542.00,98.54
3541.00,98.52
3540.00,98.50
3539.00,98.50
3538.00,98.51
3537.00,98.54
3536.00,98.56
3535.00,98.58
3534.00,98.59
3533.00,98.59
3532.00,98.59
3531.00,98.56
3530.00,98.54
3529.00,98.52
3528.00,98.51
3527.00,98.51
3526.00,98.51
3525.00,98.51
3524.00,98.50
3523.00,98.49
3522.00,98.48
3521.00,98.47
3520.00,98.47
3519.00,98.47
3518.00,98.47
3517.00,98.46
3516.00,98.44
3515.00,98.43
3514.00,98.42
3513.00,98.42
3512.00,98.42
3511.00,98.42
3510.00,98.43
3509.00,98.45
3508.00,98.46
3507.00,98.48
3506.00,98.49
3505.00,98.49
3504.00,98.48
3503.00,98.45
3502.00,98.42
3501.00,98.39
3500.00,98.39
3499.00,98.40
3498.00,98.42
3497.00,98.44
3496.00,98.45
3495.00,98.45
3494.00,98.44
3493.00,98.43
3492.00,98.42
3491.00,98.42
3490.00,98.43
3489.00,98.45
3488.00,98.47
3487.00,98.48
3486.00,98.48
3485.00,98.46
3484.00,98.45
3483.00,98.45
3482.00,98.45
3481.00,98.45
3480.00,98.45
3479.00,98.45
3478.00,98.45
3477.00,98.46
3476.00,98.47
3475.00,98.46
3474.00,98.44
3473.00,98.40
3472.00,98.37
3471.00,98.37
3470.00,98.38
3469.00,98.39
3468.00,98.40
3467.00,98.40
3466.00,98.38
3465.00,98.38
3464.00,98.39
3463.00,98.40
3462.00,98.41
3461.00,98.41
3460.00,98.40
3459.00,98.37
3458.00,98.35
3457.00,98.34
3456.00,98.34
3455.00,98.35
3454.00,98.35
3453.00,98.34
3452.00,98.32
3451.00,98.32
3450.00,98.32
3449.00,98.33
3448.00,98.33
3447.00,98.32
3446.00,98.31
3445.00,98.31
3444.00,98.32
3443.00,98.32
3442.00,98.33
3441.00,98.34
3440.00,98.35
3439.00,98.37
3438.00,98.39
3437.00,98.39
3436.00,98.38
3435.00,98.36
3434.00,98.34
3433.00,98.32
3432.00,98.32
3431.00,98.32
3430.00,98.32
3429.00,98.32
3428.00,98.31
3427.00,98.31
3426.00,98.31
3425.00,98.32
3424.00,98.35
3423.00,98.37
3422.00,98.39
3421.00,98.39
3420.00,98.38
3419.00,98.37
3418.00,98.38
3417.00,98.39
3416.00,98.39
3415.00,98.38
3414.00,98.36
3413.00,98.34
3412.00,98.34
3411.00,98.35
3410.00,98.35
3409.00,98.34
3408.00,98.34
3407.00,98.35
3406.00,98.36
3405.00,98.36
3404.00,98.34
3403.00,98.32
3402.00,98.29
3401.00,98.27
3400.00,98.26
3399.00,98.26
3398.00,98.26
3397.00,98.27
3396.00,98.28
3395.00,98.29
3394.00,98.29
3393.00,98.28
3392.00,98.26
3391.00,98.25
3390.00,98.25
3389.00,98.26
3388.00,98.28
3387.00,98.29
3386.00,98.30
3385.00,98.30
3384.00,98.30
3383.00,98.30
3382.00,98.28
3381.00,98.26
3380.00,98.24
3379.00,98.22
3378.00,98.20
3377.00,98.18
3376.00,98.17
3375.00,98.17
3374.00,98.18
3373.00,98.19
3372.00,98.19
3371.00,98.18
3370.00,98.16
3369.00,98.15
3368.00,98.14
3367.00,98.14
3366.00,98.14
3365.00,98.14
3364.00,98.14
3363.00,98.13
3362.00,98.14
3361.00,98.14
3360.00,98.15
3359.00,98.16
3358.00,98.16
3357.00,98.17
3356.00,98.18
3355.00,98.19
3354.00,98.20
3353.00,98.20
3352.00,98.19
3351.00,98.18
3350.00,98.17
3349.00,98.17
3348.00,98.18
3347.00,98.19
3346.00,98.20
3345.00,98.20
3344.00,98.19
3343.00,98.18
3342.00,98.18
3341.00,98.19
3340.00,98.20
3339.00,98.20
3338.00,98.20
3337.00,98.20
3336.00,98.20
3335.00,98.20
3334.00,98.21
3333.00,98.22
3332.00,98.22
3331.00,98.22
3330.00,98.21
3329.00,98.20
3328.00,98.21
3327.00,98.22
3326.00,98.22
3325.00,98.22
3324.00,98.21
3323.00,98.20
3322.00,98.20
3321.00,98.20
3320.00,98.20
3319.00,98.21
3318.00,98.23
3317.00,98.25
3316.00,98.27
3315.00,98.29
3314.00,98.30
3313.00,98.30
3312.00,98.30
3311.00,98.29
3310.00,98.28
3309.00,98.26
3308.00,98.24
3307.00,98.23
3306.00,98.23
3305.00,98.23
3304.00,98.24
3303.00,98.25
3302.00,98.27
3301.00,98.27
3300.00,98.27
3299.00,98.26
3298.00,98.25
3297.00,98.24
3296.00,98.23
3295.00,98.23
3294.00,98.23
3293.00,98.24
3292.00,98.25
3291.00,98.27
3290.00,98.27
3289.00,98.25
3288.00,98.23
3287.00,98.21
3286.00,98.20
3285.00,98.21
3284.00,98.22
3283.00,98.22
3282.00,98.21
3281.00,98.19
3280.00,98.19
3279.00,98.20
3278.00,98.21
3277.00,98.22
3276.00,98.22
3275.00,98.22
3274.00,98.21
3273.00,98.21
3272.00,98.21
3271.00,98.21
3270.00,98.21
3269.00,98.21
3268.00,98.19
3267.00,98.17
3266.00,98.17
3265.00,98.17
3264.00,98.19
3263.00,98.19
3262.00,98.19
3261.00,98.19
3260.00,98.19
3259.00,98.20
3258.00,98.20
3257.00,98.22
3256.00,98.24
3255.00,98.26
3254.00,98.28
3253.00,98.29
3252.00,98.29
3251.00,98.29
3250.00,98.29
3249.00,98.29
3248.00,98.28
3247.00,98.26
3246.00,98.23
3245.00,98.22
3244.00,98.22
3243.00,98.23
3242.00,98.25
3241.00,98.25
3240.00,98.25
3239.00,98.25
3238.00,98.25
3237.00,98.27
3236.00,98.27
3235.00,98.27
3234.00,98.27
3233.00,98.27
3232.00,98.27
3231.00,98.27
3230.00,98.27
3229.00,98.27
3228.00,98.28
3227.00,98.30
3226.00,98.31
3225.00,98.31
3224.00,98.31
3223.00,98.30
3222.00,98.29
3221.00,98.28
3220.00,98.27
3219.00,98.26
3218.00,98.26
3217.00,98.26
3216.00,98.26
3215.00,98.26
3214.00,98.25
3213.00,98.24
3212.00,98.22
3211.00,98.21
3210.00,98.20
3209.00,98.21
3208.00,98.22
3207.00,98.24
3206.00,98.25
3205.00,98.27
3204.00,98.28
3203.00,98.29
3202.00,98.30
3201.00,98.29
3200.00,98.27
3199.00,98.24
3198.00,98.20
3197.00,98.17
3196.00,98.17
3195.00,98.18
3194.00,98.19
3193.00,98.21
3192.00,98.23
3191.00,98.24
3190.00,98.26
3189.00,98.27
3188.00,98.27
3187.00,98.27
3186.00,98.27
3185.00,98.27
3184.00,98.28
3183.00,98.28
3182.00,98.29
3181.00,98.30
3180.00,98.31
3179.00,98.31
3178.00,98.30
3177.00,98.29
3176.00,98.28
3175.00,98.29
3174.00,98.31
3173.00,98.33
3172.00,98.35
3171.00,98.35
3170.00,98.34
3169.00,98.34
3168.00,98.35
3167.00,98.35
3166.00,98.34
3165.00,98.33
3164.00,98.32
3163.00,98.31
3162.00,98.31
3161.00,98.31
3160.00,98.32
3159.00,98.33
3158.00,98.33
3157.00,98.35
3156.00,98.37
3155.00,98.40
3154.00,98.43
3153.00,98.43
3152.00,98.42
3151.00,98.40
3150.00,98.38
3149.00,98.37
3148.00,98.36
3147.00,98.37
3146.00,98.37
3145.00,98.37
3144.00,98.36
3143.00,98.36
3142.00,98.36
3141.00,98.38
3140.00,98.40
3139.00,98.40
3138.00,98.40
3137.00,98.39
3136.00,98.40
3135.00,98.40
3134.00,98.42
3133.00,98.43
3132.00,98.43
3131.00,98.43
3130.00,98.43
3129.00,98.41
3128.00,98.40
3127.00,98.39
3126.00,98.39
3125.00,98.38
3124.00,98.39
3123.00,98.40
3122.00,98.40
3121.00,98.39
3120.00,98.39
3119.00,98.38
3118.00,98.40
3117.00,98.41
3116.00,98.41
3115.00,98.40
3114.00,98.39
3113.00,98.38
3112.00,98.36
3111.00,98.34
3110.00,98.33
3109.00,98.33
3108.00,98.34
3107.00,98.35
3106.00,98.35
3105.00,98.35
3104.00,98.34
3103.00,98.34
3102.00,98.34
3101.00,98.34
3100.00,98.34
3099.00,98.35
3098.00,98.36
3097.00,98.36
3096.00,98.35
3095.00,98.33
3094.00,98.31
3093.00,98.28
3092.00,98.27
3091.00,98.27
3090.00,98.29
3089.00,98.30
3088.00,98.30
3087.00,98.30
3086.00,98.30
3085.00,98.31
3084.00,98.32
3083.00,98.31
3082.00,98.30
3081.00,98.30
3080.00,98.30
3079.00,98.30
3078.00,98.31
3077.00,98.32
3076.00,98.32
3075.00,98.32
3074.00,98.31
3073.00,98.29
3072.00,98.28
3071.00,98.28
3070.00,98.28
3069.00,98.29
3068.00,98.31
3067.00,98.33
3066.00,98.35
3065.00,98.38
3064.00,98.39
3063.00,98.39
3062.00,98.39
3061.00,98.38
3060.00,98.37
3059.00,98.36
3058.00,98.34
3057.00,98.33
3056.00,98.31
3055.00,98.31
3054.00,98.32
3053.00,98.33
3052.00,98.34
3051.00,98.33
3050.00,98.32
3049.00,98.30
3048.00,98.29
3047.00,98.29
3046.00,98.30
3045.00,98.33
3044.00,98.36
3043.00,98.39
3042.00,98.39
3041.00,98.38
3040.00,98.37
3039.00,98.37
3038.00,98.37
3037.00,98.37
3036.00,98.37
3035.00,98.35
3034.00,98.34
3033.00,98.32
3032.00,98.32
3031.00,98.33
3030.00,98.35
3029.00,98.35
3028.00,98.34
3027.00,98.32
3026.00,98.31
3025.00,98.31
3024.00,98.31
3023.00,98.31
3022.00,98.32
3021.00,98.33
3020.00,98.33
3019.00,98.34
3018.00,98.34
3017.00,98.35
3016.00,98.36
3015.00,98.37
3014.00,98.37
3013.00,98.37
3012.00,98.36
3011.00,98.34
3010.00,98.34
3009.00,98.34
3008.00,98.35
3007.00,98.37
3006.00,98.39
3005.00,98.41
3004.00,98.42
3003.00,98.42
3002.00,98.41
3001.00,98.40
3000.00,98.38
2999.00,98.36
2998.00,98.34
2997.00,98.33
2996.00,98.34
2995.00,98.34
2994.00,98.35
2993.00,98.35
2992.00,98.35
2991.00,98.36
2990.00,98.38
2989.00,98.38
2988.00,98.39
2987.00,98.39
2986.00,98.39
2985.00,98.40
2984.00,98.40
2983.00,98.39
2982.00,98.36
2981.00,98.32
2980.00,98.29
2979.00,98.27
2978.00,98.26
2977.00,98.26
2976.00,98.26
2975.00,98.27
2974.00,98.27
2973.00,98.26
2972.00,98.24
2971.00,98.21
2970.00,98.18
2969.00,98.15
2968.00,98.11
2967.00,98.06
2966.00,98.01
2965.00,97.98
2964.00,97.95
2963.00,97.92
2962.00,97.88
2961.00,97.83
2960.00,97.77
2959.00,97.71
2958.00,97.65
2957.00,97.60
2956.00,97.55
2955.00,97.50
2954.00,97.45
2953.00,97.39
2952.00,97.31
2951.00,97.23
2950.00,97.14
2949.00,97.05
2948.00,96.95
2947.00,96.82
2946.00,96.67
2945.00,96.49
2944.00,96.28
2943.00,96.05
2942.00,95.79
2941.00,95.50
2940.00,95.17
2939.00,94.81
2938.00,94.42
2937.00,94.00
2936.00,93.54
2935.00,93.03
2934.00,92.46
2933.00,91.84
2932.00,91.17
2931.00,90.44
2930.00,89.64
2929.00,88.76
2928.00,87.77
2927.00,86.67
2926.00,85.44
2925.00,84.07
2924.00,82.59
2923.00,81.04
2922.00,79.47
2921.00,77.93
2920.00,76.48
2919.00,75.17
2918.00,74.04
2917.00,73.15
2916.00,72.50
2915.00,72.12
2914.00,72.01
2913.00,72.14
2912.00,72.48
2911.00,72.97
2910.00,73.56
2909.00,74.21
2908.00,74.90
2907.00,75.61
2906.00,76.30
2905.00,76.97
2904.00,77.62
2903.00,78.21
2902.00,78.77
2901.00,79.27
2900.00,79.74
2899.00,80.18
2898.00,80.59
2897.00,80.98
2896.00,81.37
2895.00,81.76
2894.00,82.15
2893.00,82.54
2892.00,82.92
2891.00,83.32
2890.00,83.71
2889.00,84.11
2888.00,84.52
