Created as New Dataset,192 FMC American Viscose (Black)
cm-1,%T
3648.00,100.56
3647.00,100.56
3646.00,100.59
3645.00,100.61
3644.00,100.61
3643.00,100.60
3642.00,100.57
3641.00,100.54
3640.00,100.52
3639.00,100.51
3638.00,100.51
3637.00,100.52
3636.00,100.54
3635.00,100.55
3634.00,100.55
3633.00,100.53
3632.00,100.49
3631.00,100.45
3630.00,100.43
3629.00,100.42
3628.00,100.41
3627.00,100.39
3626.00,100.39
3625.00,100.41
3624.00,100.43
3623.00,100.44
3622.00,100.42
3621.00,100.39
3620.00,100.35
3619.00,100.31
3618.00,100.27
3617.00,100.23
3616.00,100.22
3615.00,100.22
3614.00,100.23
3613.00,100.25
3612.00,100.26
3611.00,100.26
3610.00,100.24
3609.00,100.21
3608.00,100.19
3607.00,100.16
3606.00,100.14
3605.00,100.13
3604.00,100.13
3603.00,100.13
3602.00,100.13
3601.00,100.10
3600.00,100.07
3599.00,100.03
3598.00,100.01
3597.00,99.99
3596.00,99.97
3595.00,99.95
3594.00,99.93
3593.00,99.91
3592.00,99.92
3591.00,99.93
3590.00,99.94
3589.00,99.93
3588.00,99.90
3587.00,99.87
3586.00,99.83
3585.00,99.81
3584.00,99.80
3583.00,99.78
3582.00,99.77
3581.00,99.76
3580.00,99.74
3579.00,99.72
3578.00,99.70
3577.00,99.66
3576.00,99.63
3575.00,99.60
3574.00,99.59
3573.00,99.60
3572.00,99.60
3571.00,99.58
3570.00,99.55
3569.00,99.51
3568.00,99.48
3567.00,99.44
3566.00,99.41
3565.00,99.37
3564.00,99.35
3563.00,99.34
3562.00,99.33
3561.00,99.32
3560.00,99.29
3559.00,99.27
3558.00,99.24
3557.00,99.22
3556.00,99.19
3555.00,99.16
3554.00,99.14
3553.00,99.11
3552.00,99.08
3551.00,99.04
3550.00,98.99
3549.00,98.94
3548.00,98.92
3547.00,98.91
3546.00,98.91
3545.00,98.91
3544.00,98.91
3543.00,98.90
3542.00,98.89
3541.00,98.87
3540.00,98.84
3539.00,98.81
3538.00,98.77
3537.00,98.75
3536.00,98.72
3535.00,98.69
3534.00,98.65
3533.00,98.61
3532.00,98.58
3531.00,98.57
3530.00,98.56
3529.00,98.54
3528.00,98.51
3527.00,98.46
3526.00,98.42
3525.00,98.38
3524.00,98.36
3523.00,98.35
3522.00,98.32
3521.00,98.28
3520.00,98.25
3519.00,98.23
3518.00,98.22
3517.00,98.22
3516.00,98.20
3515.00,98.15
3514.00,98.08
3513.00,98.01
3512.00,97.94
3511.00,97.88
3510.00,97.84
3509.00,97.80
3508.00,97.77
3507.00,97.74
3506.00,97.71
3505.00,97.68
3504.00,97.64
3503.00,97.60
3502.00,97.57
3501.00,97.54
3500.00,97.51
3499.00,97.47
3498.00,97.41
3497.00,97.35
3496.00,97.29
3495.00,97.24
3494.00,97.19
3493.00,97.15
3492.00,97.11
3491.00,97.09
3490.00,97.06
3489.00,97.03
3488.00,97.00
3487.00,96.96
3486.00,96.93
3485.00,96.90
3484.00,96.88
3483.00,96.88
3482.00,96.87
3481.00,96.84
3480.00,96.80
3479.00,96.76
3478.00,96.71
3477.00,96.69
3476.00,96.68
3475.00,96.67
3474.00,96.66
3473.00,96.63
3472.00,96.59
3471.00,96.54
3470.00,96.50
3469.00,96.47
3468.00,96.44
3467.00,96.42
3466.00,96.40
3465.00,96.37
3464.00,96.34
3463.00,96.30
3462.00,96.26
3461.00,96.22
3460.00,96.19
3459.00,96.15
3458.00,96.11
3457.00,96.07
3456.00,96.03
3455.00,95.99
3454.00,95.95
3453.00,95.90
3452.00,95.84
3451.00,95.78
3450.00,95.73
3449.00,95.69
3448.00,95.66
3447.00,95.63
3446.00,95.62
3445.00,95.62
3444.00,95.60
3443.00,95.57
3442.00,95.52
3441.00,95.46
3440.00,95.42
3439.00,95.39
3438.00,95.37
3437.00,95.36
3436.00,95.35
3435.00,95.34
3434.00,95.34
3433.00,95.34
3432.00,95.35
3431.00,95.34
3430.00,95.33
3429.00,95.30
3428.00,95.26
3427.00,95.24
3426.00,95.22
3425.00,95.22
3424.00,95.21
3423.00,95.18
3422.00,95.15
3421.00,95.11
3420.00,95.08
3419.00,95.07
3418.00,95.07
3417.00,95.06
3416.00,95.06
3415.00,95.05
3414.00,95.03
3413.00,95.02
3412.00,95.00
3411.00,94.97
3410.00,94.95
3409.00,94.94
3408.00,94.92
3407.00,94.91
3406.00,94.88
3405.00,94.85
3404.00,94.83
3403.00,94.82
3402.00,94.82
3401.00,94.81
3400.00,94.78
3399.00,94.75
3398.00,94.74
3397.00,94.74
3396.00,94.74
3395.00,94.74
3394.00,94.73
3393.00,94.72
3392.00,94.71
3391.00,94.68
3390.00,94.65
3389.00,94.62
3388.00,94.60
3387.00,94.60
3386.00,94.60
3385.00,94.60
3384.00,94.58
3383.00,94.55
3382.00,94.53
3381.00,94.52
3380.00,94.51
3379.00,94.51
3378.00,94.51
3377.00,94.51
3376.00,94.50
3375.00,94.48
3374.00,94.45
3373.00,94.42
3372.00,94.40
3371.00,94.40
3370.00,94.40
3369.00,94.41
3368.00,94.41
3367.00,94.41
3366.00,94.41
3365.00,94.39
3364.00,94.38
3363.00,94.37
3362.00,94.37
3361.00,94.35
3360.00,94.34
3359.00,94.32
3358.00,94.31
3357.00,94.31
3356.00,94.30
3355.00,94.29
3354.00,94.27
3353.00,94.25
3352.00,94.23
3351.00,94.22
3350.00,94.22
3349.00,94.23
3348.00,94.24
3347.00,94.24
3346.00,94.23
3345.00,94.21
3344.00,94.19
3343.00,94.18
3342.00,94.17
3341.00,94.15
3340.00,94.14
3339.00,94.13
3338.00,94.14
3337.00,94.15
3336.00,94.17
3335.00,94.17
3334.00,94.16
3333.00,94.15
3332.00,94.13
3331.00,94.12
3330.00,94.12
3329.00,94.13
3328.00,94.14
3327.00,94.15
3326.00,94.15
3325.00,94.15
3324.00,94.15
3323.00,94.15
3322.00,94.16
3321.00,94.16
3320.00,94.15
3319.00,94.16
3318.00,94.16
3317.00,94.18
3316.00,94.20
3315.00,94.20
3314.00,94.19
3313.00,94.15
3312.00,94.11
3311.00,94.08
3310.00,94.06
3309.00,94.07
3308.00,94.10
3307.00,94.12
3306.00,94.14
3305.00,94.15
3304.00,94.15
3303.00,94.15
3302.00,94.14
3301.00,94.14
3300.00,94.15
3299.00,94.15
3298.00,94.15
3297.00,94.14
3296.00,94.14
3295.00,94.13
3294.00,94.12
3293.00,94.11
3292.00,94.09
3291.00,94.09
3290.00,94.11
3289.00,94.14
3288.00,94.15
3287.00,94.15
3286.00,94.14
3285.00,94.13
3284.00,94.15
3283.00,94.18
3282.00,94.21
3281.00,94.23
3280.00,94.22
3279.00,94.20
3278.00,94.18
3277.00,94.17
3276.00,94.18
3275.00,94.20
3274.00,94.23
3273.00,94.25
3272.00,94.27
3271.00,94.27
3270.00,94.28
3269.00,94.28
3268.00,94.29
3267.00,94.29
3266.00,94.30
3265.00,94.29
3264.00,94.28
3263.00,94.27
3262.00,94.27
3261.00,94.29
3260.00,94.31
3259.00,94.31
3258.00,94.31
3257.00,94.31
3256.00,94.32
3255.00,94.33
3254.00,94.34
3253.00,94.34
3252.00,94.34
3251.00,94.35
3250.00,94.37
