Created as New Dataset,Bio-Couture 3x2/16 Cotton (Red)
cm-1,%T
3649.00,99.94
3648.00,99.95
3647.00,99.97
3646.00,99.97
3645.00,99.95
3644.00,99.91
3643.00,99.86
3642.00,99.83
3641.00,99.80
3640.00,99.77
3639.00,99.72
3638.00,99.67
3637.00,99.62
3636.00,99.58
3635.00,99.53
3634.00,99.51
3633.00,99.52
3632.00,99.54
3631.00,99.54
3630.00,99.50
3629.00,99.43
3628.00,99.38
3627.00,99.35
3626.00,99.31
3625.00,99.24
3624.00,99.19
3623.00,99.16
3622.00,99.15
3621.00,99.15
3620.00,99.15
3619.00,99.14
3618.00,99.12
3617.00,99.09
3616.00,99.05
3615.00,98.99
3614.00,98.94
3613.00,98.90
3612.00,98.87
3611.00,98.83
3610.00,98.79
3609.00,98.74
3608.00,98.70
3607.00,98.66
3606.00,98.63
3605.00,98.59
3604.00,98.56
3603.00,98.52
3602.00,98.47
3601.00,98.40
3600.00,98.33
3599.00,98.27
3598.00,98.21
3597.00,98.15
3596.00,98.11
3595.00,98.07
3594.00,98.05
3593.00,98.04
3592.00,98.03
3591.00,98.01
3590.00,97.97
3589.00,97.92
3588.00,97.86
3587.00,97.81
3586.00,97.76
3585.00,97.72
3584.00,97.66
3583.00,97.61
3582.00,97.55
3581.00,97.49
3580.00,97.43
3579.00,97.36
3578.00,97.29
3577.00,97.24
3576.00,97.20
3575.00,97.19
3574.00,97.17
3573.00,97.13
3572.00,97.07
3571.00,97.00
3570.00,96.91
3569.00,96.82
3568.00,96.75
3567.00,96.71
3566.00,96.69
3565.00,96.68
3564.00,96.64
3563.00,96.58
3562.00,96.51
3561.00,96.43
3560.00,96.36
3559.00,96.30
3558.00,96.23
3557.00,96.15
3556.00,96.07
3555.00,95.99
3554.00,95.92
3553.00,95.86
3552.00,95.82
3551.00,95.79
3550.00,95.75
3549.00,95.69
3548.00,95.61
3547.00,95.50
3546.00,95.40
3545.00,95.29
3544.00,95.21
3543.00,95.14
3542.00,95.08
3541.00,95.03
3540.00,94.96
3539.00,94.89
3538.00,94.81
3537.00,94.73
3536.00,94.66
3535.00,94.59
3534.00,94.52
3533.00,94.44
3532.00,94.37
3531.00,94.30
3530.00,94.23
3529.00,94.17
3528.00,94.11
3527.00,94.03
3526.00,93.93
3525.00,93.83
3524.00,93.74
3523.00,93.68
3522.00,93.62
3521.00,93.55
3520.00,93.47
3519.00,93.38
3518.00,93.29
3517.00,93.20
3516.00,93.10
3515.00,93.00
3514.00,92.90
3513.00,92.80
3512.00,92.71
3511.00,92.59
3510.00,92.46
3509.00,92.33
3508.00,92.19
3507.00,92.05
3506.00,91.91
3505.00,91.76
3504.00,91.59
3503.00,91.42
3502.00,91.26
3501.00,91.09
3500.00,90.93
3499.00,90.76
3498.00,90.58
3497.00,90.39
3496.00,90.19
3495.00,90.00
3494.00,89.82
3493.00,89.65
