Created as New Dataset,146. Fiber Extrusion
cm-1,%T
3648.00,99.28
3647.00,99.26
3646.00,99.26
3645.00,99.28
3644.00,99.30
3643.00,99.30
3642.00,99.30
3641.00,99.29
3640.00,99.29
3639.00,99.29
3638.00,99.29
3637.00,99.29
3636.00,99.29
3635.00,99.28
3634.00,99.29
3633.00,99.31
3632.00,99.33
3631.00,99.34
3630.00,99.33
3629.00,99.32
3628.00,99.32
3627.00,99.33
3626.00,99.33
3625.00,99.33
3624.00,99.32
3623.00,99.32
3622.00,99.32
3621.00,99.34
3620.00,99.36
3619.00,99.39
3618.00,99.41
3617.00,99.41
3616.00,99.40
3615.00,99.38
3614.00,99.36
3613.00,99.34
3612.00,99.31
3611.00,99.28
3610.00,99.25
3609.00,99.25
3608.00,99.28
3607.00,99.32
3606.00,99.35
3605.00,99.36
3604.00,99.37
3603.00,99.37
3602.00,99.36
3601.00,99.35
3600.00,99.33
3599.00,99.32
3598.00,99.30
3597.00,99.29
3596.00,99.29
3595.00,99.30
3594.00,99.31
3593.00,99.33
3592.00,99.36
3591.00,99.38
3590.00,99.41
3589.00,99.43
3588.00,99.44
3587.00,99.43
3586.00,99.41
3585.00,99.39
3584.00,99.36
3583.00,99.33
3582.00,99.31
3581.00,99.30
3580.00,99.30
3579.00,99.32
3578.00,99.33
3577.00,99.33
3576.00,99.34
3575.00,99.34
3574.00,99.33
3573.00,99.32
3572.00,99.31
3571.00,99.30
3570.00,99.28
3569.00,99.27
3568.00,99.26
3567.00,99.26
3566.00,99.26
3565.00,99.25
3564.00,99.24
3563.00,99.22
3562.00,99.21
3561.00,99.20
3560.00,99.19
3559.00,99.19
3558.00,99.20
3557.00,99.20
3556.00,99.20
3555.00,99.19
3554.00,99.17
3553.00,99.17
3552.00,99.17
3551.00,99.18
3550.00,99.20
3549.00,99.21
3548.00,99.22
3547.00,99.22
3546.00,99.21
3545.00,99.20
3544.00,99.20
3543.00,99.22
3542.00,99.23
3541.00,99.23
3540.00,99.22
3539.00,99.21
3538.00,99.19
3537.00,99.19
3536.00,99.19
3535.00,99.21
3534.00,99.23
3533.00,99.26
3532.00,99.28
3531.00,99.29
3530.00,99.29
3529.00,99.28
3528.00,99.27
3527.00,99.26
3526.00,99.26
3525.00,99.28
3524.00,99.30
3523.00,99.31
3522.00,99.31
3521.00,99.28
3520.00,99.26
3519.00,99.25
3518.00,99.28
3517.00,99.31
3516.00,99.33
3515.00,99.34
3514.00,99.33
3513.00,99.33
3512.00,99.34
3511.00,99.35
3510.00,99.37
3509.00,99.36
3508.00,99.34
3507.00,99.31
3506.00,99.30
3505.00,99.30
3504.00,99.32
3503.00,99.33
3502.00,99.32
3501.00,99.32
3500.00,99.31
3499.00,99.31
3498.00,99.32
3497.00,99.33
3496.00,99.34
3495.00,99.34
3494.00,99.32
3493.00,99.30
3492.00,99.28
3491.00,99.27
3490.00,99.28
3489.00,99.30
3488.00,99.31
3487.00,99.31
3486.00,99.30
3485.00,99.28
3484.00,99.28
3483.00,99.29
3482.00,99.29
3481.00,99.30
3480.00,99.30
3479.00,99.29
3478.00,99.28
3477.00,99.28
3476.00,99.28
3475.00,99.28
3474.00,99.29
3473.00,99.29
3472.00,99.29
3471.00,99.28
3470.00,99.28
3469.00,99.28
3468.00,99.27
3467.00,99.26
3466.00,99.23
3465.00,99.20
3464.00,99.19
3463.00,99.20
3462.00,99.22
3461.00,99.24
3460.00,99.25
3459.00,99.23
3458.00,99.21
3457.00,99.17
3456.00,99.15
3455.00,99.14
3454.00,99.13
3453.00,99.13
3452.00,99.13
3451.00,99.12
3450.00,99.10
3449.00,99.09
3448.00,99.07
3447.00,99.05
3446.00,99.03
3445.00,99.02
3444.00,99.00
3443.00,98.99
3442.00,98.98
3441.00,98.98
3440.00,98.97
3439.00,98.97
3438.00,98.97
3437.00,98.95
3436.00,98.93
3435.00,98.89
3434.00,98.86
3433.00,98.85
3432.00,98.86
3431.00,98.89
3430.00,98.91
3429.00,98.92
3428.00,98.91
3427.00,98.91
3426.00,98.91
3425.00,98.92
3424.00,98.93
3423.00,98.95
3422.00,98.97
3421.00,98.99
3420.00,99.01
3419.00,99.03
3418.00,99.05
3417.00,99.07
3416.00,99.10
3415.00,99.13
3414.00,99.16
3413.00,99.18
3412.00,99.20
3411.00,99.21
3410.00,99.22
3409.00,99.21
3408.00,99.19
3407.00,99.17
3406.00,99.17
3405.00,99.19
3404.00,99.21
3403.00,99.24
3402.00,99.26
3401.00,99.27
3400.00,99.26
3399.00,99.26
3398.00,99.25
3397.00,99.25
3396.00,99.25
3395.00,99.25
3394.00,99.24
3393.00,99.24
3392.00,99.24
3391.00,99.22
3390.00,99.21
3389.00,99.21
3388.00,99.22
3387.00,99.25
3386.00,99.28
3385.00,99.30
3384.00,99.30
3383.00,99.31
3382.00,99.31
3381.00,99.30
3380.00,99.29
3379.00,99.29
3378.00,99.29
3377.00,99.28
3376.00,99.26
3375.00,99.24
3374.00,99.24
3373.00,99.25
3372.00,99.28
3371.00,99.32
3370.00,99.34
3369.00,99.34
3368.00,99.32
3367.00,99.29
3366.00,99.28
3365.00,99.28
3364.00,99.28
3363.00,99.28
3362.00,99.27
3361.00,99.25
3360.00,99.24
3359.00,99.23
3358.00,99.24
3357.00,99.26
3356.00,99.28
3355.00,99.29
3354.00,99.30
3353.00,99.30
3352.00,99.31
3351.00,99.31
3350.00,99.30
3349.00,99.28
3348.00,99.25
3347.00,99.23
3346.00,99.23
3345.00,99.23
3344.00,99.23
3343.00,99.23
3342.00,99.22
3341.00,99.22
3340.00,99.24
3339.00,99.26
3338.00,99.27
3337.00,99.27
3336.00,99.25
3335.00,99.24
3334.00,99.24
3333.00,99.26
3332.00,99.29
3331.00,99.31
3330.00,99.30
3329.00,99.29
3328.00,99.27
3327.00,99.26
3326.00,99.26
3325.00,99.27
3324.00,99.27
3323.00,99.26
3322.00,99.25
3321.00,99.23
3320.00,99.21
3319.00,99.20
3318.00,99.20
3317.00,99.21
3316.00,99.23
3315.00,99.25
3314.00,99.25
3313.00,99.25
3312.00,99.24
3311.00,99.25
3310.00,99.26
3309.00,99.27
3308.00,99.27
3307.00,99.27
3306.00,99.27
3305.00,99.28
3304.00,99.28
3303.00,99.26
3302.00,99.24
3301.00,99.23
3300.00,99.21
3299.00,99.21
3298.00,99.20
3297.00,99.21
3296.00,99.21
3295.00,99.22
3294.00,99.23
3293.00,99.23
3292.00,99.23
3291.00,99.24
3290.00,99.25
3289.00,99.26
3288.00,99.26
3287.00,99.26
3286.00,99.26
3285.00,99.27
3284.00,99.28
3283.00,99.30
3282.00,99.30
3281.00,99.29
3280.00,99.26
3279.00,99.24
3278.00,99.23
3277.00,99.22
3276.00,99.22
3275.00,99.24
3274.00,99.26
3273.00,99.28
3272.00,99.29
3271.00,99.28
3270.00,99.26
3269.00,99.24
3268.00,99.23
3267.00,99.23
3266.00,99.24
3265.00,99.24
3264.00,99.24
3263.00,99.24
3262.00,99.25
3261.00,99.27
3260.00,99.28
3259.00,99.27
3258.00,99.25
3257.00,99.23
3256.00,99.21
3255.00,99.20
3254.00,99.20
3253.00,99.21
3252.00,99.21
3251.00,99.20
3250.00,99.20
3249.00,99.21
3248.00,99.22
3247.00,99.23
3246.00,99.23
3245.00,99.22
3244.00,99.22
3243.00,99.22
3242.00,99.21
3241.00,99.21
3240.00,99.22
3239.00,99.22
3238.00,99.23
3237.00,99.23
3236.00,99.23
3235.00,99.21
3234.00,99.19
3233.00,99.19
3232.00,99.19
3231.00,99.20
3230.00,99.21
3229.00,99.21
3228.00,99.20
3227.00,99.20
3226.00,99.19
3225.00,99.18
3224.00,99.17
3223.00,99.16
3222.00,99.15
3221.00,99.14
3220.00,99.13
3219.00,99.13
3218.00,99.14
3217.00,99.15
3216.00,99.17
3215.00,99.19
3214.00,99.19
3213.00,99.19
3212.00,99.19
3211.00,99.18
3210.00,99.18
3209.00,99.17
3208.00,99.18
3207.00,99.19
3206.00,99.19
3205.00,99.18
3204.00,99.17
3203.00,99.17
3202.00,99.16
3201.00,99.16
3200.00,99.16
3199.00,99.17
3198.00,99.18
3197.00,99.20
3196.00,99.21
3195.00,99.20
3194.00,99.18
3193.00,99.16
3192.00,99.15
3191.00,99.16
3190.00,99.17
3189.00,99.18
3188.00,99.19
3187.00,99.20
3186.00,99.20
3185.00,99.20
3184.00,99.20
3183.00,99.19
3182.00,99.19
3181.00,99.19
3180.00,99.19
3179.00,99.18
3178.00,99.17
3177.00,99.17
3176.00,99.16
3175.00,99.16
3174.00,99.15
3173.00,99.14
3172.00,99.13
3171.00,99.13
3170.00,99.13
3169.00,99.13
3168.00,99.13
3167.00,99.14
3166.00,99.14
3165.00,99.13
3164.00,99.13
3163.00,99.13
3162.00,99.14
3161.00,99.15
3160.00,99.15
3159.00,99.15
3158.00,99.16
3157.00,99.16
3156.00,99.17
3155.00,99.16
3154.00,99.15
3153.00,99.13
3152.00,99.12
3151.00,99.11
3150.00,99.11
3149.00,99.12
3148.00,99.13
3147.00,99.14
3146.00,99.13
3145.00,99.11
3144.00,99.10
3143.00,99.10
3142.00,99.10
3141.00,99.10
3140.00,99.09
3139.00,99.07
3138.00,99.06
3137.00,99.07
3136.00,99.08
3135.00,99.09
3134.00,99.08
3133.00,99.06
3132.00,99.03
3131.00,99.01
3130.00,99.00
3129.00,99.00
3128.00,99.01
3127.00,99.03
3126.00,99.04
3125.00,99.04
3124.00,99.03
3123.00,99.02
3122.00,99.01
3121.00,99.00
3120.00,99.00
3119.00,99.00
3118.00,99.00
3117.00,99.00
3116.00,99.01
3115.00,99.00
3114.00,98.99
3113.00,98.97
3112.00,98.94
3111.00,98.90
3110.00,98.87
3109.00,98.86
3108.00,98.86
3107.00,98.86
3106.00,98.86
3105.00,98.85
3104.00,98.82
3103.00,98.81
3102.00,98.82
3101.00,98.85
3100.00,98.87
3099.00,98.89
3098.00,98.91
3097.00,98.91
3096.00,98.91
3095.00,98.90
3094.00,98.88
3093.00,98.87
3092.00,98.86
3091.00,98.84
3090.00,98.82
3089.00,98.80
3088.00,98.78
3087.00,98.77
3086.00,98.76
3085.00,98.77
3084.00,98.78
3083.00,98.79
3082.00,98.79
3081.00,98.77
3080.00,98.76
3079.00,98.74
3078.00,98.74
3077.00,98.75
3076.00,98.76
3075.00,98.77
3074.00,98.77
3073.00,98.76
3072.00,98.76
3071.00,98.74
3070.00,98.73
3069.00,98.73
3068.00,98.74
3067.00,98.76
3066.00,98.77
3065.00,98.76
3064.00,98.74
3063.00,98.73
3062.00,98.73
3061.00,98.73
3060.00,98.74
3059.00,98.75
3058.00,98.74
3057.00,98.73
3056.00,98.72
3055.00,98.71
3054.00,98.70
3053.00,98.71
3052.00,98.73
3051.00,98.77
3050.00,98.82
3049.00,98.87
3048.00,98.90
3047.00,98.92
3046.00,98.92
3045.00,98.93
3044.00,98.94
3043.00,98.96
3042.00,98.97
3041.00,98.97
3040.00,98.96
3039.00,98.95
3038.00,98.95
3037.00,98.96
3036.00,98.97
3035.00,98.98
3034.00,98.98
3033.00,98.98
3032.00,98.96
3031.00,98.94
3030.00,98.92
3029.00,98.91
3028.00,98.91
3027.00,98.91
3026.00,98.90
3025.00,98.88
3024.00,98.85
3023.00,98.83
3022.00,98.81
3021.00,98.80
3020.00,98.79
3019.00,98.77
3018.00,98.75
3017.00,98.71
3016.00,98.67
3015.00,98.63
3014.00,98.59
3013.00,98.58
3012.00,98.59
3011.00,98.60
3010.00,98.59
3009.00,98.57
3008.00,98.53
3007.00,98.49
3006.00,98.45
3005.00,98.41
3004.00,98.39
3003.00,98.37
3002.00,98.35
3001.00,98.34
3000.00,98.33
2999.00,98.31
2998.00,98.30
2997.00,98.28
2996.00,98.26
2995.00,98.24
2994.00,98.21
2993.00,98.19
2992.00,98.16
2991.00,98.14
2990.00,98.11
2989.00,98.08
2988.00,98.05
2987.00,98.03
2986.00,98.01
2985.00,97.98
2984.00,97.95
2983.00,97.91
2982.00,97.86
2981.00,97.80
2980.00,97.74
2979.00,97.68
2978.00,97.62
2977.00,97.57
2976.00,97.50
2975.00,97.44
2974.00,97.39
2973.00,97.34
2972.00,97.30
2971.00,97.26
2970.00,97.22
2969.00,97.20
2968.00,97.18
2967.00,97.17
2966.00,97.18
2965.00,97.19
2964.00,97.21
2963.00,97.23
2962.00,97.24
2961.00,97.26
2960.00,97.28
2959.00,97.30
2958.00,97.32
2957.00,97.36
2956.00,97.41
2955.00,97.46
2954.00,97.51
2953.00,97.55
2952.00,97.57
2951.00,97.59
2950.00,97.62
2949.00,97.67
2948.00,97.72
2947.00,97.76
2946.00,97.80
2945.00,97.84
2944.00,97.88
2943.00,97.93
2942.00,97.97
2941.00,98.01
2940.00,98.04
2939.00,98.06
2938.00,98.08
2937.00,98.09
2936.00,98.10
2935.00,98.12
2934.00,98.13
2933.00,98.14
2932.00,98.15
2931.00,98.15
2930.00,98.15
2929.00,98.15
2928.00,98.14
2927.00,98.14
2926.00,98.14
2925.00,98.12
2924.00,98.10
2923.00,98.08
2922.00,98.07
2921.00,98.07
2920.00,98.07
2919.00,98.07
2918.00,98.06
2917.00,98.04
2916.00,98.02
2915.00,97.99
2914.00,97.95
2913.00,97.91
2912.00,97.88
2911.00,97.86
2910.00,97.85
2909.00,97.84
2908.00,97.84
2907.00,97.85
2906.00,97.86
2905.00,97.88
2904.00,97.91
2903.00,97.94
2902.00,97.97
2901.00,98.01
2900.00,98.05
2899.00,98.08
2898.00,98.10
2897.00,98.12
2896.00,98.13
2895.00,98.13
2894.00,98.14
2893.00,98.13
2892.00,98.13
2891.00,98.13
2890.00,98.13
2889.00,98.14
2888.00,98.16
2887.00,98.18
2886.00,98.21
2885.00,98.22
2884.00,98.22
2883.00,98.21
2882.00,98.21
2881.00,98.22
2880.00,98.23
2879.00,98.24
2878.00,98.26
2877.00,98.28
2876.00,98.30
2875.00,98.33
2874.00,98.34
2873.00,98.34
2872.00,98.34
2871.00,98.33
2870.00,98.33
2869.00,98.34
2868.00,98.34
2867.00,98.32
2866.00,98.30
2865.00,98.29
2864.00,98.28
2863.00,98.29
2862.00,98.30
2861.00,98.31
2860.00,98.32
2859.00,98.34
2858.00,98.35
2857.00,98.37
2856.00,98.39
2855.00,98.40
2854.00,98.41
2853.00,98.43
2852.00,98.46
2851.00,98.49
2850.00,98.51
2849.00,98.53
2848.00,98.54
2847.00,98.56
2846.00,98.59
2845.00,98.62
