Created as New Dataset,64. Modacrylic Toray Dyed
cm-1,%T
3649.00,95.56
3648.00,95.55
3647.00,95.54
3646.00,95.50
3645.00,95.47
3644.00,95.43
3643.00,95.41
3642.00,95.40
3641.00,95.41
3640.00,95.42
3639.00,95.42
3638.00,95.41
3637.00,95.39
3636.00,95.36
3635.00,95.35
3634.00,95.35
3633.00,95.38
3632.00,95.42
3631.00,95.45
3630.00,95.45
3629.00,95.44
3628.00,95.42
3627.00,95.42
3626.00,95.41
3625.00,95.38
3624.00,95.36
3623.00,95.35
3622.00,95.36
3621.00,95.38
3620.00,95.39
3619.00,95.39
3618.00,95.39
3617.00,95.40
3616.00,95.41
3615.00,95.42
3614.00,95.42
3613.00,95.41
3612.00,95.41
3611.00,95.41
3610.00,95.41
3609.00,95.41
3608.00,95.40
3607.00,95.39
3606.00,95.38
3605.00,95.37
3604.00,95.36
3603.00,95.36
3602.00,95.35
3601.00,95.34
3600.00,95.33
3599.00,95.35
3598.00,95.38
3597.00,95.41
3596.00,95.42
3595.00,95.42
3594.00,95.43
3593.00,95.44
3592.00,95.47
3591.00,95.50
3590.00,95.52
3589.00,95.53
3588.00,95.53
3587.00,95.52
3586.00,95.51
3585.00,95.50
3584.00,95.48
3583.00,95.45
3582.00,95.43
3581.00,95.41
3580.00,95.40
3579.00,95.40
3578.00,95.39
3577.00,95.37
3576.00,95.36
3575.00,95.36
3574.00,95.39
3573.00,95.42
3572.00,95.45
3571.00,95.46
3570.00,95.47
3569.00,95.47
3568.00,95.47
3567.00,95.46
3566.00,95.45
3565.00,95.43
3564.00,95.42
3563.00,95.40
3562.00,95.39
3561.00,95.38
3560.00,95.37
3559.00,95.35
3558.00,95.32
3557.00,95.30
3556.00,95.28
3555.00,95.29
3554.00,95.31
3553.00,95.33
3552.00,95.35
3551.00,95.36
3550.00,95.37
3549.00,95.37
3548.00,95.36
3547.00,95.36
3546.00,95.36
3545.00,95.35
3544.00,95.34
3543.00,95.33
3542.00,95.32
3541.00,95.30
3540.00,95.28
3539.00,95.25
3538.00,95.23
3537.00,95.24
3536.00,95.25
3535.00,95.27
3534.00,95.29
3533.00,95.30
3532.00,95.31
3531.00,95.33
3530.00,95.35
3529.00,95.38
3528.00,95.39
3527.00,95.41
3526.00,95.42
3525.00,95.43
3524.00,95.43
3523.00,95.42
3522.00,95.40
3521.00,95.38
3520.00,95.36
3519.00,95.35
3518.00,95.37
3517.00,95.39
3516.00,95.41
3515.00,95.42
3514.00,95.40
3513.00,95.37
3512.00,95.34
3511.00,95.32
3510.00,95.32
3509.00,95.32
3508.00,95.33
3507.00,95.34
3506.00,95.37
3505.00,95.40
3504.00,95.43
3503.00,95.45
3502.00,95.45
3501.00,95.43
3500.00,95.42
3499.00,95.42
3498.00,95.43
3497.00,95.43
3496.00,95.43
3495.00,95.41
3494.00,95.38
3493.00,95.37
3492.00,95.36
3491.00,95.36
3490.00,95.36
3489.00,95.36
3488.00,95.36
3487.00,95.38
3486.00,95.40
3485.00,95.42
3484.00,95.41
3483.00,95.41
3482.00,95.40
3481.00,95.41
3480.00,95.41
3479.00,95.41
3478.00,95.42
3477.00,95.44
3476.00,95.47
3475.00,95.49
3474.00,95.50
3473.00,95.50
3472.00,95.49
3471.00,95.47
3470.00,95.46
3469.00,95.44
3468.00,95.43
3467.00,95.42
3466.00,95.42
3465.00,95.42
3464.00,95.42
3463.00,95.41
3462.00,95.41
3461.00,95.40
3460.00,95.40
3459.00,95.40
3458.00,95.39
3457.00,95.38
3456.00,95.39
3455.00,95.41
3454.00,95.44
3453.00,95.46
3452.00,95.46
3451.00,95.45
3450.00,95.43
3449.00,95.42
3448.00,95.42
3447.00,95.43
3446.00,95.43
3445.00,95.43
3444.00,95.43
3443.00,95.42
3442.00,95.41
3441.00,95.40
3440.00,95.40
3439.00,95.40
3438.00,95.41
3437.00,95.43
3436.00,95.44
3435.00,95.44
3434.00,95.43
3433.00,95.41
3432.00,95.39
3431.00,95.38
3430.00,95.39
3429.00,95.40
3428.00,95.41
3427.00,95.42
3426.00,95.43
3425.00,95.45
3424.00,95.47
3423.00,95.47
3422.00,95.47
3421.00,95.45
3420.00,95.44
3419.00,95.43
3418.00,95.41
3417.00,95.40
3416.00,95.38
3415.00,95.38
3414.00,95.38
3413.00,95.39
3412.00,95.40
3411.00,95.41
3410.00,95.42
3409.00,95.41
3408.00,95.41
3407.00,95.41
3406.00,95.41
3405.00,95.41
3404.00,95.41
3403.00,95.40
3402.00,95.39
3401.00,95.38
3400.00,95.38
3399.00,95.38
3398.00,95.38
3397.00,95.37
3396.00,95.36
3395.00,95.35
3394.00,95.35
3393.00,95.34
3392.00,95.34
3391.00,95.34
3390.00,95.33
3389.00,95.32
3388.00,95.32
3387.00,95.32
3386.00,95.32
3385.00,95.32
3384.00,95.32
3383.00,95.33
3382.00,95.34
3381.00,95.35
3380.00,95.33
3379.00,95.30
3378.00,95.27
3377.00,95.25
3376.00,95.22
3375.00,95.20
3374.00,95.20
3373.00,95.21
3372.00,95.23
3371.00,95.24
3370.00,95.23
3369.00,95.21
3368.00,95.20
3367.00,95.19
3366.00,95.17
3365.00,95.16
3364.00,95.14
3363.00,95.13
3362.00,95.11
3361.00,95.10
3360.00,95.09
3359.00,95.08
3358.00,95.08
3357.00,95.08
3356.00,95.07
3355.00,95.07
3354.00,95.06
3353.00,95.06
3352.00,95.06
3351.00,95.06
3350.00,95.06
3349.00,95.07
3348.00,95.09
3347.00,95.11
3346.00,95.14
3345.00,95.18
3344.00,95.20
3343.00,95.21
3342.00,95.21
3341.00,95.20
3340.00,95.19
3339.00,95.20
3338.00,95.20
3337.00,95.21
3336.00,95.22
3335.00,95.25
3334.00,95.28
3333.00,95.30
3332.00,95.32
3331.00,95.33
3330.00,95.35
3329.00,95.37
3328.00,95.39
3327.00,95.39
3326.00,95.38
3325.00,95.35
3324.00,95.33
3323.00,95.33
3322.00,95.34
3321.00,95.35
3320.00,95.36
3319.00,95.38
3318.00,95.40
3317.00,95.40
3316.00,95.39
3315.00,95.37
3314.00,95.36
3313.00,95.36
3312.00,95.37
3311.00,95.38
3310.00,95.39
3309.00,95.41
3308.00,95.41
3307.00,95.42
3306.00,95.43
3305.00,95.43
3304.00,95.43
3303.00,95.43
3302.00,95.42
3301.00,95.42
3300.00,95.41
3299.00,95.41
3298.00,95.41
3297.00,95.41
3296.00,95.41
3295.00,95.41
3294.00,95.41
3293.00,95.41
3292.00,95.42
3291.00,95.42
3290.00,95.44
3289.00,95.45
3288.00,95.45
3287.00,95.45
3286.00,95.44
3285.00,95.43
3284.00,95.43
3283.00,95.43
3282.00,95.44
3281.00,95.44
3280.00,95.43
3279.00,95.41
3278.00,95.40
3277.00,95.41
3276.00,95.41
3275.00,95.42
3274.00,95.41
3273.00,95.41
3272.00,95.40
3271.00,95.39
3270.00,95.39
3269.00,95.40
3268.00,95.42
3267.00,95.45
3266.00,95.48
3265.00,95.48
3264.00,95.46
3263.00,95.43
3262.00,95.41
3261.00,95.41
3260.00,95.43
3259.00,95.46
3258.00,95.49
3257.00,95.50
3256.00,95.50
3255.00,95.47
3254.00,95.44
3253.00,95.42
3252.00,95.42
3251.00,95.43
3250.00,95.44
3249.00,95.46
3248.00,95.47
3247.00,95.48
3246.00,95.49
3245.00,95.49
3244.00,95.48
3243.00,95.47
3242.00,95.47
3241.00,95.48
3240.00,95.48
3239.00,95.48
3238.00,95.49
3237.00,95.50
3236.00,95.52
3235.00,95.51
3234.00,95.49
3233.00,95.47
3232.00,95.47
3231.00,95.48
3230.00,95.50
3229.00,95.51
3228.00,95.50
3227.00,95.49
3226.00,95.48
3225.00,95.48
3224.00,95.47
3223.00,95.46
3222.00,95.46
3221.00,95.46
3220.00,95.46
3219.00,95.47
3218.00,95.48
3217.00,95.49
3216.00,95.49
3215.00,95.48
3214.00,95.47
3213.00,95.45
3212.00,95.44
3211.00,95.44
3210.00,95.45
3209.00,95.45
3208.00,95.45
3207.00,95.44
3206.00,95.42
3205.00,95.41
3204.00,95.40
3203.00,95.39
3202.00,95.40
3201.00,95.41
3200.00,95.43
3199.00,95.43
3198.00,95.43
3197.00,95.43
3196.00,95.45
3195.00,95.47
3194.00,95.48
3193.00,95.48
3192.00,95.45
3191.00,95.43
3190.00,95.41
3189.00,95.39
3188.00,95.38
3187.00,95.38
3186.00,95.41
3185.00,95.46
3184.00,95.50
3183.00,95.52
3182.00,95.50
3181.00,95.47
3180.00,95.45
3179.00,95.45
3178.00,95.47
3177.00,95.48
3176.00,95.50
3175.00,95.52
3174.00,95.54
3173.00,95.54
3172.00,95.54
3171.00,95.52
3170.00,95.51
3169.00,95.51
3168.00,95.51
3167.00,95.52
3166.00,95.52
3165.00,95.53
3164.00,95.54
3163.00,95.55
3162.00,95.56
3161.00,95.57
3160.00,95.58
3159.00,95.59
3158.00,95.60
3157.00,95.61
3156.00,95.61
3155.00,95.61
3154.00,95.61
3153.00,95.61
3152.00,95.62
3151.00,95.62
3150.00,95.62
3149.00,95.62
3148.00,95.63
3147.00,95.65
3146.00,95.68
3145.00,95.69
3144.00,95.70
3143.00,95.71
3142.00,95.71
3141.00,95.72
3140.00,95.73
3139.00,95.73
3138.00,95.74
3137.00,95.73
3136.00,95.72
3135.00,95.71
3134.00,95.71
3133.00,95.71
3132.00,95.72
3131.00,95.73
3130.00,95.73
