Created as New Dataset,61 Modacrylic Monsanto Elura USA Brown. PAN +VBr + aromatic sulphonate dye site. Wig fiber. Obsolete.
cm-1,%T
3653.00,97.48
3652.00,97.49
3651.00,97.51
3650.00,97.50
3649.00,97.43
3648.00,97.36
3647.00,97.32
3646.00,97.33
3645.00,97.36
3644.00,97.40
3643.00,97.43
3642.00,97.46
3641.00,97.47
3640.00,97.47
3639.00,97.47
3638.00,97.47
3637.00,97.46
3636.00,97.45
3635.00,97.43
3634.00,97.41
3633.00,97.37
3632.00,97.31
3631.00,97.25
3630.00,97.23
3629.00,97.26
3628.00,97.30
3627.00,97.34
3626.00,97.36
3625.00,97.37
3624.00,97.39
3623.00,97.39
3622.00,97.40
3621.00,97.40
3620.00,97.40
3619.00,97.40
3618.00,97.40
3617.00,97.40
3616.00,97.40
3615.00,97.40
3614.00,97.41
3613.00,97.41
3612.00,97.41
3611.00,97.40
3610.00,97.39
3609.00,97.39
3608.00,97.40
3607.00,97.41
3606.00,97.40
3605.00,97.39
3604.00,97.37
3603.00,97.37
3602.00,97.37
3601.00,97.38
3600.00,97.39
3599.00,97.40
3598.00,97.41
3597.00,97.40
3596.00,97.39
3595.00,97.38
3594.00,97.38
3593.00,97.41
3592.00,97.43
3591.00,97.44
3590.00,97.43
3589.00,97.42
3588.00,97.41
3587.00,97.40
3586.00,97.40
3585.00,97.40
3584.00,97.41
3583.00,97.42
3582.00,97.43
3581.00,97.44
3580.00,97.44
3579.00,97.43
3578.00,97.43
3577.00,97.43
3576.00,97.43
3575.00,97.43
3574.00,97.44
3573.00,97.45
3572.00,97.43
3571.00,97.40
3570.00,97.37
3569.00,97.37
3568.00,97.40
3567.00,97.43
3566.00,97.43
3565.00,97.41
3564.00,97.40
3563.00,97.40
3562.00,97.41
3561.00,97.41
3560.00,97.41
3559.00,97.40
3558.00,97.40
3557.00,97.41
3556.00,97.41
3555.00,97.40
3554.00,97.39
3553.00,97.37
3552.00,97.36
3551.00,97.37
3550.00,97.37
3549.00,97.38
3548.00,97.39
3547.00,97.40
3546.00,97.41
3545.00,97.40
3544.00,97.38
3543.00,97.34
3542.00,97.30
3541.00,97.26
3540.00,97.24
3539.00,97.25
3538.00,97.27
3537.00,97.30
3536.00,97.32
3535.00,97.35
3534.00,97.36
3533.00,97.38
3532.00,97.39
3531.00,97.38
3530.00,97.37
3529.00,97.35
3528.00,97.35
3527.00,97.35
3526.00,97.35
3525.00,97.36
3524.00,97.38
3523.00,97.40
3522.00,97.41
3521.00,97.41
3520.00,97.39
3519.00,97.36
3518.00,97.34
3517.00,97.32
3516.00,97.32
3515.00,97.32
3514.00,97.33
3513.00,97.32
3512.00,97.30
3511.00,97.28
3510.00,97.28
3509.00,97.30
3508.00,97.33
3507.00,97.35
3506.00,97.35
3505.00,97.32
3504.00,97.29
3503.00,97.28
3502.00,97.29
3501.00,97.32
3500.00,97.36
3499.00,97.39
3498.00,97.40
3497.00,97.39
3496.00,97.37
3495.00,97.36
3494.00,97.36
3493.00,97.37
3492.00,97.37
3491.00,97.36
3490.00,97.34
3489.00,97.33
3488.00,97.33
3487.00,97.35
3486.00,97.36
3485.00,97.37
3484.00,97.37
3483.00,97.37
3482.00,97.37
3481.00,97.37
3480.00,97.38
3479.00,97.39
3478.00,97.41
3477.00,97.41
3476.00,97.41
3475.00,97.39
3474.00,97.37
3473.00,97.35
3472.00,97.34
3471.00,97.34
3470.00,97.36
3469.00,97.37
3468.00,97.37
3467.00,97.35
3466.00,97.33
3465.00,97.33
3464.00,97.35
3463.00,97.37
3462.00,97.40
3461.00,97.40
3460.00,97.40
3459.00,97.39
3458.00,97.39
3457.00,97.38
3456.00,97.35
3455.00,97.31
3454.00,97.27
3453.00,97.25
3452.00,97.25
3451.00,97.26
3450.00,97.27
3449.00,97.28
3448.00,97.29
3447.00,97.31
3446.00,97.32
3445.00,97.33
3444.00,97.33
3443.00,97.33
3442.00,97.33
3441.00,97.33
3440.00,97.35
3439.00,97.36
3438.00,97.36
3437.00,97.34
3436.00,97.32
3435.00,97.31
3434.00,97.30
3433.00,97.30
3432.00,97.31
3431.00,97.31
3430.00,97.30
3429.00,97.29
3428.00,97.29
3427.00,97.30
3426.00,97.32
3425.00,97.32
3424.00,97.31
3423.00,97.30
3422.00,97.29
3421.00,97.29
3420.00,97.30
3419.00,97.31
3418.00,97.32
3417.00,97.31
3416.00,97.29
3415.00,97.27
3414.00,97.25
3413.00,97.24
3412.00,97.26
3411.00,97.28
3410.00,97.30
3409.00,97.32
3408.00,97.33
3407.00,97.33
3406.00,97.33
3405.00,97.34
3404.00,97.35
3403.00,97.37
3402.00,97.37
3401.00,97.35
3400.00,97.32
3399.00,97.31
3398.00,97.30
3397.00,97.31
3396.00,97.31
3395.00,97.32
3394.00,97.32
3393.00,97.33
3392.00,97.34
3391.00,97.34
3390.00,97.33
3389.00,97.32
3388.00,97.31
3387.00,97.31
3386.00,97.32
3385.00,97.32
3384.00,97.32
3383.00,97.31
3382.00,97.31
3381.00,97.30
3380.00,97.29
3379.00,97.27
3378.00,97.25
3377.00,97.24
3376.00,97.23
3375.00,97.22
3374.00,97.24
3373.00,97.27
3372.00,97.31
3371.00,97.34
3370.00,97.35
3369.00,97.34
3368.00,97.32
3367.00,97.30
3366.00,97.29
3365.00,97.29
3364.00,97.30
3363.00,97.31
3362.00,97.32
3361.00,97.33
3360.00,97.33
3359.00,97.33
3358.00,97.31
3357.00,97.29
3356.00,97.28
3355.00,97.28
3354.00,97.28
3353.00,97.28
3352.00,97.28
3351.00,97.28
3350.00,97.28
3349.00,97.27
3348.00,97.27
3347.00,97.26
3346.00,97.27
3345.00,97.28
3344.00,97.30
3343.00,97.30
3342.00,97.30
3341.00,97.29
3340.00,97.28
3339.00,97.27
3338.00,97.28
3337.00,97.28
3336.00,97.29
3335.00,97.29
3334.00,97.30
3333.00,97.30
3332.00,97.29
3331.00,97.28
3330.00,97.25
3329.00,97.23
3328.00,97.23
3327.00,97.25
3326.00,97.28
3325.00,97.30
3324.00,97.30
3323.00,97.29
3322.00,97.29
3321.00,97.28
3320.00,97.28
3319.00,97.27
3318.00,97.26
3317.00,97.25
3316.00,97.24
3315.00,97.24
3314.00,97.26
3313.00,97.27
3312.00,97.26
3311.00,97.25
3310.00,97.24
3309.00,97.24
3308.00,97.25
3307.00,97.26
3306.00,97.27
3305.00,97.27
3304.00,97.26
3303.00,97.25
3302.00,97.24
3301.00,97.23
3300.00,97.23
3299.00,97.23
3298.00,97.24
3297.00,97.25
3296.00,97.26
3295.00,97.28
3294.00,97.28
3293.00,97.29
3292.00,97.28
3291.00,97.27
3290.00,97.25
3289.00,97.23
3288.00,97.22
3287.00,97.22
3286.00,97.23
3285.00,97.24
3284.00,97.25
3283.00,97.26
3282.00,97.26
3281.00,97.25
3280.00,97.25
3279.00,97.26
3278.00,97.27
3277.00,97.27
3276.00,97.26
3275.00,97.24
3274.00,97.22
3273.00,97.22
3272.00,97.23
3271.00,97.24
3270.00,97.23
3269.00,97.21
3268.00,97.19
3267.00,97.19
3266.00,97.20
3265.00,97.23
3264.00,97.25
3263.00,97.25
3262.00,97.24
3261.00,97.24
3260.00,97.24
3259.00,97.25
3258.00,97.27
3257.00,97.28
3256.00,97.29
3255.00,97.29
3254.00,97.29
3253.00,97.28
3252.00,97.26
3251.00,97.25
3250.00,97.24
3249.00,97.23
3248.00,97.22
3247.00,97.21
3246.00,97.20
3245.00,97.19
3244.00,97.18
3243.00,97.19
3242.00,97.21
3241.00,97.23
3240.00,97.24
3239.00,97.23
3238.00,97.21
3237.00,97.19
3236.00,97.18
3235.00,97.19
3234.00,97.21
3233.00,97.22
3232.00,97.21
3231.00,97.20
3230.00,97.20
3229.00,97.21
3228.00,97.22
3227.00,97.24
3226.00,97.26
3225.00,97.27
3224.00,97.27
3223.00,97.28
3222.00,97.28
3221.00,97.28
3220.00,97.28
3219.00,97.27
3218.00,97.25
3217.00,97.24
3216.00,97.24
3215.00,97.26
3214.00,97.27
3213.00,97.26
3212.00,97.26
3211.00,97.25
3210.00,97.25
3209.00,97.26
3208.00,97.27
3207.00,97.28
3206.00,97.28
3205.00,97.28
3204.00,97.28
3203.00,97.28
3202.00,97.29
3201.00,97.29
3200.00,97.28
3199.00,97.27
3198.00,97.25
3197.00,97.24
3196.00,97.23
3195.00,97.23
3194.00,97.23
3193.00,97.24
3192.00,97.24
3191.00,97.25
3190.00,97.25
3189.00,97.25
3188.00,97.25
3187.00,97.24
3186.00,97.24
3185.00,97.25
3184.00,97.26
3183.00,97.29
3182.00,97.30
3181.00,97.31
3180.00,97.30
3179.00,97.28
3178.00,97.27
3177.00,97.27
3176.00,97.28
3175.00,97.28
3174.00,97.27
3173.00,97.24
3172.00,97.22
3171.00,97.20
3170.00,97.20
3169.00,97.21
3168.00,97.23
3167.00,97.26
3166.00,97.28
3165.00,97.28
3164.00,97.28
3163.00,97.28
3162.00,97.28
3161.00,97.28
3160.00,97.27
3159.00,97.27
3158.00,97.29
3157.00,97.32
3156.00,97.35
3155.00,97.35
3154.00,97.33
3153.00,97.30
3152.00,97.27
3151.00,97.26
3150.00,97.26
3149.00,97.26
3148.00,97.27
3147.00,97.29
3146.00,97.31
3145.00,97.32
3144.00,97.32
3143.00,97.30
3142.00,97.29
3141.00,97.29
3140.00,97.30
3139.00,97.31
3138.00,97.31
3137.00,97.30
3136.00,97.28
3135.00,97.28
3134.00,97.28
3133.00,97.27
3132.00,97.26
3131.00,97.26
3130.00,97.27
3129.00,97.29
3128.00,97.30
3127.00,97.30
3126.00,97.28
3125.00,97.26
3124.00,97.25
3123.00,97.25
3122.00,97.25
3121.00,97.26
3120.00,97.25
3119.00,97.25
3118.00,97.24
3117.00,97.23
3116.00,97.23
3115.00,97.23
3114.00,97.24
3113.00,97.26
3112.00,97.26
3111.00,97.26
3110.00,97.26
3109.00,97.25
3108.00,97.25
3107.00,97.25
3106.00,97.27
3105.00,97.29
3104.00,97.30
3103.00,97.31
3102.00,97.31
3101.00,97.30
3100.00,97.29
3099.00,97.27
3098.00,97.26
3097.00,97.25
3096.00,97.26
3095.00,97.27
3094.00,97.29
3093.00,97.29
3092.00,97.29
3091.00,97.29
3090.00,97.28
3089.00,97.26
3088.00,97.25
3087.00,97.24
3086.00,97.25
3085.00,97.26
3084.00,97.27
3083.00,97.28
3082.00,97.29
3081.00,97.29
3080.00,97.28
3079.00,97.26
3078.00,97.25
3077.00,97.24
3076.00,97.24
3075.00,97.25
3074.00,97.26
3073.00,97.26
3072.00,97.26
3071.00,97.25
3070.00,97.25
3069.00,97.24
3068.00,97.24
3067.00,97.25
3066.00,97.26
3065.00,97.27
3064.00,97.26
3063.00,97.24
3062.00,97.22
3061.00,97.20
3060.00,97.19
3059.00,97.21
3058.00,97.23
3057.00,97.26
3056.00,97.26
3055.00,97.25
3054.00,97.22
3053.00,97.20
3052.00,97.19
3051.00,97.20
3050.00,97.21
3049.00,97.21
3048.00,97.20
3047.00,97.20
3046.00,97.19
3045.00,97.19
3044.00,97.18
3043.00,97.17
3042.00,97.17
3041.00,97.18
3040.00,97.19
3039.00,97.19
3038.00,97.20
3037.00,97.20
3036.00,97.20
3035.00,97.20
3034.00,97.19
3033.00,97.17
3032.00,97.15
3031.00,97.15
3030.00,97.16
3029.00,97.18
3028.00,97.20
3027.00,97.21
3026.00,97.20
3025.00,97.17
3024.00,97.15
3023.00,97.13
3022.00,97.12
3021.00,97.12
3020.00,97.14
3019.00,97.15
3018.00,97.16
3017.00,97.16
3016.00,97.15
3015.00,97.13
3014.00,97.12
3013.00,97.12
3012.00,97.12
3011.00,97.13
3010.00,97.13
3009.00,97.12
3008.00,97.12
3007.00,97.11
3006.00,97.10
3005.00,97.08
3004.00,97.06
3003.00,97.04
3002.00,97.02
3001.00,97.00
3000.00,96.99
2999.00,96.98
2998.00,96.97
2997.00,96.95
2996.00,96.94
2995.00,96.93
2994.00,96.92
2993.00,96.91
2992.00,96.88
2991.00,96.86
2990.00,96.85
2989.00,96.83
2988.00,96.82
2987.00,96.82
2986.00,96.81
2985.00,96.81
2984.00,96.80
2983.00,96.79
2982.00,96.78
2981.00,96.78
2980.00,96.78
2979.00,96.76
2978.00,96.74
2977.00,96.72
2976.00,96.70
2975.00,96.68
2974.00,96.66
2973.00,96.65
2972.00,96.65
2971.00,96.66
2970.00,96.67
2969.00,96.67
2968.00,96.65
2967.00,96.62
2966.00,96.60
2965.00,96.59
2964.00,96.59
2963.00,96.59
2962.00,96.58
2961.00,96.57
2960.00,96.54
2959.00,96.51
2958.00,96.49
2957.00,96.46
2956.00,96.45
2955.00,96.43
2954.00,96.42
2953.00,96.41
2952.00,96.38
2951.00,96.35
2950.00,96.31
2949.00,96.26
2948.00,96.21
2947.00,96.16
2946.00,96.11
2945.00,96.08
2944.00,96.06
2943.00,96.04
2942.00,96.02
2941.00,95.99
2940.00,95.96
2939.00,95.92
2938.00,95.89
2937.00,95.87
2936.00,95.85
2935.00,95.83
2934.00,95.80
2933.00,95.77
2932.00,95.74
2931.00,95.72
2930.00,95.71
2929.00,95.69
2928.00,95.68
2927.00,95.69
2926.00,95.69
2925.00,95.70
2924.00,95.71
2923.00,95.70
2922.00,95.70
2921.00,95.70
2920.00,95.73
2919.00,95.76
2918.00,95.81
2917.00,95.86
2916.00,95.91
2915.00,95.97
2914.00,96.03
2913.00,96.09
2912.00,96.14
2911.00,96.18
2910.00,96.23
2909.00,96.29
2908.00,96.34
2907.00,96.39
2906.00,96.43
2905.00,96.47
2904.00,96.50
2903.00,96.53
2902.00,96.56
2901.00,96.58
2900.00,96.59
2899.00,96.60
2898.00,96.60
2897.00,96.61
2896.00,96.64
2895.00,96.68
2894.00,96.71
2893.00,96.73
2892.00,96.74
2891.00,96.75
2890.00,96.76
2889.00,96.77
2888.00,96.77
2887.00,96.77
2886.00,96.77
2885.00,96.76
2884.00,96.77
2883.00,96.77
2882.00,96.78
2881.00,96.79
2880.00,96.80
2879.00,96.81
2878.00,96.80
2877.00,96.80
2876.00,96.80
2875.00,96.80
2874.00,96.81
2873.00,96.81
2872.00,96.82
2871.00,96.83
2870.00,96.84
2869.00,96.84
2868.00,96.83
2867.00,96.81
2866.00,96.81
2865.00,96.81
2864.00,96.82
