Created as New Dataset,13.3 Red Wool Romney sheep
cm-1,%T
3649.00,98.60
3648.00,98.50
3647.00,98.44
3646.00,98.40
3645.00,98.36
3644.00,98.32
3643.00,98.27
3642.00,98.22
3641.00,98.17
3640.00,98.12
3639.00,98.08
3638.00,98.05
3637.00,98.00
3636.00,97.93
3635.00,97.86
3634.00,97.79
3633.00,97.72
3632.00,97.62
3631.00,97.51
3630.00,97.42
3629.00,97.36
3628.00,97.28
3627.00,97.21
3626.00,97.15
3625.00,97.11
3624.00,97.09
3623.00,97.04
3622.00,96.97
3621.00,96.89
3620.00,96.82
3619.00,96.77
3618.00,96.71
3617.00,96.63
3616.00,96.52
3615.00,96.41
3614.00,96.33
3613.00,96.29
3612.00,96.27
3611.00,96.22
3610.00,96.15
3609.00,96.06
3608.00,95.97
3607.00,95.89
3606.00,95.83
3605.00,95.79
3604.00,95.76
3603.00,95.72
3602.00,95.67
3601.00,95.59
3600.00,95.49
3599.00,95.38
3598.00,95.28
3597.00,95.17
3596.00,95.08
3595.00,95.01
3594.00,94.96
3593.00,94.93
3592.00,94.89
3591.00,94.83
3590.00,94.75
3589.00,94.65
3588.00,94.55
3587.00,94.46
3586.00,94.39
3585.00,94.35
3584.00,94.32
3583.00,94.29
3582.00,94.24
3581.00,94.18
3580.00,94.09
3579.00,94.00
3578.00,93.92
3577.00,93.83
3576.00,93.74
3575.00,93.66
3574.00,93.60
3573.00,93.54
3572.00,93.49
3571.00,93.41
3570.00,93.32
3569.00,93.21
3568.00,93.11
3567.00,93.02
3566.00,92.94
3565.00,92.87
3564.00,92.79
3563.00,92.72
3562.00,92.64
3561.00,92.57
3560.00,92.51
3559.00,92.44
3558.00,92.36
3557.00,92.29
3556.00,92.22
3555.00,92.15
3554.00,92.08
3553.00,92.01
3552.00,91.96
3551.00,91.90
3550.00,91.83
3549.00,91.75
3548.00,91.66
3547.00,91.58
3546.00,91.49
3545.00,91.40
3544.00,91.31
3543.00,91.23
3542.00,91.16
3541.00,91.10
3540.00,91.04
3539.00,90.98
3538.00,90.90
3537.00,90.82
3536.00,90.74
3535.00,90.66
3534.00,90.58
3533.00,90.51
3532.00,90.45
3531.00,90.41
3530.00,90.35
3529.00,90.28
3528.00,90.20
3527.00,90.12
3526.00,90.03
3525.00,89.94
3524.00,89.84
3523.00,89.75
3522.00,89.67
3521.00,89.59
3520.00,89.52
3519.00,89.46
3518.00,89.41
3517.00,89.36
3516.00,89.31
3515.00,89.25
3514.00,89.18
3513.00,89.10
3512.00,89.01
3511.00,88.91
3510.00,88.83
3509.00,88.76
3508.00,88.70
3507.00,88.63
3506.00,88.57
3505.00,88.50
3504.00,88.43
3503.00,88.36
3502.00,88.30
3501.00,88.25
3500.00,88.18
3499.00,88.10
3498.00,88.03
3497.00,87.95
3496.00,87.89
3495.00,87.83
3494.00,87.78
3493.00,87.73
3492.00,87.66
3491.00,87.58
3490.00,87.51
3489.00,87.45
3488.00,87.39
3487.00,87.34
3486.00,87.27
3485.00,87.19
3484.00,87.11
3483.00,87.04
3482.00,86.99
3481.00,86.94
3480.00,86.88
3479.00,86.80
3478.00,86.73
3477.00,86.66
3476.00,86.61
3475.00,86.57
3474.00,86.53
3473.00,86.47
3472.00,86.40
3471.00,86.32
3470.00,86.23
3469.00,86.14
3468.00,86.07
3467.00,86.03
3466.00,86.00
3465.00,85.97
3464.00,85.92
3463.00,85.85
3462.00,85.78
3461.00,85.72
3460.00,85.67
3459.00,85.62
3458.00,85.57
3457.00,85.51
3456.00,85.44
3455.00,85.38
3454.00,85.33
3453.00,85.29
3452.00,85.25
3451.00,85.21
3450.00,85.16
3449.00,85.09
3448.00,85.02
3447.00,84.96
3446.00,84.90
3445.00,84.85
3444.00,84.79
3443.00,84.74
3442.00,84.70
3441.00,84.66
3440.00,84.61
3439.00,84.56
3438.00,84.48
3437.00,84.41
3436.00,84.35
3435.00,84.30
3434.00,84.25
3433.00,84.20
3432.00,84.15
3431.00,84.09
3430.00,84.03
3429.00,83.96
3428.00,83.90
3427.00,83.84
3426.00,83.79
3425.00,83.74
3424.00,83.69
3423.00,83.65
3422.00,83.61
3421.00,83.57
3420.00,83.53
3419.00,83.47
3418.00,83.41
3417.00,83.35
3416.00,83.30
3415.00,83.27
3414.00,83.23
3413.00,83.18
3412.00,83.14
3411.00,83.10
3410.00,83.07
3409.00,83.06
3408.00,83.03
3407.00,82.99
3406.00,82.94
3405.00,82.89
3404.00,82.84
3403.00,82.80
3402.00,82.75
3401.00,82.70
3400.00,82.64
3399.00,82.59
3398.00,82.54
3397.00,82.50
3396.00,82.46
3395.00,82.42
3394.00,82.37
3393.00,82.32
3392.00,82.28
3391.00,82.24
3390.00,82.21
3389.00,82.18
3388.00,82.14
3387.00,82.11
3386.00,82.08
3385.00,82.04
3384.00,82.00
3383.00,81.94
3382.00,81.89
3381.00,81.85
3380.00,81.82
3379.00,81.80
3378.00,81.79
3377.00,81.77
3376.00,81.74
3375.00,81.71
3374.00,81.66
3373.00,81.61
3372.00,81.55
3371.00,81.51
3370.00,81.46
3369.00,81.41
3368.00,81.36
3367.00,81.30
3366.00,81.26
3365.00,81.23
3364.00,81.22
3363.00,81.21
3362.00,81.20
3361.00,81.18
3360.00,81.16
3359.00,81.13
3358.00,81.10
3357.00,81.07
3356.00,81.04
3355.00,81.00
3354.00,80.96
3353.00,80.91
3352.00,80.86
3351.00,80.82
3350.00,80.78
3349.00,80.74
3348.00,80.70
3347.00,80.67
3346.00,80.65
3345.00,80.63
3344.00,80.61
3343.00,80.59
3342.00,80.57
3341.00,80.54
3340.00,80.52
3339.00,80.49
3338.00,80.45
3337.00,80.41
3336.00,80.36
3335.00,80.29
3334.00,80.23
3333.00,80.18
3332.00,80.15
3331.00,80.14
3330.00,80.14
3329.00,80.13
3328.00,80.09
3327.00,80.04
3326.00,79.99
3325.00,79.95
3324.00,79.90
3323.00,79.86
3322.00,79.83
3321.00,79.79
3320.00,79.75
3319.00,79.72
3318.00,79.68
3317.00,79.64
3316.00,79.60
3315.00,79.56
3314.00,79.52
3313.00,79.47
3312.00,79.42
3311.00,79.38
3310.00,79.35
3309.00,79.32
3308.00,79.28
3307.00,79.24
3306.00,79.20
3305.00,79.15
3304.00,79.10
3303.00,79.06
3302.00,79.04
3301.00,79.02
3300.00,78.99
3299.00,78.94
3298.00,78.89
3297.00,78.85
3296.00,78.82
3295.00,78.80
3294.00,78.78
3293.00,78.76
3292.00,78.73
3291.00,78.70
3290.00,78.65
3289.00,78.61
3288.00,78.59
3287.00,78.58
3286.00,78.57
3285.00,78.55
3284.00,78.53
3283.00,78.51
3282.00,78.50
3281.00,78.51
3280.00,78.52
3279.00,78.54
3278.00,78.56
3277.00,78.56
3276.00,78.56
3275.00,78.56
3274.00,78.58
3273.00,78.60
3272.00,78.63
3271.00,78.66
3270.00,78.69
3269.00,78.71
3268.00,78.73
3267.00,78.76
3266.00,78.80
3265.00,78.83
3264.00,78.86
3263.00,78.87
3262.00,78.89
3261.00,78.93
3260.00,78.98
3259.00,79.05
3258.00,79.12
3257.00,79.17
3256.00,79.21
3255.00,79.24
3254.00,79.28
3253.00,79.33
3252.00,79.39
3251.00,79.46
3250.00,79.51
3249.00,79.56
3248.00,79.61
3247.00,79.66
3246.00,79.72
3245.00,79.77
3244.00,79.82
3243.00,79.87
3242.00,79.92
3241.00,79.97
3240.00,80.03
3239.00,80.08
3238.00,80.12
3237.00,80.16
3236.00,80.21
3235.00,80.26
3234.00,80.31
3233.00,80.35
3232.00,80.38
3231.00,80.42
3230.00,80.46
3229.00,80.51
3228.00,80.56
3227.00,80.60
3226.00,80.64
3225.00,80.68
3224.00,80.72
3223.00,80.75
3222.00,80.77
3221.00,80.80
3220.00,80.84
3219.00,80.89
3218.00,80.94
3217.00,80.98
3216.00,81.02
3215.00,81.07
3214.00,81.12
3213.00,81.18
3212.00,81.24
3211.00,81.30
3210.00,81.36
3209.00,81.42
3208.00,81.47
3207.00,81.52
3206.00,81.57
3205.00,81.62
3204.00,81.66
3203.00,81.69
3202.00,81.72
3201.00,81.75
3200.00,81.80
3199.00,81.85
3198.00,81.91
3197.00,81.97
3196.00,82.04
3195.00,82.11
3194.00,82.19
3193.00,82.26
3192.00,82.33
3191.00,82.39
3190.00,82.45
3189.00,82.51
3188.00,82.57
3187.00,82.63
3186.00,82.69
3185.00,82.75
3184.00,82.82
3183.00,82.90
3182.00,82.98
3181.00,83.06
3180.00,83.15
3179.00,83.23
3178.00,83.30
3177.00,83.37
3176.00,83.44
3175.00,83.50
3174.00,83.56
3173.00,83.62
3172.00,83.68
3171.00,83.75
3170.00,83.82
3169.00,83.88
3168.00,83.94
3167.00,84.00
3166.00,84.07
3165.00,84.14
3164.00,84.22
3163.00,84.30
3162.00,84.38
3161.00,84.46
3160.00,84.54
3159.00,84.61
3158.00,84.69
3157.00,84.77
3156.00,84.85
3155.00,84.93
3154.00,85.02
3153.00,85.09
3152.00,85.17
3151.00,85.24
3150.00,85.30
3149.00,85.36
3148.00,85.42
3147.00,85.47
3146.00,85.53
3145.00,85.58
3144.00,85.64
3143.00,85.69
3142.00,85.75
3141.00,85.81
3140.00,85.88
3139.00,85.97
3138.00,86.05
3137.00,86.14
3136.00,86.21
3135.00,86.27
3134.00,86.33
3133.00,86.38
3132.00,86.44
3131.00,86.50
3130.00,86.55
3129.00,86.59
3128.00,86.62
3127.00,86.66
3126.00,86.71
3125.00,86.76
3124.00,86.82
3123.00,86.88
3122.00,86.92
3121.00,86.97
3120.00,87.02
3119.00,87.09
3118.00,87.14
3117.00,87.18
3116.00,87.21
3115.00,87.24
3114.00,87.26
3113.00,87.30
3112.00,87.34
3111.00,87.37
3110.00,87.40
3109.00,87.42
3108.00,87.43
3107.00,87.45
3106.00,87.49
3105.00,87.53
3104.00,87.57
3103.00,87.60
3102.00,87.62
3101.00,87.65
3100.00,87.68
3099.00,87.72
3098.00,87.74
3097.00,87.76
3096.00,87.77
3095.00,87.78
3094.00,87.79
3093.00,87.81
3092.00,87.83
3091.00,87.86
3090.00,87.88
3089.00,87.90
3088.00,87.90
3087.00,87.91
3086.00,87.94
3085.00,87.97
3084.00,88.01
3083.00,88.04
3082.00,88.06
3081.00,88.07
3080.00,88.06
3079.00,88.06
3078.00,88.07
3077.00,88.10
3076.00,88.12
3075.00,88.14
3074.00,88.15
3073.00,88.17
3072.00,88.19
3071.00,88.22
3070.00,88.25
3069.00,88.28
3068.00,88.30
3067.00,88.32
3066.00,88.34
3065.00,88.37
3064.00,88.39
3063.00,88.43
3062.00,88.47
3061.00,88.52
3060.00,88.57
3059.00,88.62
3058.00,88.67
3057.00,88.73
3056.00,88.78
3055.00,88.82
3054.00,88.86
3053.00,88.89
3052.00,88.93
3051.00,88.98
3050.00,89.03
3049.00,89.09
3048.00,89.15
3047.00,89.21
3046.00,89.26
3045.00,89.31
3044.00,89.35
3043.00,89.40
3042.00,89.46
3041.00,89.51
3040.00,89.56
3039.00,89.62
3038.00,89.68
3037.00,89.73
3036.00,89.78
3035.00,89.83
