Created as New Dataset,14.3 Red Wool sheep crepe
cm-1,%T
3649.00,96.30
3648.00,96.26
3647.00,96.26
3646.00,96.27
3645.00,96.30
3644.00,96.33
3643.00,96.35
3642.00,96.38
3641.00,96.38
3640.00,96.39
3639.00,96.38
3638.00,96.37
3637.00,96.34
3636.00,96.28
3635.00,96.22
3634.00,96.16
3633.00,96.10
3632.00,96.03
3631.00,95.98
3630.00,95.93
3629.00,95.89
3628.00,95.85
3627.00,95.83
3626.00,95.83
3625.00,95.85
3624.00,95.86
3623.00,95.84
3622.00,95.78
3621.00,95.72
3620.00,95.67
3619.00,95.63
3618.00,95.61
3617.00,95.59
3616.00,95.57
3615.00,95.54
3614.00,95.50
3613.00,95.47
3612.00,95.45
3611.00,95.45
3610.00,95.46
3609.00,95.47
3608.00,95.45
3607.00,95.41
3606.00,95.35
3605.00,95.29
3604.00,95.24
3603.00,95.20
3602.00,95.18
3601.00,95.16
3600.00,95.13
3599.00,95.10
3598.00,95.06
3597.00,95.01
3596.00,94.97
3595.00,94.94
3594.00,94.93
3593.00,94.92
3592.00,94.90
3591.00,94.85
3590.00,94.80
3589.00,94.75
3588.00,94.71
3587.00,94.67
3586.00,94.63
3585.00,94.59
3584.00,94.55
3583.00,94.51
3582.00,94.48
3581.00,94.47
3580.00,94.46
3579.00,94.46
3578.00,94.43
3577.00,94.40
3576.00,94.36
3575.00,94.33
3574.00,94.28
3573.00,94.23
3572.00,94.18
3571.00,94.12
3570.00,94.08
3569.00,94.06
3568.00,94.06
3567.00,94.06
3566.00,94.04
3565.00,94.00
3564.00,93.96
3563.00,93.93
3562.00,93.90
3561.00,93.87
3560.00,93.84
3559.00,93.80
3558.00,93.75
3557.00,93.69
3556.00,93.63
3555.00,93.57
3554.00,93.52
3553.00,93.48
3552.00,93.45
3551.00,93.42
3550.00,93.39
3549.00,93.35
3548.00,93.31
3547.00,93.28
3546.00,93.25
3545.00,93.22
3544.00,93.19
3543.00,93.17
3542.00,93.16
3541.00,93.15
3540.00,93.13
3539.00,93.11
3538.00,93.08
3537.00,93.05
3536.00,93.01
3535.00,92.97
3534.00,92.93
3533.00,92.89
3532.00,92.84
3531.00,92.79
3530.00,92.73
3529.00,92.69
3528.00,92.66
3527.00,92.61
3526.00,92.56
3525.00,92.52
3524.00,92.50
3523.00,92.50
3522.00,92.50
3521.00,92.49
3520.00,92.46
3519.00,92.42
3518.00,92.40
3517.00,92.38
3516.00,92.36
3515.00,92.34
3514.00,92.31
3513.00,92.29
3512.00,92.26
3511.00,92.23
3510.00,92.18
3509.00,92.12
3508.00,92.07
3507.00,92.03
3506.00,92.00
3505.00,91.98
3504.00,91.96
3503.00,91.94
3502.00,91.91
3501.00,91.88
3500.00,91.84
3499.00,91.79
3498.00,91.75
3497.00,91.72
3496.00,91.69
3495.00,91.68
3494.00,91.67
3493.00,91.66
3492.00,91.64
3491.00,91.62
3490.00,91.60
3489.00,91.60
3488.00,91.60
3487.00,91.59
3486.00,91.55
3485.00,91.50
3484.00,91.43
3483.00,91.35
3482.00,91.29
3481.00,91.26
3480.00,91.25
3479.00,91.24
3478.00,91.22
3477.00,91.18
3476.00,91.13
3475.00,91.11
3474.00,91.10
3473.00,91.09
3472.00,91.07
3471.00,91.02
3470.00,90.97
3469.00,90.90
3468.00,90.85
3467.00,90.82
3466.00,90.82
3465.00,90.82
3464.00,90.81
3463.00,90.78
3462.00,90.75
3461.00,90.72
3460.00,90.69
3459.00,90.66
3458.00,90.64
3457.00,90.61
3456.00,90.59
3455.00,90.56
3454.00,90.53
3453.00,90.49
3452.00,90.44
3451.00,90.40
3450.00,90.36
3449.00,90.33
3448.00,90.31
3447.00,90.29
3446.00,90.27
3445.00,90.23
3444.00,90.20
3443.00,90.18
3442.00,90.16
3441.00,90.13
3440.00,90.08
3439.00,90.02
3438.00,89.98
3437.00,89.96
3436.00,89.95
3435.00,89.93
3434.00,89.91
3433.00,89.87
3432.00,89.84
3431.00,89.81
3430.00,89.79
3429.00,89.75
3428.00,89.71
3427.00,89.65
3426.00,89.61
3425.00,89.57
3424.00,89.54
3423.00,89.51
3422.00,89.48
3421.00,89.44
3420.00,89.40
3419.00,89.35
3418.00,89.31
3417.00,89.28
3416.00,89.26
3415.00,89.24
3414.00,89.22
3413.00,89.19
3412.00,89.17
3411.00,89.13
3410.00,89.09
3409.00,89.05
3408.00,89.00
3407.00,88.97
3406.00,88.95
3405.00,88.92
3404.00,88.89
3403.00,88.84
3402.00,88.79
3401.00,88.74
3400.00,88.70
3399.00,88.69
3398.00,88.68
3397.00,88.68
3396.00,88.67
3395.00,88.64
3394.00,88.60
3393.00,88.55
3392.00,88.52
3391.00,88.49
3390.00,88.46
3389.00,88.43
3388.00,88.39
3387.00,88.35
3386.00,88.31
3385.00,88.28
3384.00,88.25
3383.00,88.21
3382.00,88.18
3381.00,88.15
3380.00,88.12
3379.00,88.09
3378.00,88.06
3377.00,88.02
3376.00,88.00
3375.00,87.98
