Created as New Dataset,11. Acrylic Bayer
cm-1,%T
3648.00,99.98
3647.00,99.98
3646.00,99.98
3645.00,99.96
3644.00,99.93
3643.00,99.91
3642.00,99.89
3641.00,99.89
3640.00,99.89
3639.00,99.91
3638.00,99.93
3637.00,99.94
3636.00,99.95
3635.00,99.94
3634.00,99.93
3633.00,99.93
3632.00,99.95
3631.00,99.97
3630.00,99.99
3629.00,100.00
3628.00,100.00
3627.00,99.99
3626.00,99.96
3625.00,99.92
3624.00,99.88
3623.00,99.88
3622.00,99.89
3621.00,99.91
3620.00,99.91
3619.00,99.91
3618.00,99.90
3617.00,99.89
3616.00,99.88
3615.00,99.86
3614.00,99.85
3613.00,99.84
3612.00,99.85
3611.00,99.87
3610.00,99.87
3609.00,99.86
3608.00,99.85
3607.00,99.85
3606.00,99.85
3605.00,99.86
3604.00,99.86
3603.00,99.87
3602.00,99.86
3601.00,99.85
3600.00,99.84
3599.00,99.85
3598.00,99.86
3597.00,99.88
3596.00,99.88
3595.00,99.88
3594.00,99.88
3593.00,99.88
3592.00,99.89
3591.00,99.91
3590.00,99.93
3589.00,99.94
3588.00,99.95
3587.00,99.95
3586.00,99.95
3585.00,99.95
3584.00,99.94
3583.00,99.92
3582.00,99.91
3581.00,99.89
3580.00,99.88
3579.00,99.86
3578.00,99.85
3577.00,99.85
3576.00,99.85
3575.00,99.85
3574.00,99.85
3573.00,99.85
3572.00,99.87
3571.00,99.90
3570.00,99.92
3569.00,99.92
3568.00,99.91
3567.00,99.90
3566.00,99.90
3565.00,99.91
3564.00,99.93
3563.00,99.96
3562.00,99.97
3561.00,99.96
3560.00,99.94
3559.00,99.93
3558.00,99.92
3557.00,99.92
3556.00,99.93
3555.00,99.93
3554.00,99.90
3553.00,99.85
3552.00,99.81
3551.00,99.79
3550.00,99.79
3549.00,99.81
3548.00,99.83
3547.00,99.83
3546.00,99.84
3545.00,99.85
3544.00,99.87
3543.00,99.89
3542.00,99.89
3541.00,99.88
3540.00,99.87
3539.00,99.87
3538.00,99.87
3537.00,99.86
3536.00,99.86
3535.00,99.85
3534.00,99.84
3533.00,99.82
3532.00,99.81
3531.00,99.79
3530.00,99.79
3529.00,99.80
3528.00,99.81
3527.00,99.83
3526.00,99.86
3525.00,99.88
3524.00,99.89
3523.00,99.89
3522.00,99.89
3521.00,99.89
3520.00,99.89
3519.00,99.90
3518.00,99.90
3517.00,99.90
3516.00,99.90
3515.00,99.89
3514.00,99.88
3513.00,99.87
3512.00,99.87
3511.00,99.89
3510.00,99.90
3509.00,99.92
3508.00,99.93
3507.00,99.94
3506.00,99.95
3505.00,99.94
3504.00,99.91
3503.00,99.88
3502.00,99.86
3501.00,99.84
3500.00,99.83
3499.00,99.82
3498.00,99.82
3497.00,99.83
3496.00,99.85
3495.00,99.87
3494.00,99.89
3493.00,99.89
3492.00,99.89
3491.00,99.88
3490.00,99.89
3489.00,99.91
3488.00,99.92
3487.00,99.92
3486.00,99.90
3485.00,99.88
3484.00,99.87
3483.00,99.86
3482.00,99.87
3481.00,99.89
3480.00,99.92
3479.00,99.93
3478.00,99.93
3477.00,99.91
3476.00,99.88
3475.00,99.87
3474.00,99.87
3473.00,99.88
3472.00,99.89
3471.00,99.89
3470.00,99.88
3469.00,99.86
3468.00,99.86
3467.00,99.87
3466.00,99.88
3465.00,99.88
3464.00,99.89
3463.00,99.90
3462.00,99.91
3461.00,99.92
3460.00,99.92
3459.00,99.92
3458.00,99.92
3457.00,99.91
3456.00,99.91
3455.00,99.90
3454.00,99.90
3453.00,99.90
3452.00,99.90
3451.00,99.89
3450.00,99.89
