Created as New Dataset,12.2 Red Icelandic sheep
cm-1,%T
3648.00,100.47
3647.00,100.45
3646.00,100.49
3645.00,100.54
3644.00,100.59
3643.00,100.63
3642.00,100.64
3641.00,100.61
3640.00,100.55
3639.00,100.49
3638.00,100.45
3637.00,100.41
3636.00,100.37
3635.00,100.33
3634.00,100.30
3633.00,100.24
3632.00,100.13
3631.00,99.99
3630.00,99.91
3629.00,99.89
3628.00,99.88
3627.00,99.84
3626.00,99.79
3625.00,99.77
3624.00,99.76
3623.00,99.76
3622.00,99.73
3621.00,99.68
3620.00,99.64
3619.00,99.60
3618.00,99.54
3617.00,99.47
3616.00,99.39
3615.00,99.32
3614.00,99.29
3613.00,99.25
3612.00,99.21
3611.00,99.14
3610.00,99.07
3609.00,99.02
3608.00,98.99
3607.00,98.97
3606.00,98.94
3605.00,98.91
3604.00,98.89
3603.00,98.86
3602.00,98.84
3601.00,98.82
3600.00,98.80
3599.00,98.78
3598.00,98.73
3597.00,98.67
3596.00,98.61
3595.00,98.56
3594.00,98.52
3593.00,98.48
3592.00,98.44
3591.00,98.38
3590.00,98.31
3589.00,98.25
3588.00,98.20
3587.00,98.15
3586.00,98.11
3585.00,98.06
3584.00,98.03
3583.00,98.01
3582.00,97.98
3581.00,97.94
3580.00,97.91
3579.00,97.87
3578.00,97.84
3577.00,97.80
3576.00,97.75
3575.00,97.68
3574.00,97.62
3573.00,97.58
3572.00,97.55
3571.00,97.51
3570.00,97.44
3569.00,97.36
3568.00,97.26
3567.00,97.18
3566.00,97.12
3565.00,97.08
3564.00,97.06
3563.00,97.06
3562.00,97.05
3561.00,97.03
3560.00,96.99
3559.00,96.93
3558.00,96.87
3557.00,96.80
3556.00,96.74
3555.00,96.69
3554.00,96.66
3553.00,96.62
3552.00,96.58
3551.00,96.52
3550.00,96.46
3549.00,96.40
3548.00,96.36
3547.00,96.33
3546.00,96.30
3545.00,96.26
3544.00,96.21
3543.00,96.15
3542.00,96.10
3541.00,96.03
3540.00,95.95
3539.00,95.87
3538.00,95.82
3537.00,95.80
3536.00,95.79
3535.00,95.76
3534.00,95.71
3533.00,95.64
3532.00,95.58
3531.00,95.54
3530.00,95.51
3529.00,95.47
3528.00,95.43
3527.00,95.38
3526.00,95.32
3525.00,95.26
3524.00,95.20
3523.00,95.14
3522.00,95.09
3521.00,95.03
3520.00,94.99
3519.00,94.95
3518.00,94.91
3517.00,94.89
3516.00,94.85
3515.00,94.81
3514.00,94.75
3513.00,94.70
3512.00,94.65
3511.00,94.61
3510.00,94.58
3509.00,94.55
3508.00,94.53
