Created as New Dataset,81. Nylon Allied Signal Fibers
cm-1,%T
3649.00,98.90
3648.00,98.91
3647.00,98.89
3646.00,98.84
3645.00,98.79
3644.00,98.75
3643.00,98.74
3642.00,98.74
3641.00,98.74
3640.00,98.74
3639.00,98.73
3638.00,98.74
3637.00,98.75
3636.00,98.76
3635.00,98.77
3634.00,98.78
3633.00,98.82
3632.00,98.87
3631.00,98.92
3630.00,98.94
3629.00,98.93
3628.00,98.92
3627.00,98.90
3626.00,98.87
3625.00,98.80
3624.00,98.76
3623.00,98.77
3622.00,98.78
3621.00,98.79
3620.00,98.77
3619.00,98.77
3618.00,98.79
3617.00,98.83
3616.00,98.85
3615.00,98.84
3614.00,98.81
3613.00,98.79
3612.00,98.79
3611.00,98.79
3610.00,98.77
3609.00,98.73
3608.00,98.69
3607.00,98.67
3606.00,98.66
3605.00,98.65
3604.00,98.64
3603.00,98.63
3602.00,98.63
3601.00,98.65
3600.00,98.67
3599.00,98.68
3598.00,98.69
3597.00,98.68
3596.00,98.65
3595.00,98.63
3594.00,98.61
3593.00,98.61
3592.00,98.62
3591.00,98.63
3590.00,98.64
3589.00,98.64
3588.00,98.64
3587.00,98.63
3586.00,98.61
3585.00,98.58
3584.00,98.54
3583.00,98.51
3582.00,98.50
3581.00,98.51
3580.00,98.53
3579.00,98.55
3578.00,98.56
3577.00,98.55
3576.00,98.54
3575.00,98.54
3574.00,98.54
3573.00,98.55
3572.00,98.56
3571.00,98.58
3570.00,98.59
3569.00,98.59
3568.00,98.57
3567.00,98.55
3566.00,98.53
3565.00,98.53
3564.00,98.51
3563.00,98.48
3562.00,98.44
3561.00,98.42
3560.00,98.41
3559.00,98.39
3558.00,98.37
3557.00,98.36
3556.00,98.35
3555.00,98.35
3554.00,98.34
3553.00,98.33
3552.00,98.33
3551.00,98.34
3550.00,98.34
3549.00,98.33
3548.00,98.32
3547.00,98.31
3546.00,98.31
3545.00,98.31
3544.00,98.31
3543.00,98.29
3542.00,98.24
3541.00,98.21
3540.00,98.18
3539.00,98.18
3538.00,98.19
3537.00,98.21
3536.00,98.23
3535.00,98.23
3534.00,98.22
3533.00,98.19
3532.00,98.18
3531.00,98.18
3530.00,98.20
3529.00,98.21
3528.00,98.20
3527.00,98.17
3526.00,98.13
3525.00,98.10
3524.00,98.08
3523.00,98.08
3522.00,98.08
3521.00,98.08
3520.00,98.08
3519.00,98.07
3518.00,98.05
3517.00,98.05
3516.00,98.04
3515.00,98.04
3514.00,98.03
3513.00,98.03
3512.00,98.03
3511.00,98.04
3510.00,98.05
3509.00,98.05
3508.00,98.05
3507.00,98.04
3506.00,98.03
3505.00,98.00
3504.00,97.98
3503.00,97.96
3502.00,97.94
3501.00,97.94
3500.00,97.94
3499.00,97.93
3498.00,97.92
3497.00,97.91
3496.00,97.90
3495.00,97.89
3494.00,97.88
3493.00,97.86
3492.00,97.83
3491.00,97.81
3490.00,97.80
3489.00,97.81
3488.00,97.84
3487.00,97.87
3486.00,97.88
3485.00,97.87
3484.00,97.85
3483.00,97.82
3482.00,97.81
3481.00,97.82
3480.00,97.84
3479.00,97.88
3478.00,97.90
3477.00,97.89
3476.00,97.86
3475.00,97.83
3474.00,97.83
3473.00,97.83
3472.00,97.84
3471.00,97.83
3470.00,97.81
3469.00,97.77
3468.00,97.74
3467.00,97.72
3466.00,97.72
3465.00,97.74
3464.00,97.75
3463.00,97.77
3462.00,97.78
3461.00,97.79
3460.00,97.79
3459.00,97.78
3458.00,97.77
3457.00,97.75
3456.00,97.73
3455.00,97.73
3454.00,97.73
3453.00,97.73
3452.00,97.73
3451.00,97.72
3450.00,97.72
3449.00,97.72
3448.00,97.72
3447.00,97.73
3446.00,97.73
3445.00,97.73
3444.00,97.70
3443.00,97.68
3442.00,97.66
3441.00,97.65
3440.00,97.66
3439.00,97.66
3438.00,97.65
3437.00,97.63
3436.00,97.60
3435.00,97.58
3434.00,97.57
3433.00,97.58
3432.00,97.59
3431.00,97.61
3430.00,97.63
3429.00,97.64
3428.00,97.65
3427.00,97.66
3426.00,97.66
3425.00,97.66
3424.00,97.66
3423.00,97.66
3422.00,97.66
3421.00,97.65
3420.00,97.63
3419.00,97.60
3418.00,97.58
3417.00,97.57
3416.00,97.56
3415.00,97.56
3414.00,97.56
3413.00,97.57
3412.00,97.58
3411.00,97.58
3410.00,97.56
3409.00,97.54
3408.00,97.52
3407.00,97.51
3406.00,97.49
3405.00,97.48
3404.00,97.46
3403.00,97.45
3402.00,97.45
3401.00,97.44
3400.00,97.42
3399.00,97.40
3398.00,97.39
3397.00,97.39
3396.00,97.41
3395.00,97.41
3394.00,97.41
3393.00,97.39
3392.00,97.37
3391.00,97.35
3390.00,97.33
3389.00,97.32
3388.00,97.32
3387.00,97.31
3386.00,97.29
3385.00,97.27
3384.00,97.25
3383.00,97.23
3382.00,97.22
3381.00,97.21
3380.00,97.20
3379.00,97.19
3378.00,97.17
3377.00,97.15
3376.00,97.13
3375.00,97.10
3374.00,97.07
3373.00,97.04
3372.00,97.01
3371.00,96.98
3370.00,96.97
3369.00,96.96
3368.00,96.94
3367.00,96.91
3366.00,96.87
3365.00,96.82
3364.00,96.77
3363.00,96.73
3362.00,96.70
3361.00,96.67
3360.00,96.63
3359.00,96.58
3358.00,96.52
3357.00,96.46
3356.00,96.41
3355.00,96.35
3354.00,96.29
3353.00,96.22
3352.00,96.14
3351.00,96.07
3350.00,96.01
3349.00,95.95
3348.00,95.90
3347.00,95.84
3346.00,95.77
3345.00,95.70
3344.00,95.64
3343.00,95.57
3342.00,95.49
3341.00,95.39
3340.00,95.29
3339.00,95.19
3338.00,95.10
3337.00,95.00
3336.00,94.90
3335.00,94.78
3334.00,94.67
3333.00,94.55
3332.00,94.45
3331.00,94.35
3330.00,94.25
3329.00,94.14
3328.00,94.01
3327.00,93.87
3326.00,93.71
3325.00,93.55
3324.00,93.38
3323.00,93.23
3322.00,93.07
3321.00,92.93
3320.00,92.78
3319.00,92.63
3318.00,92.47
3317.00,92.30
3316.00,92.12
3315.00,91.95
3314.00,91.78
3313.00,91.61
3312.00,91.44
3311.00,91.26
3310.00,91.08
3309.00,90.91
3308.00,90.75
3307.00,90.60
3306.00,90.44
3305.00,90.27
3304.00,90.10
3303.00,89.95
3302.00,89.84
3301.00,89.75
3300.00,89.67
3299.00,89.61
3298.00,89.56
3297.00,89.54
3296.00,89.54
3295.00,89.55
3294.00,89.57
3293.00,89.59
3292.00,89.63
3291.00,89.68
3290.00,89.75
3289.00,89.83
3288.00,89.92
3287.00,90.01
3286.00,90.08
3285.00,90.16
3284.00,90.24
3283.00,90.32
3282.00,90.41
3281.00,90.50
3280.00,90.59
3279.00,90.67
3278.00,90.74
3277.00,90.82
3276.00,90.89
3275.00,90.96
3274.00,91.04
3273.00,91.12
3272.00,91.21
3271.00,91.31
3270.00,91.42
3269.00,91.52
3268.00,91.62
3267.00,91.72
3266.00,91.80
3265.00,91.88
3264.00,91.97
3263.00,92.06
3262.00,92.17
3261.00,92.30
3260.00,92.43
3259.00,92.56
3258.00,92.68
3257.00,92.79
3256.00,92.90
3255.00,92.99
3254.00,93.07
3253.00,93.15
3252.00,93.24
3251.00,93.36
3250.00,93.51
3249.00,93.64
3248.00,93.76
3247.00,93.86
3246.00,93.95
3245.00,94.04
3244.00,94.14
3243.00,94.23
3242.00,94.31
3241.00,94.40
3240.00,94.48
3239.00,94.57
3238.00,94.64
3237.00,94.69
3236.00,94.75
3235.00,94.80
3234.00,94.87
3233.00,94.95
3232.00,95.02
3231.00,95.08
3230.00,95.13
3229.00,95.18
3228.00,95.24
3227.00,95.30
3226.00,95.35
3225.00,95.40
3224.00,95.45
3223.00,95.49
3222.00,95.53
3221.00,95.57
3220.00,95.60
3219.00,95.64
3218.00,95.67
3217.00,95.70
3216.00,95.72
3215.00,95.74
3214.00,95.75
3213.00,95.77
3212.00,95.79
3211.00,95.82
3210.00,95.86
3209.00,95.89
3208.00,95.91
3207.00,95.93
3206.00,95.94
3205.00,95.96
3204.00,95.99
3203.00,96.03
3202.00,96.06
3201.00,96.09
3200.00,96.12
3199.00,96.15
3198.00,96.16
3197.00,96.17
3196.00,96.17
3195.00,96.18
3194.00,96.21
3193.00,96.24
3192.00,96.27
3191.00,96.31
3190.00,96.33
3189.00,96.36
3188.00,96.39
3187.00,96.42
3186.00,96.46
3185.00,96.50
3184.00,96.53
3183.00,96.53
3182.00,96.53
3181.00,96.55
3180.00,96.58
3179.00,96.64
3178.00,96.69
3177.00,96.74
3176.00,96.79
3175.00,96.83
3174.00,96.86
3173.00,96.88
3172.00,96.89
3171.00,96.90
3170.00,96.91
3169.00,96.93
3168.00,96.96
3167.00,97.00
3166.00,97.05
3165.00,97.11
3164.00,97.16
3163.00,97.20
3162.00,97.21
3161.00,97.22
3160.00,97.23
3159.00,97.26
3158.00,97.28
3157.00,97.29
3156.00,97.29
3155.00,97.30
3154.00,97.32
3153.00,97.34
3152.00,97.36
3151.00,97.38
3150.00,97.38
3149.00,97.39
3148.00,97.39
3147.00,97.39
3146.00,97.39
3145.00,97.38
3144.00,97.37
3143.00,97.39
3142.00,97.41
3141.00,97.42
3140.00,97.42
3139.00,97.41
3138.00,97.39
3137.00,97.37
3136.00,97.36
3135.00,97.36
3134.00,97.36
3133.00,97.37
3132.00,97.38
3131.00,97.39
3130.00,97.38
3129.00,97.38
3128.00,97.38
3127.00,97.38
3126.00,97.37
3125.00,97.36
3124.00,97.35
3123.00,97.33
3122.00,97.31
3121.00,97.30
3120.00,97.28
3119.00,97.26
3118.00,97.23
3117.00,97.22
3116.00,97.20
3115.00,97.18
3114.00,97.15
3113.00,97.12
3112.00,97.09
3111.00,97.06
3110.00,97.01
3109.00,96.96
3108.00,96.90
3107.00,96.86
3106.00,96.84
3105.00,96.81
3104.00,96.79
3103.00,96.76
3102.00,96.71
3101.00,96.66
3100.00,96.62
3099.00,96.58
3098.00,96.54
3097.00,96.50
3096.00,96.46
3095.00,96.41
3094.00,96.37
3093.00,96.35
3092.00,96.34
3091.00,96.34
3090.00,96.35
3089.00,96.33
3088.00,96.30
3087.00,96.28
3086.00,96.26
3085.00,96.25
3084.00,96.24
3083.00,96.23
3082.00,96.21
3081.00,96.20
3080.00,96.19
3079.00,96.19
3078.00,96.19
3077.00,96.19
3076.00,96.20
3075.00,96.22
3074.00,96.23
3073.00,96.24
3072.00,96.26
3071.00,96.28
3070.00,96.31
3069.00,96.35
3068.00,96.39
3067.00,96.44
3066.00,96.48
3065.00,96.51
3064.00,96.54
3063.00,96.56
3062.00,96.57
3061.00,96.59
3060.00,96.62
3059.00,96.66
3058.00,96.71
3057.00,96.76
3056.00,96.82
3055.00,96.87
3054.00,96.92
3053.00,96.95
3052.00,96.98
3051.00,97.01
3050.00,97.05
3049.00,97.09
3048.00,97.14
3047.00,97.19
3046.00,97.24
3045.00,97.30
3044.00,97.35
3043.00,97.40
3042.00,97.43
3041.00,97.44
3040.00,97.45
3039.00,97.47
3038.00,97.51
3037.00,97.55
3036.00,97.61
3035.00,97.65
3034.00,97.68
3033.00,97.70
3032.00,97.72
3031.00,97.72
3030.00,97.73
3029.00,97.73
3028.00,97.74
3027.00,97.75
3026.00,97.77
3025.00,97.79
3024.00,97.82
3023.00,97.84
3022.00,97.86
3021.00,97.86
3020.00,97.87
3019.00,97.87
3018.00,97.87
3017.00,97.88
3016.00,97.89
3015.00,97.89
3014.00,97.89
3013.00,97.89
3012.00,97.89
3011.00,97.89
3010.00,97.89
3009.00,97.89
3008.00,97.90
3007.00,97.91
3006.00,97.92
3005.00,97.92
3004.00,97.91
3003.00,97.90
3002.00,97.90
3001.00,97.90
3000.00,97.91
2999.00,97.92
2998.00,97.93
2997.00,97.93
2996.00,97.91
2995.00,97.89
2994.00,97.86
2993.00,97.85
2992.00,97.82
2991.00,97.79
2990.00,97.74
2989.00,97.70
2988.00,97.67
2987.00,97.65
2986.00,97.63
2985.00,97.61
2984.00,97.57
2983.00,97.51
2982.00,97.44
2981.00,97.37
2980.00,97.31
2979.00,97.25
2978.00,97.18
2977.00,97.11
2976.00,97.03
2975.00,96.94
2974.00,96.84
2973.00,96.73
2972.00,96.63
2971.00,96.53
2970.00,96.42
2969.00,96.31
2968.00,96.19
2967.00,96.06
2966.00,95.92
2965.00,95.77
2964.00,95.62
2963.00,95.47
2962.00,95.32
2961.00,95.15
2960.00,94.98
2959.00,94.81
2958.00,94.62
2957.00,94.43
2956.00,94.23
2955.00,94.02
2954.00,93.81
2953.00,93.59
2952.00,93.35
2951.00,93.09
2950.00,92.82
2949.00,92.56
2948.00,92.31
2947.00,92.08
2946.00,91.86
2945.00,91.66
2944.00,91.46
2943.00,91.29
2942.00,91.12
2941.00,90.95
2940.00,90.79
2939.00,90.65
2938.00,90.53
2937.00,90.45
2936.00,90.38
2935.00,90.33
2934.00,90.30
2933.00,90.29
2932.00,90.30
2931.00,90.33
2930.00,90.36
2929.00,90.40
2928.00,90.44
2927.00,90.49
2926.00,90.56
2925.00,90.66
2924.00,90.78
2923.00,90.93
2922.00,91.09
2921.00,91.26
2920.00,91.43
2919.00,91.59
2918.00,91.76
2917.00,91.93
2916.00,92.09
2915.00,92.24
2914.00,92.40
2913.00,92.56
2912.00,92.72
2911.00,92.87
2910.00,92.99
2909.00,93.10
2908.00,93.21
2907.00,93.31
2906.00,93.42
2905.00,93.52
2904.00,93.62
2903.00,93.71
2902.00,93.79
2901.00,93.86
2900.00,93.92
2899.00,93.98
2898.00,94.05
2897.00,94.13
2896.00,94.22
2895.00,94.32
2894.00,94.42
2893.00,94.52
2892.00,94.60
2891.00,94.68
2890.00,94.75
2889.00,94.80
2888.00,94.84
2887.00,94.87
2886.00,94.89
2885.00,94.90
2884.00,94.88
2883.00,94.83
2882.00,94.75
2881.00,94.65
2880.00,94.53
2879.00,94.41
2878.00,94.28
2877.00,94.14
2876.00,93.97
2875.00,93.79
2874.00,93.60
2873.00,93.43
2872.00,93.27
2871.00,93.13
2870.00,93.01
2869.00,92.89
2868.00,92.77
2867.00,92.67
2866.00,92.58
2865.00,92.50
2864.00,92.42
2863.00,92.36
2862.00,92.32
2861.00,92.31
2860.00,92.32
2859.00,92.36
2858.00,92.42
2857.00,92.50
2856.00,92.61
2855.00,92.74
2854.00,92.89
2853.00,93.07
2852.00,93.28
2851.00,93.52
2850.00,93.78
2849.00,94.07
2848.00,94.36
2847.00,94.66
2846.00,94.95
2845.00,95.23
2844.00,95.50
2843.00,95.74
2842.00,95.96
2841.00,96.15
2840.00,96.31
2839.00,96.45
2838.00,96.57
2837.00,96.68
2836.00,96.78
2835.00,96.86
2834.00,96.91
2833.00,96.96
2832.00,97.01
2831.00,97.06
2830.00,97.11
2829.00,97.16
2828.00,97.19
2827.00,97.21
2826.00,97.23
2825.00,97.26
2824.00,97.28
2823.00,97.31
2822.00,97.33
2821.00,97.35
2820.00,97.37
2819.00,97.40
2818.00,97.42
2817.00,97.43
2816.00,97.45
2815.00,97.47
2814.00,97.50
2813.00,97.53
2812.00,97.57
2811.00,97.60
2810.00,97.63
2809.00,97.64
2808.00,97.65
2807.00,97.65
2806.00,97.65
2805.00,97.66
2804.00,97.68
2803.00,97.71
2802.00,97.73
2801.00,97.75
2800.00,97.77
2799.00,97.78
2798.00,97.80
2797.00,97.81
2796.00,97.82
2795.00,97.83
2794.00,97.85
2793.00,97.86
2792.00,97.87
2791.00,97.86
2790.00,97.86
2789.00,97.86
2788.00,97.88
2787.00,97.89
2786.00,97.91
2785.00,97.93
2784.00,97.95
2783.00,97.97
2782.00,97.98
2781.00,97.99
2780.00,98.00
2779.00,98.01
2778.00,98.01
2777.00,98.02
2776.00,98.02
2775.00,98.03
2774.00,98.04
2773.00,98.06
2772.00,98.08
2771.00,98.10
2770.00,98.11
2769.00,98.11
2768.00,98.10
2767.00,98.08
2766.00,98.07
2765.00,98.06
2764.00,98.06
2763.00,98.07
2762.00,98.08
2761.00,98.10
2760.00,98.11
2759.00,98.12
2758.00,98.12
2757.00,98.11
2756.00,98.10
2755.00,98.09
2754.00,98.10
2753.00,98.11
2752.00,98.12
2751.00,98.12
2750.00,98.13
2749.00,98.14
2748.00,98.15
2747.00,98.15
2746.00,98.15
2745.00,98.14
2744.00,98.14
2743.00,98.14
2742.00,98.15
2741.00,98.16
2740.00,98.17
2739.00,98.18
2738.00,98.17
2737.00,98.17
2736.00,98.16
2735.00,98.16
2734.00,98.16
2733.00,98.18
2732.00,98.19
2731.00,98.20
2730.00,98.19
2729.00,98.19
2728.00,98.20
2727.00,98.21
2726.00,98.22
2725.00,98.23
2724.00,98.24
2723.00,98.24
2722.00,98.25
2721.00,98.24
2720.00,98.23
2719.00,98.22
2718.00,98.23
2717.00,98.24
2716.00,98.25
2715.00,98.25
2714.00,98.25
2713.00,98.24
2712.00,98.24
2711.00,98.25
2710.00,98.27
2709.00,98.29
2708.00,98.31
2707.00,98.32
2706.00,98.33
2705.00,98.32
2704.00,98.32
2703.00,98.31
2702.00,98.30
2701.00,98.29
2700.00,98.29
2699.00,98.29
2698.00,98.30
2697.00,98.31
2696.00,98.31
2695.00,98.32
2694.00,98.31
2693.00,98.31
2692.00,98.32
2691.00,98.34
2690.00,98.35
2689.00,98.35
2688.00,98.35
2687.00,98.35
2686.00,98.36
2685.00,98.38
2684.00,98.39
2683.00,98.39
2682.00,98.40
2681.00,98.39
2680.00,98.39
2679.00,98.38
2678.00,98.37
2677.00,98.37
2676.00,98.38
2675.00,98.39
2674.00,98.39
2673.00,98.38
2672.00,98.38
2671.00,98.37
2670.00,98.37
2669.00,98.38
2668.00,98.38
2667.00,98.38
2666.00,98.36
2665.00,98.35
2664.00,98.35
2663.00,98.36
2662.00,98.37
2661.00,98.37
2660.00,98.35
2659.00,98.34
2658.00,98.32
2657.00,98.32
2656.00,98.32
2655.00,98.33
2654.00,98.34
2653.00,98.34
2652.00,98.34
2651.00,98.33
2650.00,98.33
2649.00,98.32
2648.00,98.31
2647.00,98.31
2646.00,98.30
2645.00,98.29
2644.00,98.27
2643.00,98.25
2642.00,98.25
2641.00,98.25
2640.00,98.26
2639.00,98.27
2638.00,98.27
2637.00,98.27
2636.00,98.26
2635.00,98.26
2634.00,98.25
2633.00,98.26
2632.00,98.27
2631.00,98.28
2630.00,98.28
2629.00,98.28
2628.00,98.26
2627.00,98.25
2626.00,98.24
2625.00,98.24
2624.00,98.23
2623.00,98.22
2622.00,98.21
2621.00,98.19
2620.00,98.19
2619.00,98.19
2618.00,98.19
2617.00,98.20
2616.00,98.21
2615.00,98.21
2614.00,98.23
2613.00,98.23
2612.00,98.24
2611.00,98.24
2610.00,98.24
2609.00,98.23
2608.00,98.21
2607.00,98.20
2606.00,98.19
2605.00,98.19
2604.00,98.19
2603.00,98.19
2602.00,98.18
2601.00,98.18
2600.00,98.18
2599.00,98.20
2598.00,98.22
2597.00,98.22
2596.00,98.21
2595.00,98.20
2594.00,98.20
2593.00,98.21
2592.00,98.20
2591.00,98.19
2590.00,98.16
2589.00,98.16
2588.00,98.17
2587.00,98.18
2586.00,98.20
2585.00,98.21
2584.00,98.20
2583.00,98.19
2582.00,98.17
2581.00,98.14
2580.00,98.12
2579.00,98.11
2578.00,98.11
2577.00,98.13
2576.00,98.15
2575.00,98.16
2574.00,98.17
2573.00,98.17
2572.00,98.18
2571.00,98.19
2570.00,98.18
2569.00,98.15
2568.00,98.12
2567.00,98.11
2566.00,98.12
2565.00,98.12
2564.00,98.12
2563.00,98.12
2562.00,98.12
2561.00,98.14
2560.00,98.15
2559.00,98.15
2558.00,98.14
2557.00,98.12
2556.00,98.11
2555.00,98.11
2554.00,98.12
2553.00,98.13
2552.00,98.14
2551.00,98.16
2550.00,98.18
2549.00,98.19
2548.00,98.19
2547.00,98.18
2546.00,98.17
2545.00,98.17
2544.00,98.17
2543.00,98.16
2542.00,98.15
2541.00,98.14
2540.00,98.14
2539.00,98.13
2538.00,98.12
2537.00,98.10
2536.00,98.07
2535.00,98.07
2534.00,98.09
2533.00,98.11
2532.00,98.13
2531.00,98.12
2530.00,98.11
2529.00,98.10
2528.00,98.11
2527.00,98.12
2526.00,98.14
2525.00,98.15
2524.00,98.15
2523.00,98.15
2522.00,98.15
2521.00,98.15
2520.00,98.15
2519.00,98.15
2518.00,98.16
2517.00,98.16
2516.00,98.18
2515.00,98.19
2514.00,98.20
2513.00,98.22
