Created as New Dataset,176. Shaw industries (Beige)
cm-1,%T
3648.00,97.72
3647.00,97.71
3646.00,97.71
3645.00,97.71
3644.00,97.72
3643.00,97.73
3642.00,97.75
3641.00,97.77
3640.00,97.78
3639.00,97.78
3638.00,97.77
3637.00,97.75
3636.00,97.73
3635.00,97.71
3634.00,97.70
3633.00,97.71
3632.00,97.72
3631.00,97.73
3630.00,97.74
3629.00,97.74
3628.00,97.74
3627.00,97.72
3626.00,97.71
3625.00,97.72
3624.00,97.74
3623.00,97.75
3622.00,97.77
3621.00,97.79
3620.00,97.80
3619.00,97.81
3618.00,97.80
3617.00,97.76
3616.00,97.73
3615.00,97.70
3614.00,97.69
3613.00,97.68
3612.00,97.67
3611.00,97.66
3610.00,97.68
3609.00,97.71
3608.00,97.75
3607.00,97.78
3606.00,97.80
3605.00,97.81
3604.00,97.82
3603.00,97.83
3602.00,97.84
3601.00,97.84
3600.00,97.83
3599.00,97.79
3598.00,97.75
3597.00,97.73
3596.00,97.73
3595.00,97.74
3594.00,97.74
3593.00,97.73
3592.00,97.72
3591.00,97.74
3590.00,97.78
3589.00,97.82
3588.00,97.84
3587.00,97.83
3586.00,97.81
3585.00,97.80
3584.00,97.81
3583.00,97.82
3582.00,97.82
3581.00,97.82
3580.00,97.81
3579.00,97.82
3578.00,97.84
3577.00,97.86
3576.00,97.87
3575.00,97.86
3574.00,97.83
3573.00,97.81
3572.00,97.79
3571.00,97.78
3570.00,97.76
3569.00,97.74
3568.00,97.72
3567.00,97.70
3566.00,97.70
3565.00,97.69
3564.00,97.69
3563.00,97.68
3562.00,97.66
3561.00,97.63
3560.00,97.61
3559.00,97.60
3558.00,97.61
3557.00,97.63
3556.00,97.65
3555.00,97.67
3554.00,97.67
3553.00,97.66
3552.00,97.64
3551.00,97.62
3550.00,97.60
3549.00,97.60
3548.00,97.61
3547.00,97.63
3546.00,97.65
3545.00,97.66
3544.00,97.67
3543.00,97.69
3542.00,97.70
3541.00,97.69
3540.00,97.66
3539.00,97.63
3538.00,97.61
3537.00,97.60
3536.00,97.61
3535.00,97.62
3534.00,97.64
3533.00,97.68
3532.00,97.72
3531.00,97.76
3530.00,97.78
3529.00,97.79
3528.00,97.79
3527.00,97.78
3526.00,97.77
3525.00,97.75
3524.00,97.75
3523.00,97.75
3522.00,97.74
3521.00,97.74
3520.00,97.73
3519.00,97.74
3518.00,97.77
3517.00,97.79
3516.00,97.80
3515.00,97.80
3514.00,97.80
3513.00,97.80
3512.00,97.82
3511.00,97.84
3510.00,97.86
3509.00,97.85
3508.00,97.83
3507.00,97.80
3506.00,97.78
3505.00,97.77
3504.00,97.76
3503.00,97.76
3502.00,97.76
3501.00,97.77
3500.00,97.79
3499.00,97.80
3498.00,97.80
3497.00,97.80
3496.00,97.81
3495.00,97.82
3494.00,97.83
3493.00,97.84
3492.00,97.85
3491.00,97.85
3490.00,97.85
3489.00,97.86
3488.00,97.85
3487.00,97.82
3486.00,97.79
3485.00,97.76
3484.00,97.74
3483.00,97.74
3482.00,97.74
3481.00,97.74
3480.00,97.75
3479.00,97.76
3478.00,97.76
3477.00,97.77
3476.00,97.78
3475.00,97.79
3474.00,97.79
3473.00,97.77
3472.00,97.75
3471.00,97.75
3470.00,97.75
3469.00,97.75
3468.00,97.73
3467.00,97.70
3466.00,97.68
3465.00,97.66
3464.00,97.67
3463.00,97.69
3462.00,97.71
3461.00,97.71
3460.00,97.70
3459.00,97.67
3458.00,97.64
3457.00,97.61
3456.00,97.59
3455.00,97.58
3454.00,97.58
3453.00,97.57
3452.00,97.56
3451.00,97.55
3450.00,97.53
3449.00,97.52
3448.00,97.51
3447.00,97.51
3446.00,97.48
