Created as New Dataset,128 Shaw Industries (Dark blue/Black)
cm-1,%T
3649.00,100.61
3648.00,100.64
3647.00,100.65
3646.00,100.65
3645.00,100.63
3644.00,100.61
3643.00,100.60
3642.00,100.61
3641.00,100.62
3640.00,100.62
3639.00,100.62
3638.00,100.61
3637.00,100.61
3636.00,100.62
3635.00,100.66
3634.00,100.73
3633.00,100.77
3632.00,100.77
3631.00,100.73
3630.00,100.70
3629.00,100.69
3628.00,100.69
3627.00,100.67
3626.00,100.66
3625.00,100.66
3624.00,100.67
3623.00,100.67
3622.00,100.67
3621.00,100.67
3620.00,100.68
3619.00,100.69
3618.00,100.69
3617.00,100.69
3616.00,100.69
3615.00,100.68
3614.00,100.68
3613.00,100.67
3612.00,100.64
3611.00,100.61
3610.00,100.58
3609.00,100.58
3608.00,100.58
3607.00,100.58
3606.00,100.59
3605.00,100.60
3604.00,100.61
3603.00,100.61
3602.00,100.61
3601.00,100.61
3600.00,100.63
3599.00,100.64
3598.00,100.66
3597.00,100.66
3596.00,100.66
3595.00,100.65
3594.00,100.64
3593.00,100.64
3592.00,100.65
3591.00,100.67
3590.00,100.68
3589.00,100.67
3588.00,100.65
3587.00,100.62
3586.00,100.59
3585.00,100.56
3584.00,100.54
3583.00,100.54
3582.00,100.53
3581.00,100.53
3580.00,100.52
3579.00,100.51
3578.00,100.52
3577.00,100.53
3576.00,100.55
3575.00,100.57
3574.00,100.59
3573.00,100.60
3572.00,100.62
3571.00,100.64
3570.00,100.64
3569.00,100.63
3568.00,100.62
3567.00,100.60
3566.00,100.59
3565.00,100.58
3564.00,100.58
3563.00,100.58
3562.00,100.57
3561.00,100.56
3560.00,100.54
3559.00,100.52
3558.00,100.51
3557.00,100.52
3556.00,100.53
3555.00,100.52
3554.00,100.52
3553.00,100.51
3552.00,100.52
3551.00,100.53
3550.00,100.53
3549.00,100.52
3548.00,100.51
3547.00,100.50
3546.00,100.50
3545.00,100.51
3544.00,100.50
3543.00,100.48
3542.00,100.46
3541.00,100.44
3540.00,100.44
3539.00,100.44
3538.00,100.44
3537.00,100.44
3536.00,100.43
3535.00,100.43
3534.00,100.43
3533.00,100.44
3532.00,100.45
3531.00,100.46
3530.00,100.46
3529.00,100.46
3528.00,100.45
3527.00,100.43
3526.00,100.42
3525.00,100.42
3524.00,100.43
3523.00,100.43
3522.00,100.41
3521.00,100.38
3520.00,100.37
3519.00,100.37
3518.00,100.38
3517.00,100.40
3516.00,100.41
3515.00,100.43
3514.00,100.44
3513.00,100.45
3512.00,100.47
3511.00,100.49
3510.00,100.51
3509.00,100.50
3508.00,100.46
3507.00,100.40
3506.00,100.34
3505.00,100.31
3504.00,100.31
3503.00,100.34
3502.00,100.36
3501.00,100.36
3500.00,100.34
3499.00,100.32
3498.00,100.30
3497.00,100.29
3496.00,100.30
3495.00,100.31
3494.00,100.32
3493.00,100.34
3492.00,100.37
3491.00,100.39
3490.00,100.39
3489.00,100.37
3488.00,100.33
3487.00,100.30
3486.00,100.29
3485.00,100.31
3484.00,100.36
3483.00,100.40
3482.00,100.43
3481.00,100.42
3480.00,100.39
3479.00,100.36
3478.00,100.34
3477.00,100.33
3476.00,100.32
3475.00,100.30
3474.00,100.29
3473.00,100.29
3472.00,100.30
3471.00,100.30
3470.00,100.30
3469.00,100.30
3468.00,100.30
3467.00,100.32
3466.00,100.34
3465.00,100.34
3464.00,100.33
3463.00,100.32
3462.00,100.32
3461.00,100.32
3460.00,100.33
3459.00,100.34
3458.00,100.33
3457.00,100.32
3456.00,100.31
3455.00,100.30
3454.00,100.31
3453.00,100.32
3452.00,100.33
3451.00,100.34
3450.00,100.34
3449.00,100.35
3448.00,100.34
3447.00,100.32
3446.00,100.29
3445.00,100.26
3444.00,100.25
3443.00,100.25
3442.00,100.26
3441.00,100.26
3440.00,100.25
3439.00,100.24
3438.00,100.23
3437.00,100.21
3436.00,100.21
3435.00,100.21
3434.00,100.23
3433.00,100.27
3432.00,100.30
3431.00,100.31
3430.00,100.30
3429.00,100.28
3428.00,100.26
3427.00,100.26
3426.00,100.26
3425.00,100.25
3424.00,100.25
3423.00,100.25
3422.00,100.25
3421.00,100.26
3420.00,100.26
3419.00,100.26
3418.00,100.24
3417.00,100.24
3416.00,100.24
3415.00,100.26
3414.00,100.29
3413.00,100.30
3412.00,100.31
3411.00,100.31
3410.00,100.30
3409.00,100.30
3408.00,100.30
3407.00,100.30
3406.00,100.31
3405.00,100.31
3404.00,100.30
3403.00,100.29
3402.00,100.28
3401.00,100.27
3400.00,100.26
3399.00,100.26
3398.00,100.26
3397.00,100.26
3396.00,100.27
3395.00,100.28
3394.00,100.28
3393.00,100.28
3392.00,100.26
3391.00,100.24
3390.00,100.22
3389.00,100.22
3388.00,100.23
3387.00,100.25
3386.00,100.26
3385.00,100.26
3384.00,100.26
3383.00,100.26
3382.00,100.26
3381.00,100.26
3380.00,100.26
3379.00,100.24
3378.00,100.23
3377.00,100.22
3376.00,100.23
3375.00,100.25
3374.00,100.27
3373.00,100.27
3372.00,100.26
3371.00,100.26
3370.00,100.26
3369.00,100.28
3368.00,100.30
3367.00,100.32
3366.00,100.31
3365.00,100.29
3364.00,100.26
3363.00,100.23
3362.00,100.22
3361.00,100.22
3360.00,100.24
3359.00,100.26
3358.00,100.27
3357.00,100.27
3356.00,100.26
3355.00,100.25
3354.00,100.24
3353.00,100.24
3352.00,100.24
3351.00,100.24
3350.00,100.24
3349.00,100.24
3348.00,100.25
3347.00,100.25
3346.00,100.24
3345.00,100.24
3344.00,100.24
3343.00,100.25
3342.00,100.26
3341.00,100.28
3340.00,100.29
3339.00,100.28
3338.00,100.28
3337.00,100.27
3336.00,100.27
3335.00,100.27
3334.00,100.27
3333.00,100.28
3332.00,100.29
3331.00,100.29
3330.00,100.29
3329.00,100.28
3328.00,100.26
3327.00,100.26
3326.00,100.27
3325.00,100.28
3324.00,100.31
3323.00,100.33
3322.00,100.35
3321.00,100.34
3320.00,100.33
3319.00,100.31
3318.00,100.30
3317.00,100.30
3316.00,100.30
3315.00,100.30
3314.00,100.29
3313.00,100.28
3312.00,100.28
3311.00,100.28
3310.00,100.30
3309.00,100.31
3308.00,100.32
3307.00,100.31
3306.00,100.29
3305.00,100.28
3304.00,100.28
3303.00,100.28
3302.00,100.29
3301.00,100.29
3300.00,100.29
3299.00,100.30
3298.00,100.31
3297.00,100.31
3296.00,100.31
3295.00,100.30
3294.00,100.29
3293.00,100.28
3292.00,100.28
3291.00,100.28
3290.00,100.28
3289.00,100.28
3288.00,100.28
3287.00,100.27
3286.00,100.27
3285.00,100.27
3284.00,100.28
3283.00,100.31
3282.00,100.35
3281.00,100.37
3280.00,100.36
3279.00,100.34
3278.00,100.30
3277.00,100.28
3276.00,100.26
3275.00,100.26
3274.00,100.26
3273.00,100.25
3272.00,100.24
3271.00,100.23
3270.00,100.24
3269.00,100.25
3268.00,100.26
3267.00,100.27
3266.00,100.28
3265.00,100.29
3264.00,100.29
3263.00,100.29
3262.00,100.29
3261.00,100.29
3260.00,100.28
3259.00,100.29
3258.00,100.29
3257.00,100.29
3256.00,100.29
3255.00,100.28
3254.00,100.27
3253.00,100.26
3252.00,100.27
3251.00,100.28
3250.00,100.29
3249.00,100.30
3248.00,100.30
3247.00,100.31
3246.00,100.31
3245.00,100.31
3244.00,100.30
3243.00,100.29
3242.00,100.30
3241.00,100.31
3240.00,100.32
3239.00,100.31
3238.00,100.28
3237.00,100.26
3236.00,100.25
3235.00,100.27
3234.00,100.30
3233.00,100.31
3232.00,100.31
3231.00,100.29
3230.00,100.28
3229.00,100.26
3228.00,100.25
3227.00,100.24
3226.00,100.23
3225.00,100.22
3224.00,100.22
3223.00,100.21
3222.00,100.21
3221.00,100.21
3220.00,100.21
3219.00,100.21
3218.00,100.22
3217.00,100.22
3216.00,100.22
3215.00,100.22
3214.00,100.23
3213.00,100.22
3212.00,100.22
3211.00,100.22
3210.00,100.22
3209.00,100.22
3208.00,100.24
3207.00,100.25
3206.00,100.25
3205.00,100.24
3204.00,100.23
3203.00,100.21
3202.00,100.20
3201.00,100.20
3200.00,100.20
3199.00,100.22
3198.00,100.24
3197.00,100.25
3196.00,100.24
3195.00,100.22
3194.00,100.21
3193.00,100.20
3192.00,100.21
3191.00,100.20
3190.00,100.20
3189.00,100.19
3188.00,100.20
3187.00,100.21
3186.00,100.24
3185.00,100.27
3184.00,100.28
3183.00,100.28
3182.00,100.25
3181.00,100.22
3180.00,100.19
3179.00,100.18
3178.00,100.18
3177.00,100.20
3176.00,100.22
3175.00,100.23
3174.00,100.23
3173.00,100.21
3172.00,100.20
3171.00,100.21
3170.00,100.25
3169.00,100.27
3168.00,100.28
3167.00,100.27
3166.00,100.25
3165.00,100.23
3164.00,100.23
3163.00,100.24
3162.00,100.25
3161.00,100.27
3160.00,100.28
3159.00,100.30
3158.00,100.32
3157.00,100.32
3156.00,100.30
3155.00,100.28
3154.00,100.27
3153.00,100.26
3152.00,100.25
3151.00,100.25
3150.00,100.26
3149.00,100.27
3148.00,100.28
3147.00,100.29
3146.00,100.30
3145.00,100.29
3144.00,100.28
3143.00,100.28
3142.00,100.28
3141.00,100.28
3140.00,100.27
3139.00,100.27
3138.00,100.27
3137.00,100.28
3136.00,100.28
3135.00,100.29
3134.00,100.29
3133.00,100.30
3132.00,100.32
3131.00,100.33
3130.00,100.33
3129.00,100.32
3128.00,100.30
3127.00,100.29
3126.00,100.29
3125.00,100.31
3124.00,100.32
3123.00,100.32
3122.00,100.30
3121.00,100.30
3120.00,100.30
3119.00,100.31
3118.00,100.32
3117.00,100.32
3116.00,100.31
3115.00,100.31
3114.00,100.32
3113.00,100.33
3112.00,100.34
3111.00,100.35
