Created as New Dataset,12.3 Red Wool Lincoln sheep
cm-1,%T
3649.00,101.60
3648.00,101.51
3647.00,101.48
3646.00,101.47
3645.00,101.47
3644.00,101.47
3643.00,101.47
3642.00,101.49
3641.00,101.51
3640.00,101.51
3639.00,101.50
3638.00,101.51
3637.00,101.51
3636.00,101.50
3635.00,101.49
3634.00,101.47
3633.00,101.43
3632.00,101.34
3631.00,101.24
3630.00,101.19
3629.00,101.19
3628.00,101.19
3627.00,101.14
3626.00,101.07
3625.00,101.03
3624.00,101.02
3623.00,101.02
3622.00,100.99
3621.00,100.94
3620.00,100.88
3619.00,100.81
3618.00,100.74
3617.00,100.68
3616.00,100.63
3615.00,100.61
3614.00,100.61
3613.00,100.63
3612.00,100.62
3611.00,100.58
3610.00,100.53
3609.00,100.51
3608.00,100.53
3607.00,100.55
3606.00,100.56
3605.00,100.55
3604.00,100.53
3603.00,100.51
3602.00,100.47
3601.00,100.43
3600.00,100.37
3599.00,100.31
3598.00,100.24
3597.00,100.19
3596.00,100.14
3595.00,100.11
3594.00,100.10
3593.00,100.09
3592.00,100.06
3591.00,100.00
3590.00,99.93
3589.00,99.86
3588.00,99.82
3587.00,99.80
3586.00,99.80
3585.00,99.79
3584.00,99.78
3583.00,99.76
3582.00,99.74
3581.00,99.72
3580.00,99.71
3579.00,99.71
3578.00,99.68
3577.00,99.64
3576.00,99.57
3575.00,99.51
3574.00,99.46
3573.00,99.43
3572.00,99.40
3571.00,99.36
3570.00,99.30
3569.00,99.24
3568.00,99.18
3567.00,99.13
3566.00,99.08
3565.00,99.03
3564.00,99.00
3563.00,98.99
3562.00,98.98
3561.00,98.97
3560.00,98.95
3559.00,98.92
3558.00,98.90
3557.00,98.88
3556.00,98.86
3555.00,98.83
3554.00,98.79
3553.00,98.74
3552.00,98.70
3551.00,98.66
3550.00,98.61
3549.00,98.57
3548.00,98.52
3547.00,98.48
3546.00,98.44
3545.00,98.40
3544.00,98.36
3543.00,98.33
3542.00,98.31
3541.00,98.31
3540.00,98.30
3539.00,98.28
3538.00,98.23
3537.00,98.19
3536.00,98.14
3535.00,98.10
3534.00,98.07
3533.00,98.05
3532.00,98.02
3531.00,97.98
3530.00,97.94
3529.00,97.89
3528.00,97.83
3527.00,97.77
3526.00,97.71
3525.00,97.66
3524.00,97.63
3523.00,97.62
3522.00,97.61
3521.00,97.60
3520.00,97.57
3519.00,97.55
3518.00,97.52
3517.00,97.49
3516.00,97.47
3515.00,97.45
3514.00,97.43
3513.00,97.41
3512.00,97.37
3511.00,97.33
3510.00,97.29
3509.00,97.26
3508.00,97.23
3507.00,97.20
3506.00,97.16
3505.00,97.12
3504.00,97.08
3503.00,97.05
3502.00,97.03
3501.00,97.02
3500.00,97.00
3499.00,96.98
3498.00,96.95
3497.00,96.90
3496.00,96.85
3495.00,96.81
3494.00,96.78
3493.00,96.75
3492.00,96.73
3491.00,96.70
3490.00,96.67
3489.00,96.65
3488.00,96.64
3487.00,96.63
3486.00,96.61
3485.00,96.58
3484.00,96.54
3483.00,96.52
3482.00,96.49
3481.00,96.46
3480.00,96.42
3479.00,96.40
3478.00,96.37
3477.00,96.35
3476.00,96.32
3475.00,96.28
3474.00,96.24
3473.00,96.20
3472.00,96.18
3471.00,96.17
3470.00,96.15
3469.00,96.12
3468.00,96.08
3467.00,96.05
3466.00,96.02
3465.00,95.98
3464.00,95.95
3463.00,95.92
3462.00,95.90
3461.00,95.88
3460.00,95.86
3459.00,95.83
3458.00,95.80
3457.00,95.77
3456.00,95.75
3455.00,95.74
3454.00,95.72
3453.00,95.70
3452.00,95.67
3451.00,95.64
3450.00,95.62
3449.00,95.61
3448.00,95.59
3447.00,95.56
3446.00,95.51
3445.00,95.46
3444.00,95.42
3443.00,95.40
3442.00,95.39
3441.00,95.38
3440.00,95.36
3439.00,95.33
3438.00,95.28
3437.00,95.24
3436.00,95.19
3435.00,95.16
3434.00,95.13
3433.00,95.10
3432.00,95.08
3431.00,95.06
3430.00,95.04
3429.00,95.01
3428.00,94.99
3427.00,94.97
3426.00,94.95
3425.00,94.91
3424.00,94.88
3423.00,94.85
3422.00,94.82
3421.00,94.80
3420.00,94.77
3419.00,94.76
3418.00,94.74
3417.00,94.73
3416.00,94.70
3415.00,94.67
3414.00,94.62
3413.00,94.58
3412.00,94.56
3411.00,94.55
3410.00,94.53
3409.00,94.50
3408.00,94.46
3407.00,94.42
3406.00,94.38
3405.00,94.36
3404.00,94.35
3403.00,94.34
3402.00,94.33
3401.00,94.31
3400.00,94.27
3399.00,94.23
3398.00,94.20
3397.00,94.17
3396.00,94.15
3395.00,94.12
3394.00,94.09
3393.00,94.06
3392.00,94.04
3391.00,94.03
3390.00,94.02
3389.00,94.01
3388.00,93.98
3387.00,93.95
3386.00,93.92
3385.00,93.89
3384.00,93.85
3383.00,93.82
3382.00,93.79
3381.00,93.76
3380.00,93.75
3379.00,93.73
3378.00,93.71
3377.00,93.67
3376.00,93.63
3375.00,93.60
3374.00,93.57
3373.00,93.54
3372.00,93.51
3371.00,93.49
3370.00,93.46
3369.00,93.44
3368.00,93.41
3367.00,93.38
3366.00,93.35
3365.00,93.30
3364.00,93.27
3363.00,93.25
3362.00,93.23
3361.00,93.21
3360.00,93.18
3359.00,93.15
3358.00,93.11
3357.00,93.06
3356.00,93.01
3355.00,92.96
3354.00,92.93
3353.00,92.89
3352.00,92.86
3351.00,92.83
3350.00,92.80
3349.00,92.76
3348.00,92.72
3347.00,92.68
3346.00,92.63
3345.00,92.60
3344.00,92.59
3343.00,92.59
3342.00,92.59
3341.00,92.58
3340.00,92.57
3339.00,92.54
3338.00,92.50
3337.00,92.46
3336.00,92.40
3335.00,92.35
3334.00,92.29
3333.00,92.24
3332.00,92.20
3331.00,92.17
3330.00,92.15
3329.00,92.13
3328.00,92.10
3327.00,92.05
3326.00,92.01
3325.00,91.97
3324.00,91.93
3323.00,91.90
3322.00,91.85
3321.00,91.80
3320.00,91.74
3319.00,91.68
3318.00,91.64
3317.00,91.60
3316.00,91.57
3315.00,91.55
3314.00,91.52
3313.00,91.49
3312.00,91.45
3311.00,91.41
3310.00,91.37
3309.00,91.33
3308.00,91.30
3307.00,91.29
3306.00,91.27
3305.00,91.24
3304.00,91.20
3303.00,91.15
3302.00,91.10
3301.00,91.06
3300.00,91.02
3299.00,90.98
3298.00,90.94
3297.00,90.90
3296.00,90.86
3295.00,90.84
3294.00,90.82
3293.00,90.79
3292.00,90.75
3291.00,90.71
3290.00,90.68
3289.00,90.66
3288.00,90.66
3287.00,90.66
3286.00,90.65
3285.00,90.64
3284.00,90.61
3283.00,90.59
3282.00,90.56
3281.00,90.54
3280.00,90.54
3279.00,90.56
3278.00,90.58
3277.00,90.59
3276.00,90.58
3275.00,90.56
3274.00,90.54
3273.00,90.53
3272.00,90.53
3271.00,90.55
3270.00,90.57
3269.00,90.60
3268.00,90.63
3267.00,90.65
3266.00,90.67
3265.00,90.69
3264.00,90.71
3263.00,90.74
3262.00,90.76
3261.00,90.78
3260.00,90.80
3259.00,90.83
3258.00,90.87
3257.00,90.92
3256.00,90.97
3255.00,91.03
3254.00,91.09
3253.00,91.14
3252.00,91.19
3251.00,91.22
3250.00,91.26
3249.00,91.29
3248.00,91.33
3247.00,91.37
3246.00,91.40
3245.00,91.42
3244.00,91.45
3243.00,91.48
3242.00,91.52
3241.00,91.56
3240.00,91.60
3239.00,91.63
3238.00,91.66
3237.00,91.68
3236.00,91.69
3235.00,91.70
3234.00,91.73
3233.00,91.79
3232.00,91.85
3231.00,91.90
3230.00,91.94
3229.00,91.96
3228.00,91.98
3227.00,91.99
3226.00,92.01
3225.00,92.03
3224.00,92.06
3223.00,92.08
3222.00,92.10
3221.00,92.12
3220.00,92.15
3219.00,92.17
3218.00,92.20
3217.00,92.24
3216.00,92.28
3215.00,92.33
3214.00,92.37
3213.00,92.40
3212.00,92.42
3211.00,92.44
3210.00,92.46
3209.00,92.47
3208.00,92.50
3207.00,92.53
3206.00,92.57
3205.00,92.62
3204.00,92.65
3203.00,92.68
3202.00,92.70
3201.00,92.72
3200.00,92.75
3199.00,92.77
3198.00,92.80
3197.00,92.85
3196.00,92.90
3195.00,92.95
3194.00,92.98
3193.00,93.00
3192.00,93.03
3191.00,93.06
3190.00,93.10
3189.00,93.16
3188.00,93.22
3187.00,93.27
3186.00,93.31
3185.00,93.34
3184.00,93.37
3183.00,93.41
3182.00,93.44
3181.00,93.47
3180.00,93.51
3179.00,93.57
3178.00,93.63
3177.00,93.69
3176.00,93.74
3175.00,93.77
3174.00,93.80
3173.00,93.83
3172.00,93.88
3171.00,93.93
3170.00,93.99
3169.00,94.04
3168.00,94.09
3167.00,94.13
3166.00,94.17
3165.00,94.23
3164.00,94.28
3163.00,94.34
3162.00,94.39
3161.00,94.44
3160.00,94.49
3159.00,94.53
3158.00,94.58
3157.00,94.61
3156.00,94.64
3155.00,94.67
3154.00,94.72
3153.00,94.77
3152.00,94.82
3151.00,94.86
3150.00,94.90
3149.00,94.95
3148.00,95.01
3147.00,95.06
3146.00,95.11
3145.00,95.13
3144.00,95.14
3143.00,95.15
3142.00,95.18
3141.00,95.22
3140.00,95.27
3139.00,95.32
3138.00,95.36
3137.00,95.40
3136.00,95.43
3135.00,95.47
3134.00,95.50
3133.00,95.51
3132.00,95.53
3131.00,95.56
3130.00,95.59
3129.00,95.61
3128.00,95.64
3127.00,95.66
3126.00,95.69
3125.00,95.71
3124.00,95.72
3123.00,95.74
3122.00,95.76
3121.00,95.78
3120.00,95.80
3119.00,95.83
3118.00,95.86
3117.00,95.89
3116.00,95.91
3115.00,95.93
3114.00,95.93
3113.00,95.91
3112.00,95.89
3111.00,95.88
3110.00,95.88
3109.00,95.89
3108.00,95.90
3107.00,95.93
3106.00,95.96
3105.00,95.97
3104.00,95.97
3103.00,95.96
3102.00,95.95
3101.00,95.95
3100.00,95.97
3099.00,95.99
3098.00,95.99
3097.00,95.98
3096.00,95.95
3095.00,95.91
3094.00,95.88
3093.00,95.86
3092.00,95.87
3091.00,95.89
3090.00,95.90
3089.00,95.91
3088.00,95.90
3087.00,95.87
3086.00,95.84
3085.00,95.82
3084.00,95.81
3083.00,95.79
3082.00,95.77
3081.00,95.75
3080.00,95.73
3079.00,95.71
3078.00,95.71
3077.00,95.70
3076.00,95.70
3075.00,95.70
3074.00,95.69
3073.00,95.69
3072.00,95.68
3071.00,95.68
3070.00,95.69
3069.00,95.70
3068.00,95.72
3067.00,95.73
3066.00,95.74
3065.00,95.74
3064.00,95.74
3063.00,95.74
