Created as New Dataset,17. Cyanenka SA
cm-1,%T
3648.00,99.97
3647.00,99.97
3646.00,99.94
3645.00,99.90
3644.00,99.85
3643.00,99.83
3642.00,99.83
3641.00,99.87
3640.00,99.91
3639.00,99.95
3638.00,99.98
3637.00,99.99
3636.00,99.99
3635.00,99.99
3634.00,99.98
3633.00,99.97
3632.00,99.96
3631.00,99.94
3630.00,99.93
3629.00,99.93
3628.00,99.94
3627.00,99.95
3626.00,99.94
3625.00,99.94
3624.00,99.94
3623.00,99.96
3622.00,99.98
3621.00,99.99
3620.00,99.97
3619.00,99.94
3618.00,99.91
3617.00,99.90
3616.00,99.91
3615.00,99.94
3614.00,99.96
3613.00,99.96
3612.00,99.92
3611.00,99.88
3610.00,99.84
3609.00,99.83
3608.00,99.85
3607.00,99.88
3606.00,99.91
3605.00,99.91
3604.00,99.91
3603.00,99.91
3602.00,99.92
3601.00,99.94
3600.00,99.96
3599.00,99.96
3598.00,99.94
3597.00,99.92
3596.00,99.90
3595.00,99.90
3594.00,99.90
3593.00,99.90
3592.00,99.89
3591.00,99.88
3590.00,99.88
3589.00,99.88
3588.00,99.89
3587.00,99.91
3586.00,99.94
3585.00,99.95
3584.00,99.94
3583.00,99.92
3582.00,99.90
3581.00,99.89
3580.00,99.88
3579.00,99.87
3578.00,99.86
3577.00,99.86
3576.00,99.86
3575.00,99.85
3574.00,99.85
3573.00,99.86
3572.00,99.88
3571.00,99.91
3570.00,99.92
3569.00,99.92
3568.00,99.92
3567.00,99.94
3566.00,99.96
3565.00,99.97
3564.00,99.97
3563.00,99.96
3562.00,99.96
3561.00,99.96
3560.00,99.96
3559.00,99.97
3558.00,99.97
3557.00,99.97
3556.00,99.96
3555.00,99.94
3554.00,99.93
3553.00,99.93
3552.00,99.93
3551.00,99.92
3550.00,99.91
3549.00,99.89
3548.00,99.88
3547.00,99.88
3546.00,99.89
3545.00,99.90
3544.00,99.91
3543.00,99.92
3542.00,99.93
3541.00,99.94
3540.00,99.95
3539.00,99.96
3538.00,99.96
3537.00,99.95
3536.00,99.93
3535.00,99.91
3534.00,99.90
3533.00,99.91
3532.00,99.92
3531.00,99.94
3530.00,99.94
3529.00,99.93
3528.00,99.93
3527.00,99.93
3526.00,99.93
3525.00,99.92
3524.00,99.91
3523.00,99.89
3522.00,99.88
3521.00,99.88
3520.00,99.90
3519.00,99.91
3518.00,99.93
3517.00,99.94
3516.00,99.94
3515.00,99.95
3514.00,99.97
3513.00,99.98
3512.00,99.98
3511.00,99.95
3510.00,99.91
3509.00,99.88
3508.00,99.87
3507.00,99.87
3506.00,99.87
3505.00,99.87
3504.00,99.87
3503.00,99.86
3502.00,99.87
3501.00,99.88
3500.00,99.89
3499.00,99.91
3498.00,99.93
3497.00,99.94
3496.00,99.94
3495.00,99.94
3494.00,99.94
3493.00,99.96
3492.00,99.98
3491.00,100.00
3490.00,100.00
3489.00,99.97
3488.00,99.93
3487.00,99.90
3486.00,99.89
3485.00,99.90
3484.00,99.90
3483.00,99.90
3482.00,99.90
3481.00,99.90
3480.00,99.91
3479.00,99.91
3478.00,99.91
3477.00,99.90
3476.00,99.89
3475.00,99.88
3474.00,99.88
3473.00,99.89
3472.00,99.91
3471.00,99.92
3470.00,99.93
3469.00,99.92
3468.00,99.92
3467.00,99.94
3466.00,99.97
3465.00,100.00
3464.00,100.01
3463.00,100.01
3462.00,99.99
3461.00,99.97
3460.00,99.96
3459.00,99.95
3458.00,99.94
3457.00,99.93
3456.00,99.93
3455.00,99.92
3454.00,99.92
3453.00,99.93
3452.00,99.95
3451.00,99.96
3450.00,99.95
3449.00,99.93
3448.00,99.90
3447.00,99.87
3446.00,99.86
3445.00,99.87
3444.00,99.90
3443.00,99.93
3442.00,99.97
3441.00,100.01
3440.00,100.03
3439.00,100.03
3438.00,100.00
3437.00,99.97
3436.00,99.94
3435.00,99.91
3434.00,99.89
3433.00,99.87
3432.00,99.87
3431.00,99.88
3430.00,99.90
3429.00,99.92
3428.00,99.94
3427.00,99.93
3426.00,99.92
3425.00,99.91
3424.00,99.90
3423.00,99.90
3422.00,99.91
3421.00,99.93
3420.00,99.94
3419.00,99.95
3418.00,99.95
3417.00,99.94
3416.00,99.92
3415.00,99.90
3414.00,99.89
3413.00,99.90
3412.00,99.93
3411.00,99.95
3410.00,99.95
3409.00,99.94
3408.00,99.92
3407.00,99.91
3406.00,99.91
3405.00,99.92
3404.00,99.92
3403.00,99.92
3402.00,99.92
3401.00,99.92
3400.00,99.92
3399.00,99.92
3398.00,99.93
3397.00,99.94
3396.00,99.96
3395.00,99.97
3394.00,99.98
3393.00,99.98
3392.00,99.96
3391.00,99.94
3390.00,99.92
3389.00,99.90
3388.00,99.88
3387.00,99.88
3386.00,99.88
3385.00,99.88
3384.00,99.90
3383.00,99.93
3382.00,99.96
3381.00,99.98
3380.00,99.98
3379.00,99.97
3378.00,99.95
3377.00,99.93
3376.00,99.93
3375.00,99.93
3374.00,99.94
3373.00,99.95
3372.00,99.96
3371.00,99.95
3370.00,99.93
3369.00,99.92
3368.00,99.91
3367.00,99.92
3366.00,99.93
3365.00,99.95
3364.00,99.97
3363.00,99.97
3362.00,99.96
3361.00,99.96
3360.00,99.96
3359.00,99.96
3358.00,99.95
3357.00,99.94
3356.00,99.93
3355.00,99.95
3354.00,99.97
3353.00,99.99
3352.00,100.00
3351.00,100.00
3350.00,99.99
3349.00,99.98
3348.00,99.96
3347.00,99.95
3346.00,99.94
3345.00,99.94
3344.00,99.95
3343.00,99.96
3342.00,99.97
3341.00,99.98
3340.00,99.97
3339.00,99.96
3338.00,99.96
3337.00,99.97
3336.00,99.99
3335.00,100.01
3334.00,100.02
3333.00,100.01
3332.00,100.00
3331.00,99.99
3330.00,99.98
3329.00,99.97
