Created as New Dataset,59 Modacrylic Hoechst Dolan 88 
cm-1,%T
3649.00,98.00
3648.00,97.98
3647.00,97.99
3646.00,98.01
3645.00,98.02
3644.00,98.02
3643.00,98.02
3642.00,98.02
3641.00,98.02
3640.00,98.02
3639.00,98.03
3638.00,98.05
3637.00,98.07
3636.00,98.08
3635.00,98.10
3634.00,98.13
3633.00,98.14
3632.00,98.11
3631.00,98.04
3630.00,98.00
3629.00,98.01
3628.00,98.02
3627.00,98.00
3626.00,97.97
3625.00,97.97
3624.00,97.99
3623.00,98.01
3622.00,98.00
3621.00,97.98
3620.00,97.96
3619.00,97.98
3618.00,98.00
3617.00,98.00
3616.00,97.98
3615.00,97.96
3614.00,97.96
3613.00,97.96
3612.00,97.95
3611.00,97.93
3610.00,97.90
3609.00,97.90
3608.00,97.91
3607.00,97.94
3606.00,97.95
3605.00,97.97
3604.00,97.99
3603.00,98.00
3602.00,98.02
3601.00,98.03
3600.00,98.03
3599.00,98.02
3598.00,98.01
3597.00,98.00
3596.00,98.00
3595.00,98.01
3594.00,98.03
3593.00,98.04
3592.00,98.06
3591.00,98.06
3590.00,98.04
3589.00,98.02
3588.00,98.01
3587.00,98.02
3586.00,98.03
3585.00,98.04
3584.00,98.04
3583.00,98.03
3582.00,98.01
3581.00,97.99
3580.00,97.99
3579.00,98.02
3578.00,98.05
3577.00,98.08
3576.00,98.09
3575.00,98.09
3574.00,98.07
3573.00,98.05
3572.00,98.03
3571.00,98.00
3570.00,97.97
3569.00,97.95
3568.00,97.96
3567.00,97.99
3566.00,98.03
3565.00,98.06
3564.00,98.07
3563.00,98.06
3562.00,98.06
3561.00,98.06
3560.00,98.07
3559.00,98.09
3558.00,98.11
3557.00,98.12
3556.00,98.10
3555.00,98.07
3554.00,98.04
3553.00,98.03
3552.00,98.04
3551.00,98.05
3550.00,98.04
3549.00,98.01
3548.00,98.00
3547.00,98.00
3546.00,98.03
3545.00,98.06
3544.00,98.10
3543.00,98.12
3542.00,98.12
3541.00,98.10
3540.00,98.07
3539.00,98.05
3538.00,98.04
3537.00,98.05
3536.00,98.05
3535.00,98.05
3534.00,98.04
3533.00,98.04
3532.00,98.05
3531.00,98.07
3530.00,98.07
3529.00,98.07
3528.00,98.05
3527.00,98.04
3526.00,98.04
3525.00,98.03
3524.00,98.03
3523.00,98.03
3522.00,98.03
3521.00,98.03
3520.00,98.02
3519.00,98.02
3518.00,98.01
3517.00,98.01
3516.00,98.00
3515.00,98.00
3514.00,98.00
3513.00,98.01
3512.00,98.02
3511.00,98.04
3510.00,98.06
3509.00,98.09
3508.00,98.12
3507.00,98.12
3506.00,98.11
3505.00,98.08
3504.00,98.05
3503.00,98.03
3502.00,98.02
3501.00,98.04
3500.00,98.08
3499.00,98.13
3498.00,98.17
3497.00,98.18
3496.00,98.16
3495.00,98.14
3494.00,98.13
3493.00,98.13
3492.00,98.15
3491.00,98.15
3490.00,98.14
3489.00,98.12
3488.00,98.11
3487.00,98.10
3486.00,98.11
3485.00,98.12
3484.00,98.13
3483.00,98.13
3482.00,98.13
3481.00,98.12
3480.00,98.11
3479.00,98.10
3478.00,98.10
3477.00,98.09
3476.00,98.09
3475.00,98.09
3474.00,98.09
3473.00,98.09
3472.00,98.09
3471.00,98.09
3470.00,98.09
3469.00,98.09
3468.00,98.10
3467.00,98.13
3466.00,98.16
3465.00,98.18
3464.00,98.18
3463.00,98.16
3462.00,98.15
3461.00,98.13
3460.00,98.13
3459.00,98.15
3458.00,98.16
3457.00,98.16
3456.00,98.14
3455.00,98.11
3454.00,98.10
3453.00,98.10
3452.00,98.12
3451.00,98.13
3450.00,98.13
3449.00,98.10
3448.00,98.08
3447.00,98.06
3446.00,98.07
3445.00,98.08
3444.00,98.10
3443.00,98.12
3442.00,98.13
3441.00,98.13
3440.00,98.12
3439.00,98.11
3438.00,98.11
3437.00,98.12
3436.00,98.14
3435.00,98.15
3434.00,98.16
3433.00,98.16
3432.00,98.15
3431.00,98.15
3430.00,98.14
3429.00,98.15
3428.00,98.15
3427.00,98.17
3426.00,98.19
3425.00,98.20
3424.00,98.18
3423.00,98.15
3422.00,98.11
3421.00,98.10
3420.00,98.11
3419.00,98.14
3418.00,98.17
3417.00,98.19
3416.00,98.20
3415.00,98.20
3414.00,98.20
3413.00,98.21
3412.00,98.21
3411.00,98.21
3410.00,98.19
3409.00,98.18
3408.00,98.18
3407.00,98.19
3406.00,98.18
3405.00,98.16
3404.00,98.13
3403.00,98.10
3402.00,98.10
3401.00,98.11
3400.00,98.13
3399.00,98.15
3398.00,98.15
3397.00,98.15
3396.00,98.14
3395.00,98.14
3394.00,98.15
3393.00,98.15
3392.00,98.15
3391.00,98.16
3390.00,98.16
3389.00,98.17
3388.00,98.18
3387.00,98.20
3386.00,98.21
3385.00,98.21
3384.00,98.20
3383.00,98.19
3382.00,98.17
3381.00,98.16
3380.00,98.14
3379.00,98.13
3378.00,98.14
3377.00,98.16
3376.00,98.18
3375.00,98.21
3374.00,98.24
3373.00,98.26
3372.00,98.25
3371.00,98.23
3370.00,98.19
3369.00,98.15
3368.00,98.11
3367.00,98.09
3366.00,98.08
3365.00,98.08
3364.00,98.09
3363.00,98.11
3362.00,98.14
3361.00,98.15
3360.00,98.15
3359.00,98.14
3358.00,98.13
3357.00,98.13
3356.00,98.14
