Created as New Dataset,80. Nylon Allied Signal Fibers Dyed
cm-1,%T
3649.00,99.60
3648.00,99.61
3647.00,99.64
3646.00,99.69
3645.00,99.72
3644.00,99.75
3643.00,99.78
3642.00,99.81
3641.00,99.82
3640.00,99.82
3639.00,99.80
3638.00,99.78
3637.00,99.75
3636.00,99.73
3635.00,99.72
3634.00,99.73
3633.00,99.72
3632.00,99.71
3631.00,99.71
3630.00,99.71
3629.00,99.69
3628.00,99.64
3627.00,99.60
3626.00,99.60
3625.00,99.63
3624.00,99.66
3623.00,99.68
3622.00,99.69
3621.00,99.68
3620.00,99.68
3619.00,99.67
3618.00,99.66
3617.00,99.64
3616.00,99.61
3615.00,99.59
3614.00,99.58
3613.00,99.58
3612.00,99.57
3611.00,99.58
3610.00,99.61
3609.00,99.64
3608.00,99.65
3607.00,99.62
3606.00,99.58
3605.00,99.55
3604.00,99.54
3603.00,99.56
3602.00,99.58
3601.00,99.58
3600.00,99.56
3599.00,99.53
3598.00,99.52
3597.00,99.53
3596.00,99.54
3595.00,99.54
3594.00,99.53
3593.00,99.52
3592.00,99.52
3591.00,99.52
3590.00,99.54
3589.00,99.57
3588.00,99.58
3587.00,99.58
3586.00,99.57
3585.00,99.56
3584.00,99.57
3583.00,99.58
3582.00,99.59
3581.00,99.59
3580.00,99.57
3579.00,99.55
3578.00,99.51
3577.00,99.48
3576.00,99.46
3575.00,99.45
3574.00,99.45
3573.00,99.45
3572.00,99.43
3571.00,99.41
3570.00,99.38
3569.00,99.37
3568.00,99.36
3567.00,99.34
3566.00,99.33
3565.00,99.32
3564.00,99.32
3563.00,99.33
3562.00,99.35
3561.00,99.37
3560.00,99.39
3559.00,99.41
3558.00,99.42
3557.00,99.41
3556.00,99.40
3555.00,99.37
3554.00,99.33
3553.00,99.30
3552.00,99.28
3551.00,99.28
3550.00,99.29
3549.00,99.30
3548.00,99.31
3547.00,99.29
3546.00,99.25
3545.00,99.23
3544.00,99.22
3543.00,99.24
3542.00,99.26
3541.00,99.25
3540.00,99.24
3539.00,99.21
3538.00,99.19
3537.00,99.17
3536.00,99.15
3535.00,99.14
3534.00,99.13
3533.00,99.13
3532.00,99.13
3531.00,99.13
3530.00,99.13
3529.00,99.11
3528.00,99.08
3527.00,99.06
3526.00,99.04
3525.00,99.05
3524.00,99.06
3523.00,99.07
3522.00,99.08
3521.00,99.07
3520.00,99.06
3519.00,99.06
3518.00,99.06
3517.00,99.08
3516.00,99.08
3515.00,99.07
3514.00,99.04
3513.00,99.01
3512.00,99.01
3511.00,99.02
3510.00,99.03
3509.00,99.03
3508.00,99.02
3507.00,99.00
3506.00,98.99
3505.00,98.98
3504.00,98.99
3503.00,99.01
3502.00,99.03
3501.00,99.03
3500.00,99.02
3499.00,99.00
3498.00,98.97
3497.00,98.95
3496.00,98.95
3495.00,98.95
3494.00,98.96
3493.00,98.97
3492.00,98.96
3491.00,98.95
3490.00,98.92
3489.00,98.89
3488.00,98.85
3487.00,98.83
3486.00,98.82
3485.00,98.82
3484.00,98.84
3483.00,98.86
3482.00,98.87
3481.00,98.87
3480.00,98.86
3479.00,98.84
3478.00,98.83
3477.00,98.83
3476.00,98.83
3475.00,98.83
3474.00,98.83
3473.00,98.82
3472.00,98.82
3471.00,98.81
3470.00,98.81
3469.00,98.80
3468.00,98.79
3467.00,98.77
3466.00,98.75
3465.00,98.72
3464.00,98.71
3463.00,98.72
3462.00,98.74
3461.00,98.76
3460.00,98.77
3459.00,98.75
3458.00,98.73
3457.00,98.70
3456.00,98.69
3455.00,98.68
3454.00,98.67
3453.00,98.66
3452.00,98.66
3451.00,98.66
3450.00,98.66
3449.00,98.66
3448.00,98.65
3447.00,98.64
3446.00,98.64
3445.00,98.65
3444.00,98.66
3443.00,98.67
3442.00,98.66
3441.00,98.65
3440.00,98.63
3439.00,98.61
3438.00,98.59
3437.00,98.58
3436.00,98.57
3435.00,98.56
3434.00,98.56
3433.00,98.56
3432.00,98.54
3431.00,98.54
3430.00,98.54
3429.00,98.56
3428.00,98.58
3427.00,98.59
3426.00,98.60
3425.00,98.60
3424.00,98.59
3423.00,98.58
3422.00,98.56
3421.00,98.54
3420.00,98.54
3419.00,98.54
3418.00,98.53
3417.00,98.52
3416.00,98.49
3415.00,98.46
3414.00,98.44
3413.00,98.43
3412.00,98.43
3411.00,98.44
3410.00,98.44
3409.00,98.44
3408.00,98.44
3407.00,98.44
3406.00,98.44
3405.00,98.44
3404.00,98.45
3403.00,98.45
3402.00,98.45
3401.00,98.43
3400.00,98.40
3399.00,98.36
3398.00,98.33
3397.00,98.31
3396.00,98.30
3395.00,98.30
3394.00,98.31
3393.00,98.31
3392.00,98.29
3391.00,98.26
3390.00,98.24
3389.00,98.23
3388.00,98.23
3387.00,98.23
3386.00,98.23
3385.00,98.23
3384.00,98.22
3383.00,98.19
3382.00,98.15
3381.00,98.12
3380.00,98.09
3379.00,98.07
3378.00,98.05
3377.00,98.02
3376.00,97.98
3375.00,97.95
3374.00,97.92
3373.00,97.91
3372.00,97.91
3371.00,97.92
3370.00,97.91
3369.00,97.90
3368.00,97.87
3367.00,97.85
3366.00,97.81
3365.00,97.77
3364.00,97.73
3363.00,97.68
3362.00,97.64
3361.00,97.62
3360.00,97.61
3359.00,97.60
3358.00,97.59
3357.00,97.55
3356.00,97.50
3355.00,97.43
3354.00,97.37
3353.00,97.32
3352.00,97.29
3351.00,97.26
3350.00,97.22
3349.00,97.16
3348.00,97.08
3347.00,97.01
3346.00,96.95
3345.00,96.90
3344.00,96.85
3343.00,96.78
3342.00,96.70
3341.00,96.60
3340.00,96.51
3339.00,96.43
3338.00,96.34
3337.00,96.25
3336.00,96.16
3335.00,96.06
3334.00,95.97
3333.00,95.87
3332.00,95.75
3331.00,95.62
3330.00,95.47
3329.00,95.33
3328.00,95.20
3327.00,95.07
3326.00,94.92
3325.00,94.75
3324.00,94.56
3323.00,94.36
3322.00,94.15
3321.00,93.95
3320.00,93.76
3319.00,93.58
3318.00,93.40
3317.00,93.22
3316.00,93.04
3315.00,92.85
3314.00,92.66
3313.00,92.45
3312.00,92.22
3311.00,91.96
3310.00,91.67
3309.00,91.38
3308.00,91.07
3307.00,90.74
3306.00,90.39
3305.00,90.04
3304.00,89.69
3303.00,89.36
