Created as New Dataset,13.1 Red Wool Navajo-Churro sheep 
cm-1,%T
3649.00,93.04
3648.00,93.01
3647.00,92.98
3646.00,92.95
3645.00,92.93
3644.00,92.92
3643.00,92.91
3642.00,92.89
3641.00,92.86
3640.00,92.84
3639.00,92.81
3638.00,92.77
3637.00,92.73
3636.00,92.70
3635.00,92.69
3634.00,92.70
3633.00,92.70
3632.00,92.69
3631.00,92.68
3630.00,92.66
3629.00,92.62
3628.00,92.56
3627.00,92.53
3626.00,92.49
3625.00,92.46
3624.00,92.42
3623.00,92.36
3622.00,92.31
3621.00,92.27
3620.00,92.23
3619.00,92.21
3618.00,92.20
3617.00,92.20
3616.00,92.21
3615.00,92.21
3614.00,92.20
3613.00,92.16
3612.00,92.10
3611.00,92.03
3610.00,91.96
3609.00,91.92
3608.00,91.89
3607.00,91.87
3606.00,91.84
3605.00,91.80
3604.00,91.77
3603.00,91.74
3602.00,91.72
3601.00,91.70
3600.00,91.67
3599.00,91.63
3598.00,91.59
3597.00,91.56
3596.00,91.55
3595.00,91.54
3594.00,91.53
3593.00,91.50
3592.00,91.46
3591.00,91.42
3590.00,91.39
3589.00,91.37
3588.00,91.34
3587.00,91.29
3586.00,91.24
3585.00,91.19
3584.00,91.15
3583.00,91.11
3582.00,91.09
3581.00,91.08
3580.00,91.07
3579.00,91.06
3578.00,91.04
3577.00,91.03
3576.00,91.01
3575.00,90.99
3574.00,90.96
3573.00,90.92
3572.00,90.86
3571.00,90.81
3570.00,90.75
3569.00,90.69
3568.00,90.62
3567.00,90.55
3566.00,90.49
3565.00,90.46
3564.00,90.45
3563.00,90.46
3562.00,90.46
3561.00,90.47
3560.00,90.46
3559.00,90.44
3558.00,90.42
3557.00,90.39
3556.00,90.34
3555.00,90.30
3554.00,90.25
3553.00,90.21
3552.00,90.17
3551.00,90.12
3550.00,90.06
3549.00,90.02
3548.00,89.99
3547.00,89.97
3546.00,89.96
3545.00,89.94
3544.00,89.91
3543.00,89.89
3542.00,89.87
3541.00,89.84
3540.00,89.82
3539.00,89.80
3538.00,89.78
3537.00,89.74
3536.00,89.69
3535.00,89.63
3534.00,89.59
3533.00,89.56
3532.00,89.54
3531.00,89.51
3530.00,89.47
3529.00,89.43
3528.00,89.37
3527.00,89.32
3526.00,89.28
3525.00,89.25
3524.00,89.23
3523.00,89.22
3522.00,89.21
3521.00,89.19
3520.00,89.15
3519.00,89.11
3518.00,89.07
3517.00,89.02
3516.00,88.98
3515.00,88.96
3514.00,88.95
3513.00,88.93
3512.00,88.90
3511.00,88.86
3510.00,88.81
3509.00,88.76
3508.00,88.72
3507.00,88.68
3506.00,88.65
3505.00,88.62
3504.00,88.60
3503.00,88.58
3502.00,88.56
3501.00,88.54
3500.00,88.53
3499.00,88.52
3498.00,88.50
3497.00,88.47
3496.00,88.43
3495.00,88.39
3494.00,88.35
3493.00,88.32
3492.00,88.30
3491.00,88.29
3490.00,88.28
3489.00,88.26
3488.00,88.22
3487.00,88.18
3486.00,88.15
3485.00,88.12
3484.00,88.10
3483.00,88.07
3482.00,88.03
3481.00,87.98
3480.00,87.94
3479.00,87.90
3478.00,87.88
3477.00,87.86
3476.00,87.84
3475.00,87.82
3474.00,87.80
3473.00,87.78
3472.00,87.77
3471.00,87.75
3470.00,87.74
3469.00,87.72
3468.00,87.70
3467.00,87.67
3466.00,87.65
3465.00,87.62
3464.00,87.59
3463.00,87.56
3462.00,87.52
3461.00,87.49
3460.00,87.46
3459.00,87.43
3458.00,87.39
3457.00,87.35
3456.00,87.32
3455.00,87.30
3454.00,87.29
3453.00,87.27
3452.00,87.25
3451.00,87.24
3450.00,87.23
3449.00,87.23
3448.00,87.24
3447.00,87.23
3446.00,87.21
3445.00,87.16
3444.00,87.11
3443.00,87.06
3442.00,87.03
3441.00,87.01
3440.00,87.00
3439.00,86.98
3438.00,86.96
3437.00,86.93
3436.00,86.90
3435.00,86.88
3434.00,86.86
3433.00,86.83
3432.00,86.80
3431.00,86.76
3430.00,86.73
3429.00,86.72
3428.00,86.71
3427.00,86.69
3426.00,86.66
3425.00,86.62
3424.00,86.59
3423.00,86.57
3422.00,86.55
3421.00,86.53
3420.00,86.52
3419.00,86.50
3418.00,86.48
3417.00,86.46
3416.00,86.44
3415.00,86.41
3414.00,86.40
3413.00,86.39
3412.00,86.39
3411.00,86.38
3410.00,86.36
3409.00,86.33
3408.00,86.30
3407.00,86.29
3406.00,86.28
3405.00,86.27
3404.00,86.24
3403.00,86.21
3402.00,86.18
3401.00,86.16
3400.00,86.15
3399.00,86.14
3398.00,86.12
3397.00,86.11
3396.00,86.08
3395.00,86.06
3394.00,86.03
3393.00,86.01
3392.00,86.00
3391.00,86.00
3390.00,85.99
3389.00,85.99
3388.00,85.98
3387.00,85.97
3386.00,85.96
3385.00,85.96
3384.00,85.94
3383.00,85.93
3382.00,85.91
3381.00,85.89
3380.00,85.87
3379.00,85.85
3378.00,85.83
3377.00,85.81
3376.00,85.79
3375.00,85.77
3374.00,85.74
3373.00,85.73
3372.00,85.72
3371.00,85.71
3370.00,85.71
3369.00,85.71
3368.00,85.70
3367.00,85.69
3366.00,85.67
3365.00,85.66
3364.00,85.66
3363.00,85.65
3362.00,85.65
3361.00,85.64
3360.00,85.61
3359.00,85.58
3358.00,85.54
3357.00,85.50
3356.00,85.49
3355.00,85.49
3354.00,85.50
3353.00,85.51
3352.00,85.51
3351.00,85.50
3350.00,85.49
3349.00,85.47
3348.00,85.46
3347.00,85.44
3346.00,85.42
3345.00,85.40
3344.00,85.39
3343.00,85.37
3342.00,85.35
3341.00,85.33
3340.00,85.32
3339.00,85.31
3338.00,85.30
3337.00,85.29
3336.00,85.28
3335.00,85.28
3334.00,85.29
3333.00,85.30
3332.00,85.31
3331.00,85.30
3330.00,85.27
3329.00,85.24
3328.00,85.22
3327.00,85.20
3326.00,85.19
3325.00,85.19
3324.00,85.18
3323.00,85.16
3322.00,85.14
3321.00,85.11
3320.00,85.08
3319.00,85.06
3318.00,85.04
3317.00,85.04
3316.00,85.03
3315.00,85.02
3314.00,85.00
3313.00,84.98
3312.00,84.96
3311.00,84.95
3310.00,84.94
3309.00,84.92
3308.00,84.91
3307.00,84.89
3306.00,84.89
3305.00,84.89
3304.00,84.89
3303.00,84.89
3302.00,84.88
3301.00,84.87
3300.00,84.85
3299.00,84.82
3298.00,84.80
3297.00,84.79
3296.00,84.77
3295.00,84.77
3294.00,84.76
3293.00,84.76
3292.00,84.76
3291.00,84.73
3290.00,84.69
3289.00,84.66
3288.00,84.64
3287.00,84.65
3286.00,84.67
3285.00,84.69
3284.00,84.68
3283.00,84.67
3282.00,84.66
3281.00,84.66
3280.00,84.66
3279.00,84.66
3278.00,84.66
3277.00,84.67
3276.00,84.68
3275.00,84.69
3274.00,84.70
3273.00,84.70
3272.00,84.69
3271.00,84.70
3270.00,84.72
3269.00,84.75
3268.00,84.77
3267.00,84.77
3266.00,84.76
3265.00,84.74
3264.00,84.73
3263.00,84.74
3262.00,84.76
3261.00,84.79
3260.00,84.83
3259.00,84.87
3258.00,84.92
3257.00,84.95
3256.00,84.97
3255.00,84.97
3254.00,84.98
3253.00,84.99
3252.00,84.99
3251.00,85.01
3250.00,85.02
3249.00,85.05
3248.00,85.09
3247.00,85.12
3246.00,85.15
3245.00,85.16
3244.00,85.18
3243.00,85.20
3242.00,85.22
3241.00,85.25
3240.00,85.27
3239.00,85.29
3238.00,85.30
3237.00,85.32
3236.00,85.34
3235.00,85.36
3234.00,85.37
3233.00,85.38
3232.00,85.38
3231.00,85.39
3230.00,85.42
3229.00,85.45
3228.00,85.48
3227.00,85.50
3226.00,85.51
3225.00,85.51
3224.00,85.53
3223.00,85.55
3222.00,85.57
3221.00,85.60
3220.00,85.63
3219.00,85.65
3218.00,85.69
3217.00,85.72
3216.00,85.74
3215.00,85.76
3214.00,85.78
3213.00,85.79
3212.00,85.80
3211.00,85.81
3210.00,85.83
3209.00,85.86
3208.00,85.88
3207.00,85.91
3206.00,85.92
3205.00,85.93
3204.00,85.95
3203.00,85.98
3202.00,86.01
3201.00,86.04
3200.00,86.06
3199.00,86.07
3198.00,86.07
3197.00,86.08
3196.00,86.10
3195.00,86.14
3194.00,86.18
3193.00,86.22
3192.00,86.25
3191.00,86.28
3190.00,86.31
3189.00,86.34
3188.00,86.35
3187.00,86.35
3186.00,86.36
3185.00,86.38
3184.00,86.43
3183.00,86.48
3182.00,86.52
3181.00,86.55
3180.00,86.57
3179.00,86.60
3178.00,86.63
3177.00,86.67
3176.00,86.70
3175.00,86.72
3174.00,86.74
3173.00,86.75
3172.00,86.77
3171.00,86.81
3170.00,86.87
3169.00,86.92
3168.00,86.97
3167.00,87.00
3166.00,87.03
3165.00,87.06
3164.00,87.08
3163.00,87.11
3162.00,87.13
3161.00,87.15
3160.00,87.17
3159.00,87.19
3158.00,87.22
3157.00,87.26
3156.00,87.31
3155.00,87.35
3154.00,87.40
3153.00,87.44
3152.00,87.47
3151.00,87.50
3150.00,87.53
3149.00,87.56
3148.00,87.58
3147.00,87.60
3146.00,87.62
3145.00,87.65
3144.00,87.69
3143.00,87.73
3142.00,87.77
3141.00,87.82
3140.00,87.85
3139.00,87.88
3138.00,87.91
3137.00,87.93
3136.00,87.95
3135.00,87.98
3134.00,88.01
3133.00,88.04
3132.00,88.07
3131.00,88.09
3130.00,88.10
3129.00,88.10
3128.00,88.12
3127.00,88.15
3126.00,88.18
3125.00,88.21
3124.00,88.24
3123.00,88.26
3122.00,88.29
3121.00,88.31
3120.00,88.32
3119.00,88.34
3118.00,88.37
3117.00,88.39
3116.00,88.40
3115.00,88.41
3114.00,88.41
3113.00,88.42
3112.00,88.44
3111.00,88.45
3110.00,88.47
3109.00,88.48
3108.00,88.49
3107.00,88.51
3106.00,88.54
3105.00,88.57
3104.00,88.59
3103.00,88.59
3102.00,88.59
3101.00,88.60
3100.00,88.61
3099.00,88.63
3098.00,88.65
3097.00,88.66
3096.00,88.67
3095.00,88.67
3094.00,88.67
3093.00,88.67
3092.00,88.66
3091.00,88.67
3090.00,88.69
3089.00,88.71
3088.00,88.74
3087.00,88.76
3086.00,88.77
3085.00,88.78
3084.00,88.79
3083.00,88.80
3082.00,88.81
3081.00,88.82
3080.00,88.82
3079.00,88.82
3078.00,88.81
3077.00,88.81
3076.00,88.82
3075.00,88.84
3074.00,88.86
3073.00,88.87
3072.00,88.89
3071.00,88.90
3070.00,88.91
3069.00,88.92
3068.00,88.92
3067.00,88.92
3066.00,88.94
3065.00,88.97
3064.00,89.00
3063.00,89.02
3062.00,89.05
3061.00,89.07
3060.00,89.09
3059.00,89.11
3058.00,89.13
3057.00,89.16
3056.00,89.18
3055.00,89.20
3054.00,89.22
3053.00,89.23
3052.00,89.26
3051.00,89.28
3050.00,89.30
3049.00,89.31
3048.00,89.33
3047.00,89.35
