Created as New Dataset,8. Acrylic Bayed Dyed
cm-1,%T
3649.00,97.13
3648.00,97.10
3647.00,97.07
3646.00,97.03
3645.00,96.97
3644.00,96.91
3643.00,96.87
3642.00,96.84
3641.00,96.83
3640.00,96.82
3639.00,96.83
3638.00,96.83
3637.00,96.84
3636.00,96.85
3635.00,96.87
3634.00,96.90
3633.00,96.94
3632.00,97.00
3631.00,97.06
3630.00,97.07
3629.00,97.03
3628.00,96.99
3627.00,96.98
3626.00,96.96
3625.00,96.91
3624.00,96.86
3623.00,96.82
3622.00,96.81
3621.00,96.83
3620.00,96.85
3619.00,96.88
3618.00,96.90
3617.00,96.92
3616.00,96.93
3615.00,96.91
3614.00,96.90
3613.00,96.89
3612.00,96.89
3611.00,96.89
3610.00,96.89
3609.00,96.89
3608.00,96.88
3607.00,96.87
3606.00,96.86
3605.00,96.84
3604.00,96.82
3603.00,96.82
3602.00,96.83
3601.00,96.85
3600.00,96.87
3599.00,96.87
3598.00,96.88
3597.00,96.89
3596.00,96.90
3595.00,96.92
3594.00,96.94
3593.00,96.95
3592.00,96.95
3591.00,96.95
3590.00,96.97
3589.00,96.99
3588.00,97.02
3587.00,97.03
3586.00,97.02
3585.00,96.98
3584.00,96.94
3583.00,96.90
3582.00,96.89
3581.00,96.89
3580.00,96.90
3579.00,96.91
3578.00,96.90
3577.00,96.88
3576.00,96.86
3575.00,96.85
3574.00,96.84
3573.00,96.84
3572.00,96.86
3571.00,96.90
3570.00,96.94
3569.00,96.98
3568.00,97.01
3567.00,97.01
3566.00,97.00
3565.00,96.98
3564.00,96.95
3563.00,96.93
3562.00,96.91
3561.00,96.89
3560.00,96.88
3559.00,96.87
3558.00,96.85
3557.00,96.84
3556.00,96.85
3555.00,96.87
3554.00,96.90
3553.00,96.92
3552.00,96.93
3551.00,96.93
3550.00,96.93
3549.00,96.91
3548.00,96.89
3547.00,96.87
3546.00,96.86
3545.00,96.84
3544.00,96.84
3543.00,96.84
3542.00,96.85
3541.00,96.86
3540.00,96.86
3539.00,96.85
3538.00,96.84
3537.00,96.83
3536.00,96.84
3535.00,96.85
3534.00,96.86
3533.00,96.86
3532.00,96.85
3531.00,96.83
3530.00,96.82
3529.00,96.83
3528.00,96.85
3527.00,96.88
3526.00,96.90
3525.00,96.91
3524.00,96.90
3523.00,96.89
3522.00,96.88
3521.00,96.88
3520.00,96.89
3519.00,96.90
3518.00,96.91
3517.00,96.91
3516.00,96.90
3515.00,96.88
3514.00,96.88
3513.00,96.87
3512.00,96.88
3511.00,96.89
3510.00,96.91
3509.00,96.95
3508.00,96.98
3507.00,97.01
3506.00,97.01
3505.00,97.00
3504.00,96.99
3503.00,96.97
3502.00,96.96
3501.00,96.94
3500.00,96.93
3499.00,96.93
3498.00,96.92
3497.00,96.91
3496.00,96.90
3495.00,96.89
3494.00,96.90
3493.00,96.91
3492.00,96.92
3491.00,96.90
3490.00,96.87
3489.00,96.84
3488.00,96.84
3487.00,96.86
3486.00,96.88
3485.00,96.91
3484.00,96.93
3483.00,96.93
3482.00,96.93
3481.00,96.92
3480.00,96.90
3479.00,96.89
3478.00,96.89
3477.00,96.90
3476.00,96.91
3475.00,96.92
3474.00,96.92
3473.00,96.92
3472.00,96.91
3471.00,96.91
3470.00,96.91
3469.00,96.91
3468.00,96.90
3467.00,96.91
3466.00,96.93
3465.00,96.95
3464.00,96.95
3463.00,96.94
3462.00,96.91
3461.00,96.87
3460.00,96.84
3459.00,96.83
3458.00,96.84
3457.00,96.86
3456.00,96.88
3455.00,96.89
3454.00,96.89
3453.00,96.89
3452.00,96.91
3451.00,96.93
3450.00,96.96
3449.00,96.98
3448.00,96.97
3447.00,96.96
3446.00,96.94
3445.00,96.93
3444.00,96.93
3443.00,96.93
3442.00,96.93
3441.00,96.94
3440.00,96.94
3439.00,96.94
3438.00,96.94
3437.00,96.92
3436.00,96.90
3435.00,96.88
3434.00,96.88
3433.00,96.90
3432.00,96.92
3431.00,96.94
3430.00,96.95
3429.00,96.94
3428.00,96.93
3427.00,96.91
3426.00,96.89
3425.00,96.88
3424.00,96.89
3423.00,96.92
3422.00,96.93
3421.00,96.92
3420.00,96.89
3419.00,96.86
3418.00,96.86
3417.00,96.89
3416.00,96.93
3415.00,96.96
3414.00,96.99
3413.00,97.00
3412.00,96.99
3411.00,96.97
3410.00,96.95
3409.00,96.93
3408.00,96.92
3407.00,96.92
3406.00,96.93
3405.00,96.95
3404.00,96.95
3403.00,96.95
3402.00,96.93
3401.00,96.92
3400.00,96.91
3399.00,96.91
3398.00,96.90
3397.00,96.89
3396.00,96.88
3395.00,96.87
3394.00,96.86
3393.00,96.85
3392.00,96.85
3391.00,96.87
3390.00,96.91
3389.00,96.94
3388.00,96.95
3387.00,96.93
3386.00,96.91
3385.00,96.90
3384.00,96.89
3383.00,96.89
3382.00,96.88
3381.00,96.88
3380.00,96.88
3379.00,96.90
3378.00,96.93
3377.00,96.94
3376.00,96.95
3375.00,96.95
3374.00,96.95
3373.00,96.95
3372.00,96.95
3371.00,96.94
3370.00,96.93
3369.00,96.91
3368.00,96.89
3367.00,96.87
3366.00,96.85
3365.00,96.83
3364.00,96.85
3363.00,96.88
3362.00,96.90
3361.00,96.91
3360.00,96.90
3359.00,96.89
3358.00,96.88
3357.00,96.89
3356.00,96.89
3355.00,96.89
3354.00,96.90
3353.00,96.91
3352.00,96.93
3351.00,96.92
3350.00,96.90
3349.00,96.86
3348.00,96.83
3347.00,96.82
3346.00,96.82
3345.00,96.84
3344.00,96.87
3343.00,96.90
3342.00,96.93
3341.00,96.95
3340.00,96.94
3339.00,96.93
3338.00,96.92
3337.00,96.90
3336.00,96.89
3335.00,96.88
3334.00,96.88
3333.00,96.88
3332.00,96.89
3331.00,96.90
3330.00,96.89
3329.00,96.87
3328.00,96.83
3327.00,96.80
3326.00,96.79
3325.00,96.80
3324.00,96.81
3323.00,96.82
3322.00,96.83
3321.00,96.83
3320.00,96.82
3319.00,96.83
3318.00,96.84
3317.00,96.86
3316.00,96.88
3315.00,96.87
3314.00,96.85
3313.00,96.83
3312.00,96.82
3311.00,96.81
3310.00,96.81
3309.00,96.81
3308.00,96.83
3307.00,96.85
3306.00,96.87
3305.00,96.87
3304.00,96.86
3303.00,96.84
3302.00,96.84
3301.00,96.85
3300.00,96.87
3299.00,96.89
3298.00,96.90
3297.00,96.89
3296.00,96.87
3295.00,96.86
3294.00,96.84
3293.00,96.84
3292.00,96.84
3291.00,96.84
3290.00,96.84
3289.00,96.83
3288.00,96.82
3287.00,96.81
3286.00,96.80
3285.00,96.80
3284.00,96.80
3283.00,96.81
3282.00,96.83
3281.00,96.85
3280.00,96.85
3279.00,96.83
3278.00,96.82
3277.00,96.82
3276.00,96.82
3275.00,96.81
3274.00,96.81
3273.00,96.81
3272.00,96.82
3271.00,96.83
3270.00,96.83
3269.00,96.82
3268.00,96.81
3267.00,96.80
3266.00,96.80
3265.00,96.81
3264.00,96.82
3263.00,96.82
3262.00,96.81
3261.00,96.80
3260.00,96.78
3259.00,96.78
3258.00,96.79
3257.00,96.80
3256.00,96.81
3255.00,96.82
3254.00,96.81
3253.00,96.81
3252.00,96.80
3251.00,96.80
3250.00,96.78
3249.00,96.77
3248.00,96.78
3247.00,96.81
3246.00,96.83
3245.00,96.84
3244.00,96.83
3243.00,96.81
3242.00,96.79
3241.00,96.78
3240.00,96.78
3239.00,96.79
3238.00,96.80
3237.00,96.79
3236.00,96.79
3235.00,96.80
3234.00,96.82
3233.00,96.83
3232.00,96.83
3231.00,96.83
3230.00,96.82
3229.00,96.81
3228.00,96.80
3227.00,96.80
3226.00,96.81
3225.00,96.82
3224.00,96.84
3223.00,96.86
3222.00,96.85
3221.00,96.83
3220.00,96.80
3219.00,96.78
3218.00,96.76
3217.00,96.76
3216.00,96.78
3215.00,96.81
3214.00,96.82
3213.00,96.83
3212.00,96.82
3211.00,96.82
3210.00,96.83
3209.00,96.84
3208.00,96.85
3207.00,96.85
3206.00,96.83
3205.00,96.81
3204.00,96.80
3203.00,96.80
3202.00,96.81
3201.00,96.82
3200.00,96.82
3199.00,96.82
3198.00,96.82
3197.00,96.83
3196.00,96.83
3195.00,96.82
3194.00,96.81
3193.00,96.80
3192.00,96.78
3191.00,96.78
3190.00,96.79
3189.00,96.82
3188.00,96.84
3187.00,96.85
3186.00,96.85
3185.00,96.85
3184.00,96.84
3183.00,96.83
3182.00,96.82
3181.00,96.81
3180.00,96.82
3179.00,96.83
