Created as New Dataset,6.3 Natural green fiber
cm-1,%T
3648.00,100.05
3647.00,100.02
3646.00,100.01
3645.00,100.02
3644.00,100.04
3643.00,100.05
3642.00,100.04
3641.00,100.03
3640.00,100.00
3639.00,99.97
3638.00,99.95
3637.00,99.93
3636.00,99.90
3635.00,99.86
3634.00,99.82
3633.00,99.81
3632.00,99.82
3631.00,99.84
3630.00,99.85
3629.00,99.85
3628.00,99.84
3627.00,99.82
3626.00,99.79
3625.00,99.78
3624.00,99.77
3623.00,99.75
3622.00,99.71
3621.00,99.66
3620.00,99.61
3619.00,99.58
3618.00,99.56
3617.00,99.55
3616.00,99.54
3615.00,99.52
3614.00,99.50
3613.00,99.48
3612.00,99.45
3611.00,99.43
3610.00,99.40
3609.00,99.38
3608.00,99.35
3607.00,99.33
3606.00,99.30
3605.00,99.27
3604.00,99.25
3603.00,99.22
3602.00,99.18
3601.00,99.16
3600.00,99.14
3599.00,99.13
3598.00,99.12
3597.00,99.08
3596.00,99.04
3595.00,98.98
3594.00,98.94
3593.00,98.91
3592.00,98.89
3591.00,98.88
3590.00,98.87
3589.00,98.84
3588.00,98.82
3587.00,98.81
3586.00,98.80
3585.00,98.78
3584.00,98.75
3583.00,98.72
3582.00,98.68
3581.00,98.65
3580.00,98.62
3579.00,98.59
3578.00,98.56
3577.00,98.54
3576.00,98.51
3575.00,98.48
3574.00,98.45
3573.00,98.43
3572.00,98.41
3571.00,98.39
3570.00,98.36
3569.00,98.32
3568.00,98.26
3567.00,98.21
3566.00,98.16
3565.00,98.13
3564.00,98.11
3563.00,98.09
3562.00,98.05
3561.00,98.00
3560.00,97.94
3559.00,97.90
3558.00,97.87
3557.00,97.86
3556.00,97.86
3555.00,97.85
3554.00,97.82
3553.00,97.78
3552.00,97.73
3551.00,97.68
3550.00,97.63
3549.00,97.59
3548.00,97.54
3547.00,97.51
3546.00,97.48
3545.00,97.46
3544.00,97.44
3543.00,97.41
3542.00,97.38
3541.00,97.36
3540.00,97.34
3539.00,97.32
3538.00,97.28
3537.00,97.23
3536.00,97.19
3535.00,97.16
3534.00,97.14
3533.00,97.11
3532.00,97.06
3531.00,97.01
3530.00,96.95
3529.00,96.90
3528.00,96.84
3527.00,96.78
3526.00,96.73
3525.00,96.70
3524.00,96.68
3523.00,96.67
3522.00,96.65
3521.00,96.62
3520.00,96.58
