Created as New Dataset,83. Allied Signal Fibers
cm-1,%T
3648.00,97.45
3647.00,97.44
3646.00,97.43
3645.00,97.41
3644.00,97.39
3643.00,97.36
3642.00,97.34
3641.00,97.33
3640.00,97.33
3639.00,97.32
3638.00,97.31
3637.00,97.29
3636.00,97.27
3635.00,97.26
3634.00,97.27
3633.00,97.29
3632.00,97.33
3631.00,97.35
3630.00,97.33
3629.00,97.29
3628.00,97.27
3627.00,97.26
3626.00,97.26
3625.00,97.25
3624.00,97.23
3623.00,97.21
3622.00,97.18
3621.00,97.16
3620.00,97.15
3619.00,97.16
3618.00,97.17
3617.00,97.18
3616.00,97.18
3615.00,97.18
3614.00,97.17
3613.00,97.16
3612.00,97.14
3611.00,97.12
3610.00,97.11
3609.00,97.12
3608.00,97.12
3607.00,97.11
3606.00,97.09
3605.00,97.06
3604.00,97.05
3603.00,97.05
3602.00,97.06
3601.00,97.08
3600.00,97.08
3599.00,97.07
3598.00,97.04
3597.00,97.01
3596.00,96.99
3595.00,96.98
3594.00,96.99
3593.00,96.99
3592.00,96.99
3591.00,96.97
3590.00,96.95
3589.00,96.93
3588.00,96.93
3587.00,96.95
3586.00,96.96
3585.00,96.94
3584.00,96.90
3583.00,96.86
3582.00,96.82
3581.00,96.80
3580.00,96.79
3579.00,96.79
3578.00,96.79
3577.00,96.79
3576.00,96.78
3575.00,96.77
3574.00,96.75
3573.00,96.73
3572.00,96.71
3571.00,96.69
3570.00,96.68
3569.00,96.69
3568.00,96.71
3567.00,96.73
3566.00,96.74
3565.00,96.71
3564.00,96.67
3563.00,96.61
3562.00,96.56
3561.00,96.53
3560.00,96.51
3559.00,96.51
3558.00,96.53
3557.00,96.55
3556.00,96.57
3555.00,96.56
3554.00,96.52
3553.00,96.45
3552.00,96.39
3551.00,96.35
3550.00,96.33
3549.00,96.32
3548.00,96.32
3547.00,96.32
3546.00,96.32
3545.00,96.32
3544.00,96.32
3543.00,96.31
3542.00,96.28
3541.00,96.24
3540.00,96.21
3539.00,96.18
3538.00,96.17
3537.00,96.18
3536.00,96.19
3535.00,96.19
3534.00,96.15
3533.00,96.09
3532.00,96.04
3531.00,96.01
3530.00,95.99
3529.00,95.98
3528.00,95.97
3527.00,95.96
3526.00,95.96
3525.00,95.96
3524.00,95.97
3523.00,95.97
3522.00,95.96
3521.00,95.93
3520.00,95.89
3519.00,95.85
3518.00,95.80
3517.00,95.75
3516.00,95.72
3515.00,95.69
3514.00,95.68
3513.00,95.68
3512.00,95.67
3511.00,95.66
3510.00,95.65
3509.00,95.63
3508.00,95.62
3507.00,95.62
3506.00,95.61
3505.00,95.62
3504.00,95.61
3503.00,95.60
3502.00,95.58
3501.00,95.56
