Created as New Dataset,2 Celanese
cm-1,%T
3648.00,96.74
3647.00,96.71
3646.00,96.70
3645.00,96.71
3644.00,96.71
3643.00,96.70
3642.00,96.68
3641.00,96.67
3640.00,96.69
3639.00,96.72
3638.00,96.74
3637.00,96.75
3636.00,96.75
3635.00,96.74
3634.00,96.73
3633.00,96.74
3632.00,96.76
3631.00,96.77
3630.00,96.76
3629.00,96.72
3628.00,96.70
3627.00,96.69
3626.00,96.69
3625.00,96.68
3624.00,96.66
3623.00,96.65
3622.00,96.67
3621.00,96.68
3620.00,96.68
3619.00,96.67
3618.00,96.66
3617.00,96.65
3616.00,96.63
3615.00,96.61
3614.00,96.61
3613.00,96.61
3612.00,96.62
3611.00,96.62
3610.00,96.60
3609.00,96.58
3608.00,96.57
3607.00,96.57
3606.00,96.58
3605.00,96.59
3604.00,96.60
3603.00,96.61
3602.00,96.62
3601.00,96.62
3600.00,96.61
3599.00,96.59
3598.00,96.58
3597.00,96.58
3596.00,96.57
3595.00,96.57
3594.00,96.58
3593.00,96.59
3592.00,96.61
3591.00,96.63
3590.00,96.66
3589.00,96.69
3588.00,96.70
3587.00,96.70
3586.00,96.69
3585.00,96.66
3584.00,96.64
3583.00,96.62
3582.00,96.60
3581.00,96.59
3580.00,96.58
3579.00,96.58
3578.00,96.59
3577.00,96.60
3576.00,96.61
3575.00,96.61
3574.00,96.61
3573.00,96.60
3572.00,96.60
3571.00,96.59
3570.00,96.59
3569.00,96.58
3568.00,96.58
3567.00,96.58
3566.00,96.57
3565.00,96.56
3564.00,96.53
3563.00,96.52
3562.00,96.51
3561.00,96.51
3560.00,96.50
3559.00,96.48
3558.00,96.46
3557.00,96.44
3556.00,96.43
3555.00,96.44
3554.00,96.45
3553.00,96.45
3552.00,96.44
3551.00,96.43
3550.00,96.41
3549.00,96.39
3548.00,96.36
3547.00,96.36
3546.00,96.38
3545.00,96.41
3544.00,96.42
3543.00,96.41
3542.00,96.39
3541.00,96.37
3540.00,96.38
3539.00,96.40
3538.00,96.43
3537.00,96.45
3536.00,96.46
3535.00,96.48
3534.00,96.48
3533.00,96.48
3532.00,96.47
3531.00,96.45
3530.00,96.44
3529.00,96.42
3528.00,96.41
3527.00,96.41
3526.00,96.41
3525.00,96.43
3524.00,96.45
3523.00,96.45
3522.00,96.45
3521.00,96.44
3520.00,96.43
3519.00,96.41
3518.00,96.40
3517.00,96.39
3516.00,96.39
3515.00,96.38
3514.00,96.38
3513.00,96.38
3512.00,96.38
3511.00,96.38
3510.00,96.38
3509.00,96.38
3508.00,96.38
3507.00,96.38
3506.00,96.37
3505.00,96.36
3504.00,96.35
3503.00,96.34
3502.00,96.34
3501.00,96.35
3500.00,96.36
3499.00,96.37
3498.00,96.38
3497.00,96.39
3496.00,96.39
3495.00,96.39
3494.00,96.39
3493.00,96.38
3492.00,96.37
3491.00,96.36
3490.00,96.35
3489.00,96.36
3488.00,96.36
3487.00,96.37
3486.00,96.39
3485.00,96.39
3484.00,96.40
3483.00,96.39
3482.00,96.39
3481.00,96.38
3480.00,96.38
3479.00,96.37
3478.00,96.36
3477.00,96.35
3476.00,96.36
3475.00,96.37
3474.00,96.37
3473.00,96.37
3472.00,96.36
3471.00,96.36
3470.00,96.36
3469.00,96.37
3468.00,96.38
3467.00,96.38
3466.00,96.38
3465.00,96.37
3464.00,96.37
3463.00,96.38
3462.00,96.38
3461.00,96.39
3460.00,96.40
3459.00,96.40
3458.00,96.39
3457.00,96.39
3456.00,96.38
3455.00,96.38
3454.00,96.39
3453.00,96.42
3452.00,96.45
3451.00,96.47
3450.00,96.46
3449.00,96.45
3448.00,96.43
3447.00,96.43
3446.00,96.44
