Created as New Dataset,12.4 Red Wool Merino sheep and rayon
cm-1,%T
3649.00,97.83
3648.00,97.80
3647.00,97.82
3646.00,97.87
3645.00,97.92
3644.00,97.96
3643.00,97.98
3642.00,97.98
3641.00,97.98
3640.00,97.98
3639.00,97.98
3638.00,97.99
3637.00,97.98
3636.00,97.97
3635.00,97.97
3634.00,97.97
3633.00,97.95
3632.00,97.89
3631.00,97.83
3630.00,97.80
3629.00,97.78
3628.00,97.74
3627.00,97.69
3626.00,97.68
3625.00,97.69
3624.00,97.72
3623.00,97.73
3622.00,97.72
3621.00,97.68
3620.00,97.64
3619.00,97.59
3618.00,97.54
3617.00,97.49
3616.00,97.44
3615.00,97.41
3614.00,97.40
3613.00,97.37
3612.00,97.33
3611.00,97.30
3610.00,97.30
3609.00,97.33
3608.00,97.37
3607.00,97.38
3606.00,97.36
3605.00,97.32
3604.00,97.28
3603.00,97.25
3602.00,97.23
3601.00,97.22
3600.00,97.23
3599.00,97.24
3598.00,97.26
3597.00,97.26
3596.00,97.24
3595.00,97.19
3594.00,97.12
3593.00,97.06
3592.00,97.01
3591.00,96.97
3590.00,96.94
3589.00,96.94
3588.00,96.94
3587.00,96.94
3586.00,96.93
3585.00,96.91
3584.00,96.89
3583.00,96.85
3582.00,96.80
3581.00,96.76
3580.00,96.73
3579.00,96.72
3578.00,96.71
3577.00,96.69
3576.00,96.66
3575.00,96.62
3574.00,96.58
3573.00,96.55
3572.00,96.51
3571.00,96.46
3570.00,96.40
3569.00,96.35
3568.00,96.32
3567.00,96.29
3566.00,96.26
3565.00,96.25
3564.00,96.24
3563.00,96.23
3562.00,96.23
3561.00,96.22
3560.00,96.21
3559.00,96.20
3558.00,96.19
3557.00,96.17
3556.00,96.14
3555.00,96.09
3554.00,96.04
3553.00,96.01
3552.00,96.00
3551.00,95.97
3550.00,95.94
3549.00,95.89
3548.00,95.83
3547.00,95.78
3546.00,95.73
3545.00,95.68
3544.00,95.65
3543.00,95.62
3542.00,95.59
3541.00,95.57
3540.00,95.55
3539.00,95.53
3538.00,95.51
3537.00,95.48
3536.00,95.46
3535.00,95.43
3534.00,95.41
3533.00,95.39
3532.00,95.37
3531.00,95.33
3530.00,95.28
3529.00,95.24
3528.00,95.20
3527.00,95.17
3526.00,95.12
3525.00,95.08
3524.00,95.02
3523.00,94.97
3522.00,94.91
3521.00,94.87
3520.00,94.85
3519.00,94.84
3518.00,94.83
3517.00,94.82
3516.00,94.79
3515.00,94.76
3514.00,94.72
3513.00,94.67
3512.00,94.61
3511.00,94.55
3510.00,94.50
3509.00,94.46
3508.00,94.44
3507.00,94.42
3506.00,94.41
3505.00,94.38
3504.00,94.34
3503.00,94.28
3502.00,94.21
3501.00,94.14
3500.00,94.09
3499.00,94.03
3498.00,93.98
3497.00,93.92
3496.00,93.87
3495.00,93.81
3494.00,93.74
3493.00,93.68
3492.00,93.62
3491.00,93.57
3490.00,93.54
3489.00,93.51
3488.00,93.49
3487.00,93.46
3486.00,93.41
3485.00,93.35
3484.00,93.31
3483.00,93.29
3482.00,93.30
3481.00,93.32
3480.00,93.33
3479.00,93.31
3478.00,93.26
3477.00,93.21
3476.00,93.18
3475.00,93.16
3474.00,93.14
3473.00,93.11
3472.00,93.07
3471.00,93.03
3470.00,92.98
3469.00,92.94
3468.00,92.90
3467.00,92.87
3466.00,92.83
3465.00,92.80
3464.00,92.75
3463.00,92.69
3462.00,92.61
3461.00,92.54
3460.00,92.49
3459.00,92.44
3458.00,92.40
3457.00,92.36
3456.00,92.33
3455.00,92.31
3454.00,92.29
3453.00,92.27
3452.00,92.23
3451.00,92.17
3450.00,92.12
3449.00,92.07
3448.00,92.03
3447.00,92.00
3446.00,91.96
3445.00,91.91
3444.00,91.86
3443.00,91.81
3442.00,91.78
3441.00,91.77
3440.00,91.75
3439.00,91.73
3438.00,91.72
3437.00,91.70
3436.00,91.68
3435.00,91.65
3434.00,91.63
3433.00,91.61
3432.00,91.60
3431.00,91.60
3430.00,91.60
3429.00,91.59
3428.00,91.57
3427.00,91.55
3426.00,91.53
3425.00,91.51
3424.00,91.49
3423.00,91.47
3422.00,91.45
3421.00,91.43
3420.00,91.41
3419.00,91.39
3418.00,91.37
3417.00,91.35
3416.00,91.32
3415.00,91.29
3414.00,91.26
3413.00,91.24
3412.00,91.24
3411.00,91.23
3410.00,91.20
3409.00,91.17
3408.00,91.13
3407.00,91.10
3406.00,91.08
3405.00,91.07
3404.00,91.07
3403.00,91.06
3402.00,91.04
3401.00,91.01
3400.00,90.97
3399.00,90.93
3398.00,90.90
3397.00,90.88
3396.00,90.87
3395.00,90.85
3394.00,90.83
3393.00,90.81
3392.00,90.78
3391.00,90.76
3390.00,90.74
3389.00,90.71
3388.00,90.69
3387.00,90.65
3386.00,90.62
3385.00,90.60
3384.00,90.59
3383.00,90.59
3382.00,90.59
3381.00,90.59
3380.00,90.59
3379.00,90.57
3378.00,90.54
3377.00,90.50
3376.00,90.46
3375.00,90.43
3374.00,90.41
3373.00,90.41
3372.00,90.43
3371.00,90.46
3370.00,90.48
3369.00,90.47
3368.00,90.43
3367.00,90.37
3366.00,90.31
3365.00,90.28
3364.00,90.27
3363.00,90.26
3362.00,90.24
3361.00,90.23
3360.00,90.22
3359.00,90.21
3358.00,90.20
3357.00,90.19
3356.00,90.17
3355.00,90.16
3354.00,90.14
3353.00,90.12
3352.00,90.10
3351.00,90.06
3350.00,90.02
3349.00,89.99
3348.00,89.97
3347.00,89.96
3346.00,89.96
3345.00,89.98
3344.00,89.99
3343.00,89.98
3342.00,89.97
3341.00,89.94
3340.00,89.91
3339.00,89.89
3338.00,89.88
3337.00,89.87
3336.00,89.86
3335.00,89.85
3334.00,89.82
3333.00,89.80
3332.00,89.79
3331.00,89.79
3330.00,89.82
3329.00,89.84
3328.00,89.86
3327.00,89.85
3326.00,89.83
3325.00,89.80
3324.00,89.79
3323.00,89.79
3322.00,89.78
3321.00,89.77
3320.00,89.75
3319.00,89.72
3318.00,89.69
3317.00,89.67
3316.00,89.66
3315.00,89.65
3314.00,89.65
3313.00,89.64
3312.00,89.65
3311.00,89.66
3310.00,89.68
3309.00,89.67
3308.00,89.64
3307.00,89.61
3306.00,89.59
3305.00,89.58
3304.00,89.57
3303.00,89.56
3302.00,89.55
3301.00,89.53
3300.00,89.52
3299.00,89.50
3298.00,89.48
3297.00,89.48
3296.00,89.49
3295.00,89.50
