Created as New Dataset,Natural Brown fiber
cm-1,%T
3648.00,98.99
3647.00,98.99
3646.00,98.97
3645.00,98.95
3644.00,98.93
3643.00,98.93
3642.00,98.94
3641.00,98.94
3640.00,98.94
3639.00,98.93
3638.00,98.93
3637.00,98.93
3636.00,98.93
3635.00,98.93
3634.00,98.92
3633.00,98.89
3632.00,98.85
3631.00,98.82
3630.00,98.81
3629.00,98.79
3628.00,98.76
3627.00,98.72
3626.00,98.70
3625.00,98.69
3624.00,98.68
3623.00,98.67
3622.00,98.66
3621.00,98.66
3620.00,98.65
3619.00,98.62
3618.00,98.58
3617.00,98.54
3616.00,98.51
3615.00,98.50
3614.00,98.49
3613.00,98.47
3612.00,98.43
3611.00,98.39
3610.00,98.37
3609.00,98.37
3608.00,98.37
3607.00,98.37
3606.00,98.36
3605.00,98.35
3604.00,98.33
3603.00,98.32
3602.00,98.30
3601.00,98.29
3600.00,98.28
3599.00,98.27
3598.00,98.25
3597.00,98.22
3596.00,98.20
3595.00,98.18
3594.00,98.15
3593.00,98.13
3592.00,98.11
3591.00,98.09
3590.00,98.08
3589.00,98.08
3588.00,98.05
3587.00,98.02
3586.00,97.98
3585.00,97.95
3584.00,97.93
3583.00,97.91
3582.00,97.89
3581.00,97.87
3580.00,97.85
3579.00,97.82
3578.00,97.78
3577.00,97.74
3576.00,97.70
3575.00,97.67
3574.00,97.66
3573.00,97.66
3572.00,97.66
3571.00,97.65
3570.00,97.64
3569.00,97.61
3568.00,97.56
3567.00,97.50
3566.00,97.45
3565.00,97.41
3564.00,97.39
3563.00,97.39
3562.00,97.38
3561.00,97.37
3560.00,97.36
3559.00,97.34
3558.00,97.32
3557.00,97.30
3556.00,97.28
3555.00,97.25
3554.00,97.23
3553.00,97.21
3552.00,97.18
3551.00,97.16
3550.00,97.13
3549.00,97.10
3548.00,97.07
3547.00,97.04
3546.00,97.01
3545.00,96.97
3544.00,96.95
3543.00,96.92
3542.00,96.89
3541.00,96.86
3540.00,96.83
3539.00,96.80
3538.00,96.78
3537.00,96.75
3536.00,96.73
3535.00,96.72
3534.00,96.70
3533.00,96.68
3532.00,96.63
3531.00,96.58
3530.00,96.52
3529.00,96.49
3528.00,96.47
3527.00,96.45
3526.00,96.42
3525.00,96.39
3524.00,96.36
3523.00,96.35
3522.00,96.34
3521.00,96.32
3520.00,96.30
3519.00,96.27
3518.00,96.24
3517.00,96.20
3516.00,96.17
3515.00,96.14
3514.00,96.12
3513.00,96.10
3512.00,96.07
3511.00,96.02
3510.00,95.98
3509.00,95.95
3508.00,95.93
3507.00,95.91
3506.00,95.89
3505.00,95.85
3504.00,95.81
3503.00,95.75
