Created as New Dataset,157. Hoechst (Red cloth)
cm-1,%T
3648.00,98.52
3647.00,98.53
3646.00,98.54
3645.00,98.54
3644.00,98.54
3643.00,98.54
3642.00,98.56
3641.00,98.59
3640.00,98.63
3639.00,98.65
3638.00,98.66
3637.00,98.65
3636.00,98.65
3635.00,98.64
3634.00,98.63
3633.00,98.60
3632.00,98.57
3631.00,98.54
3630.00,98.53
3629.00,98.53
3628.00,98.52
3627.00,98.52
3626.00,98.53
3625.00,98.53
3624.00,98.53
3623.00,98.53
3622.00,98.54
3621.00,98.57
3620.00,98.58
3619.00,98.59
3618.00,98.58
3617.00,98.59
3616.00,98.62
3615.00,98.66
3614.00,98.68
3613.00,98.66
3612.00,98.62
3611.00,98.56
3610.00,98.52
3609.00,98.50
3608.00,98.52
3607.00,98.54
3606.00,98.57
3605.00,98.59
3604.00,98.61
3603.00,98.63
3602.00,98.65
3601.00,98.67
3600.00,98.67
3599.00,98.65
3598.00,98.64
3597.00,98.62
3596.00,98.61
3595.00,98.60
3594.00,98.59
3593.00,98.58
3592.00,98.58
3591.00,98.58
3590.00,98.58
3589.00,98.58
3588.00,98.57
3587.00,98.55
3586.00,98.55
3585.00,98.55
3584.00,98.57
3583.00,98.60
3582.00,98.62
3581.00,98.64
3580.00,98.63
3579.00,98.62
3578.00,98.60
3577.00,98.60
3576.00,98.61
3575.00,98.62
3574.00,98.64
3573.00,98.65
3572.00,98.65
3571.00,98.63
3570.00,98.61
3569.00,98.59
3568.00,98.57
3567.00,98.55
3566.00,98.53
3565.00,98.51
3564.00,98.51
3563.00,98.51
3562.00,98.51
3561.00,98.51
3560.00,98.53
3559.00,98.55
3558.00,98.57
3557.00,98.58
3556.00,98.59
3555.00,98.59
3554.00,98.59
3553.00,98.57
3552.00,98.55
3551.00,98.52
3550.00,98.49
3549.00,98.47
3548.00,98.46
3547.00,98.47
3546.00,98.48
3545.00,98.49
3544.00,98.51
3543.00,98.55
3542.00,98.58
3541.00,98.59
3540.00,98.59
3539.00,98.57
3538.00,98.55
3537.00,98.54
3536.00,98.54
3535.00,98.55
3534.00,98.57
3533.00,98.58
3532.00,98.58
3531.00,98.56
3530.00,98.53
3529.00,98.52
3528.00,98.52
3527.00,98.54
3526.00,98.56
3525.00,98.58
3524.00,98.60
3523.00,98.60
3522.00,98.60
3521.00,98.59
3520.00,98.57
3519.00,98.56
3518.00,98.56
3517.00,98.56
3516.00,98.58
3515.00,98.60
3514.00,98.64
3513.00,98.67
3512.00,98.68
3511.00,98.67
3510.00,98.66
3509.00,98.64
3508.00,98.64
3507.00,98.63
3506.00,98.63
3505.00,98.61
3504.00,98.60
3503.00,98.59
3502.00,98.58
3501.00,98.59
3500.00,98.60
3499.00,98.62
3498.00,98.64
3497.00,98.65
3496.00,98.65
3495.00,98.64
3494.00,98.64
3493.00,98.64
3492.00,98.66
3491.00,98.68
3490.00,98.70
3489.00,98.70
3488.00,98.70
3487.00,98.70
3486.00,98.69
3485.00,98.68
3484.00,98.67
3483.00,98.65
3482.00,98.63
3481.00,98.60
3480.00,98.58
3479.00,98.57
3478.00,98.56
3477.00,98.57
3476.00,98.58
3475.00,98.59
3474.00,98.60
3473.00,98.59
3472.00,98.58
3471.00,98.56
3470.00,98.53
3469.00,98.52
3468.00,98.51
3467.00,98.51
3466.00,98.53
3465.00,98.56
3464.00,98.58
3463.00,98.59
3462.00,98.58
3461.00,98.56
3460.00,98.54
3459.00,98.52
3458.00,98.51
3457.00,98.52
3456.00,98.54
3455.00,98.54
3454.00,98.53
3453.00,98.50
3452.00,98.47
3451.00,98.45
3450.00,98.44
3449.00,98.42
3448.00,98.42
3447.00,98.41
3446.00,98.40
3445.00,98.37
3444.00,98.34
3443.00,98.32
3442.00,98.31
3441.00,98.29
3440.00,98.26
3439.00,98.24
3438.00,98.22
3437.00,98.21
3436.00,98.22
3435.00,98.22
3434.00,98.22
3433.00,98.20
3432.00,98.18
3431.00,98.17
3430.00,98.17
3429.00,98.18
3428.00,98.21
3427.00,98.23
3426.00,98.25
3425.00,98.26
3424.00,98.28
3423.00,98.32
3422.00,98.36
3421.00,98.38
3420.00,98.39
3419.00,98.39
3418.00,98.39
3417.00,98.40
3416.00,98.42
3415.00,98.45
3414.00,98.48
3413.00,98.50
3412.00,98.53
3411.00,98.54
3410.00,98.54
3409.00,98.54
3408.00,98.53
3407.00,98.54
3406.00,98.55
3405.00,98.55
3404.00,98.55
3403.00,98.55
3402.00,98.56
3401.00,98.57
3400.00,98.58
3399.00,98.56
3398.00,98.53
3397.00,98.51
3396.00,98.52
3395.00,98.54
3394.00,98.56
3393.00,98.57
3392.00,98.56
3391.00,98.56
3390.00,98.57
3389.00,98.60
3388.00,98.63
3387.00,98.66
3386.00,98.68
3385.00,98.67
3384.00,98.65
3383.00,98.64
3382.00,98.63
3381.00,98.63
3380.00,98.63
3379.00,98.63
3378.00,98.63
3377.00,98.63
3376.00,98.62
3375.00,98.62
