Created as New Dataset,126 Shaw Industries (Green)
cm-1,%T
3648.00,100.76
3647.00,100.72
3646.00,100.70
3645.00,100.69
3644.00,100.69
3643.00,100.67
3642.00,100.65
3641.00,100.64
3640.00,100.63
3639.00,100.63
3638.00,100.63
3637.00,100.64
3636.00,100.65
3635.00,100.67
3634.00,100.69
3633.00,100.71
3632.00,100.74
3631.00,100.78
3630.00,100.80
3629.00,100.81
3628.00,100.81
3627.00,100.79
3626.00,100.77
3625.00,100.74
3624.00,100.72
3623.00,100.72
3622.00,100.74
3621.00,100.76
3620.00,100.77
3619.00,100.75
3618.00,100.73
3617.00,100.72
3616.00,100.72
3615.00,100.73
3614.00,100.73
3613.00,100.73
3612.00,100.72
3611.00,100.71
3610.00,100.71
3609.00,100.70
3608.00,100.69
3607.00,100.67
3606.00,100.65
3605.00,100.64
3604.00,100.65
3603.00,100.66
3602.00,100.67
3601.00,100.66
3600.00,100.64
3599.00,100.64
3598.00,100.64
3597.00,100.65
3596.00,100.65
3595.00,100.65
3594.00,100.65
3593.00,100.64
3592.00,100.64
3591.00,100.65
3590.00,100.66
3589.00,100.67
3588.00,100.68
3587.00,100.67
3586.00,100.67
3585.00,100.66
3584.00,100.65
3583.00,100.63
3582.00,100.61
3581.00,100.60
3580.00,100.59
3579.00,100.59
3578.00,100.60
3577.00,100.60
3576.00,100.61
3575.00,100.61
3574.00,100.62
3573.00,100.63
3572.00,100.63
3571.00,100.62
3570.00,100.60
3569.00,100.59
3568.00,100.58
3567.00,100.58
3566.00,100.57
3565.00,100.56
3564.00,100.56
3563.00,100.56
3562.00,100.56
3561.00,100.54
3560.00,100.54
3559.00,100.56
3558.00,100.59
3557.00,100.62
3556.00,100.64
3555.00,100.64
3554.00,100.63
3553.00,100.61
3552.00,100.58
3551.00,100.56
3550.00,100.57
3549.00,100.58
3548.00,100.60
3547.00,100.60
3546.00,100.58
3545.00,100.55
3544.00,100.53
3543.00,100.51
3542.00,100.51
3541.00,100.51
3540.00,100.52
3539.00,100.54
3538.00,100.57
3537.00,100.59
3536.00,100.59
3535.00,100.58
3534.00,100.57
3533.00,100.58
3532.00,100.58
3531.00,100.57
3530.00,100.55
3529.00,100.51
3528.00,100.48
3527.00,100.48
3526.00,100.48
3525.00,100.48
3524.00,100.49
3523.00,100.49
3522.00,100.50
3521.00,100.52
3520.00,100.54
3519.00,100.55
3518.00,100.55
3517.00,100.53
3516.00,100.52
3515.00,100.52
3514.00,100.52
3513.00,100.53
3512.00,100.53
3511.00,100.51
3510.00,100.49
3509.00,100.47
3508.00,100.47
3507.00,100.47
3506.00,100.47
3505.00,100.47
3504.00,100.46
3503.00,100.45
3502.00,100.44
3501.00,100.44
3500.00,100.44
3499.00,100.45
3498.00,100.45
3497.00,100.44
3496.00,100.43
3495.00,100.42
3494.00,100.43
3493.00,100.44
3492.00,100.46
3491.00,100.49
3490.00,100.50
3489.00,100.51
3488.00,100.49
3487.00,100.47
3486.00,100.45
3485.00,100.45
3484.00,100.45
3483.00,100.44
3482.00,100.43
3481.00,100.40
3480.00,100.38
3479.00,100.38
3478.00,100.40
3477.00,100.42
3476.00,100.45
3475.00,100.47
3474.00,100.46
3473.00,100.45
3472.00,100.43
3471.00,100.43
3470.00,100.44
3469.00,100.46
3468.00,100.47
3467.00,100.48
3466.00,100.48
3465.00,100.48
3464.00,100.47
3463.00,100.45
3462.00,100.42
3461.00,100.38
3460.00,100.34
3459.00,100.31
3458.00,100.30
3457.00,100.31
3456.00,100.32
3455.00,100.35
3454.00,100.37
3453.00,100.38
3452.00,100.40
3451.00,100.42
3450.00,100.45
3449.00,100.45
3448.00,100.43
3447.00,100.41
3446.00,100.39
3445.00,100.38
3444.00,100.38
3443.00,100.38
3442.00,100.38
3441.00,100.37
3440.00,100.37
3439.00,100.36
3438.00,100.34
3437.00,100.33
3436.00,100.32
3435.00,100.33
3434.00,100.35
3433.00,100.36
3432.00,100.37
3431.00,100.38
3430.00,100.37
3429.00,100.36
3428.00,100.36
3427.00,100.36
3426.00,100.37
3425.00,100.38
3424.00,100.39
3423.00,100.38
3422.00,100.38
3421.00,100.37
3420.00,100.37
3419.00,100.38
3418.00,100.37
3417.00,100.37
3416.00,100.36
3415.00,100.36
3414.00,100.37
3413.00,100.38
3412.00,100.39
3411.00,100.40
3410.00,100.41
3409.00,100.41
3408.00,100.41
3407.00,100.40
3406.00,100.39
3405.00,100.38
3404.00,100.35
3403.00,100.33
3402.00,100.33
3401.00,100.34
3400.00,100.36
3399.00,100.37
3398.00,100.38
3397.00,100.38
3396.00,100.38
3395.00,100.37
3394.00,100.36
3393.00,100.36
3392.00,100.37
3391.00,100.38
3390.00,100.38
3389.00,100.38
3388.00,100.38
3387.00,100.38
3386.00,100.38
3385.00,100.37
3384.00,100.35
3383.00,100.35
3382.00,100.36
3381.00,100.38
3380.00,100.39
3379.00,100.38
3378.00,100.37
3377.00,100.36
3376.00,100.34
3375.00,100.33
3374.00,100.33
3373.00,100.34
3372.00,100.36
3371.00,100.40
3370.00,100.43
3369.00,100.45
3368.00,100.45
3367.00,100.43
3366.00,100.40
3365.00,100.38
3364.00,100.38
3363.00,100.40
3362.00,100.42
3361.00,100.43
3360.00,100.44
3359.00,100.43
3358.00,100.42
3357.00,100.40
3356.00,100.39
3355.00,100.38
3354.00,100.38
3353.00,100.39
3352.00,100.40
3351.00,100.39
3350.00,100.39
3349.00,100.38
3348.00,100.37
3347.00,100.36
3346.00,100.35
3345.00,100.36
3344.00,100.37
3343.00,100.37
3342.00,100.37
3341.00,100.36
3340.00,100.35
3339.00,100.35
3338.00,100.35
3337.00,100.35
3336.00,100.35
3335.00,100.37
3334.00,100.38
3333.00,100.39
3332.00,100.39
3331.00,100.39
3330.00,100.39
3329.00,100.39
3328.00,100.38
3327.00,100.37
3326.00,100.37
3325.00,100.37
3324.00,100.37
3323.00,100.38
3322.00,100.38
3321.00,100.39
3320.00,100.39
3319.00,100.37
3318.00,100.35
3317.00,100.34
3316.00,100.34
3315.00,100.35
3314.00,100.36
3313.00,100.37
3312.00,100.37
3311.00,100.38
3310.00,100.39
3309.00,100.42
3308.00,100.45
3307.00,100.47
3306.00,100.47
3305.00,100.45
3304.00,100.41
3303.00,100.36
3302.00,100.33
3301.00,100.33
3300.00,100.34
3299.00,100.37
3298.00,100.40
3297.00,100.40
3296.00,100.40
3295.00,100.38
3294.00,100.36
3293.00,100.36
3292.00,100.37
3291.00,100.38
3290.00,100.38
3289.00,100.40
3288.00,100.41
3287.00,100.42
3286.00,100.42
3285.00,100.41
3284.00,100.40
3283.00,100.39
3282.00,100.39
3281.00,100.38
3280.00,100.36
3279.00,100.35
3278.00,100.35
3277.00,100.35
3276.00,100.37
3275.00,100.38
3274.00,100.39
3273.00,100.40
3272.00,100.41
3271.00,100.40
3270.00,100.40
3269.00,100.39
3268.00,100.39
3267.00,100.40
3266.00,100.41
3265.00,100.42
3264.00,100.43
3263.00,100.44
3262.00,100.44
3261.00,100.43
3260.00,100.42
3259.00,100.41
3258.00,100.40
3257.00,100.40
3256.00,100.39
3255.00,100.39
3254.00,100.40
3253.00,100.40
3252.00,100.39
3251.00,100.39
3250.00,100.40
3249.00,100.42
3248.00,100.44
3247.00,100.45
3246.00,100.45
3245.00,100.43
3244.00,100.40
3243.00,100.38
3242.00,100.37
3241.00,100.36
3240.00,100.37
3239.00,100.37
3238.00,100.36
3237.00,100.35
3236.00,100.35
3235.00,100.36
3234.00,100.38
3233.00,100.40
3232.00,100.41
3231.00,100.41
3230.00,100.41
3229.00,100.40
3228.00,100.39
3227.00,100.38
3226.00,100.38
3225.00,100.39
3224.00,100.39
3223.00,100.38
3222.00,100.35
3221.00,100.32
3220.00,100.29
3219.00,100.27
3218.00,100.27
3217.00,100.29
3216.00,100.32
3215.00,100.34
3214.00,100.35
3213.00,100.34
3212.00,100.32
3211.00,100.31
3210.00,100.30
3209.00,100.30
3208.00,100.30
3207.00,100.31
3206.00,100.32
3205.00,100.32
3204.00,100.31
3203.00,100.30
3202.00,100.30
3201.00,100.32
3200.00,100.35
3199.00,100.35
3198.00,100.33
3197.00,100.32
3196.00,100.30
3195.00,100.28
3194.00,100.26
3193.00,100.24
3192.00,100.24
3191.00,100.27
3190.00,100.30
3189.00,100.32
3188.00,100.33
3187.00,100.32
3186.00,100.31
3185.00,100.32
3184.00,100.33
3183.00,100.35
3182.00,100.36
3181.00,100.37
3180.00,100.36
3179.00,100.34
3178.00,100.33
3177.00,100.33
3176.00,100.33
3175.00,100.33
3174.00,100.33
3173.00,100.32
3172.00,100.32
3171.00,100.33
3170.00,100.33
3169.00,100.34
3168.00,100.35
3167.00,100.35
3166.00,100.35
3165.00,100.35
3164.00,100.35
3163.00,100.36
3162.00,100.37
3161.00,100.38
3160.00,100.39
3159.00,100.40
3158.00,100.38
3157.00,100.36
3156.00,100.34
3155.00,100.34
3154.00,100.35
3153.00,100.37
3152.00,100.38
3151.00,100.39
3150.00,100.40
3149.00,100.39
3148.00,100.38
3147.00,100.38
3146.00,100.39
3145.00,100.40
3144.00,100.40
3143.00,100.40
3142.00,100.39
3141.00,100.38
3140.00,100.38
3139.00,100.38
3138.00,100.38
3137.00,100.38
3136.00,100.38
3135.00,100.38
3134.00,100.39
3133.00,100.41
3132.00,100.42
3131.00,100.44
3130.00,100.46
3129.00,100.47
3128.00,100.46
3127.00,100.44
3126.00,100.42
3125.00,100.40
3124.00,100.39
3123.00,100.38
3122.00,100.37
3121.00,100.37
3120.00,100.38
3119.00,100.40
3118.00,100.42
3117.00,100.43
3116.00,100.42
3115.00,100.42
3114.00,100.41
3113.00,100.42
3112.00,100.42
3111.00,100.42
3110.00,100.41
3109.00,100.39
3108.00,100.38
3107.00,100.38
3106.00,100.41
3105.00,100.43
3104.00,100.44
3103.00,100.43
3102.00,100.41
3101.00,100.40
3100.00,100.41
3099.00,100.42
3098.00,100.43
3097.00,100.44
3096.00,100.44
3095.00,100.45
3094.00,100.45
3093.00,100.45
3092.00,100.45
3091.00,100.46
3090.00,100.46
3089.00,100.47
3088.00,100.46
3087.00,100.44
3086.00,100.42
3085.00,100.41
3084.00,100.42
3083.00,100.44
3082.00,100.46
3081.00,100.47
3080.00,100.49
3079.00,100.49
3078.00,100.50
3077.00,100.49
3076.00,100.48
3075.00,100.47
3074.00,100.47
3073.00,100.46
3072.00,100.46
3071.00,100.44
3070.00,100.43
3069.00,100.42
3068.00,100.41
