Created as New Dataset,7. Acrylic Asahi Chemical Co
cm-1,%T
4000.00,98.74
3999.00,98.74
3998.00,98.73
3997.00,98.73
3996.00,98.73
3995.00,98.75
3994.00,98.76
3993.00,98.76
3992.00,98.76
3991.00,98.75
3990.00,98.74
3989.00,98.74
3988.00,98.74
3987.00,98.75
3986.00,98.77
3985.00,98.79
3984.00,98.80
3983.00,98.80
3982.00,98.79
3981.00,98.78
3980.00,98.76
3979.00,98.74
3978.00,98.73
3977.00,98.72
3976.00,98.71
3975.00,98.71
3974.00,98.72
3973.00,98.73
3972.00,98.75
3971.00,98.75
3970.00,98.73
3969.00,98.72
3968.00,98.71
3967.00,98.71
3966.00,98.72
3965.00,98.72
3964.00,98.72
3963.00,98.72
3962.00,98.71
3961.00,98.72
3960.00,98.73
3959.00,98.74
3958.00,98.75
3957.00,98.75
3956.00,98.75
3955.00,98.75
3954.00,98.74
3953.00,98.73
3952.00,98.70
3951.00,98.68
3950.00,98.68
3949.00,98.69
3948.00,98.72
3947.00,98.76
3946.00,98.79
3945.00,98.81
3944.00,98.81
3943.00,98.80
3942.00,98.78
3941.00,98.77
3940.00,98.76
3939.00,98.76
3938.00,98.76
3937.00,98.77
3936.00,98.79
3935.00,98.79
3934.00,98.78
3933.00,98.75
3932.00,98.73
3931.00,98.71
3930.00,98.71
3929.00,98.73
3928.00,98.74
3927.00,98.76
3926.00,98.76
3925.00,98.76
3924.00,98.75
3923.00,98.75
3922.00,98.75
3921.00,98.75
3920.00,98.75
3919.00,98.75
3918.00,98.76
3917.00,98.77
3916.00,98.78
3915.00,98.79
3914.00,98.79
3913.00,98.79
3912.00,98.77
3911.00,98.75
3910.00,98.74
3909.00,98.76
3908.00,98.79
3907.00,98.82
3906.00,98.86
3905.00,98.88
3904.00,98.89
3903.00,98.90
3902.00,98.90
3901.00,98.88
3900.00,98.83
3899.00,98.80
3898.00,98.78
3897.00,98.78
3896.00,98.78
3895.00,98.78
3894.00,98.77
3893.00,98.77
3892.00,98.76
3891.00,98.76
3890.00,98.76
3889.00,98.78
3888.00,98.79
3887.00,98.78
3886.00,98.76
3885.00,98.75
3884.00,98.77
3883.00,98.81
3882.00,98.83
3881.00,98.83
3880.00,98.82
3879.00,98.81
3878.00,98.82
3877.00,98.81
3876.00,98.79
3875.00,98.76
3874.00,98.75
3873.00,98.78
3872.00,98.83
3871.00,98.88
3870.00,98.89
3869.00,98.89
3868.00,98.88
3867.00,98.86
3866.00,98.83
3865.00,98.81
3864.00,98.80
3863.00,98.81
3862.00,98.82
3861.00,98.82
3860.00,98.81
3859.00,98.81
3858.00,98.84
3857.00,98.89
3856.00,98.96
3855.00,98.98
3854.00,98.94
3853.00,98.87
3852.00,98.86
3851.00,98.89
3850.00,98.88
3849.00,98.82
3848.00,98.76
3847.00,98.73
3846.00,98.72
3845.00,98.72
3844.00,98.75
3843.00,98.79
3842.00,98.86
3841.00,98.91
3840.00,98.94
3839.00,98.92
3838.00,98.89
3837.00,98.88
3836.00,98.90
3835.00,98.91
3834.00,98.91
3833.00,98.89
3832.00,98.86
3831.00,98.83
3830.00,98.81
3829.00,98.79
3828.00,98.77
3827.00,98.75
3826.00,98.74
3825.00,98.77
3824.00,98.82
3823.00,98.87
3822.00,98.89
3821.00,98.89
3820.00,98.89
3819.00,98.90
3818.00,98.91
3817.00,98.88
3816.00,98.85
3815.00,98.82
3814.00,98.82
3813.00,98.81
3812.00,98.78
3811.00,98.76
3810.00,98.77
3809.00,98.79
3808.00,98.80
3807.00,98.79
3806.00,98.78
3805.00,98.80
3804.00,98.83
3803.00,98.82
3802.00,98.78
3801.00,98.74
3800.00,98.74
3799.00,98.76
3798.00,98.77
3797.00,98.74
3796.00,98.72
3795.00,98.71
3794.00,98.72
3793.00,98.73
3792.00,98.73
3791.00,98.73
3790.00,98.73
3789.00,98.74
3788.00,98.74
3787.00,98.74
3786.00,98.72
3785.00,98.71
3784.00,98.72
3783.00,98.73
3782.00,98.76
3781.00,98.77
3780.00,98.78
3779.00,98.77
3778.00,98.75
3777.00,98.74
3776.00,98.73
3775.00,98.72
3774.00,98.71
3773.00,98.71
3772.00,98.73
3771.00,98.75
3770.00,98.76
3769.00,98.77
3768.00,98.77
3767.00,98.76
3766.00,98.74
3765.00,98.72
3764.00,98.72
3763.00,98.72
3762.00,98.73
3761.00,98.73
3760.00,98.75
3759.00,98.77
3758.00,98.80
3757.00,98.82
3756.00,98.83
3755.00,98.85
3754.00,98.87
3753.00,98.89
3752.00,98.89
3751.00,98.89
3750.00,98.89
3749.00,98.90
3748.00,98.92
3747.00,98.94
3746.00,98.93
3745.00,98.88
3744.00,98.82
3743.00,98.79
3742.00,98.79
3741.00,98.79
3740.00,98.77
3739.00,98.79
3738.00,98.83
3737.00,98.88
3736.00,98.90
3735.00,98.92
3734.00,98.95
3733.00,98.96
3732.00,98.94
3731.00,98.91
3730.00,98.87
3729.00,98.83
3728.00,98.80
3727.00,98.76
3726.00,98.73
3725.00,98.72
3724.00,98.73
3723.00,98.75
3722.00,98.76
3721.00,98.76
3720.00,98.75
3719.00,98.73
3718.00,98.72
3717.00,98.72
3716.00,98.75
3715.00,98.78
3714.00,98.82
3713.00,98.83
3712.00,98.83
3711.00,98.81
3710.00,98.80
3709.00,98.80
3708.00,98.78
3707.00,98.75
3706.00,98.73
3705.00,98.71
3704.00,98.70
3703.00,98.70
3702.00,98.70
3701.00,98.69
3700.00,98.69
3699.00,98.69
3698.00,98.67
3697.00,98.64
3696.00,98.62
3695.00,98.62
3694.00,98.64
3693.00,98.66
3692.00,98.69
3691.00,98.72
3690.00,98.74
3689.00,98.76
3688.00,98.76
3687.00,98.77
3686.00,98.78
3685.00,98.77
3684.00,98.74
3683.00,98.72
3682.00,98.69
3681.00,98.68
3680.00,98.68
3679.00,98.70
3678.00,98.75
3677.00,98.79
3676.00,98.81
3675.00,98.81
3674.00,98.84
3673.00,98.89
3672.00,98.91
3671.00,98.88
3670.00,98.83
3669.00,98.78
3668.00,98.75
3667.00,98.71
3666.00,98.66
3665.00,98.59
3664.00,98.55
3663.00,98.53
3662.00,98.54
3661.00,98.57
3660.00,98.60
3659.00,98.61
3658.00,98.60
3657.00,98.58
3656.00,98.58
3655.00,98.61
3654.00,98.67
3653.00,98.73
3652.00,98.76
3651.00,98.77
3650.00,98.75
3649.00,98.71
3648.00,98.68
3647.00,98.66
3646.00,98.64
3645.00,98.60
3644.00,98.57
3643.00,98.54
3642.00,98.54
3641.00,98.55
3640.00,98.58
3639.00,98.59
3638.00,98.59
3637.00,98.58
3636.00,98.56
3635.00,98.55
3634.00,98.54
3633.00,98.54
3632.00,98.57
3631.00,98.59
3630.00,98.59
3629.00,98.59
3628.00,98.59
3627.00,98.61
3626.00,98.61
3625.00,98.57
3624.00,98.52
3623.00,98.50
3622.00,98.50
3621.00,98.52
3620.00,98.54
3619.00,98.55
3618.00,98.57
3617.00,98.59
3616.00,98.59
3615.00,98.57
3614.00,98.56
3613.00,98.55
3612.00,98.58
3611.00,98.61
3610.00,98.64
3609.00,98.64
3608.00,98.61
3607.00,98.58
3606.00,98.55
3605.00,98.54
3604.00,98.54
3603.00,98.56
3602.00,98.58
3601.00,98.59
3600.00,98.58
3599.00,98.58
3598.00,98.60
3597.00,98.62
3596.00,98.63
3595.00,98.62
3594.00,98.59
3593.00,98.56
3592.00,98.55
3591.00,98.56
3590.00,98.59
3589.00,98.61
3588.00,98.63
3587.00,98.63
3586.00,98.64
3585.00,98.63
3584.00,98.60
3583.00,98.57
3582.00,98.56
3581.00,98.56
3580.00,98.57
3579.00,98.58
3578.00,98.58
3577.00,98.57
3576.00,98.56
3575.00,98.56
3574.00,98.57
3573.00,98.59
3572.00,98.61
3571.00,98.63
3570.00,98.64
3569.00,98.64
3568.00,98.64
3567.00,98.65
3566.00,98.66
3565.00,98.67
3564.00,98.66
3563.00,98.64
3562.00,98.63
3561.00,98.62
3560.00,98.60
3559.00,98.58
3558.00,98.54
3557.00,98.51
3556.00,98.49
3555.00,98.49
3554.00,98.52
3553.00,98.56
3552.00,98.59
3551.00,98.61
3550.00,98.60
3549.00,98.58
3548.00,98.55
3547.00,98.54
3546.00,98.54
3545.00,98.54
3544.00,98.54
3543.00,98.54
3542.00,98.52
3541.00,98.49
3540.00,98.48
3539.00,98.47
3538.00,98.47
3537.00,98.48
3536.00,98.47
3535.00,98.47
3534.00,98.48
3533.00,98.51
3532.00,98.56
3531.00,98.59
3530.00,98.59
3529.00,98.56
3528.00,98.53
3527.00,98.52
3526.00,98.52
3525.00,98.52
3524.00,98.52
3523.00,98.52
3522.00,98.53
3521.00,98.54
3520.00,98.54
3519.00,98.51
3518.00,98.49
3517.00,98.47
3516.00,98.48
3515.00,98.51
3514.00,98.55
3513.00,98.57
3512.00,98.59
3511.00,98.60
3510.00,98.60
3509.00,98.60
3508.00,98.61
3507.00,98.61
3506.00,98.61
3505.00,98.60
3504.00,98.59
3503.00,98.58
3502.00,98.58
3501.00,98.57
3500.00,98.57
3499.00,98.57
3498.00,98.57
3497.00,98.58
3496.00,98.57
3495.00,98.56
3494.00,98.53
3493.00,98.50
3492.00,98.49
3491.00,98.50
3490.00,98.52
3489.00,98.54
3488.00,98.53
3487.00,98.51
3486.00,98.50
3485.00,98.50
3484.00,98.53
3483.00,98.56
3482.00,98.58
3481.00,98.59
3480.00,98.59
3479.00,98.60
3478.00,98.61
3477.00,98.61
3476.00,98.60
3475.00,98.56
3474.00,98.52
3473.00,98.49
3472.00,98.49
3471.00,98.50
3470.00,98.51
3469.00,98.52
3468.00,98.53
3467.00,98.54
3466.00,98.56
3465.00,98.59
3464.00,98.61
3463.00,98.63
3462.00,98.64
3461.00,98.63
3460.00,98.60
3459.00,98.55
3458.00,98.50
3457.00,98.47
3456.00,98.46
3455.00,98.48
3454.00,98.51
3453.00,98.52
3452.00,98.52
3451.00,98.52
3450.00,98.52
3449.00,98.53
3448.00,98.53
3447.00,98.54
3446.00,98.56
3445.00,98.59
3444.00,98.60
3443.00,98.60
3442.00,98.59
3441.00,98.58
3440.00,98.57
3439.00,98.57
3438.00,98.56
3437.00,98.55
3436.00,98.54
3435.00,98.53
3434.00,98.52
3433.00,98.52
3432.00,98.51
3431.00,98.52
3430.00,98.54
3429.00,98.56
3428.00,98.58
3427.00,98.59
3426.00,98.57
3425.00,98.55
3424.00,98.55
3423.00,98.57
3422.00,98.59
3421.00,98.60
3420.00,98.61
3419.00,98.61
3418.00,98.60
3417.00,98.60
3416.00,98.60
3415.00,98.61
3414.00,98.61
3413.00,98.62
3412.00,98.62
3411.00,98.60
3410.00,98.58
3409.00,98.55
3408.00,98.51
3407.00,98.49
3406.00,98.49
3405.00,98.52
3404.00,98.56
3403.00,98.60
3402.00,98.62
3401.00,98.63
3400.00,98.63
3399.00,98.62
3398.00,98.62
3397.00,98.64
3396.00,98.66
3395.00,98.68
3394.00,98.69
3393.00,98.68
3392.00,98.66
3391.00,98.65
3390.00,98.63
3389.00,98.62
3388.00,98.62
3387.00,98.62
3386.00,98.62
3385.00,98.62
3384.00,98.62
3383.00,98.61
3382.00,98.60
3381.00,98.59
3380.00,98.58
3379.00,98.57
3378.00,98.57
3377.00,98.56
3376.00,98.54
3375.00,98.52
3374.00,98.51
3373.00,98.51
3372.00,98.52
3371.00,98.52
3370.00,98.51
3369.00,98.50
3368.00,98.49
3367.00,98.50
3366.00,98.51
3365.00,98.52
3364.00,98.53
3363.00,98.55
3362.00,98.56
3361.00,98.56
3360.00,98.55
3359.00,98.53
3358.00,98.52
3357.00,98.52
3356.00,98.52
3355.00,98.51
3354.00,98.50
3353.00,98.49
3352.00,98.49
3351.00,98.50
3350.00,98.51
3349.00,98.52
3348.00,98.52
3347.00,98.51
3346.00,98.51
3345.00,98.51
3344.00,98.51
3343.00,98.51
3342.00,98.52
3341.00,98.52
3340.00,98.53
3339.00,98.53
3338.00,98.53
3337.00,98.53
3336.00,98.53
3335.00,98.54
3334.00,98.55
3333.00,98.56
3332.00,98.56
3331.00,98.55
3330.00,98.55
3329.00,98.55
3328.00,98.55
3327.00,98.56
3326.00,98.58
3325.00,98.61
3324.00,98.62
3323.00,98.62
3322.00,98.62
3321.00,98.61
3320.00,98.61
3319.00,98.61
3318.00,98.61
3317.00,98.61
3316.00,98.60
3315.00,98.59
3314.00,98.58
3313.00,98.57
3312.00,98.57
3311.00,98.58
3310.00,98.59
3309.00,98.61
3308.00,98.63
3307.00,98.63
3306.00,98.63
3305.00,98.62
3304.00,98.62
3303.00,98.62
3302.00,98.62
3301.00,98.61
3300.00,98.59
3299.00,98.56
3298.00,98.54
3297.00,98.53
3296.00,98.55
3295.00,98.58
3294.00,98.61
3293.00,98.62
3292.00,98.63
3291.00,98.62
3290.00,98.62
3289.00,98.61
3288.00,98.61
3287.00,98.61
3286.00,98.61
3285.00,98.61
3284.00,98.61
3283.00,98.59
3282.00,98.58
3281.00,98.57
3280.00,98.57
3279.00,98.59
3278.00,98.60
3277.00,98.61
3276.00,98.60
3275.00,98.60
3274.00,98.60
3273.00,98.60
3272.00,98.61
3271.00,98.61
3270.00,98.62
3269.00,98.62
3268.00,98.61
3267.00,98.60
3266.00,98.59
3265.00,98.59
3264.00,98.60
3263.00,98.62
3262.00,98.64
3261.00,98.64
3260.00,98.63
3259.00,98.61
3258.00,98.60
3257.00,98.60
3256.00,98.62
3255.00,98.63
3254.00,98.64
3253.00,98.63
3252.00,98.62
3251.00,98.60
3250.00,98.59
3249.00,98.58
3248.00,98.57
3247.00,98.56
3246.00,98.54
3245.00,98.54
3244.00,98.54
3243.00,98.56
3242.00,98.59
3241.00,98.60
3240.00,98.61
3239.00,98.62
3238.00,98.62
3237.00,98.61
3236.00,98.60
3235.00,98.57
3234.00,98.56
3233.00,98.56
3232.00,98.58
3231.00,98.60
3230.00,98.61
3229.00,98.59
3228.00,98.57
3227.00,98.54
3226.00,98.52
3225.00,98.51
3224.00,98.52
3223.00,98.54
3222.00,98.57
3221.00,98.58
3220.00,98.59
3219.00,98.58
3218.00,98.57
3217.00,98.57
3216.00,98.58
3215.00,98.59
3214.00,98.60
3213.00,98.59
3212.00,98.58
3211.00,98.57
3210.00,98.57
3209.00,98.57
3208.00,98.58
3207.00,98.59
3206.00,98.58
3205.00,98.58
3204.00,98.57
3203.00,98.58
3202.00,98.59
3201.00,98.60
3200.00,98.60
3199.00,98.60
3198.00,98.61
3197.00,98.63
3196.00,98.65
3195.00,98.65
3194.00,98.63
3193.00,98.61
3192.00,98.59
3191.00,98.58
3190.00,98.60
3189.00,98.62
3188.00,98.64
3187.00,98.64
3186.00,98.62
3185.00,98.61
3184.00,98.60
3183.00,98.59
3182.00,98.60
3181.00,98.61
3180.00,98.63
3179.00,98.65
3178.00,98.65
3177.00,98.65
3176.00,98.64
3175.00,98.63
3174.00,98.62
3173.00,98.62
3172.00,98.62
3171.00,98.62
3170.00,98.62
3169.00,98.61
3168.00,98.60
3167.00,98.58
3166.00,98.56
3165.00,98.56
3164.00,98.58
3163.00,98.61
3162.00,98.63
3161.00,98.65
3160.00,98.65
3159.00,98.63
3158.00,98.62
3157.00,98.60
3156.00,98.58
3155.00,98.59
3154.00,98.60
3153.00,98.62
3152.00,98.63
3151.00,98.64
3150.00,98.64
3149.00,98.63
3148.00,98.63
3147.00,98.63
3146.00,98.64
3145.00,98.64
3144.00,98.64
3143.00,98.65
3142.00,98.65
3141.00,98.66
3140.00,98.67
3139.00,98.69
3138.00,98.70
3137.00,98.71
3136.00,98.70
3135.00,98.69
3134.00,98.68
3133.00,98.68
3132.00,98.70
3131.00,98.71
3130.00,98.70
3129.00,98.69
3128.00,98.67
3127.00,98.66
3126.00,98.66
3125.00,98.67
3124.00,98.68
3123.00,98.69
3122.00,98.69
3121.00,98.70
3120.00,98.71
3119.00,98.73
3118.00,98.73
3117.00,98.72
3116.00,98.70
3115.00,98.67
3114.00,98.64
3113.00,98.63
3112.00,98.63
3111.00,98.64
3110.00,98.64
3109.00,98.64
3108.00,98.65
3107.00,98.65
3106.00,98.66
3105.00,98.67
3104.00,98.67
3103.00,98.66
3102.00,98.66
3101.00,98.66
3100.00,98.65
3099.00,98.66
3098.00,98.67
3097.00,98.68
3096.00,98.68
3095.00,98.68
3094.00,98.69
3093.00,98.69
3092.00,98.70
3091.00,98.69
3090.00,98.68
3089.00,98.67
3088.00,98.65
3087.00,98.65
3086.00,98.64
3085.00,98.65
3084.00,98.65
3083.00,98.65
3082.00,98.65
3081.00,98.64
3080.00,98.65
3079.00,98.65
3078.00,98.67
3077.00,98.69
3076.00,98.70
3075.00,98.70
3074.00,98.68
3073.00,98.65
3072.00,98.63
3071.00,98.62
3070.00,98.62
3069.00,98.63
3068.00,98.64
3067.00,98.64
3066.00,98.63
3065.00,98.62
3064.00,98.61
3063.00,98.61
3062.00,98.61
3061.00,98.62
3060.00,98.62
3059.00,98.62
3058.00,98.63
3057.00,98.62
3056.00,98.62
3055.00,98.62
3054.00,98.63
3053.00,98.64
3052.00,98.65
3051.00,98.66
3050.00,98.67
3049.00,98.66
3048.00,98.65
3047.00,98.64
3046.00,98.64
3045.00,98.64
3044.00,98.63
3043.00,98.62
3042.00,98.61
3041.00,98.61
3040.00,98.62
3039.00,98.62
3038.00,98.62
3037.00,98.62
3036.00,98.62
3035.00,98.62
3034.00,98.63
3033.00,98.62
3032.00,98.62
3031.00,98.61
3030.00,98.60
3029.00,98.60
3028.00,98.61
3027.00,98.62
3026.00,98.62
3025.00,98.61
3024.00,98.60
3023.00,98.59
3022.00,98.58
3021.00,98.56
3020.00,98.55
3019.00,98.54
3018.00,98.55
3017.00,98.57
3016.00,98.59
3015.00,98.61
3014.00,98.63
3013.00,98.63
3012.00,98.63
3011.00,98.61
3010.00,98.59
3009.00,98.58
3008.00,98.57
3007.00,98.57
3006.00,98.57
3005.00,98.57
3004.00,98.56
3003.00,98.55
3002.00,98.53
3001.00,98.52
3000.00,98.52
2999.00,98.53
2998.00,98.53
2997.00,98.54
2996.00,98.54
2995.00,98.52
2994.00,98.51
2993.00,98.51
2992.00,98.51
2991.00,98.52
2990.00,98.52
2989.00,98.52
2988.00,98.52
2987.00,98.52
2986.00,98.51
2985.00,98.50
2984.00,98.50
2983.00,98.50
2982.00,98.51
2981.00,98.50
2980.00,98.48
2979.00,98.46
2978.00,98.44
2977.00,98.44
2976.00,98.47
2975.00,98.49
2974.00,98.50
2973.00,98.49
2972.00,98.47
2971.00,98.45
2970.00,98.45
2969.00,98.45
2968.00,98.45
2967.00,98.44
2966.00,98.43
2965.00,98.41
2964.00,98.40
2963.00,98.39
2962.00,98.38
2961.00,98.39
2960.00,98.39
2959.00,98.39
2958.00,98.37
2957.00,98.35
2956.00,98.32
2955.00,98.29
2954.00,98.27
2953.00,98.25
2952.00,98.24
2951.00,98.23
2950.00,98.22
2949.00,98.20
2948.00,98.17
2947.00,98.16
2946.00,98.15
2945.00,98.15
2944.00,98.14
2943.00,98.14
2942.00,98.13
2941.00,98.11
2940.00,98.08
2939.00,98.07
2938.00,98.07
2937.00,98.08
2936.00,98.10
2935.00,98.10
2934.00,98.09
2933.00,98.09
2932.00,98.09
2931.00,98.10
2930.00,98.11
2929.00,98.12
2928.00,98.13
2927.00,98.13
2926.00,98.13
2925.00,98.13
2924.00,98.14
2923.00,98.14
2922.00,98.15
2921.00,98.16
2920.00,98.16
2919.00,98.15
2918.00,98.15
2917.00,98.14
2916.00,98.15
2915.00,98.17
2914.00,98.19
2913.00,98.22
2912.00,98.25
2911.00,98.27
2910.00,98.29
2909.00,98.31
2908.00,98.34
2907.00,98.36
2906.00,98.38
2905.00,98.39
2904.00,98.40
2903.00,98.40
2902.00,98.41
2901.00,98.42
2900.00,98.43
2899.00,98.44
2898.00,98.44
2897.00,98.45
2896.00,98.45
2895.00,98.44
2894.00,98.43
2893.00,98.43
2892.00,98.43
2891.00,98.45
2890.00,98.47
2889.00,98.49
2888.00,98.49
2887.00,98.50
2886.00,98.50
2885.00,98.51
2884.00,98.51
2883.00,98.50
2882.00,98.49
2881.00,98.49
2880.00,98.49
2879.00,98.49
2878.00,98.49
2877.00,98.48
2876.00,98.49
2875.00,98.49
2874.00,98.50
2873.00,98.51
2872.00,98.50
2871.00,98.50
2870.00,98.50
2869.00,98.51
2868.00,98.51
2867.00,98.52
2866.00,98.51
2865.00,98.52
2864.00,98.53
2863.00,98.54
2862.00,98.56
2861.00,98.58
2860.00,98.58
2859.00,98.58
2858.00,98.57
2857.00,98.56
2856.00,98.56
2855.00,98.57
2854.00,98.58
2853.00,98.59
2852.00,98.60
2851.00,98.60
2850.00,98.61
2849.00,98.61
2848.00,98.60
2847.00,98.60
2846.00,98.60
2845.00,98.61
2844.00,98.63
2843.00,98.64
2842.00,98.64
2841.00,98.65
2840.00,98.66
2839.00,98.67
2838.00,98.69
2837.00,98.70
2836.00,98.70
2835.00,98.69
2834.00,98.69
2833.00,98.70
2832.00,98.71
2831.00,98.71
2830.00,98.70
2829.00,98.69
2828.00,98.68
2827.00,98.67
2826.00,98.67
2825.00,98.67
2824.00,98.68
2823.00,98.68
2822.00,98.68
2821.00,98.68
2820.00,98.68
2819.00,98.69
2818.00,98.69
2817.00,98.69
2816.00,98.69
2815.00,98.69
2814.00,98.68
2813.00,98.67
2812.00,98.66
2811.00,98.66
2810.00,98.66
2809.00,98.66
2808.00,98.67
2807.00,98.67
2806.00,98.67
2805.00,98.67
2804.00,98.66
2803.00,98.66
2802.00,98.66
2801.00,98.66
2800.00,98.66
2799.00,98.67
2798.00,98.66
2797.00,98.66
2796.00,98.65
2795.00,98.66
2794.00,98.67
2793.00,98.68
2792.00,98.68
2791.00,98.68
2790.00,98.68
2789.00,98.68
2788.00,98.68
2787.00,98.68
2786.00,98.68
2785.00,98.69
2784.00,98.69
2783.00,98.69
2782.00,98.68
2781.00,98.67
2780.00,98.67
2779.00,98.67
2778.00,98.68
2777.00,98.69
2776.00,98.70
2775.00,98.71
2774.00,98.71
2773.00,98.70
2772.00,98.69
2771.00,98.67
2770.00,98.67
2769.00,98.68
2768.00,98.69
2767.00,98.70
2766.00,98.71
2765.00,98.71
2764.00,98.72
2763.00,98.72
2762.00,98.73
2761.00,98.73
2760.00,98.73
2759.00,98.73
2758.00,98.72
2757.00,98.72
2756.00,98.71
2755.00,98.70
2754.00,98.71
2753.00,98.71
2752.00,98.72
2751.00,98.71
2750.00,98.70
2749.00,98.69
