Created as New Dataset,Natural Brown Fiber
cm-1,%T
3648.00,98.27
3647.00,98.23
3646.00,98.19
3645.00,98.17
3644.00,98.16
3643.00,98.18
3642.00,98.20
3641.00,98.22
3640.00,98.22
3639.00,98.22
3638.00,98.20
3637.00,98.18
3636.00,98.17
3635.00,98.15
3634.00,98.12
3633.00,98.08
3632.00,98.03
3631.00,97.98
3630.00,97.94
3629.00,97.89
3628.00,97.84
3627.00,97.83
3626.00,97.84
3625.00,97.86
3624.00,97.86
3623.00,97.84
3622.00,97.80
3621.00,97.77
3620.00,97.74
3619.00,97.71
3618.00,97.67
3617.00,97.63
3616.00,97.60
3615.00,97.58
3614.00,97.57
3613.00,97.56
3612.00,97.53
3611.00,97.49
3610.00,97.45
3609.00,97.42
3608.00,97.38
3607.00,97.36
3606.00,97.34
3605.00,97.33
3604.00,97.32
3603.00,97.30
3602.00,97.29
3601.00,97.28
3600.00,97.27
3599.00,97.27
3598.00,97.26
3597.00,97.23
3596.00,97.19
3595.00,97.16
3594.00,97.14
3593.00,97.13
3592.00,97.11
3591.00,97.08
3590.00,97.05
3589.00,97.01
3588.00,96.96
3587.00,96.90
3586.00,96.84
3585.00,96.80
3584.00,96.79
3583.00,96.78
3582.00,96.77
3581.00,96.74
3580.00,96.70
3579.00,96.67
3578.00,96.63
3577.00,96.60
3576.00,96.57
3575.00,96.54
3574.00,96.51
3573.00,96.48
3572.00,96.44
3571.00,96.39
3570.00,96.34
3569.00,96.29
3568.00,96.24
3567.00,96.20
3566.00,96.16
3565.00,96.12
3564.00,96.09
3563.00,96.07
3562.00,96.06
3561.00,96.05
3560.00,96.04
3559.00,96.03
3558.00,96.00
3557.00,95.96
3556.00,95.93
3555.00,95.89
3554.00,95.86
3553.00,95.83
3552.00,95.79
3551.00,95.75
3550.00,95.72
3549.00,95.69
3548.00,95.66
3547.00,95.62
3546.00,95.57
3545.00,95.51
3544.00,95.46
3543.00,95.42
3542.00,95.38
3541.00,95.35
3540.00,95.31
3539.00,95.28
3538.00,95.26
3537.00,95.24
3536.00,95.20
3535.00,95.14
3534.00,95.08
3533.00,95.03
3532.00,94.99
3531.00,94.97
3530.00,94.94
3529.00,94.91
3528.00,94.87
3527.00,94.83
3526.00,94.80
3525.00,94.76
3524.00,94.72
3523.00,94.68
3522.00,94.65
3521.00,94.62
3520.00,94.59
3519.00,94.54
3518.00,94.48
3517.00,94.40
3516.00,94.35
3515.00,94.30
3514.00,94.27
3513.00,94.24
3512.00,94.21
3511.00,94.19
3510.00,94.18
3509.00,94.16
3508.00,94.13
3507.00,94.09
3506.00,94.03
3505.00,93.96
3504.00,93.88
3503.00,93.81
3502.00,93.74
3501.00,93.69
3500.00,93.66
3499.00,93.64
3498.00,93.62
3497.00,93.58
3496.00,93.54
3495.00,93.49
3494.00,93.47
3493.00,93.45
3492.00,93.44
3491.00,93.41
3490.00,93.35
3489.00,93.28
3488.00,93.20
3487.00,93.13
3486.00,93.07
3485.00,93.01
3484.00,92.96
3483.00,92.91
3482.00,92.87
3481.00,92.81
3480.00,92.74
3479.00,92.67
3478.00,92.60
3477.00,92.54
3476.00,92.49
3475.00,92.45
3474.00,92.42
3473.00,92.38
3472.00,92.33
3471.00,92.27
3470.00,92.21
3469.00,92.16
3468.00,92.11
3467.00,92.07
3466.00,92.01
3465.00,91.95
3464.00,91.88
3463.00,91.81
3462.00,91.76
3461.00,91.71
3460.00,91.65
3459.00,91.58
3458.00,91.51
3457.00,91.44
3456.00,91.38
3455.00,91.33
3454.00,91.28
3453.00,91.23
3452.00,91.16
3451.00,91.09
3450.00,91.01
3449.00,90.93
3448.00,90.86
3447.00,90.79
3446.00,90.74
3445.00,90.70
3444.00,90.66
3443.00,90.62
3442.00,90.58
3441.00,90.53
3440.00,90.48
3439.00,90.42
3438.00,90.36
3437.00,90.29
3436.00,90.23
3435.00,90.16
3434.00,90.10
3433.00,90.03
3432.00,89.96
3431.00,89.90
3430.00,89.83
3429.00,89.76
3428.00,89.69
3427.00,89.62
3426.00,89.57
3425.00,89.53
3424.00,89.47
3423.00,89.39
3422.00,89.30
3421.00,89.21
3420.00,89.12
3419.00,89.05
3418.00,88.97
3417.00,88.91
3416.00,88.84
3415.00,88.78
3414.00,88.72
3413.00,88.66
3412.00,88.60
3411.00,88.53
3410.00,88.46
3409.00,88.38
3408.00,88.28
3407.00,88.19
3406.00,88.10
3405.00,88.03
3404.00,87.99
3403.00,87.96
3402.00,87.93
3401.00,87.91
3400.00,87.88
3399.00,87.84
3398.00,87.80
3397.00,87.75
3396.00,87.70
3395.00,87.64
3394.00,87.59
3393.00,87.54
3392.00,87.50
3391.00,87.45
3390.00,87.40
3389.00,87.34
3388.00,87.28
3387.00,87.24
3386.00,87.19
3385.00,87.15
3384.00,87.10
3383.00,87.03
3382.00,86.96
3381.00,86.90
3380.00,86.85
3379.00,86.79
3378.00,86.72
3377.00,86.65
3376.00,86.60
3375.00,86.56
3374.00,86.52
3373.00,86.46
3372.00,86.39
3371.00,86.32
3370.00,86.26
3369.00,86.21
3368.00,86.15
3367.00,86.07
3366.00,85.99
3365.00,85.90
3364.00,85.82
3363.00,85.74
3362.00,85.66
3361.00,85.58
3360.00,85.49
3359.00,85.40
3358.00,85.33
3357.00,85.25
3356.00,85.16
3355.00,85.07
3354.00,84.97
3353.00,84.88
3352.00,84.82
3351.00,84.76
3350.00,84.70
3349.00,84.62
3348.00,84.52
3347.00,84.41
3346.00,84.33
3345.00,84.25
3344.00,84.19
3343.00,84.12
3342.00,84.06
3341.00,84.02
3340.00,83.99
3339.00,83.96
3338.00,83.92
3337.00,83.88
3336.00,83.83
3335.00,83.81
3334.00,83.81
3333.00,83.81
3332.00,83.81
3331.00,83.83
3330.00,83.84
3329.00,83.87
3328.00,83.90
3327.00,83.93
3326.00,83.97
3325.00,84.01
3324.00,84.04
3323.00,84.09
3322.00,84.15
3321.00,84.20
3320.00,84.24
3319.00,84.27
3318.00,84.30
3317.00,84.34
3316.00,84.38
3315.00,84.42
3314.00,84.43
3313.00,84.42
3312.00,84.42
3311.00,84.41
3310.00,84.40
3309.00,84.39
3308.00,84.40
3307.00,84.40
3306.00,84.40
3305.00,84.39
3304.00,84.36
3303.00,84.33
3302.00,84.31
3301.00,84.30
3300.00,84.30
3299.00,84.30
3298.00,84.31
3297.00,84.30
3296.00,84.30
3295.00,84.28
3294.00,84.26
3293.00,84.25
3292.00,84.25
3291.00,84.27
3290.00,84.30
3289.00,84.32
3288.00,84.34
3287.00,84.36
3286.00,84.38
3285.00,84.39
3284.00,84.40
3283.00,84.42
3282.00,84.44
3281.00,84.46
3280.00,84.47
3279.00,84.46
3278.00,84.45
3277.00,84.45
3276.00,84.47
3275.00,84.50
3274.00,84.53
3273.00,84.58
3272.00,84.63
3271.00,84.68
3270.00,84.73
3269.00,84.77
3268.00,84.80
3267.00,84.84
3266.00,84.88
3265.00,84.94
3264.00,85.01
3263.00,85.08
3262.00,85.16
3261.00,85.24
3260.00,85.32
3259.00,85.41
3258.00,85.49
3257.00,85.56
