Created as New Dataset,4.3 Shoemaker's thread
cm-1,%T
3648.00,99.85
3647.00,99.84
3646.00,99.85
3645.00,99.85
3644.00,99.85
3643.00,99.83
3642.00,99.82
3641.00,99.80
3640.00,99.78
3639.00,99.77
3638.00,99.77
3637.00,99.77
3636.00,99.79
3635.00,99.81
3634.00,99.81
3633.00,99.80
3632.00,99.76
3631.00,99.70
3630.00,99.66
3629.00,99.63
3628.00,99.63
3627.00,99.64
3626.00,99.65
3625.00,99.66
3624.00,99.67
3623.00,99.66
3622.00,99.64
3621.00,99.62
3620.00,99.60
3619.00,99.60
3618.00,99.59
3617.00,99.58
3616.00,99.55
3615.00,99.52
3614.00,99.50
3613.00,99.48
3612.00,99.46
3611.00,99.45
3610.00,99.43
3609.00,99.41
3608.00,99.38
3607.00,99.35
3606.00,99.32
3605.00,99.28
3604.00,99.26
3603.00,99.26
3602.00,99.29
3601.00,99.33
3600.00,99.36
3599.00,99.37
3598.00,99.35
3597.00,99.30
3596.00,99.24
3595.00,99.19
3594.00,99.16
3593.00,99.16
3592.00,99.16
3591.00,99.16
3590.00,99.15
3589.00,99.14
3588.00,99.13
3587.00,99.13
3586.00,99.12
3585.00,99.10
3584.00,99.09
3583.00,99.08
3582.00,99.08
3581.00,99.06
3580.00,99.04
3579.00,98.99
3578.00,98.95
3577.00,98.92
3576.00,98.91
3575.00,98.92
3574.00,98.91
3573.00,98.90
3572.00,98.86
3571.00,98.83
3570.00,98.82
3569.00,98.82
3568.00,98.82
3567.00,98.81
3566.00,98.77
3565.00,98.73
3564.00,98.71
3563.00,98.71
3562.00,98.72
3561.00,98.72
3560.00,98.71
3559.00,98.67
3558.00,98.62
3557.00,98.56
3556.00,98.51
3555.00,98.48
3554.00,98.45
3553.00,98.41
3552.00,98.39
3551.00,98.37
3550.00,98.37
3549.00,98.38
3548.00,98.40
3547.00,98.41
3546.00,98.40
3545.00,98.38
3544.00,98.36
3543.00,98.34
3542.00,98.31
3541.00,98.27
3540.00,98.23
3539.00,98.19
3538.00,98.16
3537.00,98.15
3536.00,98.15
3535.00,98.13
3534.00,98.11
3533.00,98.10
3532.00,98.09
3531.00,98.10
3530.00,98.12
3529.00,98.11
3528.00,98.08
3527.00,98.02
3526.00,97.95
3525.00,97.89
3524.00,97.86
3523.00,97.85
3522.00,97.83
3521.00,97.80
3520.00,97.76
3519.00,97.72
3518.00,97.69
3517.00,97.67
3516.00,97.65
3515.00,97.62
3514.00,97.61
3513.00,97.60
3512.00,97.60
3511.00,97.59
3510.00,97.58
3509.00,97.56
3508.00,97.51
3507.00,97.46
3506.00,97.42
3505.00,97.38
3504.00,97.34
3503.00,97.30
3502.00,97.28
3501.00,97.26
3500.00,97.26
3499.00,97.25
3498.00,97.24
3497.00,97.21
3496.00,97.16
3495.00,97.10
3494.00,97.04
3493.00,96.99
3492.00,96.97
3491.00,96.95
3490.00,96.94
3489.00,96.91
3488.00,96.87
3487.00,96.82
3486.00,96.78
3485.00,96.74
3484.00,96.72
3483.00,96.71
3482.00,96.70
3481.00,96.70
3480.00,96.69
3479.00,96.67
3478.00,96.64
3477.00,96.59
3476.00,96.54
3475.00,96.49
3474.00,96.43
3473.00,96.38
3472.00,96.32
3471.00,96.26
3470.00,96.20
3469.00,96.16
3468.00,96.14
3467.00,96.14
3466.00,96.12
3465.00,96.08
3464.00,96.01
3463.00,95.96
3462.00,95.92
3461.00,95.91
3460.00,95.90
3459.00,95.87
3458.00,95.84
3457.00,95.80
3456.00,95.77
3455.00,95.74
3454.00,95.70
3453.00,95.65
3452.00,95.58
3451.00,95.54
3450.00,95.50
3449.00,95.48
3448.00,95.46
3447.00,95.44
3446.00,95.43
3445.00,95.40
3444.00,95.36
3443.00,95.31
3442.00,95.26
3441.00,95.22
3440.00,95.18
3439.00,95.13
3438.00,95.08
3437.00,95.04
3436.00,95.01
3435.00,94.99
3434.00,94.95
3433.00,94.91
3432.00,94.87
3431.00,94.83
3430.00,94.80
3429.00,94.76
3428.00,94.72
3427.00,94.69
3426.00,94.65
3425.00,94.61
3424.00,94.56
3423.00,94.51
3422.00,94.45
3421.00,94.39
3420.00,94.34
3419.00,94.28
3418.00,94.21
3417.00,94.13
3416.00,94.06
3415.00,94.00
3414.00,93.96
3413.00,93.94
3412.00,93.93
3411.00,93.90
3410.00,93.87
3409.00,93.82
3408.00,93.78
3407.00,93.75
3406.00,93.74
3405.00,93.74
3404.00,93.74
3403.00,93.72
3402.00,93.69
3401.00,93.65
3400.00,93.62
3399.00,93.58
3398.00,93.55
3397.00,93.52
3396.00,93.50
3395.00,93.48
3394.00,93.46
3393.00,93.45
3392.00,93.43
3391.00,93.40
3390.00,93.38
3389.00,93.37
3388.00,93.36
3387.00,93.36
3386.00,93.34
3385.00,93.31
3384.00,93.27
3383.00,93.23
3382.00,93.20
3381.00,93.16
3380.00,93.12
3379.00,93.09
3378.00,93.05
3377.00,93.02
3376.00,92.98
3375.00,92.93
3374.00,92.87
3373.00,92.82
3372.00,92.78
3371.00,92.76
3370.00,92.74
3369.00,92.71
3368.00,92.67
3367.00,92.62
3366.00,92.58
3365.00,92.56
3364.00,92.53
3363.00,92.50
3362.00,92.46
3361.00,92.39
3360.00,92.32
3359.00,92.26
3358.00,92.21
3357.00,92.15
3356.00,92.08
3355.00,92.02
3354.00,91.94
3353.00,91.87
3352.00,91.80
3351.00,91.75
3350.00,91.70
3349.00,91.65
3348.00,91.60
3347.00,91.56
3346.00,91.53
3345.00,91.52
3344.00,91.50
3343.00,91.46
3342.00,91.40
3341.00,91.35
3340.00,91.30
3339.00,91.27
3338.00,91.27
3337.00,91.29
3336.00,91.31
3335.00,91.32
3334.00,91.32
3333.00,91.32
3332.00,91.34
3331.00,91.39
3330.00,91.44
3329.00,91.49
3328.00,91.53
3327.00,91.56
3326.00,91.59
3325.00,91.62
3324.00,91.64
3323.00,91.67
3322.00,91.70
3321.00,91.75
3320.00,91.81
3319.00,91.86
3318.00,91.90
3317.00,91.93
3316.00,91.95
3315.00,91.96
3314.00,91.97
3313.00,91.98
3312.00,91.98
3311.00,91.96
3310.00,91.93
3309.00,91.89
3308.00,91.84
3307.00,91.80
3306.00,91.78
3305.00,91.78
3304.00,91.80
3303.00,91.80
3302.00,91.78
3301.00,91.77
3300.00,91.75
3299.00,91.75
3298.00,91.75
3297.00,91.74
3296.00,91.72
3295.00,91.71
3294.00,91.70
3293.00,91.71
3292.00,91.74
3291.00,91.77
3290.00,91.79
3289.00,91.80
3288.00,91.79
3287.00,91.78
3286.00,91.77
3285.00,91.76
3284.00,91.76
3283.00,91.77
3282.00,91.79
