Created as New Dataset,17. Cyanenka SA
cm-1,%T
4000.00,99.79
3999.00,99.81
3998.00,99.83
3997.00,99.83
3996.00,99.81
3995.00,99.79
3994.00,99.77
3993.00,99.77
3992.00,99.76
3991.00,99.75
3990.00,99.74
3989.00,99.72
3988.00,99.71
3987.00,99.72
3986.00,99.74
3985.00,99.76
3984.00,99.76
3983.00,99.75
3982.00,99.74
3981.00,99.73
3980.00,99.74
3979.00,99.77
3978.00,99.78
3977.00,99.78
3976.00,99.76
3975.00,99.74
3974.00,99.73
3973.00,99.74
3972.00,99.76
3971.00,99.77
3970.00,99.78
3969.00,99.79
3968.00,99.79
3967.00,99.78
3966.00,99.78
3965.00,99.78
3964.00,99.78
3963.00,99.78
3962.00,99.78
3961.00,99.77
3960.00,99.77
3959.00,99.77
3958.00,99.78
3957.00,99.79
3956.00,99.79
3955.00,99.78
3954.00,99.76
3953.00,99.74
3952.00,99.71
3951.00,99.70
3950.00,99.70
3949.00,99.72
3948.00,99.74
3947.00,99.75
3946.00,99.74
3945.00,99.72
3944.00,99.71
3943.00,99.72
3942.00,99.73
3941.00,99.74
3940.00,99.75
3939.00,99.74
3938.00,99.73
3937.00,99.72
3936.00,99.71
3935.00,99.71
3934.00,99.71
3933.00,99.72
3932.00,99.72
3931.00,99.72
3930.00,99.72
3929.00,99.72
3928.00,99.73
3927.00,99.73
3926.00,99.73
3925.00,99.73
3924.00,99.73
3923.00,99.72
3922.00,99.72
3921.00,99.73
3920.00,99.73
3919.00,99.73
3918.00,99.72
3917.00,99.72
3916.00,99.70
3915.00,99.69
3914.00,99.68
3913.00,99.67
3912.00,99.68
3911.00,99.69
3910.00,99.70
3909.00,99.70
3908.00,99.71
3907.00,99.73
3906.00,99.76
3905.00,99.78
3904.00,99.80
3903.00,99.79
3902.00,99.77
3901.00,99.76
3900.00,99.75
3899.00,99.75
3898.00,99.74
3897.00,99.72
3896.00,99.70
3895.00,99.69
3894.00,99.68
3893.00,99.69
3892.00,99.71
3891.00,99.74
3890.00,99.75
3889.00,99.74
3888.00,99.72
3887.00,99.71
3886.00,99.71
3885.00,99.72
3884.00,99.72
3883.00,99.71
3882.00,99.71
3881.00,99.69
3880.00,99.68
3879.00,99.67
3878.00,99.69
3877.00,99.71
3876.00,99.74
3875.00,99.75
3874.00,99.73
3873.00,99.69
3872.00,99.66
3871.00,99.67
3870.00,99.68
3869.00,99.69
3868.00,99.67
3867.00,99.65
3866.00,99.65
3865.00,99.65
3864.00,99.65
3863.00,99.64
3862.00,99.64
3861.00,99.64
3860.00,99.64
3859.00,99.65
3858.00,99.66
3857.00,99.67
3856.00,99.68
3855.00,99.69
3854.00,99.71
3853.00,99.70
3852.00,99.68
3851.00,99.65
3850.00,99.63
3849.00,99.61
3848.00,99.60
3847.00,99.59
3846.00,99.60
3845.00,99.62
3844.00,99.64
