Created as New Dataset,Bio-Couture 100% Lyocell 8/2 (Red)
cm-1,%T
3650.00,99.12
3649.00,99.12
3648.00,99.06
3647.00,98.98
3646.00,98.90
3645.00,98.84
3644.00,98.79
3643.00,98.76
3642.00,98.72
3641.00,98.67
3640.00,98.60
3639.00,98.54
3638.00,98.49
3637.00,98.46
3636.00,98.45
3635.00,98.43
3634.00,98.41
3633.00,98.39
3632.00,98.35
3631.00,98.31
3630.00,98.25
3629.00,98.19
3628.00,98.14
3627.00,98.12
3626.00,98.10
3625.00,98.06
3624.00,98.00
3623.00,97.94
3622.00,97.88
3621.00,97.83
3620.00,97.77
3619.00,97.71
3618.00,97.66
3617.00,97.62
3616.00,97.60
3615.00,97.59
3614.00,97.56
3613.00,97.52
3612.00,97.47
3611.00,97.43
3610.00,97.38
3609.00,97.31
3608.00,97.24
3607.00,97.16
3606.00,97.11
3605.00,97.07
3604.00,97.04
3603.00,97.01
3602.00,96.98
3601.00,96.95
3600.00,96.92
3599.00,96.88
3598.00,96.82
3597.00,96.74
3596.00,96.66
3595.00,96.57
3594.00,96.49
3593.00,96.42
3592.00,96.36
3591.00,96.30
3590.00,96.23
3589.00,96.15
3588.00,96.07
3587.00,96.00
3586.00,95.94
3585.00,95.90
3584.00,95.87
3583.00,95.84
3582.00,95.81
3581.00,95.76
3580.00,95.69
3579.00,95.61
3578.00,95.52
3577.00,95.45
3576.00,95.40
3575.00,95.36
3574.00,95.32
3573.00,95.26
3572.00,95.19
3571.00,95.12
3570.00,95.06
3569.00,95.01
3568.00,94.93
3567.00,94.84
3566.00,94.75
3565.00,94.67
3564.00,94.61
3563.00,94.56
3562.00,94.51
3561.00,94.44
3560.00,94.37
3559.00,94.29
3558.00,94.22
3557.00,94.16
3556.00,94.10
3555.00,94.04
3554.00,93.95
3553.00,93.86
3552.00,93.76
3551.00,93.69
3550.00,93.63
3549.00,93.58
3548.00,93.50
3547.00,93.40
3546.00,93.30
3545.00,93.21
3544.00,93.14
3543.00,93.08
3542.00,93.01
3541.00,92.94
3540.00,92.86
3539.00,92.79
3538.00,92.72
3537.00,92.65
3536.00,92.58
3535.00,92.52
3534.00,92.46
3533.00,92.40
3532.00,92.34
3531.00,92.26
3530.00,92.17
3529.00,92.08
3528.00,91.99
3527.00,91.91
3526.00,91.83
3525.00,91.75
3524.00,91.65
3523.00,91.55
3522.00,91.44
3521.00,91.34
3520.00,91.24
3519.00,91.13
3518.00,91.03
3517.00,90.93
3516.00,90.83
3515.00,90.74
3514.00,90.64
3513.00,90.51
3512.00,90.37
3511.00,90.21
3510.00,90.06
3509.00,89.94
3508.00,89.83
3507.00,89.73
3506.00,89.62
3505.00,89.49
3504.00,89.35
3503.00,89.20
3502.00,89.05
