Created as New Dataset,132. Polyester Albany International
cm-1,%T
3648.00,98.79
3647.00,98.81
3646.00,98.82
3645.00,98.80
3644.00,98.77
3643.00,98.74
3642.00,98.72
3641.00,98.72
3640.00,98.73
3639.00,98.74
3638.00,98.75
3637.00,98.75
3636.00,98.75
3635.00,98.75
3634.00,98.75
3633.00,98.76
3632.00,98.78
3631.00,98.78
3630.00,98.77
3629.00,98.74
3628.00,98.73
3627.00,98.74
3626.00,98.74
3625.00,98.73
3624.00,98.73
3623.00,98.75
3622.00,98.79
3621.00,98.81
3620.00,98.79
3619.00,98.76
3618.00,98.75
3617.00,98.74
3616.00,98.74
3615.00,98.72
3614.00,98.68
3613.00,98.66
3612.00,98.66
3611.00,98.69
3610.00,98.72
3609.00,98.75
3608.00,98.76
3607.00,98.78
3606.00,98.80
3605.00,98.80
3604.00,98.81
3603.00,98.80
3602.00,98.80
3601.00,98.79
3600.00,98.79
3599.00,98.79
3598.00,98.79
3597.00,98.79
3596.00,98.77
3595.00,98.75
3594.00,98.72
3593.00,98.72
3592.00,98.74
3591.00,98.77
3590.00,98.79
3589.00,98.78
3588.00,98.76
3587.00,98.74
3586.00,98.75
3585.00,98.77
3584.00,98.78
3583.00,98.77
3582.00,98.74
3581.00,98.71
3580.00,98.68
3579.00,98.68
3578.00,98.69
3577.00,98.71
3576.00,98.73
3575.00,98.74
3574.00,98.74
3573.00,98.72
3572.00,98.71
3571.00,98.71
3570.00,98.72
3569.00,98.73
3568.00,98.73
3567.00,98.72
3566.00,98.71
3565.00,98.71
3564.00,98.71
3563.00,98.71
3562.00,98.70
3561.00,98.70
3560.00,98.69
3559.00,98.69
3558.00,98.70
3557.00,98.71
3556.00,98.71
3555.00,98.72
3554.00,98.72
3553.00,98.71
3552.00,98.69
3551.00,98.66
3550.00,98.64
3549.00,98.63
3548.00,98.63
3547.00,98.63
3546.00,98.64
3545.00,98.64
3544.00,98.63
3543.00,98.62
3542.00,98.62
3541.00,98.61
3540.00,98.62
3539.00,98.63
3538.00,98.64
3537.00,98.64
3536.00,98.64
3535.00,98.65
3534.00,98.67
3533.00,98.69
3532.00,98.71
3531.00,98.72
3530.00,98.71
3529.00,98.70
3528.00,98.68
3527.00,98.68
3526.00,98.70
3525.00,98.72
3524.00,98.72
3523.00,98.69
3522.00,98.65
3521.00,98.62
3520.00,98.61
3519.00,98.63
3518.00,98.65
3517.00,98.68
3516.00,98.68
3515.00,98.67
3514.00,98.66
3513.00,98.64
3512.00,98.63
3511.00,98.64
3510.00,98.66
3509.00,98.69
3508.00,98.71
3507.00,98.71
3506.00,98.71
3505.00,98.70
3504.00,98.70
3503.00,98.70
3502.00,98.70
3501.00,98.69
3500.00,98.68
3499.00,98.67
3498.00,98.68
3497.00,98.69
3496.00,98.69
3495.00,98.68
3494.00,98.66
3493.00,98.65
3492.00,98.64
3491.00,98.65
3490.00,98.67
3489.00,98.68
3488.00,98.68
3487.00,98.68
3486.00,98.68
3485.00,98.69
3484.00,98.71
3483.00,98.74
3482.00,98.76
3481.00,98.77
3480.00,98.76
3479.00,98.74
3478.00,98.72
3477.00,98.70
3476.00,98.69
3475.00,98.68
3474.00,98.69
3473.00,98.69
3472.00,98.69
3471.00,98.69
3470.00,98.68
3469.00,98.67
3468.00,98.64
3467.00,98.62
3466.00,98.61
3465.00,98.62
3464.00,98.63
3463.00,98.64
3462.00,98.65
3461.00,98.65
3460.00,98.65
3459.00,98.65
3458.00,98.65
3457.00,98.64
3456.00,98.63
3455.00,98.61
3454.00,98.60
3453.00,98.61
3452.00,98.61
3451.00,98.60
3450.00,98.57
3449.00,98.53
3448.00,98.51
3447.00,98.51
3446.00,98.51
3445.00,98.52
3444.00,98.52
3443.00,98.51
3442.00,98.51
3441.00,98.50
3440.00,98.50
3439.00,98.49
3438.00,98.49
3437.00,98.48
3436.00,98.46
3435.00,98.45
3434.00,98.44
3433.00,98.43
3432.00,98.43
3431.00,98.44
3430.00,98.46
3429.00,98.48
3428.00,98.48
3427.00,98.46
3426.00,98.44
3425.00,98.43
3424.00,98.44
3423.00,98.46
3422.00,98.48
3421.00,98.48
3420.00,98.48
3419.00,98.48
3418.00,98.50
3417.00,98.54
3416.00,98.58
3415.00,98.60
3414.00,98.60
3413.00,98.58
3412.00,98.55
3411.00,98.54
3410.00,98.53
3409.00,98.53
3408.00,98.55
3407.00,98.56
3406.00,98.58
3405.00,98.60
3404.00,98.61
3403.00,98.63
3402.00,98.64
3401.00,98.64
3400.00,98.63
3399.00,98.62
3398.00,98.61
3397.00,98.62
3396.00,98.65
3395.00,98.67
3394.00,98.70
3393.00,98.70
3392.00,98.69
3391.00,98.66
3390.00,98.64
3389.00,98.64
3388.00,98.67
3387.00,98.69
3386.00,98.70
3385.00,98.69
3384.00,98.67
3383.00,98.66
3382.00,98.67
3381.00,98.68
3380.00,98.70
3379.00,98.71
3378.00,98.71
3377.00,98.71
3376.00,98.71
3375.00,98.71
3374.00,98.72
3373.00,98.72
3372.00,98.73
3371.00,98.73
3370.00,98.72
3369.00,98.70
3368.00,98.68
3367.00,98.67
3366.00,98.66
3365.00,98.66
3364.00,98.66
3363.00,98.66
3362.00,98.67
3361.00,98.68
3360.00,98.69
3359.00,98.69
3358.00,98.69
3357.00,98.70
3356.00,98.70
3355.00,98.69
3354.00,98.68
3353.00,98.66
3352.00,98.65
3351.00,98.64
3350.00,98.64
3349.00,98.65
3348.00,98.66
3347.00,98.66
3346.00,98.66
3345.00,98.66
3344.00,98.65
3343.00,98.66
3342.00,98.67
3341.00,98.69
3340.00,98.71
3339.00,98.73
