Created as New Dataset,6. Acrylic Asahi Chemical Co
cm-1,%T
3649.00,98.97
3648.00,98.94
3647.00,98.95
3646.00,98.97
3645.00,99.00
3644.00,99.01
3643.00,99.03
3642.00,99.04
3641.00,99.05
3640.00,99.05
3639.00,99.06
3638.00,99.06
3637.00,99.05
3636.00,99.04
3635.00,99.03
3634.00,99.03
3633.00,99.03
3632.00,99.02
3631.00,99.00
3630.00,98.99
3629.00,99.00
3628.00,99.00
3627.00,98.98
3626.00,98.96
3625.00,98.95
3624.00,98.95
3623.00,98.96
3622.00,98.95
3621.00,98.94
3620.00,98.95
3619.00,98.97
3618.00,98.98
3617.00,98.99
3616.00,98.99
3615.00,98.99
3614.00,99.02
3613.00,99.04
3612.00,99.04
3611.00,99.02
3610.00,99.00
3609.00,99.01
3608.00,99.02
3607.00,99.03
3606.00,99.03
3605.00,99.03
3604.00,99.03
3603.00,99.04
3602.00,99.05
3601.00,99.05
3600.00,99.06
3599.00,99.05
3598.00,99.05
3597.00,99.03
3596.00,99.03
3595.00,99.03
3594.00,99.04
3593.00,99.05
3592.00,99.07
3591.00,99.07
3590.00,99.07
3589.00,99.07
3588.00,99.07
3587.00,99.07
3586.00,99.07
3585.00,99.08
3584.00,99.07
3583.00,99.06
3582.00,99.06
3581.00,99.06
3580.00,99.07
3579.00,99.08
3578.00,99.08
3577.00,99.07
3576.00,99.08
3575.00,99.09
3574.00,99.11
3573.00,99.12
3572.00,99.12
3571.00,99.10
3570.00,99.07
3569.00,99.06
3568.00,99.06
3567.00,99.08
3566.00,99.09
3565.00,99.10
3564.00,99.10
3563.00,99.09
3562.00,99.08
3561.00,99.08
3560.00,99.07
3559.00,99.06
3558.00,99.05
3557.00,99.05
3556.00,99.04
3555.00,99.03
3554.00,99.02
3553.00,99.00
3552.00,98.99
3551.00,98.98
3550.00,98.97
3549.00,98.97
3548.00,98.97
3547.00,98.98
3546.00,98.99
3545.00,99.00
3544.00,99.01
3543.00,99.02
3542.00,99.01
3541.00,99.02
3540.00,99.03
3539.00,99.03
3538.00,99.04
3537.00,99.03
3536.00,99.03
3535.00,99.04
3534.00,99.05
3533.00,99.07
3532.00,99.08
3531.00,99.09
3530.00,99.08
3529.00,99.08
3528.00,99.07
3527.00,99.07
3526.00,99.06
3525.00,99.06
3524.00,99.05
3523.00,99.04
3522.00,99.04
3521.00,99.05
3520.00,99.07
3519.00,99.08
3518.00,99.09
3517.00,99.08
3516.00,99.06
3515.00,99.04
3514.00,99.03
3513.00,99.03
3512.00,99.03
3511.00,99.03
3510.00,99.04
3509.00,99.05
3508.00,99.05
3507.00,99.05
3506.00,99.04
3505.00,99.04
3504.00,99.04
3503.00,99.05
3502.00,99.04
3501.00,99.02
3500.00,98.99
3499.00,98.98
3498.00,98.98
3497.00,99.00
3496.00,99.02
3495.00,99.04
3494.00,99.05
3493.00,99.08
3492.00,99.10
3491.00,99.11
3490.00,99.10
3489.00,99.07
3488.00,99.05
3487.00,99.05
3486.00,99.07
3485.00,99.09
3484.00,99.10
3483.00,99.09
3482.00,99.07
3481.00,99.05
3480.00,99.06
3479.00,99.08
3478.00,99.11
3477.00,99.13
3476.00,99.14
3475.00,99.13
3474.00,99.12
3473.00,99.10
3472.00,99.09
3471.00,99.08
3470.00,99.07
3469.00,99.07
3468.00,99.08
3467.00,99.10
3466.00,99.12
3465.00,99.13
3464.00,99.13
3463.00,99.11
3462.00,99.08
3461.00,99.05
3460.00,99.03
3459.00,99.03
3458.00,99.04
3457.00,99.06
3456.00,99.10
3455.00,99.13
3454.00,99.15
3453.00,99.14
3452.00,99.11
3451.00,99.07
3450.00,99.06
3449.00,99.05
3448.00,99.06
3447.00,99.07
3446.00,99.08
3445.00,99.08
3444.00,99.08
3443.00,99.09
3442.00,99.09
3441.00,99.10
3440.00,99.11
3439.00,99.12
3438.00,99.13
3437.00,99.14
3436.00,99.16
3435.00,99.17
3434.00,99.17
3433.00,99.16
3432.00,99.14
3431.00,99.13
3430.00,99.12
3429.00,99.11
3428.00,99.12
3427.00,99.13
3426.00,99.15
3425.00,99.16
3424.00,99.17
3423.00,99.16
3422.00,99.15
3421.00,99.13
3420.00,99.13
3419.00,99.12
3418.00,99.12
3417.00,99.12
3416.00,99.11
3415.00,99.11
3414.00,99.11
3413.00,99.10
3412.00,99.09
3411.00,99.08
3410.00,99.07
3409.00,99.06
3408.00,99.07
3407.00,99.07
3406.00,99.07
3405.00,99.07
3404.00,99.07
3403.00,99.08
3402.00,99.10
3401.00,99.12
3400.00,99.14
3399.00,99.15
3398.00,99.14
3397.00,99.13
3396.00,99.12
3395.00,99.11
3394.00,99.11
3393.00,99.11
3392.00,99.12
3391.00,99.12
3390.00,99.13
3389.00,99.14
3388.00,99.16
3387.00,99.17
3386.00,99.18
3385.00,99.18
3384.00,99.16
3383.00,99.15
3382.00,99.15
3381.00,99.15
3380.00,99.17
3379.00,99.18
3378.00,99.19
3377.00,99.18
3376.00,99.17
3375.00,99.15
3374.00,99.15
3373.00,99.15
3372.00,99.15
3371.00,99.14
3370.00,99.13
3369.00,99.11
3368.00,99.10
3367.00,99.09
3366.00,99.09
3365.00,99.08
3364.00,99.08
3363.00,99.08
3362.00,99.09
3361.00,99.10
3360.00,99.11
3359.00,99.11
3358.00,99.09
3357.00,99.08
3356.00,99.09
3355.00,99.09
3354.00,99.10
3353.00,99.10
3352.00,99.11
3351.00,99.13
3350.00,99.14
3349.00,99.14
3348.00,99.12
3347.00,99.09
3346.00,99.06
3345.00,99.06
3344.00,99.07
3343.00,99.08
3342.00,99.09
3341.00,99.09
3340.00,99.09
3339.00,99.09
3338.00,99.09
3337.00,99.09
3336.00,99.09
3335.00,99.08
3334.00,99.06
3333.00,99.05
3332.00,99.04
3331.00,99.04
3330.00,99.05
3329.00,99.06
3328.00,99.06
3327.00,99.06
3326.00,99.06
3325.00,99.07
3324.00,99.06
3323.00,99.05
3322.00,99.05
3321.00,99.05
3320.00,99.05
3319.00,99.07
3318.00,99.07
3317.00,99.08
3316.00,99.07
3315.00,99.07
3314.00,99.06
3313.00,99.06
3312.00,99.05
3311.00,99.04
3310.00,99.04
3309.00,99.03
3308.00,99.03
3307.00,99.03
3306.00,99.04
3305.00,99.05
3304.00,99.07
3303.00,99.07
3302.00,99.07
3301.00,99.06
3300.00,99.06
3299.00,99.06
3298.00,99.06
3297.00,99.06
3296.00,99.06
3295.00,99.06
3294.00,99.06
3293.00,99.05
3292.00,99.05
3291.00,99.04
3290.00,99.03
3289.00,99.04
3288.00,99.05
3287.00,99.07
3286.00,99.08
