Created as New Dataset,56 Lenzing
cm-1,%T
3648.00,101.05
3647.00,101.04
3646.00,101.03
3645.00,101.01
3644.00,101.00
3643.00,101.00
3642.00,100.99
3641.00,100.99
3640.00,100.98
3639.00,100.98
3638.00,100.98
3637.00,100.99
3636.00,100.99
3635.00,100.97
3634.00,100.94
3633.00,100.91
3632.00,100.86
3631.00,100.82
3630.00,100.80
3629.00,100.81
3628.00,100.81
3627.00,100.80
3626.00,100.77
3625.00,100.75
3624.00,100.77
3623.00,100.79
3622.00,100.80
3621.00,100.80
3620.00,100.78
3619.00,100.76
3618.00,100.73
3617.00,100.70
3616.00,100.66
3615.00,100.63
3614.00,100.60
3613.00,100.59
3612.00,100.58
3611.00,100.57
3610.00,100.57
3609.00,100.57
3608.00,100.57
3607.00,100.57
3606.00,100.57
3605.00,100.56
3604.00,100.54
3603.00,100.52
3602.00,100.50
3601.00,100.49
3600.00,100.48
3599.00,100.46
3598.00,100.42
3597.00,100.36
3596.00,100.32
3595.00,100.29
3594.00,100.28
3593.00,100.27
3592.00,100.26
3591.00,100.24
3590.00,100.23
3589.00,100.22
3588.00,100.22
3587.00,100.20
3586.00,100.18
3585.00,100.15
3584.00,100.12
3583.00,100.10
3582.00,100.09
3581.00,100.08
3580.00,100.08
3579.00,100.06
3578.00,100.04
3577.00,100.03
3576.00,100.01
3575.00,100.00
3574.00,99.98
3573.00,99.95
3572.00,99.91
3571.00,99.87
3570.00,99.82
3569.00,99.76
3568.00,99.71
3567.00,99.69
3566.00,99.70
3565.00,99.72
3564.00,99.75
3563.00,99.77
3562.00,99.77
3561.00,99.76
3560.00,99.71
3559.00,99.65
3558.00,99.60
3557.00,99.57
3556.00,99.56
3555.00,99.56
3554.00,99.56
3553.00,99.53
3552.00,99.50
3551.00,99.46
3550.00,99.43
3549.00,99.38
3548.00,99.34
3547.00,99.31
3546.00,99.29
3545.00,99.29
3544.00,99.30
3543.00,99.30
3542.00,99.27
3541.00,99.22
3540.00,99.16
3539.00,99.10
3538.00,99.07
3537.00,99.06
3536.00,99.07
3535.00,99.06
3534.00,99.04
3533.00,99.00
3532.00,98.96
3531.00,98.93
3530.00,98.91
3529.00,98.89
3528.00,98.86
3527.00,98.83
3526.00,98.80
3525.00,98.76
3524.00,98.71
3523.00,98.67
3522.00,98.62
3521.00,98.57
3520.00,98.52
3519.00,98.47
3518.00,98.42
3517.00,98.39
3516.00,98.35
3515.00,98.32
3514.00,98.29
3513.00,98.24
3512.00,98.20
3511.00,98.14
3510.00,98.09
3509.00,98.04
3508.00,97.99
3507.00,97.93
3506.00,97.87
3505.00,97.82
3504.00,97.76
3503.00,97.69
3502.00,97.61
3501.00,97.52
3500.00,97.43
3499.00,97.36
3498.00,97.31
3497.00,97.26
3496.00,97.21
3495.00,97.16
3494.00,97.10
3493.00,97.01
3492.00,96.91
3491.00,96.81
3490.00,96.72
3489.00,96.67
3488.00,96.64
3487.00,96.62
3486.00,96.59
3485.00,96.58
3484.00,96.57
3483.00,96.58
3482.00,96.58
3481.00,96.58
3480.00,96.57
3479.00,96.56
3478.00,96.54
3477.00,96.51
3476.00,96.48
3475.00,96.46
3474.00,96.45
3473.00,96.42
3472.00,96.37
3471.00,96.32
3470.00,96.28
3469.00,96.25
3468.00,96.24
3467.00,96.22
3466.00,96.20
3465.00,96.16
3464.00,96.10
3463.00,96.04
3462.00,95.99
3461.00,95.94
3460.00,95.90
3459.00,95.86
3458.00,95.82
