Created as New Dataset,121 Hercules Inc.
cm-1,%T
3648.00,100.14
3647.00,100.13
3646.00,100.14
3645.00,100.15
3644.00,100.15
3643.00,100.15
3642.00,100.15
3641.00,100.14
3640.00,100.13
3639.00,100.11
3638.00,100.10
3637.00,100.09
3636.00,100.10
3635.00,100.12
3634.00,100.14
3633.00,100.15
3632.00,100.16
3631.00,100.18
3630.00,100.23
3629.00,100.24
3628.00,100.21
3627.00,100.15
3626.00,100.10
3625.00,100.09
3624.00,100.11
3623.00,100.14
3622.00,100.17
3621.00,100.18
3620.00,100.17
3619.00,100.16
3618.00,100.14
3617.00,100.13
3616.00,100.13
3615.00,100.14
3614.00,100.16
3613.00,100.16
3612.00,100.15
3611.00,100.14
3610.00,100.12
3609.00,100.12
3608.00,100.13
3607.00,100.14
3606.00,100.15
3605.00,100.15
3604.00,100.14
3603.00,100.14
3602.00,100.13
3601.00,100.14
3600.00,100.15
3599.00,100.16
3598.00,100.19
3597.00,100.22
3596.00,100.24
3595.00,100.26
3594.00,100.26
3593.00,100.25
3592.00,100.22
3591.00,100.19
3590.00,100.17
3589.00,100.16
3588.00,100.17
3587.00,100.16
3586.00,100.15
3585.00,100.15
3584.00,100.15
3583.00,100.15
3582.00,100.15
3581.00,100.14
3580.00,100.12
3579.00,100.11
3578.00,100.11
3577.00,100.10
3576.00,100.10
3575.00,100.11
3574.00,100.14
3573.00,100.19
3572.00,100.24
3571.00,100.26
3570.00,100.26
3569.00,100.23
3568.00,100.20
3567.00,100.17
3566.00,100.15
3565.00,100.13
3564.00,100.12
3563.00,100.10
3562.00,100.09
3561.00,100.07
3560.00,100.06
3559.00,100.05
3558.00,100.04
3557.00,100.04
3556.00,100.05
3555.00,100.07
3554.00,100.10
3553.00,100.13
3552.00,100.14
3551.00,100.15
3550.00,100.16
3549.00,100.17
3548.00,100.18
3547.00,100.18
3546.00,100.17
3545.00,100.15
3544.00,100.14
3543.00,100.13
3542.00,100.13
3541.00,100.13
3540.00,100.12
3539.00,100.11
3538.00,100.10
3537.00,100.10
3536.00,100.11
3535.00,100.11
3534.00,100.11
3533.00,100.10
3532.00,100.09
3531.00,100.09
3530.00,100.09
3529.00,100.10
3528.00,100.10
3527.00,100.10
3526.00,100.09
3525.00,100.08
3524.00,100.08
3523.00,100.08
3522.00,100.09
3521.00,100.08
3520.00,100.07
3519.00,100.06
3518.00,100.06
3517.00,100.05
3516.00,100.04
3515.00,100.02
3514.00,99.99
3513.00,99.97
3512.00,99.97
3511.00,100.00
3510.00,100.03
3509.00,100.05
3508.00,100.06
3507.00,100.06
3506.00,100.07
3505.00,100.09
3504.00,100.08
3503.00,100.04
3502.00,100.00
3501.00,99.97
3500.00,99.98
3499.00,100.00
3498.00,100.04
3497.00,100.05
3496.00,100.03
3495.00,100.01
3494.00,100.00
3493.00,99.98
3492.00,99.97
3491.00,99.97
3490.00,99.98
3489.00,100.00
3488.00,100.02
3487.00,100.03
3486.00,100.01
3485.00,100.00
3484.00,99.98
3483.00,99.99
3482.00,100.01
3481.00,100.04
3480.00,100.05
3479.00,100.05
3478.00,100.04
3477.00,100.05
3476.00,100.06
3475.00,100.08
3474.00,100.08
3473.00,100.07
3472.00,100.06
3471.00,100.04
3470.00,100.03
3469.00,100.03
3468.00,100.03
3467.00,100.02
3466.00,99.99
3465.00,99.97
3464.00,99.95
3463.00,99.96
3462.00,99.99
3461.00,100.01
3460.00,100.01
3459.00,100.01
3458.00,99.99
3457.00,99.98
3456.00,99.98
3455.00,99.99
3454.00,99.98
3453.00,99.96
3452.00,99.94
3451.00,99.93
3450.00,99.93
3449.00,99.94
3448.00,99.95
3447.00,99.93
3446.00,99.91
3445.00,99.89
3444.00,99.88
3443.00,99.88
3442.00,99.89
3441.00,99.93
3440.00,99.97
3439.00,100.00
3438.00,100.01
3437.00,99.99
3436.00,99.96
3435.00,99.93
3434.00,99.92
3433.00,99.92
3432.00,99.93
3431.00,99.93
3430.00,99.93
3429.00,99.92
3428.00,99.92
3427.00,99.93
3426.00,99.95
3425.00,99.97
3424.00,99.99
3423.00,100.01
3422.00,100.03
3421.00,100.03
3420.00,100.01
3419.00,100.00
3418.00,99.98
3417.00,99.97
3416.00,99.96
3415.00,99.94
3414.00,99.93
3413.00,99.94
3412.00,99.96
3411.00,99.98
3410.00,99.99
3409.00,99.98
3408.00,99.97
3407.00,99.96
3406.00,99.96
3405.00,99.96
3404.00,99.95
3403.00,99.94
3402.00,99.92
3401.00,99.92
3400.00,99.93
3399.00,99.93
3398.00,99.92
3397.00,99.91
3396.00,99.90
3395.00,99.89
3394.00,99.89
