Created as New Dataset,196 FMC American Viscose
cm-1,%T
4000.00,100.43
3999.00,100.44
3998.00,100.45
3997.00,100.46
3996.00,100.46
3995.00,100.45
3994.00,100.44
3993.00,100.43
3992.00,100.43
3991.00,100.43
3990.00,100.43
3989.00,100.41
3988.00,100.39
3987.00,100.36
3986.00,100.35
3985.00,100.36
3984.00,100.37
3983.00,100.39
3982.00,100.40
3981.00,100.41
3980.00,100.41
3979.00,100.40
3978.00,100.40
3977.00,100.40
3976.00,100.41
3975.00,100.41
3974.00,100.42
3973.00,100.42
3972.00,100.42
3971.00,100.42
3970.00,100.42
3969.00,100.41
3968.00,100.39
3967.00,100.38
3966.00,100.36
3965.00,100.35
3964.00,100.35
3963.00,100.37
3962.00,100.39
3961.00,100.40
3960.00,100.40
3959.00,100.40
3958.00,100.40
3957.00,100.41
3956.00,100.41
3955.00,100.41
3954.00,100.41
3953.00,100.40
3952.00,100.39
3951.00,100.39
3950.00,100.38
3949.00,100.37
3948.00,100.37
3947.00,100.37
3946.00,100.37
3945.00,100.38
3944.00,100.39
3943.00,100.40
3942.00,100.40
3941.00,100.41
3940.00,100.41
3939.00,100.42
3938.00,100.41
3937.00,100.39
3936.00,100.36
3935.00,100.35
3934.00,100.35
3933.00,100.37
3932.00,100.39
3931.00,100.40
3930.00,100.39
3929.00,100.36
3928.00,100.33
3927.00,100.32
3926.00,100.32
3925.00,100.33
3924.00,100.34
3923.00,100.35
3922.00,100.36
3921.00,100.38
3920.00,100.39
3919.00,100.39
3918.00,100.39
3917.00,100.38
3916.00,100.37
3915.00,100.35
3914.00,100.35
3913.00,100.35
3912.00,100.35
3911.00,100.35
3910.00,100.35
3909.00,100.36
3908.00,100.37
3907.00,100.37
3906.00,100.37
3905.00,100.36
3904.00,100.36
3903.00,100.35
3902.00,100.36
3901.00,100.38
3900.00,100.41
3899.00,100.43
3898.00,100.42
3897.00,100.41
3896.00,100.39
3895.00,100.37
3894.00,100.36
3893.00,100.36
3892.00,100.36
3891.00,100.37
3890.00,100.39
3889.00,100.40
3888.00,100.42
3887.00,100.43
3886.00,100.41
3885.00,100.38
3884.00,100.36
3883.00,100.35
3882.00,100.35
3881.00,100.35
3880.00,100.35
3879.00,100.34
3878.00,100.34
3877.00,100.35
3876.00,100.35
3875.00,100.35
3874.00,100.35
3873.00,100.34
3872.00,100.34
3871.00,100.33
3870.00,100.32
3869.00,100.31
3868.00,100.31
3867.00,100.31
3866.00,100.31
3865.00,100.31
3864.00,100.31
3863.00,100.32
3862.00,100.32
3861.00,100.33
3860.00,100.33
3859.00,100.33
3858.00,100.32
3857.00,100.31
3856.00,100.33
3855.00,100.35
3854.00,100.36
3853.00,100.36
3852.00,100.36
3851.00,100.39
3850.00,100.41
3849.00,100.43
3848.00,100.42
3847.00,100.40
3846.00,100.37
3845.00,100.35
3844.00,100.34
3843.00,100.33
3842.00,100.32
3841.00,100.31
3840.00,100.31
3839.00,100.31
3838.00,100.33
3837.00,100.35
3836.00,100.36
3835.00,100.37
3834.00,100.37
3833.00,100.38
3832.00,100.39
3831.00,100.38
3830.00,100.36
3829.00,100.34
3828.00,100.32
3827.00,100.30
3826.00,100.28
3825.00,100.27
3824.00,100.27
3823.00,100.30
3822.00,100.33
3821.00,100.35
3820.00,100.33
3819.00,100.30
3818.00,100.28
3817.00,100.28
3816.00,100.30
3815.00,100.33
3814.00,100.35
3813.00,100.36
3812.00,100.36
3811.00,100.34
3810.00,100.33
3809.00,100.33
3808.00,100.33
3807.00,100.33
3806.00,100.30
3805.00,100.28
3804.00,100.27
3803.00,100.28
3802.00,100.29
3801.00,100.30
3800.00,100.30
