Created as New Dataset,17.4 Tussah frrom India
cm-1,%T
3648.00,101.73
3647.00,101.74
3646.00,101.74
3645.00,101.72
3644.00,101.69
3643.00,101.68
3642.00,101.67
3641.00,101.67
3640.00,101.67
3639.00,101.65
3638.00,101.63
3637.00,101.60
3636.00,101.58
3635.00,101.57
3634.00,101.58
3633.00,101.60
3632.00,101.63
3631.00,101.64
3630.00,101.62
3629.00,101.58
3628.00,101.54
3627.00,101.53
3626.00,101.53
3625.00,101.54
3624.00,101.55
3623.00,101.56
3622.00,101.57
3621.00,101.58
3620.00,101.57
3619.00,101.56
3618.00,101.54
3617.00,101.52
3616.00,101.51
3615.00,101.50
3614.00,101.48
3613.00,101.46
3612.00,101.44
3611.00,101.43
3610.00,101.42
3609.00,101.41
3608.00,101.39
3607.00,101.38
3606.00,101.37
3605.00,101.35
3604.00,101.33
3603.00,101.32
3602.00,101.31
3601.00,101.32
3600.00,101.33
3599.00,101.34
3598.00,101.34
3597.00,101.33
3596.00,101.32
3595.00,101.31
3594.00,101.29
3593.00,101.28
3592.00,101.26
3591.00,101.23
3590.00,101.21
3589.00,101.21
3588.00,101.22
3587.00,101.24
3586.00,101.26
3585.00,101.25
3584.00,101.23
3583.00,101.21
3582.00,101.19
3581.00,101.18
3580.00,101.18
3579.00,101.17
3578.00,101.17
3577.00,101.16
3576.00,101.15
3575.00,101.15
3574.00,101.14
3573.00,101.12
3572.00,101.09
3571.00,101.07
3570.00,101.05
3569.00,101.04
3568.00,101.03
3567.00,101.02
3566.00,101.01
3565.00,101.01
3564.00,101.01
3563.00,101.01
3562.00,101.01
3561.00,101.00
3560.00,100.99
3559.00,100.99
3558.00,100.98
3557.00,100.97
3556.00,100.96
3555.00,100.95
3554.00,100.94
3553.00,100.93
3552.00,100.91
3551.00,100.88
3550.00,100.83
3549.00,100.78
3548.00,100.74
3547.00,100.71
3546.00,100.72
3545.00,100.74
3544.00,100.78
3543.00,100.81
3542.00,100.83
3541.00,100.82
3540.00,100.80
3539.00,100.76
3538.00,100.71
3537.00,100.69
3536.00,100.69
3535.00,100.69
3534.00,100.68
3533.00,100.66
3532.00,100.64
3531.00,100.64
3530.00,100.66
3529.00,100.69
3528.00,100.70
