Created as New Dataset,75 Nylon Allied Signal Fibers
cm-1,%T
3649.00,101.30
3648.00,101.29
3647.00,101.29
3646.00,101.27
3645.00,101.24
3644.00,101.21
3643.00,101.20
3642.00,101.20
3641.00,101.20
3640.00,101.19
3639.00,101.18
3638.00,101.18
3637.00,101.19
3636.00,101.21
3635.00,101.22
3634.00,101.21
3633.00,101.20
3632.00,101.21
3631.00,101.21
3630.00,101.21
3629.00,101.21
3628.00,101.23
3627.00,101.26
3626.00,101.26
3625.00,101.23
3624.00,101.19
3623.00,101.17
3622.00,101.17
3621.00,101.18
3620.00,101.20
3619.00,101.22
3618.00,101.24
3617.00,101.24
3616.00,101.22
3615.00,101.18
3614.00,101.15
3613.00,101.13
3612.00,101.13
3611.00,101.13
3610.00,101.12
3609.00,101.11
3608.00,101.10
3607.00,101.11
3606.00,101.12
3605.00,101.12
3604.00,101.10
3603.00,101.07
3602.00,101.05
3601.00,101.05
3600.00,101.06
3599.00,101.08
3598.00,101.09
3597.00,101.10
3596.00,101.09
3595.00,101.06
3594.00,101.04
3593.00,101.03
3592.00,101.04
3591.00,101.04
3590.00,101.05
3589.00,101.05
3588.00,101.05
3587.00,101.04
3586.00,101.02
3585.00,101.00
3584.00,100.99
3583.00,100.98
3582.00,100.98
3581.00,100.99
3580.00,101.01
3579.00,101.00
3578.00,100.98
3577.00,100.94
3576.00,100.91
3575.00,100.90
3574.00,100.91
3573.00,100.92
3572.00,100.94
3571.00,100.95
3570.00,100.97
3569.00,100.98
3568.00,100.98
3567.00,100.98
3566.00,100.97
3565.00,100.96
3564.00,100.95
3563.00,100.93
3562.00,100.91
3561.00,100.89
3560.00,100.89
3559.00,100.88
3558.00,100.86
3557.00,100.84
3556.00,100.82
3555.00,100.79
3554.00,100.78
3553.00,100.78
3552.00,100.79
3551.00,100.81
3550.00,100.82
3549.00,100.82
3548.00,100.80
3547.00,100.77
3546.00,100.75
3545.00,100.74
3544.00,100.74
3543.00,100.75
3542.00,100.75
3541.00,100.74
3540.00,100.74
3539.00,100.74
3538.00,100.74
3537.00,100.74
3536.00,100.74
3535.00,100.72
3534.00,100.71
3533.00,100.69
3532.00,100.67
3531.00,100.66
3530.00,100.65
3529.00,100.65
3528.00,100.65
3527.00,100.64
3526.00,100.62
3525.00,100.61
3524.00,100.59
3523.00,100.59
3522.00,100.58
3521.00,100.58
3520.00,100.57
3519.00,100.55
3518.00,100.54
3517.00,100.53
3516.00,100.53
3515.00,100.53
3514.00,100.52
3513.00,100.52
3512.00,100.52
3511.00,100.51
3510.00,100.50
3509.00,100.50
3508.00,100.50
3507.00,100.51
3506.00,100.52
3505.00,100.51
3504.00,100.49
3503.00,100.46
3502.00,100.44
3501.00,100.43
3500.00,100.42
3499.00,100.42
3498.00,100.41
3497.00,100.41
3496.00,100.41
3495.00,100.41
3494.00,100.41
3493.00,100.41
3492.00,100.42
3491.00,100.43
3490.00,100.42
3489.00,100.41
3488.00,100.40
3487.00,100.40
3486.00,100.39
3485.00,100.38
3484.00,100.37
3483.00,100.37
3482.00,100.37
3481.00,100.39
3480.00,100.40
3479.00,100.40
3478.00,100.39
3477.00,100.37
3476.00,100.36
3475.00,100.36
3474.00,100.35
3473.00,100.35
3472.00,100.35
3471.00,100.35
3470.00,100.33
3469.00,100.32
3468.00,100.31
3467.00,100.31
3466.00,100.33
3465.00,100.35
3464.00,100.38
3463.00,100.39
3462.00,100.38
3461.00,100.36
3460.00,100.32
3459.00,100.30
3458.00,100.28
3457.00,100.27
3456.00,100.26
3455.00,100.25
3454.00,100.25
3453.00,100.25
3452.00,100.26
3451.00,100.27
3450.00,100.26
3449.00,100.24
3448.00,100.23
3447.00,100.24
3446.00,100.27
3445.00,100.29
3444.00,100.29
3443.00,100.26
3442.00,100.21
3441.00,100.16
3440.00,100.13
3439.00,100.14
3438.00,100.17
3437.00,100.20
3436.00,100.22
3435.00,100.22
3434.00,100.22
3433.00,100.22
3432.00,100.23
3431.00,100.24
3430.00,100.24
3429.00,100.23
3428.00,100.22
3427.00,100.21
3426.00,100.20
3425.00,100.19
