Created as New Dataset,16/2 Merc. cotton
cm-1,%T
3648.00,97.67
3647.00,97.65
3646.00,97.67
3645.00,97.71
3644.00,97.75
3643.00,97.78
3642.00,97.79
3641.00,97.77
3640.00,97.75
3639.00,97.74
3638.00,97.72
3637.00,97.71
3636.00,97.69
3635.00,97.68
3634.00,97.68
3633.00,97.65
3632.00,97.61
3631.00,97.58
3630.00,97.56
3629.00,97.55
3628.00,97.54
3627.00,97.55
3626.00,97.57
3625.00,97.59
3624.00,97.58
3623.00,97.54
3622.00,97.49
3621.00,97.45
3620.00,97.44
3619.00,97.44
3618.00,97.41
3617.00,97.36
3616.00,97.32
3615.00,97.31
3614.00,97.32
3613.00,97.33
3612.00,97.31
3611.00,97.28
3610.00,97.27
3609.00,97.28
3608.00,97.27
3607.00,97.25
3606.00,97.20
3605.00,97.17
3604.00,97.16
3603.00,97.16
3602.00,97.17
3601.00,97.16
3600.00,97.15
3599.00,97.13
3598.00,97.11
3597.00,97.10
3596.00,97.09
3595.00,97.07
3594.00,97.05
3593.00,97.01
3592.00,96.96
3591.00,96.92
3590.00,96.90
3589.00,96.92
3588.00,96.94
3587.00,96.94
3586.00,96.93
3585.00,96.92
3584.00,96.91
3583.00,96.91
3582.00,96.88
3581.00,96.85
3580.00,96.80
3579.00,96.77
3578.00,96.75
3577.00,96.75
3576.00,96.74
3575.00,96.72
3574.00,96.69
3573.00,96.65
3572.00,96.60
3571.00,96.53
3570.00,96.47
3569.00,96.43
3568.00,96.41
3567.00,96.40
3566.00,96.39
3565.00,96.36
3564.00,96.34
3563.00,96.31
3562.00,96.29
3561.00,96.26
3560.00,96.24
3559.00,96.21
3558.00,96.18
3557.00,96.15
3556.00,96.12
3555.00,96.10
3554.00,96.08
3553.00,96.05
3552.00,96.02
3551.00,95.97
3550.00,95.93
3549.00,95.91
3548.00,95.90
3547.00,95.91
3546.00,95.91
3545.00,95.89
3544.00,95.86
3543.00,95.81
3542.00,95.77
3541.00,95.73
3540.00,95.69
3539.00,95.66
3538.00,95.63
3537.00,95.59
3536.00,95.56
3535.00,95.52
3534.00,95.50
3533.00,95.48
3532.00,95.47
3531.00,95.44
3530.00,95.41
3529.00,95.36
3528.00,95.31
3527.00,95.26
3526.00,95.21
3525.00,95.16
3524.00,95.10
3523.00,95.04
3522.00,94.99
3521.00,94.95
3520.00,94.92
3519.00,94.88
3518.00,94.85
3517.00,94.81
3516.00,94.77
3515.00,94.73
3514.00,94.68
3513.00,94.61
3512.00,94.54
3511.00,94.46
3510.00,94.40
3509.00,94.35
3508.00,94.30
3507.00,94.24
3506.00,94.18
3505.00,94.11
3504.00,94.03
3503.00,93.95
3502.00,93.85
3501.00,93.75
3500.00,93.65
3499.00,93.55
3498.00,93.44
3497.00,93.34
3496.00,93.24
3495.00,93.15
3494.00,93.06
3493.00,92.97
3492.00,92.86
3491.00,92.76
3490.00,92.65
3489.00,92.57
3488.00,92.50
3487.00,92.47
3486.00,92.45
3485.00,92.44
3484.00,92.44
3483.00,92.43
3482.00,92.42
3481.00,92.41
3480.00,92.40
3479.00,92.40
3478.00,92.39
3477.00,92.39
3476.00,92.38
3475.00,92.37
3474.00,92.34
3473.00,92.32
3472.00,92.29
3471.00,92.26
3470.00,92.23
3469.00,92.19
3468.00,92.14
3467.00,92.07
3466.00,92.01
3465.00,91.98
3464.00,91.95
3463.00,91.93
3462.00,91.87
3461.00,91.79
3460.00,91.69
3459.00,91.59
3458.00,91.51
3457.00,91.45
3456.00,91.38
3455.00,91.31
3454.00,91.21
3453.00,91.11
3452.00,91.00
3451.00,90.88
3450.00,90.76
3449.00,90.66
3448.00,90.56
3447.00,90.47
3446.00,90.38
3445.00,90.29
3444.00,90.20
3443.00,90.12
3442.00,90.05
3441.00,90.00
3440.00,89.96
3439.00,89.94
3438.00,89.93
3437.00,89.93
3436.00,89.93
3435.00,89.94
3434.00,89.96
3433.00,89.99
3432.00,90.02
3431.00,90.06
3430.00,90.08
3429.00,90.09
3428.00,90.08
3427.00,90.06
3426.00,90.05
3425.00,90.04
3424.00,90.04
3423.00,90.05
3422.00,90.06
3421.00,90.06
3420.00,90.05
3419.00,90.03
3418.00,90.01
