Created as New Dataset,70. Waxman
cm-1,%T
3648.00,99.58
3647.00,99.58
3646.00,99.57
3645.00,99.55
3644.00,99.53
3643.00,99.52
3642.00,99.51
3641.00,99.49
3640.00,99.48
3639.00,99.46
3638.00,99.45
3637.00,99.45
3636.00,99.45
3635.00,99.45
3634.00,99.46
3633.00,99.46
3632.00,99.47
3631.00,99.47
3630.00,99.46
3629.00,99.44
3628.00,99.43
3627.00,99.43
3626.00,99.45
3625.00,99.46
3624.00,99.47
3623.00,99.47
3622.00,99.48
3621.00,99.50
3620.00,99.52
3619.00,99.55
3618.00,99.57
3617.00,99.57
3616.00,99.56
3615.00,99.55
3614.00,99.54
3613.00,99.53
3612.00,99.53
3611.00,99.52
3610.00,99.50
3609.00,99.47
3608.00,99.45
3607.00,99.43
3606.00,99.42
3605.00,99.42
3604.00,99.43
3603.00,99.45
3602.00,99.46
3601.00,99.47
3600.00,99.46
3599.00,99.45
3598.00,99.45
3597.00,99.46
3596.00,99.48
3595.00,99.48
3594.00,99.48
3593.00,99.47
3592.00,99.47
3591.00,99.49
3590.00,99.49
3589.00,99.48
3588.00,99.46
3587.00,99.44
3586.00,99.43
3585.00,99.44
3584.00,99.43
3583.00,99.41
3582.00,99.39
3581.00,99.38
3580.00,99.40
3579.00,99.43
3578.00,99.45
3577.00,99.44
3576.00,99.41
3575.00,99.39
3574.00,99.38
3573.00,99.39
3572.00,99.40
3571.00,99.42
3570.00,99.42
3569.00,99.41
3568.00,99.40
3567.00,99.39
3566.00,99.38
3565.00,99.39
3564.00,99.40
3563.00,99.41
3562.00,99.42
3561.00,99.44
3560.00,99.44
3559.00,99.43
3558.00,99.42
3557.00,99.42
3556.00,99.41
3555.00,99.40
3554.00,99.39
3553.00,99.39
3552.00,99.39
3551.00,99.39
3550.00,99.38
3549.00,99.37
3548.00,99.35
3547.00,99.34
3546.00,99.35
3545.00,99.35
3544.00,99.35
3543.00,99.34
3542.00,99.32
3541.00,99.31
3540.00,99.32
3539.00,99.34
3538.00,99.36
3537.00,99.36
3536.00,99.36
3535.00,99.37
3534.00,99.37
3533.00,99.37
3532.00,99.36
3531.00,99.36
3530.00,99.35
3529.00,99.35
3528.00,99.33
3527.00,99.32
3526.00,99.30
3525.00,99.30
3524.00,99.31
3523.00,99.32
3522.00,99.33
3521.00,99.35
3520.00,99.35
3519.00,99.36
3518.00,99.35
3517.00,99.34
3516.00,99.34
3515.00,99.34
3514.00,99.34
3513.00,99.35
3512.00,99.36
3511.00,99.37
3510.00,99.38
3509.00,99.38
3508.00,99.39
3507.00,99.40
3506.00,99.39
3505.00,99.37
3504.00,99.34
3503.00,99.32
3502.00,99.32
3501.00,99.33
3500.00,99.34
3499.00,99.35
3498.00,99.34
3497.00,99.33
3496.00,99.31
3495.00,99.30
3494.00,99.30
3493.00,99.32
3492.00,99.34
3491.00,99.36
3490.00,99.37
3489.00,99.37
3488.00,99.36
3487.00,99.36
3486.00,99.35
3485.00,99.34
3484.00,99.32
3483.00,99.30
3482.00,99.28
3481.00,99.28
3480.00,99.30
3479.00,99.33
3478.00,99.35
3477.00,99.35
3476.00,99.34
3475.00,99.34
3474.00,99.35
3473.00,99.36
3472.00,99.36
3471.00,99.35
3470.00,99.34
3469.00,99.34
3468.00,99.35
3467.00,99.37
3466.00,99.37
3465.00,99.36
3464.00,99.35
3463.00,99.33
3462.00,99.32
3461.00,99.32
3460.00,99.32
3459.00,99.31
3458.00,99.30
3457.00,99.28
3456.00,99.26
3455.00,99.26
3454.00,99.26
3453.00,99.26
3452.00,99.27
3451.00,99.28
3450.00,99.30
3449.00,99.33
3448.00,99.35
3447.00,99.36
3446.00,99.36
3445.00,99.34
3444.00,99.33
3443.00,99.33
3442.00,99.34
3441.00,99.36
3440.00,99.37
3439.00,99.36
3438.00,99.34
3437.00,99.32
3436.00,99.31
3435.00,99.31
3434.00,99.31
3433.00,99.31
3432.00,99.29
3431.00,99.27
3430.00,99.26
3429.00,99.25
3428.00,99.25
3427.00,99.26
3426.00,99.28
3425.00,99.30
3424.00,99.31
3423.00,99.32
3422.00,99.32
3421.00,99.33
3420.00,99.34
3419.00,99.35
3418.00,99.36
3417.00,99.36
3416.00,99.36
3415.00,99.34
3414.00,99.31
3413.00,99.28
3412.00,99.27
3411.00,99.28
3410.00,99.30
3409.00,99.31
3408.00,99.32
3407.00,99.32
3406.00,99.31
3405.00,99.31
3404.00,99.31
3403.00,99.31
3402.00,99.31
3401.00,99.31
3400.00,99.30
3399.00,99.30
3398.00,99.29
3397.00,99.29
3396.00,99.29
3395.00,99.30
3394.00,99.32
3393.00,99.33
3392.00,99.34
3391.00,99.34
3390.00,99.33
3389.00,99.32
3388.00,99.31
3387.00,99.29
3386.00,99.27
3385.00,99.25
3384.00,99.24
3383.00,99.24
3382.00,99.26
3381.00,99.28
3380.00,99.30
3379.00,99.31
3378.00,99.32
3377.00,99.33
3376.00,99.33
3375.00,99.33
3374.00,99.31
3373.00,99.30
3372.00,99.29
3371.00,99.28
3370.00,99.26
3369.00,99.24
3368.00,99.22
3367.00,99.21
3366.00,99.22
3365.00,99.24
3364.00,99.27
3363.00,99.29
3362.00,99.29
3361.00,99.29
3360.00,99.28
3359.00,99.29
3358.00,99.29
3357.00,99.30
3356.00,99.30
3355.00,99.30
3354.00,99.30
3353.00,99.29
3352.00,99.29
3351.00,99.29
3350.00,99.29
3349.00,99.30
3348.00,99.31
3347.00,99.33
3346.00,99.34
3345.00,99.34
3344.00,99.31
3343.00,99.29
3342.00,99.27
3341.00,99.26
3340.00,99.27
3339.00,99.29
3338.00,99.31
3337.00,99.32
3336.00,99.32
3335.00,99.31
3334.00,99.30
3333.00,99.31
3332.00,99.31
3331.00,99.31
3330.00,99.30
3329.00,99.28
3328.00,99.25
3327.00,99.23
3326.00,99.22
3325.00,99.23
3324.00,99.25
3323.00,99.28
3322.00,99.31
3321.00,99.32
3320.00,99.33
3319.00,99.32
3318.00,99.32
3317.00,99.31
3316.00,99.30
3315.00,99.30
3314.00,99.30
3313.00,99.31
3312.00,99.30
3311.00,99.29
3310.00,99.27
3309.00,99.26
3308.00,99.27
3307.00,99.28
3306.00,99.30
3305.00,99.30
3304.00,99.29
3303.00,99.29
3302.00,99.27
3301.00,99.25
3300.00,99.23
3299.00,99.22
3298.00,99.22
3297.00,99.22
3296.00,99.22
3295.00,99.21
3294.00,99.20
3293.00,99.19
3292.00,99.19
3291.00,99.20
3290.00,99.22
3289.00,99.24
3288.00,99.26
3287.00,99.27
3286.00,99.28
3285.00,99.28
3284.00,99.28
3283.00,99.28
3282.00,99.28
3281.00,99.27
3280.00,99.25
3279.00,99.22
3278.00,99.21
3277.00,99.20
3276.00,99.22
3275.00,99.24
3274.00,99.26
3273.00,99.26
3272.00,99.25
3271.00,99.23
3270.00,99.21
3269.00,99.21
3268.00,99.21
3267.00,99.21
3266.00,99.21
3265.00,99.21
3264.00,99.20
3263.00,99.20
3262.00,99.21
3261.00,99.23
3260.00,99.24
3259.00,99.24
3258.00,99.24
3257.00,99.25
3256.00,99.25
3255.00,99.25
3254.00,99.24
3253.00,99.23
3252.00,99.22
3251.00,99.22
3250.00,99.22
3249.00,99.22
3248.00,99.23
3247.00,99.23
3246.00,99.25
3245.00,99.26
3244.00,99.27
3243.00,99.26
3242.00,99.26
3241.00,99.25
3240.00,99.25
3239.00,99.25
3238.00,99.24
3237.00,99.23
3236.00,99.21
3235.00,99.20
3234.00,99.21
3233.00,99.22
3232.00,99.24
3231.00,99.26
3230.00,99.26
3229.00,99.25
3228.00,99.24
3227.00,99.22
3226.00,99.21
3225.00,99.19
3224.00,99.17
3223.00,99.17
3222.00,99.18
3221.00,99.20
3220.00,99.22
3219.00,99.22
3218.00,99.21
3217.00,99.20
3216.00,99.21
3215.00,99.22
3214.00,99.23
3213.00,99.24
3212.00,99.23
3211.00,99.23
3210.00,99.22
3209.00,99.22
3208.00,99.22
3207.00,99.21
3206.00,99.21
3205.00,99.20
3204.00,99.21
3203.00,99.22
3202.00,99.24
3201.00,99.25
3200.00,99.23
3199.00,99.21
3198.00,99.20
3197.00,99.19
3196.00,99.21
3195.00,99.23
3194.00,99.24
3193.00,99.25
3192.00,99.24
3191.00,99.23
3190.00,99.23
3189.00,99.23
3188.00,99.24
3187.00,99.25
3186.00,99.25
3185.00,99.25
3184.00,99.25
3183.00,99.26
3182.00,99.26
3181.00,99.27
3180.00,99.26
3179.00,99.25
3178.00,99.23
3177.00,99.21
3176.00,99.19
3175.00,99.18
3174.00,99.19
3173.00,99.20
3172.00,99.22
3171.00,99.23
3170.00,99.23
3169.00,99.23
3168.00,99.23
3167.00,99.23
3166.00,99.23
3165.00,99.22
3164.00,99.22
3163.00,99.23
3162.00,99.24
3161.00,99.24
3160.00,99.24
3159.00,99.24
3158.00,99.24
3157.00,99.24
3156.00,99.24
3155.00,99.25
3154.00,99.25
3153.00,99.25
3152.00,99.26
3151.00,99.28
3150.00,99.29
3149.00,99.29
3148.00,99.28
3147.00,99.25
3146.00,99.24
3145.00,99.22
3144.00,99.22
3143.00,99.23
3142.00,99.24
3141.00,99.25
3140.00,99.25
3139.00,99.24
3138.00,99.23
3137.00,99.22
3136.00,99.22
3135.00,99.23
3134.00,99.23
3133.00,99.24
3132.00,99.24
3131.00,99.23
3130.00,99.22
3129.00,99.21
3128.00,99.19
3127.00,99.19
3126.00,99.20
3125.00,99.22
3124.00,99.24
3123.00,99.25
3122.00,99.26
3121.00,99.26
3120.00,99.26
3119.00,99.26
3118.00,99.26
3117.00,99.26
3116.00,99.26
3115.00,99.27
3114.00,99.26
3113.00,99.26
3112.00,99.25
3111.00,99.25
3110.00,99.24
3109.00,99.23
3108.00,99.22
3107.00,99.22
3106.00,99.21
3105.00,99.21
3104.00,99.21
3103.00,99.22
3102.00,99.23
3101.00,99.23
3100.00,99.23
3099.00,99.22
3098.00,99.22
3097.00,99.23
3096.00,99.25
3095.00,99.26
3094.00,99.26
3093.00,99.25
3092.00,99.24
3091.00,99.23
3090.00,99.22
3089.00,99.21
3088.00,99.20
3087.00,99.19
3086.00,99.19
3085.00,99.19
3084.00,99.20
3083.00,99.20
3082.00,99.19
3081.00,99.17
3080.00,99.15
3079.00,99.15
3078.00,99.16
3077.00,99.17
3076.00,99.16
3075.00,99.15
3074.00,99.14
3073.00,99.13
3072.00,99.14
3071.00,99.14
3070.00,99.15
3069.00,99.15
3068.00,99.15
3067.00,99.15
3066.00,99.16
3065.00,99.16
3064.00,99.17
3063.00,99.17
3062.00,99.17
3061.00,99.16
3060.00,99.15
3059.00,99.15
3058.00,99.15
3057.00,99.16
3056.00,99.17
3055.00,99.17
3054.00,99.16
3053.00,99.15
3052.00,99.16
3051.00,99.17
3050.00,99.17
3049.00,99.17
3048.00,99.16
3047.00,99.16
3046.00,99.15
3045.00,99.15
3044.00,99.15
3043.00,99.15
3042.00,99.16
3041.00,99.16
3040.00,99.16
3039.00,99.16
3038.00,99.15
3037.00,99.13
3036.00,99.12
3035.00,99.11
3034.00,99.11
3033.00,99.13
3032.00,99.14
3031.00,99.16
3030.00,99.16
3029.00,99.15
3028.00,99.14
3027.00,99.12
3026.00,99.10
3025.00,99.09
3024.00,99.07
3023.00,99.06
3022.00,99.07
3021.00,99.08
3020.00,99.10
3019.00,99.09
3018.00,99.09
3017.00,99.08
3016.00,99.07
3015.00,99.07
3014.00,99.06
3013.00,99.05
3012.00,99.05
3011.00,99.04
3010.00,99.03
3009.00,99.01
3008.00,99.00
3007.00,98.99
3006.00,98.98
3005.00,98.97
3004.00,98.97
3003.00,98.96
3002.00,98.96
3001.00,98.97
3000.00,98.96
2999.00,98.95
2998.00,98.94
2997.00,98.92
2996.00,98.90
2995.00,98.89
2994.00,98.88
2993.00,98.87
2992.00,98.86
2991.00,98.85
2990.00,98.84
2989.00,98.83
2988.00,98.81
2987.00,98.79
2986.00,98.77
2985.00,98.76
2984.00,98.75
2983.00,98.75
2982.00,98.73
2981.00,98.71
2980.00,98.67
2979.00,98.64
2978.00,98.62
2977.00,98.61
2976.00,98.60
2975.00,98.59
2974.00,98.58
2973.00,98.56
2972.00,98.53
2971.00,98.50
2970.00,98.46
2969.00,98.43
2968.00,98.41
2967.00,98.38
2966.00,98.37
2965.00,98.35
2964.00,98.33
2963.00,98.31
2962.00,98.27
2961.00,98.23
2960.00,98.20
2959.00,98.19
2958.00,98.19
2957.00,98.20
2956.00,98.20
2955.00,98.19
2954.00,98.19
2953.00,98.18
2952.00,98.19
2951.00,98.19
2950.00,98.19
2949.00,98.17
2948.00,98.14
2947.00,98.11
2946.00,98.09
2945.00,98.06
2944.00,98.03
2943.00,98.00
2942.00,97.97
2941.00,97.93
2940.00,97.89
2939.00,97.85
2938.00,97.81
2937.00,97.78
2936.00,97.75
2935.00,97.72
2934.00,97.69
2933.00,97.66
2932.00,97.62
2931.00,97.59
2930.00,97.56
2929.00,97.53
2928.00,97.50
2927.00,97.47
2926.00,97.46
2925.00,97.46
2924.00,97.46
2923.00,97.46
2922.00,97.45
2921.00,97.44
2920.00,97.44
2919.00,97.45
2918.00,97.47
2917.00,97.52
2916.00,97.59
2915.00,97.67
2914.00,97.74
2913.00,97.80
2912.00,97.85
2911.00,97.91
2910.00,97.97
2909.00,98.03
2908.00,98.09
2907.00,98.15
2906.00,98.22
2905.00,98.28
2904.00,98.33
2903.00,98.37
2902.00,98.40
2901.00,98.44
2900.00,98.48
2899.00,98.52
2898.00,98.55
2897.00,98.57
2896.00,98.59
2895.00,98.60
2894.00,98.62
2893.00,98.63
2892.00,98.65
2891.00,98.65
2890.00,98.65
2889.00,98.66
2888.00,98.66
2887.00,98.66
2886.00,98.66
2885.00,98.67
2884.00,98.69
2883.00,98.70
2882.00,98.71
2881.00,98.71
2880.00,98.72
2879.00,98.71
2878.00,98.71
2877.00,98.71
2876.00,98.71
2875.00,98.72
2874.00,98.73
2873.00,98.72
2872.00,98.71
2871.00,98.69
2870.00,98.67
2869.00,98.67
2868.00,98.67
2867.00,98.68
2866.00,98.67
2865.00,98.67
2864.00,98.66
2863.00,98.67
2862.00,98.67
2861.00,98.67
2860.00,98.65
2859.00,98.62
2858.00,98.59
2857.00,98.56
2856.00,98.54
2855.00,98.54
2854.00,98.53
2853.00,98.53
2852.00,98.51
2851.00,98.50
2850.00,98.51
2849.00,98.53
2848.00,98.57
2847.00,98.62
2846.00,98.68
2845.00,98.72
2844.00,98.75
2843.00,98.78
2842.00,98.79
2841.00,98.79
2840.00,98.79
2839.00,98.79
2838.00,98.80
2837.00,98.81
2836.00,98.84
2835.00,98.87
2834.00,98.90
2833.00,98.93
2832.00,98.95
2831.00,98.95
2830.00,98.95
2829.00,98.94
2828.00,98.93
2827.00,98.94
2826.00,98.94
2825.00,98.94
2824.00,98.94
2823.00,98.94
2822.00,98.94
2821.00,98.94
2820.00,98.96
2819.00,98.97
2818.00,98.99
2817.00,98.99
2816.00,98.98
2815.00,98.97
2814.00,98.97
2813.00,98.97
2812.00,98.97
2811.00,98.98
2810.00,98.98
2809.00,98.98
2808.00,98.98
2807.00,98.99
2806.00,99.00
2805.00,99.01
2804.00,99.01
2803.00,99.01
2802.00,99.00
2801.00,99.00
2800.00,99.01
2799.00,99.02
2798.00,99.04
2797.00,99.05
2796.00,99.05
2795.00,99.04
2794.00,99.02
2793.00,99.01
2792.00,99.00
2791.00,98.99
2790.00,98.99
2789.00,98.99
2788.00,98.99
2787.00,98.99
2786.00,99.00
2785.00,99.01
2784.00,99.02
2783.00,99.02
2782.00,99.00
2781.00,98.98
2780.00,98.98
2779.00,98.99
2778.00,99.01
2777.00,99.03
2776.00,99.05
2775.00,99.06
2774.00,99.07
2773.00,99.07
2772.00,99.06
2771.00,99.05
2770.00,99.05
2769.00,99.05
2768.00,99.04
2767.00,99.04
2766.00,99.05
2765.00,99.06
2764.00,99.06
2763.00,99.06
2762.00,99.05
2761.00,99.03
2760.00,99.02
2759.00,99.01
2758.00,99.00
2757.00,99.00
2756.00,99.00
2755.00,99.00
2754.00,99.01
2753.00,99.02
2752.00,99.03
2751.00,99.04
2750.00,99.05
2749.00,99.05
2748.00,99.04
2747.00,99.04
2746.00,99.04
2745.00,99.05
2744.00,99.05
2743.00,99.05
2742.00,99.04
2741.00,99.04
2740.00,99.03
2739.00,99.03
2738.00,99.03
2737.00,99.02
2736.00,99.02
2735.00,99.01
2734.00,99.02
2733.00,99.02
2732.00,99.03
2731.00,99.02
2730.00,99.01
2729.00,98.99
2728.00,98.98
2727.00,98.99
2726.00,99.00
2725.00,99.02
2724.00,99.03
2723.00,99.03
2722.00,99.01
2721.00,99.00
2720.00,98.99
2719.00,98.98
2718.00,98.98
2717.00,98.99
2716.00,99.00
2715.00,99.01
2714.00,99.01
2713.00,99.01
2712.00,99.00
2711.00,98.99
2710.00,98.99
2709.00,98.99
2708.00,98.99
2707.00,98.99
2706.00,98.99
2705.00,98.98
2704.00,98.99
2703.00,98.99
2702.00,98.99
2701.00,98.98
2700.00,98.97
2699.00,98.97
2698.00,98.97
2697.00,98.97
2696.00,98.98
2695.00,98.98
2694.00,98.98
2693.00,98.98
2692.00,98.98
2691.00,98.98
2690.00,98.99
2689.00,98.99
2688.00,99.00
2687.00,99.00
2686.00,99.00
2685.00,99.00
2684.00,98.98
2683.00,98.97
2682.00,98.97
2681.00,98.97
2680.00,98.97
2679.00,98.97
2678.00,98.96
2677.00,98.95
2676.00,98.95
2675.00,98.96
2674.00,98.97
2673.00,98.98
2672.00,98.98
2671.00,98.97
2670.00,98.96
2669.00,98.96
2668.00,98.96
2667.00,98.96
2666.00,98.95
2665.00,98.93
2664.00,98.92
2663.00,98.91
2662.00,98.91
2661.00,98.91
2660.00,98.91
2659.00,98.90
2658.00,98.89
2657.00,98.88
2656.00,98.87
2655.00,98.86
2654.00,98.86
2653.00,98.86
2652.00,98.85
2651.00,98.84
2650.00,98.83
2649.00,98.82
2648.00,98.81
2647.00,98.80
2646.00,98.80
2645.00,98.80
2644.00,98.78
2643.00,98.76
2642.00,98.74
2641.00,98.72
2640.00,98.71
2639.00,98.72
2638.00,98.72
2637.00,98.72
2636.00,98.71
2635.00,98.71
2634.00,98.71
2633.00,98.71
2632.00,98.70
2631.00,98.69
2630.00,98.67
2629.00,98.65
2628.00,98.64
2627.00,98.64
2626.00,98.64
2625.00,98.63
2624.00,98.63
2623.00,98.63
2622.00,98.62
2621.00,98.62
2620.00,98.62
2619.00,98.63
2618.00,98.63
2617.00,98.62
2616.00,98.61
2615.00,98.60
2614.00,98.58
2613.00,98.57
2612.00,98.57
2611.00,98.57
2610.00,98.56
2609.00,98.56
2608.00,98.57
2607.00,98.56
2606.00,98.55
2605.00,98.52
2604.00,98.49
2603.00,98.47
2602.00,98.47
2601.00,98.48
2600.00,98.49
2599.00,98.49
2598.00,98.49
2597.00,98.48
2596.00,98.47
2595.00,98.47
2594.00,98.47
2593.00,98.46
2592.00,98.44
2591.00,98.41
2590.00,98.39
2589.00,98.38
2588.00,98.38
2587.00,98.38
2586.00,98.38
2585.00,98.39
2584.00,98.40
2583.00,98.42
2582.00,98.43
2581.00,98.42
2580.00,98.39
2579.00,98.37
2578.00,98.35
2577.00,98.35
2576.00,98.37
2575.00,98.38
2574.00,98.39
2573.00,98.38
2572.00,98.36
2571.00,98.35
2570.00,98.33
2569.00,98.32
2568.00,98.32
2567.00,98.33
2566.00,98.34
2565.00,98.35
2564.00,98.35
2563.00,98.36
2562.00,98.37
2561.00,98.37
2560.00,98.37
2559.00,98.36
2558.00,98.36
2557.00,98.36
2556.00,98.38
2555.00,98.38
2554.00,98.38
2553.00,98.36
2552.00,98.34
2551.00,98.33
2550.00,98.33
2549.00,98.34
2548.00,98.33
2547.00,98.33
2546.00,98.33
2545.00,98.32
2544.00,98.30
2543.00,98.28
2542.00,98.27
2541.00,98.26
2540.00,98.26
2539.00,98.27
2538.00,98.27
2537.00,98.27
2536.00,98.27
2535.00,98.27
2534.00,98.26
2533.00,98.25
2532.00,98.24
2531.00,98.25
2530.00,98.26
2529.00,98.27
2528.00,98.28
2527.00,98.28
2526.00,98.29
2525.00,98.30
2524.00,98.30
2523.00,98.28
2522.00,98.26
2521.00,98.24
2520.00,98.22
2519.00,98.20
2518.00,98.20
2517.00,98.21
2516.00,98.24
2515.00,98.27
2514.00,98.30
2513.00,98.31
2512.00,98.30
2511.00,98.28
2510.00,98.26
2509.00,98.25
2508.00,98.24
2507.00,98.24
2506.00,98.26
2505.00,98.27
2504.00,98.27
2503.00,98.27
2502.00,98.26
2501.00,98.25
2500.00,98.26
2499.00,98.26
2498.00,98.27
2497.00,98.27
2496.00,98.28
2495.00,98.28
2494.00,98.28
2493.00,98.28
2492.00,98.28
2491.00,98.28
2490.00,98.28
2489.00,98.28
2488.00,98.27
2487.00,98.26
2486.00,98.26
2485.00,98.26
2484.00,98.27
2483.00,98.28
2482.00,98.30
2481.00,98.31
2480.00,98.32
2479.00,98.31
2478.00,98.30
2477.00,98.29
2476.00,98.29
2475.00,98.29
2474.00,98.29
2473.00,98.29
2472.00,98.29
2471.00,98.28
2470.00,98.27
2469.00,98.25
2468.00,98.25
2467.00,98.24
2466.00,98.23
2465.00,98.21
2464.00,98.21
2463.00,98.23
2462.00,98.26
2461.00,98.29
2460.00,98.29
2459.00,98.26
2458.00,98.23
2457.00,98.21
2456.00,98.20
2455.00,98.19
2454.00,98.19
2453.00,98.20
2452.00,98.21
2451.00,98.23
