Created as New Dataset,133. Allied Signal Fibers
cm-1,%T
3648.00,91.22
3647.00,91.22
3646.00,91.25
3645.00,91.29
3644.00,91.32
3643.00,91.35
3642.00,91.37
3641.00,91.37
3640.00,91.37
3639.00,91.35
3638.00,91.34
3637.00,91.32
3636.00,91.31
3635.00,91.31
3634.00,91.33
3633.00,91.34
3632.00,91.33
3631.00,91.33
3630.00,91.34
3629.00,91.36
3628.00,91.35
3627.00,91.33
3626.00,91.31
3625.00,91.30
3624.00,91.29
3623.00,91.28
3622.00,91.25
3621.00,91.23
3620.00,91.22
3619.00,91.23
3618.00,91.25
3617.00,91.25
3616.00,91.25
3615.00,91.25
3614.00,91.27
3613.00,91.29
3612.00,91.30
3611.00,91.30
3610.00,91.30
3609.00,91.29
3608.00,91.29
3607.00,91.29
3606.00,91.29
3605.00,91.29
3604.00,91.27
3603.00,91.26
3602.00,91.26
3601.00,91.26
3600.00,91.27
3599.00,91.25
3598.00,91.23
3597.00,91.23
3596.00,91.25
3595.00,91.31
3594.00,91.36
3593.00,91.39
3592.00,91.40
3591.00,91.39
3590.00,91.37
3589.00,91.36
3588.00,91.34
3587.00,91.33
3586.00,91.32
3585.00,91.31
3584.00,91.32
3583.00,91.34
3582.00,91.35
3581.00,91.37
3580.00,91.38
3579.00,91.40
3578.00,91.41
3577.00,91.42
3576.00,91.42
3575.00,91.39
3574.00,91.34
3573.00,91.31
3572.00,91.29
3571.00,91.30
3570.00,91.31
3569.00,91.31
3568.00,91.29
3567.00,91.26
3566.00,91.24
3565.00,91.23
3564.00,91.22
3563.00,91.21
3562.00,91.21
3561.00,91.21
3560.00,91.21
3559.00,91.21
3558.00,91.20
3557.00,91.19
3556.00,91.19
3555.00,91.20
3554.00,91.20
3553.00,91.19
3552.00,91.16
3551.00,91.13
3550.00,91.12
3549.00,91.12
3548.00,91.14
3547.00,91.17
3546.00,91.17
3545.00,91.16
3544.00,91.14
3543.00,91.14
3542.00,91.15
3541.00,91.18
3540.00,91.20
3539.00,91.21
3538.00,91.20
3537.00,91.17
3536.00,91.14
3535.00,91.12
3534.00,91.12
3533.00,91.13
3532.00,91.15
3531.00,91.17
3530.00,91.19
3529.00,91.22
3528.00,91.24
3527.00,91.25
3526.00,91.24
3525.00,91.23
3524.00,91.23
3523.00,91.24
3522.00,91.27
3521.00,91.29
3520.00,91.30
3519.00,91.30
3518.00,91.29
3517.00,91.28
3516.00,91.29
3515.00,91.31
3514.00,91.31
3513.00,91.30
3512.00,91.28
3511.00,91.25
3510.00,91.24
3509.00,91.24
3508.00,91.25
3507.00,91.24
3506.00,91.22
3505.00,91.20
3504.00,91.20
3503.00,91.21
3502.00,91.23
3501.00,91.25
3500.00,91.27
3499.00,91.29
3498.00,91.30
3497.00,91.32
3496.00,91.33
