Created as New Dataset,15.2 Red Wool sheep scoured
cm-1,%T
3649.00,98.76
3648.00,98.76
3647.00,98.75
3646.00,98.72
3645.00,98.67
3644.00,98.63
3643.00,98.60
3642.00,98.58
3641.00,98.57
3640.00,98.55
3639.00,98.53
3638.00,98.51
3637.00,98.49
3636.00,98.48
3635.00,98.46
3634.00,98.43
3633.00,98.39
3632.00,98.34
3631.00,98.29
3630.00,98.27
3629.00,98.28
3628.00,98.30
3627.00,98.30
3626.00,98.30
3625.00,98.29
3624.00,98.26
3623.00,98.23
3622.00,98.20
3621.00,98.16
3620.00,98.14
3619.00,98.13
3618.00,98.13
3617.00,98.12
3616.00,98.09
3615.00,98.05
3614.00,98.00
3613.00,97.96
3612.00,97.92
3611.00,97.88
3610.00,97.85
3609.00,97.82
3608.00,97.81
3607.00,97.81
3606.00,97.80
3605.00,97.78
3604.00,97.76
3603.00,97.75
3602.00,97.74
3601.00,97.74
3600.00,97.72
3599.00,97.69
3598.00,97.65
3597.00,97.60
3596.00,97.56
3595.00,97.54
3594.00,97.53
3593.00,97.53
3592.00,97.51
3591.00,97.47
3590.00,97.42
3589.00,97.37
3588.00,97.31
3587.00,97.27
3586.00,97.24
3585.00,97.22
3584.00,97.21
3583.00,97.19
3582.00,97.17
3581.00,97.15
3580.00,97.13
3579.00,97.11
3578.00,97.10
3577.00,97.08
3576.00,97.05
3575.00,97.02
3574.00,96.99
3573.00,96.95
3572.00,96.91
3571.00,96.87
3570.00,96.82
3569.00,96.78
3568.00,96.74
3567.00,96.73
3566.00,96.74
3565.00,96.75
3564.00,96.74
3563.00,96.70
3562.00,96.66
3561.00,96.61
3560.00,96.58
3559.00,96.55
3558.00,96.53
3557.00,96.49
3556.00,96.46
3555.00,96.42
3554.00,96.39
3553.00,96.36
3552.00,96.33
3551.00,96.29
3550.00,96.25
3549.00,96.20
3548.00,96.15
3547.00,96.11
3546.00,96.08
3545.00,96.07
3544.00,96.07
3543.00,96.06
3542.00,96.03
3541.00,96.00
3540.00,95.97
3539.00,95.94
3538.00,95.91
3537.00,95.89
3536.00,95.87
3535.00,95.86
3534.00,95.85
3533.00,95.83
3532.00,95.79
3531.00,95.76
3530.00,95.73
3529.00,95.72
3528.00,95.71
3527.00,95.69
3526.00,95.67
3525.00,95.63
3524.00,95.61
3523.00,95.59
3522.00,95.56
3521.00,95.53
3520.00,95.49
3519.00,95.45
3518.00,95.41
3517.00,95.38
3516.00,95.35
3515.00,95.34
3514.00,95.33
3513.00,95.33
3512.00,95.33
3511.00,95.30
3510.00,95.25
3509.00,95.19
3508.00,95.14
3507.00,95.11
3506.00,95.09
3505.00,95.06
3504.00,95.02
3503.00,94.99
3502.00,94.97
3501.00,94.96
3500.00,94.95
3499.00,94.94
3498.00,94.92
3497.00,94.89
3496.00,94.87
3495.00,94.84
3494.00,94.82
3493.00,94.80
3492.00,94.78
3491.00,94.76
3490.00,94.74
3489.00,94.72
3488.00,94.70
3487.00,94.68
3486.00,94.66
3485.00,94.63
3484.00,94.60
3483.00,94.57
3482.00,94.55
3481.00,94.53
3480.00,94.52
3479.00,94.51
3478.00,94.51
3477.00,94.52
3476.00,94.51
3475.00,94.50
3474.00,94.46
3473.00,94.43
3472.00,94.39
3471.00,94.35
3470.00,94.31
3469.00,94.27
3468.00,94.24
3467.00,94.22
3466.00,94.22
3465.00,94.23
3464.00,94.24
3463.00,94.25
3462.00,94.24
3461.00,94.22
3460.00,94.18
3459.00,94.15
3458.00,94.12
3457.00,94.10
3456.00,94.07
3455.00,94.03
3454.00,93.99
3453.00,93.96
3452.00,93.95
3451.00,93.96
3450.00,93.96
3449.00,93.95
3448.00,93.92
3447.00,93.88
3446.00,93.85
3445.00,93.82
3444.00,93.80
3443.00,93.79
3442.00,93.78
3441.00,93.77
3440.00,93.75
3439.00,93.73
3438.00,93.69
3437.00,93.66
3436.00,93.65
3435.00,93.65
3434.00,93.65
3433.00,93.65
3432.00,93.63
3431.00,93.61
3430.00,93.59
3429.00,93.57
3428.00,93.54
3427.00,93.50
3426.00,93.46
3425.00,93.42
3424.00,93.39
3423.00,93.36
3422.00,93.33
3421.00,93.31
3420.00,93.29
3419.00,93.28
3418.00,93.27
3417.00,93.24
3416.00,93.21
3415.00,93.18
3414.00,93.16
3413.00,93.14
3412.00,93.12
3411.00,93.09
3410.00,93.06
3409.00,93.03
3408.00,93.00
3407.00,92.99
3406.00,92.98
3405.00,92.98
3404.00,92.97
3403.00,92.96
3402.00,92.94
3401.00,92.91
3400.00,92.87
3399.00,92.84
3398.00,92.80
3397.00,92.78
3396.00,92.75
3395.00,92.72
3394.00,92.69
3393.00,92.67
3392.00,92.66
3391.00,92.66
3390.00,92.67
3389.00,92.68
3388.00,92.68
3387.00,92.67
3386.00,92.64
3385.00,92.60
3384.00,92.55
3383.00,92.51
3382.00,92.48
3381.00,92.46
3380.00,92.46
3379.00,92.46
3378.00,92.45
3377.00,92.43
3376.00,92.39
3375.00,92.35
3374.00,92.31
3373.00,92.28
3372.00,92.25
3371.00,92.23
3370.00,92.22
3369.00,92.20
3368.00,92.18
3367.00,92.17
3366.00,92.15
3365.00,92.14
3364.00,92.13
3363.00,92.11
3362.00,92.07
3361.00,92.03
3360.00,92.00
3359.00,91.98
3358.00,91.98
3357.00,91.97
3356.00,91.95
3355.00,91.91
3354.00,91.87
3353.00,91.83
3352.00,91.78
3351.00,91.75
3350.00,91.71
3349.00,91.68
3348.00,91.65
3347.00,91.62
3346.00,91.61
3345.00,91.60
3344.00,91.59
3343.00,91.57
3342.00,91.54
3341.00,91.51
3340.00,91.48
3339.00,91.45
3338.00,91.42
3337.00,91.40
3336.00,91.37
3335.00,91.33
3334.00,91.30
3333.00,91.27
3332.00,91.24
3331.00,91.20
3330.00,91.16
3329.00,91.12
3328.00,91.09
3327.00,91.05
3326.00,91.02
3325.00,90.99
3324.00,90.96
3323.00,90.93
3322.00,90.91
